"S0100-72032011001100001-scl","A mulher e o uso de álcool","Mendes, Maria Célia, Cunha, José Renato Ferreira da, Nogueira, Antônio Alberto","Revista Brasileira de Ginecologia e Obstetrícia; 33(11); 323-327","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011001100001&lang=pt" 
"S0103-50532011001100002-scl","Active carbon preparation from treads of tire waste for dye removal in waste water","Nunes, Michael R., Perez, Giordana M., Loguercio, Lara F., Alves, Eliete W., Carreño, Neftali L. V., Martins, Jorge L., Garcia, Irene T. S.","Journal of the Brazilian Chemical Society; 22(11); 2027-2035","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100002&lang=pt" 
"S0103-50532011001100004-scl","Dispersing carbon nanotubes in phenolic resin using an aqueous solution","Botelho, Edson C., Edwards, Elilton R., Bittmann, Birgit, Burkhart, Thomas","Journal of the Brazilian Chemical Society; 22(11); 2040-2047","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100004&lang=pt" 
"S0103-50532011001100005-scl","Multiresidue methods for determination of pesticides using SPME and SPE followed by GC-NPD system: a comparative study","Milhome, Maria A. L., Sousa, Paula L. R., De Keukeleire, Denis, Nascimento, Ronaldo F.","Journal of the Brazilian Chemical Society; 22(11); 2048-2055","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100005&lang=pt" 
"S0103-50532011001100006-scl","Square-wave cathodic adsorptive stripping voltammetric determination of 3-hydroxyflavone, Morin and Hesperidin in bulk form and biological fluids in absence and presence of Cu(II)","Temerk, Yassien M., Ibrahim, Mohamed S., Kotb, Mohammed","Journal of the Brazilian Chemical Society; 22(11); 2056-2064","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100006&lang=pt" 
"S0103-50532011001100007-scl","Microwave-assisted clean synthesis of amides via aza-wittig reaction under solvent-free condition","Sathishkumar, Murugan, Nagarajan, Sangaraiah, Velan, Poovan Shanmuga, Dinesh, Murugan, Ponnuswamy, Alagusundaram","Journal of the Brazilian Chemical Society; 22(11); 2065-2069","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100007&lang=pt" 
"S0103-50532011001100008-scl","Comparative study of the catalytic activity of the complexes Cp*RuCl(PAr3)2 [Ar = -C6H5 and 4-CF3-C6H4] in the ATRP of styrene","Villa-Hernández, Alejandro M., Rosales-Velázquez, Claudia P., Saldívar-Guerra, Enrique, Torres-Lubián, José R.","Journal of the Brazilian Chemical Society; 22(11); 2070-2077","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100008&lang=pt" 
"S0103-50532011001100009-scl","Theoretical substituent electrophilicities","Rezende, Marcos Caroli, Millán, Daniela","Journal of the Brazilian Chemical Society; 22(11); 2078-2086","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100009&lang=pt" 
"S0103-50532011001100010-scl","Phenylpropanoid substituted flavan-3-ols from Trichilia catigua and their in vitro antioxidative activity","Resende, Flávia O., Rodrigues-Filho, Edson, Luftmann, Heinrich, Petereit, Frank, Mello, João C. Palazzo de","Journal of the Brazilian Chemical Society; 22(11); 2087-2093","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100010&lang=pt" 
"S0103-50532011001100011-scl","Metal speciation in surface sediments of the Uberabinha river in Uberlândia, MG State, Brazil","Silva, Luciano A. da, Coelho, Luciana M., Rosolen, Vania, Coelho, Nívia M. Melo","Journal of the Brazilian Chemical Society; 22(11); 2094-2100","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100011&lang=pt" 
"S0103-50532011001100012-scl","Synthesis and mechanism of formation of oxadeazaflavines by microwave thermal cyclization of ortho-halobenzylidene barbiturates","Figueroa-Villar, J. Daniel, Oliveira, Sandra C. G. de","Journal of the Brazilian Chemical Society; 22(11); 2101-2107","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100012&lang=pt" 
"S0103-50532011001100013-scl","Local electrochemical investigation of single grains of polycrystalline Cu-16%Zn-8%Al alloy","Barragan, José T. C., Blanco, Matildes, Barelli, Nilso, Noce, Rodrigo Della, Fugivara, Cecílio S., Fernández, Javier, Benedetti, Assis V.","Journal of the Brazilian Chemical Society; 22(11); 2108-2114","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100013&lang=pt" 
"S0103-50532011001100015-scl","Comprehensive two-dimensional gas chromatography with time of flight mass spectrometry applied to analysis of Fischer-Tropsch synthesis products obtained with and without carbon dioxide addition to feed gas","Silva, Raphael S. F., Tamanqueira, Juliana B., Dias, Julio César M., Passarelli, Fábio M., Bidart, Antonio Marcos F., Aquino Neto, Francisco R., Azevedo, Débora A.","Journal of the Brazilian Chemical Society; 22(11); 2121-2126","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100015&lang=pt" 
"S0103-50532011001100016-scl","Distribution of indoor air pollutants in downtown Rio de Janeiro, Brazil","Siqueira, Celeste Y. S., Gioda, Adriana, Carneiro, Fabiana P., Ramos, Maria da Conceição K. V., Aquino Neto, Francisco R.","Journal of the Brazilian Chemical Society; 22(11); 2127-2138","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100016&lang=pt" 
"S0103-50532011001100018-scl","Enzymatic synthesis optimization of isoamyl butyrate","Anschau, Andréia, Aragão, Vitor C., Porciuncula, Barbara D. A., Kalil, Susana J., Burkert, Carlos A. V., Burkert, Janaína F. M.","Journal of the Brazilian Chemical Society; 22(11); 2148-2156","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100018&lang=pt" 
"S0103-50532011001100019-scl","Automation of an analysis system with microvolume porous membrane sampling, capillary electrophoresis separation and contactless conductivity detection for near-real-time monitoring of traces of low-molecular-weight carboxylic acids in air","Coelho, Lúcia H. G., Gutz, Ivano G. R.","Journal of the Brazilian Chemical Society; 22(11); 2157-2164","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100019&lang=pt" 
"S0103-50532011001100020-scl","Dual bifunctional catalysis and the α-effect in the reaction of hydroxylamine with phenylacetate","Mazera, Deise J., Pliego Jr., Josefredo R., Almerindo, Gizelle I., Gesser, José C.","Journal of the Brazilian Chemical Society; 22(11); 2165-2170","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100020&lang=pt" 
"S0103-50532011001100021-scl","Determination of sulfamethoxazole in pharmaceutical formulations by flow injection system/HPLC with potentiometric detection using polypyrrole electrode","Ozkorucuklu, Sabriye P., Sahin, Yucel, Alsancak, Guleren","Journal of the Brazilian Chemical Society; 22(11); 2171-2177","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100021&lang=pt" 
"S0103-50532011001100024-scl","The effect of different chemical treatments on the structure and stability of aqueous dispersion of iron- and iron oxide-filled multi-walled carbon nanotubes","Moraes, Rodrigo A., Matos, Carolina F., Castro, Eryza G., Schreiner, Wido H., Oliveira, Marcela M., Zarbin, Aldo J. G.","Journal of the Brazilian Chemical Society; 22(11); 2191-2201","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100024&lang=pt" 
"S0103-50532011001100026-scl","A second-order standard addition method based on the data treatment by calculation of variation matrix of kinetic systems analyzed by MCR-ALS","Naseri, Abdolhossein, Bahram, Morteza, Mabhooti, Mehdi","Journal of the Brazilian Chemical Society; 22(11); 2206-2215","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100026&lang=pt" 
"S0103-50532011001100028-scl","Microwave irradiation or low temperature improved synthesis of antiparasitic Morita-Baylis-Hillman adducts","Junior, Claudio G. L., Silva, Fábio P. L., Oliveira, Ramon G. de, Subrinho, Fernanda L., Andrade, Natália G. de, Vasconcellos, Mário L. A. A.","Journal of the Brazilian Chemical Society; 22(11); 2220-2224","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100028&lang=pt" 
"S0103-50532011001100029-scl","Effect of the subsampling ratio in the application of subagging for multivariate calibration with the successive projections algorithm","Galvão Filho, Arlindo R., Galvão, Roberto K. H., Araújo, Mário César U.","Journal of the Brazilian Chemical Society; 22(11); 2225-2233","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100029&lang=pt" 
"S0103-50532011001100030-scl","A new megastigmane diglycoside from Litsea glutinosa (Lour.) C. B. Rob.","Wang, Yun-Song, Liao, Zhen, Li, Yan, Huang, Rong, Zhang, Hong-Bing, Yang, Jing-Hua","Journal of the Brazilian Chemical Society; 22(11); 2234-2238","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100030&lang=pt" 
"S0103-50532011001100022-scl","A Monte Carlo revisiting of N-methylformamide and acetone","Almeida, Glauco G., Cordeiro, João M. M.","Journal of the Brazilian Chemical Society; 22(11); 2178-2185","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100022&lang=pt" 
"S0103-50532011001100017-scl","Characterization of dissolved organic matter in the Piauí river estuary, Northeast Brazil","Costa, Adnivia Santos, Passos, Elisangela de Andrade, Garcia, Carlos A. B., Alves, José do Patrocinio H.","Journal of the Brazilian Chemical Society; 22(11); 2139-2147","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100017&lang=pt" 
"S0103-20702011000200015-scl","","Lopes, Dawisson Belém","Tempo Social; 23(2); 337-338","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200015&lang=pt" 
"S0103-20702011000200001-scl","Apresentação: caminhos da crítica","Jackson, Luiz, Blanco, Alejandro, Pinheiro Filho, Fernando","Tempo Social; 23(2); 9-11","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200001&lang=pt" 
"S0103-20702011000200014-scl","O pintor da vida moderna","Bagolin, Luiz Armando","Tempo Social; 23(2); 335-336","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200014&lang=pt" 
"S0103-20702011000200004-scl","Um crítico no redemoinho","Moura, Flávio Rosa de","Tempo Social; 23(2); 71-99","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200004&lang=pt" 
"S0103-20702011000200008-scl","Modernismo e regionalismo no Brasil: entre inovação e tradição","Arruda, Maria Arminda do Nascimento","Tempo Social; 23(2); 191-212","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200008&lang=pt" 
"S0103-20702011000200007-scl","Entrevista com Davi Arrigucci Jr","Jackson, Luiz, Pinheiro Filho, Fernando, Sorá, Gustavo","Tempo Social; 23(2); 163-188","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200007&lang=pt" 
"S0103-20702011000200013-scl","Ralf Darendorf (1929-2009): réquiem para um sociólogo liberal","Dias Junior, Antonio Carlos","Tempo Social; 23(2); 321-334","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200013&lang=pt" 
"S0103-20702011000200016-scl","","Tavolaro, Lília Gonçalves Magalhães","Tempo Social; 23(2); 339-340","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200016&lang=pt" 
"S0103-20702011000200002-scl","Crítica literária e sociologia no Brasil e na Argentina","Jackson, Luiz, Blanco, Alejandro","Tempo Social; 23(2); 13-40","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200002&lang=pt" 
"S0103-20702011000200003-scl","Inquietudes da crítica literária militante de Antonio Candido","Ramassote, Rodrigo Martins","Tempo Social; 23(2); 41-70","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200003&lang=pt" 
"S0103-20702011000200005-scl","Crítica, combate e deriva do campo literário em Alceu Amoroso Lima","Gomes Júnior, Guilherme Simões","Tempo Social; 23(2); 101-133","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200005&lang=pt" 
"S0103-20702011000200006-scl","A Pequena história da literatura Brasileira: provocação ao modernismo","Botelho, André","Tempo Social; 23(2); 135-161","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200006&lang=pt" 
"S0103-20702011000200010-scl","Conflitos e parcerias em torno de projetos socioambientais","Pereira, João Márcio Mendes","Tempo Social; 23(2); 235-263","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200010&lang=pt" 
"S0103-20702011000200012-scl","Riscos ocupacionais da imagiologia: estudo de caso num hospital português","Areosa, João","Tempo Social; 23(2); 297-318","Tempo Social","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702011000200012&lang=pt" 
"S1020-49892011001100007-spa","Clinical trial regulation in Argentina: overview and analysis of regulatory framework, use of existing tools, and researchers&#039; perspectives to identify potential barriers","White, Lauren, Ortiz, Zulma, Cuervo, Luis G, Reveiz, Ludovic","Revista Panamericana de Salud Pública; 30(5); 445-452","Revista Panamericana de Salud Pública","Inglês","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892011001100007&lang=pt" 
"S1020-49892011001100008-spa","Cost-effectiveness of improving pediatric hospital care in Nicaragua","Broughton, Edward I, Gomez, Ivonne, Nuñez, Oscar, Wong, Yudy","Revista Panamericana de Salud Pública; 30(5); 453-460","Revista Panamericana de Salud Pública","Inglês","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892011001100008&lang=pt" 
"S1020-49892011001100013-spa","Análise comparativa dos sistemas de saúde da tríplice fronteira: Brasil/Colômbia/Peru","Levino, Antonio, Carvalho, Eduardo Freese de","Revista Panamericana de Salud Pública; 30(5); 490-500","Revista Panamericana de Salud Pública","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892011001100013&lang=pt" 
"S1516-35982011001100028-scl","Níveis de cálcio e fósforo disponível em rações com fitase para frangos de corte nas fases pré-inicial e inicial","Santos, Luziane Moreira dos, Rodrigues, Paulo Borges, Freitas, Rilke Tadeu Fonseca de, Bertechini, Antônio Gilberto, Fialho, Elias Tadeu, Gomide, Elisangela Minati, Naves, Luciana de Paula","Revista Brasileira de Zootecnia; 40(11); 2476-2485","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100028&lang=pt" 
"S1516-35982011001100029-scl","Níveis de fósforo disponível e cálcio em rações suplementadas com fitase para frangos de corte nas fases de crescimento e final","Santos, Luziane Moreira dos, Rodrigues, Paulo Borges, Alvarenga, Renata Ribeiro, Naves, Luciana de Paula, Hespanhol, Renato, Lima, Gustavo Freire Resende, Lara, Maria Cecília Coelho, Silva, Leonardo Rafael da","Revista Brasileira de Zootecnia; 40(11); 2486-2495","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100029&lang=pt" 
"S1516-35982011001100030-scl","Exigência de energia metabolizável de codornas de corte no período de 1 a 14 dias de idade","Scherer, Carina, Furlan, Antonio Claudio, Martins, Elias Nunes, Scapinello, Cláudio, Ton, Ana Paula Silva","Revista Brasileira de Zootecnia; 40(11); 2496-2501","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100030&lang=pt" 
"S1516-35982011001100031-scl","Evaluation of intervals between observations on estimation of eating behavior of cattle","Carvalho, Gleidson Giordano Pinto de, Garcia, Rasmo, Pires, Aureliano José Vieira, Silva, Robério Rodrigues, Detmann, Edenio, Ribeiro, Leandro Sampaio Oliveira","Revista Brasileira de Zootecnia; 40(11); 2502-2509","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100031&lang=pt" 
"S1516-35982011001100032-scl","Effect of supplementation on the performance of F1 crossbred goats finished in native pasture","Carvalho Júnior, Aloísio Monteiro de, Pereira Filho, José Morais, Silva, Rayana de Medeiros, Silva, Aderbal Marcos de Azevêdo, Cezar, Marcílio Fontes","Revista Brasileira de Zootecnia; 40(11); 2510-2517","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100032&lang=pt" 
"S1516-35982011001100035-scl","Desempenho de novilhos recebendo dietas à base de cana-de-açúcar in natura ou hidrolisada","Freitas, Acyr Wanderley de Paula, Rocha, Fernanda Cipriano, Zonta, Augusto, Fagundes, Jailson Lara, Fonseca, Ricardo da, Zonta, Márcia Cristina de Mello","Revista Brasileira de Zootecnia; 40(11); 2532-2537","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100035&lang=pt" 
"S1516-35982011001100037-scl","Ofertas de suplementos múltiplos para tourinhos Nelore na fase de recria em pastagens durante o período da seca: desempenho produtivo e características nutricionais","Porto, Marlos Oliveira, Paulino, Mário Fonseca, Detmann, Edenio, Valadares Filho, Sebastião de Campos, Sales, Maykel Franklin Lima, Cavali, Jucilene, Nascimento, Michele Lopes do, Acedo, Tiago Sabella","Revista Brasileira de Zootecnia; 40(11); 2548-2557","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100037&lang=pt" 
"S1516-35982011001100038-scl","Efficiency of metabolizable energy utilization for maintenance and gain and evaluation of Small Ruminant Nutrition System model in Santa Ines sheep","Regadas Filho, José Gilson Louzada, Pereira, Elzânia Sales, Villarroel, Arturo Bernardo Selaive, Pimentel, Patrícia Guimarães, Fontenele, Rildson Melo, Costa, Marcus Roberto Góes Ferreira, Maia, Iana Sérvulo Gomes, Sombra, Weberte Alan","Revista Brasileira de Zootecnia; 40(11); 2558-2564","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100038&lang=pt" 
"S1516-35982011001100039-scl","Evaluation of ruminal degradation profiles of forages using bags made from different textiles","Valente, Tiago Neves Pereira, Detmann, Edenio, Queiroz, Augusto César de, Valadares Filho, Sebastião de Campos, Gomes, Daiany Iris, Figueiras, Janderson Florêncio","Revista Brasileira de Zootecnia; 40(11); 2565-2573","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100039&lang=pt" 
"S1516-35982011001100040-scl","Voluntary intake of dry matter and performance of Nellore cows and their Nellore and crossbred Simental × Nellore calves","Vargas Junior, Fernando Miranda de, Wechsler, Francisco Stefano, Rossi, Patrícia, Oliveira, Marcus Vinicius Morais de, Schmidt, Patrick","Revista Brasileira de Zootecnia; 40(11); 2574-2581","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100040&lang=pt" 
"S1516-35982011001100042-scl","The use of the Fourier Transform Infrared spectroscopy to determine adulterants in raw milk","Cassoli, Laerte Dagher, Sartori, Beatriz, Machado, Paulo Fernando","Revista Brasileira de Zootecnia; 40(11); 2591-2596","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100042&lang=pt" 
"S1516-35982011001100044-scl","Comportamento reprodutivo de vacas de corte manejadas em pastagem natural com duas cargas animais e duas idades à desmama","Pellegrini, Caius Barcellos de, Lopes, Luiz Felipe Dias","Revista Brasileira de Zootecnia; 40(11); 2606-2612","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100044&lang=pt" 
"S1516-35982011001100045-scl","Effects of extensive system versus semi-intensive and intensive systems on growth and carcass quality of dairy kids","Herrera, Pedro Zurita, Bermejo, Juan Vicente Delgado, Henríquez, Anastasio Argüello, Vallejo, María Esperanza Camacho, Costa, Roberto Germano","Revista Brasileira de Zootecnia; 40(11); 2613-2620","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011001100045&lang=pt" 
"S1413-81232011001200004-spa","Avaliação da qualidade do programa Saúde da Família em municípios do Ceará: uma abordagem multidimensional","Serapioni, Mauro, Silva, Marcelo Gurgel Carlos da","Ciência &amp; Saúde Coletiva; 16(11); 4315-4326","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232011001200004&lang=pt" 
"S1413-81232011001200005-spa","Saberes populares e cientificismo na estratégia saúde da família: complementares ou excludentes?","Junges, José Roque, Barbiani, Rosangela, Ávila Soares, Natália de, Fernandes, Raquel Brondísia Panizzi, Lima, Marília Schreck de","Ciência &amp; Saúde Coletiva; 16(11); 4327-4335","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232011001200005&lang=pt" 
"S1413-81232011001200006-spa","Subjetividade e clínica na atenção básica: narrativas, histórias de vida e realidade social","Barros, Rebeca Silva de, Botazzo, Carlos","Ciência &amp; Saúde Coletiva; 16(11); 4337-4348","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232011001200006&lang=pt" 
