"S1413-86702008000200002-scl","Congenital toxoplasmosis: public health policy concerns","Vanni, Tazio, Ribeiro, Rodrigo A., Varella, Ivana S., Polanczyk, Carisi A., Fonseca, Benedito A. L., Kuchenbecker, Ricardo","Brazilian Journal of Infectious Diseases; 12(2); 107-107","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000200002&lang=pt" 
"S1413-81232008000700025-spa","Avaliação da adequação técnica de indústrias de medicamentos fitoterápicos e oficinais do Estado do Rio de Janeiro","Alves, Natália Dias da Costa, Santos, Tereza Cristina dos, Rodrigues, Carlos Rangel, Castro, Helena Carla, Lira, Luiz Marcelo, Dornelas, Camila Braga, Cabral, Lúcio Mendes","Ciência &amp; Saúde Coletiva; 13(); 745-753","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700025&lang=pt" 
"S1413-81232008000700024-spa","Padrão de consumo de medicamentos sem prescrição médica na cidade de Porto Alegre, RS","Vitor, Ricardo Sozo, Lopes, Caroline Panone, Menezes, Honório Sampaio, Kerkhoff, Carlos Eduardo","Ciência &amp; Saúde Coletiva; 13(); 737-743","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700024&lang=pt" 
"S1413-81232008000700021-spa","A qualidade da prescrição de antimicrobianos em ambulatórios públicos da Secretaria Municipal de Saúde de Belo Horizonte, MG","Abrantes, Patrícia de Magalhães, Magalhães, Sérgia Maria Starling, Acúrcio, Francisco de Assis, Sakurai, Emília","Ciência &amp; Saúde Coletiva; 13(); 711-720","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700021&lang=pt" 
"S1413-81232008000700020-spa","Adesão à prescrição médica em idosos de Porto Alegre, RS","Rocha, Cristiane Hoffmeister, Oliveira, Ana Paula Sueiro de, Ferreira, Caroline, Faggiani, Fabiana Tôrres, Schroeter, Guilherme, Souza, Antônio Carlos Araújo de, DeCarli, Geraldo Attilio, Morrone, Fernanda Bueno, Werlang, Maria Cristina","Ciência &amp; Saúde Coletiva; 13(); 703-710","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700020&lang=pt" 
"S1413-81232008000700019-spa","Fatores associados à automedicação em dor de dente: análise a partir dos profissionais dos estabelecimentos farmacêuticos da cidade do Recife, PE","Silva, Rafaella Arcoverde, Marques, Flávia Duarte, Goes, Paulo Sávio Angeiras de","Ciência &amp; Saúde Coletiva; 13(); 697-701","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700019&lang=pt" 
"S1413-81232008000700018-spa","Fatores relacionados à prescrição médica de antibióticos em farmácia pública da região Oeste da cidade de São Paulo","Nicolini, Paola, Nascimento, Jorge Willian Leandro, Greco, Karin Vicente, Menezes, Fabianna Gatti de","Ciência &amp; Saúde Coletiva; 13(); 689-696","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700018&lang=pt" 
"S1413-81232008000700016-spa","Gerenciamento de resíduos oriundos da fabricação e distribuição do medicamento Diazepam para o município de São Mateus, ES","Falqueto, Elda, Kligerman, Débora Cynamon","Ciência &amp; Saúde Coletiva; 13(); 673-681","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700016&lang=pt" 
"S1413-81232008000700015-spa","Homeopatia: uma abordagem do sujeito no processo de adoecimento","Araújo, Eliane Cardoso de","Ciência &amp; Saúde Coletiva; 13(); 663-671","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700015&lang=pt" 
"S1413-81232008000700013-spa","Quando o anúncio é bom, todo mundo compra: o Projeto MonitorAÇÃO e a propaganda de medicamentos no Brasil","Soares, Jussara Calmon Reis de Souza","Ciência &amp; Saúde Coletiva; 13(); 641-649","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700013&lang=pt" 
"S1413-81232008000700011-spa","Medicamentos genéricos no Brasil: impactos das políticas públicas sobre a indústria nacional","Quental, Cristiane, Abreu, Jussanã Cristina de, Bomtempo, José Vitor, Gadelha, Carlos Augusto Grabois","Ciência &amp; Saúde Coletiva; 13(); 619-628","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700011&lang=pt" 
"S1413-81232008000700010-spa","Perfil da assistência farmacêutica na atenção primária do Sistema Único de Saúde","Araújo, Aílson da Luz André de, Pereira, Leonardo Régis Leira, Ueta, Julieta Mieko, Freitas, Osvaldo de","Ciência &amp; Saúde Coletiva; 13(); 611-617","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700010&lang=pt" 
"S1413-81232008000700009-spa","Desabastecimento de medicamentos: determinantes, conseqüências e gerenciamento","Reis, Adriano Max Moreira, Perini, Edson","Ciência &amp; Saúde Coletiva; 13(); 603-610","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700009&lang=pt" 
"S1413-81232008000700007-spa","Nuevas tendencias de la medicalización","Barros, José Augusto Cabral","Ciência &amp; Saúde Coletiva; 13(); 579-587","Ciência &amp; Saúde Coletiva","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700007&lang=pt" 
"S1413-81232008000700001-scl","Medicamentos, profissionais e atenção a saúde","Rozenfeld, Suely","Ciência &amp; Saúde Coletiva; 13(); 558-558","Ciência &amp; Saúde Coletiva","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700001&lang=pt" 
"S0100-879X2008000400003-scl","Increased expression and purification of soluble iron-regulatory protein 1 from Escherichia coli co-expressing chaperonins GroES and GroEL","Carvalho, H., Meneghini, R.","Brazilian Journal of Medical and Biological Research; 41(4); 270-276","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400003&lang=pt" 
"S0100-879X2008000400010-scl","Locally produced mucosal IgG in chickens immunized with conventional vaccines for Newcastle disease virus","Chimeno Zoth, S., Gómez, E., Carrillo, E., Berinstein, A.","Brazilian Journal of Medical and Biological Research; 41(4); 318-323","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400010&lang=pt" 
"S0100-879X2008000400011-scl","Defensive responses to threat scenarios in Brazilians reproduce the pattern of Hawaiian Americans and non-human mammals","Shuhama, R., Del-Ben, C.M., Loureiro, S.R., Graeff, F.G.","Brazilian Journal of Medical and Biological Research; 41(4); 324-332","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400011&lang=pt" 
"S0100-879X2008000400004-scl","Molecular analysis of the bovine coronavirus S1 gene by direct sequencing of diarrheic fecal specimens","Takiuchi, E., Alfieri, A.F., Alfieri, A.A.","Brazilian Journal of Medical and Biological Research; 41(4); 277-282","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400004&lang=pt" 
"S0100-879X2008000400012-scl","Expression of neuronal nitric oxide synthase in the hippocampal formation in affective disorders","Oliveira, R.M.W., Guimarães, F.S., Deakin, J.F.W.","Brazilian Journal of Medical and Biological Research; 41(4); 333-341","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400012&lang=pt" 
"S0100-879X2008000400007-scl","Intrinsic bent DNA sites in the chromosomal replication origin of Xylella fastidiosa 9a5c","Gimenes, F., Gouveia, F. de S., Fiorini, A., Fernandez, M.A.","Brazilian Journal of Medical and Biological Research; 41(4); 295-304","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400007&lang=pt" 
"S1413-81232008000700007-scl","Nuevas tendencias de la medicalización","Barros, José Augusto Cabral","Ciência &amp; Saúde Coletiva; 13(); 579-587","Ciência &amp; Saúde Coletiva","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700007&lang=pt" 
"S1413-81232008000700008-scl","Uso racional de medicamentos: uma abordagem econômica para tomada de decisões","Mota, Daniel Marques, Silva, Marcelo Gurgel Carlos da, Sudo, Elisa Cazue, Ortún, Vicente","Ciência &amp; Saúde Coletiva; 13(); 589-601","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700008&lang=pt" 
"S1413-81232008000700010-scl","Perfil da assistência farmacêutica na atenção primária do Sistema Único de Saúde","Araújo, Aílson da Luz André de, Pereira, Leonardo Régis Leira, Ueta, Julieta Mieko, Freitas, Osvaldo de","Ciência &amp; Saúde Coletiva; 13(); 611-617","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700010&lang=pt" 
"S1413-81232008000700011-scl","Medicamentos genéricos no Brasil: impactos das políticas públicas sobre a indústria nacional","Quental, Cristiane, Abreu, Jussanã Cristina de, Bomtempo, José Vitor, Gadelha, Carlos Augusto Grabois","Ciência &amp; Saúde Coletiva; 13(); 619-628","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700011&lang=pt" 
"S1413-81232008000700012-scl","Dispensação farmacêutica: uma análise de diferentes conceitos e modelos","Angonesi, Daniela","Ciência &amp; Saúde Coletiva; 13(); 629-640","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700012&lang=pt" 
"S1413-81232008000700013-scl","Quando o anúncio é bom, todo mundo compra: o Projeto MonitorAÇÃO e a propaganda de medicamentos no Brasil","Soares, Jussara Calmon Reis de Souza","Ciência &amp; Saúde Coletiva; 13(); 641-649","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700013&lang=pt" 
"S1413-81232008000700014-scl","Apelos racionais e emocionais na propaganda de medicamentos de prescrição: estudo de um remédio para emagrecer","Huertas, Melby Karina Zuniga, Campomar, Marcos Cortez","Ciência &amp; Saúde Coletiva; 13(); 651-662","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700014&lang=pt" 
"S1413-81232008000700015-scl","Homeopatia: uma abordagem do sujeito no processo de adoecimento","Araújo, Eliane Cardoso de","Ciência &amp; Saúde Coletiva; 13(); 663-671","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700015&lang=pt" 
"S1413-81232008000700016-scl","Gerenciamento de resíduos oriundos da fabricação e distribuição do medicamento Diazepam para o município de São Mateus, ES","Falqueto, Elda, Kligerman, Débora Cynamon","Ciência &amp; Saúde Coletiva; 13(); 673-681","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700016&lang=pt" 
"S1413-81232008000700018-scl","Fatores relacionados à prescrição médica de antibióticos em farmácia pública da região Oeste da cidade de São Paulo","Nicolini, Paola, Nascimento, Jorge Willian Leandro, Greco, Karin Vicente, Menezes, Fabianna Gatti de","Ciência &amp; Saúde Coletiva; 13(); 689-696","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700018&lang=pt" 
"S1413-81232008000700020-scl","Adesão à prescrição médica em idosos de Porto Alegre, RS","Rocha, Cristiane Hoffmeister, Oliveira, Ana Paula Sueiro de, Ferreira, Caroline, Faggiani, Fabiana Tôrres, Schroeter, Guilherme, Souza, Antônio Carlos Araújo de, DeCarli, Geraldo Attilio, Morrone, Fernanda Bueno, Werlang, Maria Cristina","Ciência &amp; Saúde Coletiva; 13(); 703-710","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700020&lang=pt" 
"S1413-81232008000700021-scl","A qualidade da prescrição de antimicrobianos em ambulatórios públicos da Secretaria Municipal de Saúde de Belo Horizonte, MG","Abrantes, Patrícia de Magalhães, Magalhães, Sérgia Maria Starling, Acúrcio, Francisco de Assis, Sakurai, Emília","Ciência &amp; Saúde Coletiva; 13(); 711-720","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700021&lang=pt" 
"S1413-81232008000700022-scl","Percepção de profissionais da saúde sobre aspectos relacionados à dor e utilização de opióides: um estudo qualitativo","Kulkamp, Irene Clemes, Barbosa, Camila Goulart, Bianchini, Karine Cargnin","Ciência &amp; Saúde Coletiva; 13(); 721-731","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700022&lang=pt" 
"S1413-81232008000700025-scl","Avaliação da adequação técnica de indústrias de medicamentos fitoterápicos e oficinais do Estado do Rio de Janeiro","Alves, Natália Dias da Costa, Santos, Tereza Cristina dos, Rodrigues, Carlos Rangel, Castro, Helena Carla, Lira, Luiz Marcelo, Dornelas, Camila Braga, Cabral, Lúcio Mendes","Ciência &amp; Saúde Coletiva; 13(); 745-753","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700025&lang=pt" 
"S1413-81232008000700026-scl","Perfil de utilização de medicamentos em usuários da rede básica de saúde de Lorena, SP","Fleith, Valeska Danielli, Figueiredo, Marco Aurélio, Figueiredo, Karina Fernanda Lais Rainho de Oliveira, Moura, Erly Catarina","Ciência &amp; Saúde Coletiva; 13(); 755-762","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700026&lang=pt" 
"S1413-81232008000700024-scl","Padrão de consumo de medicamentos sem prescrição médica na cidade de Porto Alegre, RS","Vitor, Ricardo Sozo, Lopes, Caroline Panone, Menezes, Honório Sampaio, Kerkhoff, Carlos Eduardo","Ciência &amp; Saúde Coletiva; 13(); 737-743","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700024&lang=pt" 
"S1413-81232008000700029-scl","Estudos de utilização de medicamentos: uma síntese de artigos publicados no Brasil e América Latina","Leite, Silvana Nair, Vieira, Mônica, Veber, Ana Paula","Ciência &amp; Saúde Coletiva; 13(); 793-802","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700029&lang=pt" 
"S1413-81232008000700009-scl","Desabastecimento de medicamentos: determinantes, conseqüências e gerenciamento","Reis, Adriano Max Moreira, Perini, Edson","Ciência &amp; Saúde Coletiva; 13(); 603-610","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700009&lang=pt" 
"S0036-36342008000200011-spa","Consumo de bebidas para una vida saludable: recomendaciones para la población mexicana","Rivera, Juan A, Muñoz-Hernández, Onofre, Rosas-Peralta, Martín, Aguilar-Salinas, Carlos A, Popkin, Barry M, Willett, Walter C","Salud Pública de México; 50(2); 173-195","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200011&lang=pt" 
"S0036-36342008000200006-spa","Actividad física y riesgo de cáncer de mama en mujeres mexicanas","Ortiz-Rodríguez, Sandra Patricia, Torres-Mejía, Gabriela, Mainero-Ratchelous, Fernando, Ángeles-Llerenas, Angélica, López-Caudana, Alma Ethelia, Lazcano-Ponce, Eduardo, Romieu, Isabelle","Salud Pública de México; 50(2); 126-135","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200006&lang=pt" 
"S0036-36342008000200007-spa","El gasto en salud relacionado con la condición de discapacidad: un análisis en población pobre de México","Urquieta-Salomón, José E, Figueroa, José L, Hernández-Prado, Bernardo","Salud Pública de México; 50(2); 136-146","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200007&lang=pt" 
"S0103-90162008000200008-scl","Fenitrothion and esfenvalerate stability during corn and wheat sample processing","Vásquez-Castro, Javier Alberto, Baptista, Gilberto Casadei de, Trevizan, Luiz Roberto Pimentel, Gadanha Junior, Casimiro Dias","Scientia Agricola; 65(2); 157-160","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200008&lang=pt" 
"S0103-90162008000200003-scl","Differential growth retardation and Myofibrillar fragmentation in rats submitted to feed restriction and realimentation","Leonardo, Eric Franchi, Delgado, Eduardo Francisquine, Bagaldo, Adriana Regina, Lanna, Dante Pazzanese Duarte, Paz, Claudia Cristina Paro de","Scientia Agricola; 65(2); 122-129","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200003&lang=pt" 
"S0103-90162008000200005-scl","Evaluation of sunflower cultivars for central Brazil","Porto, Willyam Stern, Carvalho, Claudio Guilherme Portela de, Pinto, Ronald José Barth, Oliveira, Marcelo Fernandes de, Oliveira, Ana Cláudia Barneche de","Scientia Agricola; 65(2); 139-144","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200005&lang=pt" 
"S0103-90162008000200007-scl","Hydrothermal treatment favors peeling of &#039;Pera&#039; sweet orange fruit and does not alter quality","Arruda, Maria Cecília de, Jacomino, Angelo Pedro, Pinheiro, Ana Luíza, Ribeiro, Rafael Vasconcelos, Lochoski, Michelle Antonio, Moreira, Raquel Capistrano","Scientia Agricola; 65(2); 151-156","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200007&lang=pt" 
"S0103-90162008000200015-scl","Egg Brochosomes of Proconiini (Hemiptera: Cicadellidae, Cicadellinae) species associated with cultivation of grapevines","Azevedo Filho, Wilson Sampaio de, Botton, Marcos, Paladini, Andressa, Carvalho, Gervásio Silva, Ringenberg, Rudiney, Lopes, João Roberto Spotti","Scientia Agricola; 65(2); 209-213","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200015&lang=pt" 
"S0103-90162008000200014-scl","Growth and productivity of corn as affected by mulching and tillage in Alley cropping systems","Moura, Emanoel Gomes de, Albuquerque, Jonas Mendes, Aguiar, Alana das Chagas Ferreira","Scientia Agricola; 65(2); 204-208","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200014&lang=pt" 
"S0036-36342008000200002-spa","Muertes violentas en Tijuana, Baja California, México","Molina Corona, Antonio, Zonana Nacach, Abraham, Flores Romero, David X., Martínez Caamaño, Alejandro F., Quiroz Prado, Mercedes","Salud Pública de México; 50(2); 104-105","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200002&lang=pt" 
"S0103-90162008000200001-scl","Swine deep bedding ashes as a mineral additive for cement based mortar","Di Campos, Melissa Selaysim, Barbosa, Normando Perazzo, Savastano Jr., Holmer","Scientia Agricola; 65(2); 109-115","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200001&lang=pt" 
"S0103-90162008000200002-scl","Association of PIT1 genotypes with growth traits in Canchim cattle","Carrijo, Sônia Mara, Alencar, Maurício Mello de, Toral, Fábio Luiz Buranelo, Regitano, Luciana Correia de Almeida","Scientia Agricola; 65(2); 116-121","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200002&lang=pt" 
"S0103-90162008000200004-scl","Metabolizable protein supply according to the nrc (2001) for dairy cows grazing elephant grass","Voltolini, Tadeu Vinhas, Santos, Flávio Augusto Portela, Martinez, Junio Cesar, Imaizumi, Hugo, Pires, Alexandre Vaz, Penati, Marco Antonio","Scientia Agricola; 65(2); 130-138","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200004&lang=pt" 
"S0103-90162008000200006-scl","Carrot seed germination and vigor in response to temperature and umbel orders","Pereira, Roseane Sousa, Nascimento, Warley Marcos, Vieira, Jairo Vidal","Scientia Agricola; 65(2); 145-150","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200006&lang=pt" 
"S0103-90162008000200009-scl","Addition of proteic nitrogen during alcoholic fermentation for the production of cachaça","Jeronimo, Elisangela Marques, Oliveira, Evelyn de Souza, Souza, Elson Luíz Rocha, Silva, Marcelo de Almeida, Serra, Gil Eduardo","Scientia Agricola; 65(2); 161-168","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200009&lang=pt" 
"S0103-90162008000200010-scl","Colour and texture profiles of boneless reestructured dry-cured hams compared to traditional hams","Costa, Marcela de Rezende, Bergamin Filho, Walter, Silveira, Expedito Tadeu Facco, Felício, Pedro Eduardo de","Scientia Agricola; 65(2); 169-173","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200010&lang=pt" 
"S0103-90162008000200011-scl","Quantitative variation in the tropical maize population, ESALQ-PB1","Andrade, João Antonio da Costa, Miranda Filho, José Branco de","Scientia Agricola; 65(2); 174-182","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200011&lang=pt" 
"S0103-90162008000200012-scl","Protection between strains of Papaya ringspot virus: type w in zucchini squash involves competition for viral replication sites","Freitas, Débora Maria Sansini, Rezende, Jorge Alberto Marques","Scientia Agricola; 65(2); 183-189","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200012&lang=pt" 
"S0103-90162008000200013-scl","Liming and Ionic speciation of an Oxisol under no-till system","Zambrosi, Fernando Cesar Bachiega, Alleoni, Luís Reynaldo Ferracciú, Caires, Eduardo Fávero","Scientia Agricola; 65(2); 190-203","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200013&lang=pt" 
"S1413-81232008000700017-spa","Labelling of household products and prevention of unintentional poisoning","Presgrave, Rosaura de Farias, Alves, Eloisa Nunes, Camacho, Luiz Antônio Bastos, Bôas, Maria Helena Simões Villas","Ciência &amp; Saúde Coletiva; 13(); 683-688","Ciência &amp; Saúde Coletiva","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700017&lang=pt" 
"S1413-81232008000700002-spa","Farmacêutico: profissional de saúde e cidadão","Rozenfeld, Suely","Ciência &amp; Saúde Coletiva; 13(); 561-568","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700002&lang=pt" 
"S1413-81232008000700002-scl","Farmacêutico: profissional de saúde e cidadão","Rozenfeld, Suely","Ciência &amp; Saúde Coletiva; 13(); 561-568","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700002&lang=pt" 
"S1415-54192008000200006-scl","Alterações cefalométricas presentes em crianças e adolescentes com desordens da ATM nas diferentes classificações sagitais de má oclusão","Bastos, Leticia Vilaça Willeman, Tesch, Ricardo de Souza, Denardin, Odilon Victor","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(2); 40-48","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000200006&lang=pt" 
"S1415-54192008000200008-scl","Freqüência de relatos de parafunções nos subgrupos diagnósticos de DTM de acordo com os critérios diagnósticos para pesquisa em disfunções temporomandibulares (RDC/TMD)","Branco, Raquel Stumpf, Branco, Carla Stumpf, Tesch, Ricardo de Souza, Rapoport, Abrão","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(2); 61-69","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000200008&lang=pt" 
"S1415-54192008000200009-scl","Prevalência de más oclusões na primeira infância e sua relação com as formas de aleitamento e hábitos infantis","Gimenez, Carla Maria Melleiro, Moraes, Antonio Bento Alves de, Bertoz, André Pinheiro, Bertoz, Francisco Antonio, Ambrosano, Gláucia Bovi","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(2); 70-83","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000200009&lang=pt" 
"S1415-54192008000200011-scl","Avaliação pelo índice PAR dos resultados do tratamento ortodôntico da má oclusão de Classe I tratada com extrações","Freitas, Karina Maria Salvatore de, Freitas, Marcos Roberto de, Janson, Guilherme, Henriques, José Fernando Castanha, Pinzan, Arnaldo","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(2); 94-104","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000200011&lang=pt" 
"S1415-54192008000200012-scl","Alterações dentoesqueléticas e do perfil facial em pacientes tratados ortodonticamente com extração de quatro primeiros pré-molares","Oliveira, Giovani Fidelis de, Almeida, Marcio Rodrigues de, Almeida, Renato Rodrigues de, Ramos, Adilson Luiz","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(2); 105-114","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000200012&lang=pt" 
"S1415-54192008000200013-scl","O efeito da retração dos dentes anteriores sobre o ponto A em pacientes submetidos ao tratamento ortodôntico corretivo","Li An, Tien, Cuoghi, Osmar Aparecido, Mendonça, Marcos Rogério de, Bertoz, Francisco Antonio","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(2); 115-123","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000200013&lang=pt" 
"S1415-54192008000200017-scl","Mordida cruzada posterior: uma classificação mais didática","Locks, Arno, Weissheimer, André, Ritter, Daltro Enéas, Ribeiro, Gerson Luiz Ulema, Menezes, Luciane Macedo de, Derech, Carla D’Agostini, Rocha, Roberto","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(2); 146-158","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000200017&lang=pt" 
"S0034-89102008000200011-spa","Intervenção religiosa na recuperação de dependentes de drogas","Sanchez, Zila van der Meer, Nappo, Solange Aparecida","Revista de Saúde Pública; 42(2); 265-272","Revista de Saúde Pública","Inglês, Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102008000200011&lang=pt" 
