"S1516-05722016000100168-scl","Técnicas de conservação pós-colheita para o manjericão","TEIXEIRA, D.A., GOMES, J.A.O., BONFIM, F.P.G., PARDO, P.I., MAYOBRE, M.T.","Revista Brasileira de Plantas Medicinais; 18(1); 168-171","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100168&lang=pt" 
"S1518-70122016000100022-scl","Evolução setorial do emprego nas regiões chilenas no período de 2007-2009","Cardozo, Daniela Peres, Oliveira, Gilson Batista de","Interações (Campo Grande); 17(1); 22-32","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100022&lang=pt" 
"S1021-20192016000100007-sza","The effects of lubricant and tendon mass variances on the coefficient of friction in unbonded post-tensioning tendons","Dundu, M, Ward, M","Journal of the South African Institution of Civil Engineering; 58(1); 62-65","Journal of the South African Institution of Civil Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192016000100007&lang=pt" 
"S1518-70122016000100077-scl","Cadeias produtivas sustentáveis no desenvolvimento territorial: a castanha na Bolívia e no Acre, Brasil","Brose, Markus Erwin","Interações (Campo Grande); 17(1); 77-86","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100077&lang=pt" 
"S1021-20192016000100004-sza","Disintegration of concrete construction induced by acid mine drainage attack","Ekolu, S O, Diop, S, Azene, F, Mkhize, N","Journal of the South African Institution of Civil Engineering; 58(1); 34-42","Journal of the South African Institution of Civil Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192016000100004&lang=pt" 
"S0041-47512016000100001-sza","Spesiale tema oor Afrikaanse werkwoorde en werkwoordkonstruksies","van Rooy, Bertus","Tydskrif vir Geesteswetenskappe; 56(1); 01-06","Tydskrif vir Geesteswetenskappe","Africaner","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512016000100001&lang=pt" 
"S1646-69182016000100007-prt","A importância das bases de dados na gestão do conhecimento em saúde","Rama, Nuno José, Pimentel, João Manuel Paiva, Raposo, Vitor","Revista Portuguesa de Cirurgia; (36); 39-41","Revista Portuguesa de Cirurgia","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182016000100007&lang=pt" 
"S1646-69182016000100003-prt","Avaliação da performance cirúrgica pelo P-POSSUM em doentes com cancro gástrico: revisão de 5 anos","Bernardo, Ana Teresa, Eloi, Teresa, Amaral, Luís, Quintanilha, Rui, Melo, António Silva","Revista Portuguesa de Cirurgia; (36); 9-18","Revista Portuguesa de Cirurgia","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182016000100003&lang=pt" 
"S0101-20612016000100070-scl","Automated sugar analysis","MARQUES, Tadeu Alcides, RAMPAZO, Érick Malheiros, ZILLIANI, Rafael Rebes, MARQUES, Patricia Angélica Alves, BENINCASA, Fabio","Food Science and Technology (Campinas); 36(1); 70-75","Food Science and Technology (Campinas)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612016000100070&lang=pt" 
"S0041-47512016000100004-sza","Veranderinge in adverbiale tydsverwysing in Afrikaans van 1911 tot 2010","Kirsten, Johanita","Tydskrif vir Geesteswetenskappe; 56(1); 45-61","Tydskrif vir Geesteswetenskappe","Africaner","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512016000100004&lang=pt" 
"S0101-20612016000100140-scl","Effect of adding flours from marolo fruit (Annona crassiflora Mart) and jerivá fruit (Syagrus romanzoffiana Cham Glassm) on the physicals and sensory characteristics of food bars","SILVA, Edson Pablo da, SIQUEIRA, Heloisa Helena, DAMIANI, Clarissa, VILAS BOAS, Eduardo Valério de Barros","Food Science and Technology (Campinas); 36(1); 140-144","Food Science and Technology (Campinas)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612016000100140&lang=pt" 
"S0101-20612016000100024-scl","Microbiological and sensory evaluation of Jambu (Acmella oleracea L.) dried by cold air circulation","BARBOSA, Alan Franco, SABAA-SRUR, Dilcilene Fagundes, MAIA, José Guilherme Soares, SABAA-SRUR, Armando Ubirajara Oliveira","Food Science and Technology (Campinas); 36(1); 24-29","Food Science and Technology (Campinas)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612016000100024&lang=pt" 
"S0103-73312016000100369-spa","Reflexões sobre os conceitos de saúde e doença e suas implicações Instruções aos Colaboradores","Canesqui, Ana Maria","Physis: Revista de Saúde Coletiva; 26(1); 369-372","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100369&lang=pt" 
"S0103-73312016000100369-scl","Reflexões sobre os conceitos de saúde e doença e suas implicações Instruções aos Colaboradores","Canesqui, Ana Maria","Physis: Revista de Saúde Coletiva; 26(1); 369-372","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100369&lang=pt" 
"S0103-73312016000100357-spa","A Era da Vitalidade: uma cartografia do presente","Speroni, Angela Vasconi","Physis: Revista de Saúde Coletiva; 26(1); 357-367","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100357&lang=pt" 
"S2237-93632016000100045-scl","Gastrointestinal stromal tumor of rectum diagnosed by three-dimensional anorectal ultrasound","Ratin, Raphael Ferreira, Melão, Suelen, Lima, Doryane Maria dos Reis, Sagae, Univaldo Etsuo, Kurachi, Gustavo","Journal of Coloproctology (Rio de Janeiro); 36(1); 45-49","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100045&lang=pt" 
"S2237-93632016000100008-scl","The impact of laparoscopic surgery in colorectal cancer resection with respect to the development of liver metastasis in the long-term","Rostirolla, Renata, Fontes, Paulo, Pinho, Mauro, Pedroso, Miguel, Masuko, Tatiana, Novelli, Paula, Lima, Renato, Sampaio, José","Journal of Coloproctology (Rio de Janeiro); 36(1); 8-15","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100008&lang=pt" 
"S0103-73312016000100331-scl","Custo-efetividade do uso da tomografia de emissão de pósitrons na detecção de recorrência do câncer diferenciado de tireoide","Caetano, Rosângela, Biz, Aline Navega, Schluckebier, Luciene Fontes, Silva, Rondineli Mendes da, Braga, José Ueleres, Bastos, Cláudia Regina Garcia","Physis: Revista de Saúde Coletiva; 26(1); 331-356","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100331&lang=pt" 
"S0011-85162016000200007-sza","Forensic dentistry case book 6: A self-inflicted bite mark; a case report","Maistry, S, Phillips, V M","South African Dental Journal; 71(2); 76-77","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200007&lang=pt" 
"S0011-85162016000200006-sza","Patterns of previous tooth loss in patients presenting at five different types of dental practice","Volchansky, A, Cleaton-Jones, PE, Evans, WG, Shackleton, JL","South African Dental Journal; 71(2); 70-74","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200006&lang=pt" 
"S0011-85162016000200008-sza","Oral medicine case book 72: A rare case of Nodular Fasciitis affecting the mandibular gingiva","Wood, NH, Moodley, A","South African Dental Journal; 71(2); 78-80","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200008&lang=pt" 
"S2446-47402016000100003-scl","A system for treatment of diabetic foot ulcers using led irradiation and natural latex","Nunes, Gustavo Adolfo Marcelino de Almeida, Reis, Maria do Carmo dos, Rosa, Mário Fabrício Fleury, Peixoto, Luciana Roberta Tenório, Rocha, Adson Ferreira da, Rosa, Suélia de Siqueira Rodrigues Fleury","Research on Biomedical Engineering; 32(1); 3-13","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100003&lang=pt" 
"S2446-47402016000100044-scl","On the geometric modulation of skin lesion growth: a mathematical model for melanoma","Mendes, Ana Isabel, Nogueira, Conceição, Pereira, Jorge, Fonseca-Pinto, Rui","Research on Biomedical Engineering; 32(1); 44-54","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100044&lang=pt" 
"S2446-47402016000100014-scl","A simple approach to calculate active power of electrosurgical units","Monteiro, André Luiz Regis, Grande, Karin Cristine, Faria, Rubens Alexandre de, Schneider Junior, Bertoldo","Research on Biomedical Engineering; 32(1); 14-27","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100014&lang=pt" 
"S2446-47402016000100085-scl","Correlation between spectral and temporal mechanomyography features during functional electrical stimulation","Krueger, Eddy, Scheeren, Eduardo Mendonça, Nogueira-Neto, Guilherme Nunes, Button, Vera Lúcia da Silveira Nantes, Nohama, Percy","Research on Biomedical Engineering; 32(1); 85-91","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100085&lang=pt" 
"S2446-47402016000100055-scl","Growth rates of dynamic dermal model exposed to laminar flow and magnetic fields","Martinez, Luis Javier, Pinedo, Carlos Rafael, Gutierrez, Jose Oscar, Cadavid, Hector","Research on Biomedical Engineering; 32(1); 55-62","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100055&lang=pt" 
"S2446-47402016000100028-scl","Biomechanical performance of Bio Cross-Pin and EndoButton for ACL reconstruction at femoral side: a porcine model","Moré, Ari Digiácomo Ocampo, Pizzolatti, André Luiz Almeida, Fancello, Eduardo Alberto, Roesler, Carlos Rodrigo de Mello","Research on Biomedical Engineering; 32(1); 28-34","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100028&lang=pt" 
"S2446-47402016000100074-scl","System for open-chest, multidirectional electrical defibrillation","Viana, Marcelo Almeida, Bassani, Rosana Almada, Petrucci, Orlando, Marques, Denilson Antônio, Bassani, José Wilson Magalhães","Research on Biomedical Engineering; 32(1); 74-84","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100074&lang=pt" 
"S2446-47402016000100035-scl","A robust fully automatic lumen segmentation method for in vivo intracoronary optical coherence tomography","Macedo, Maysa Malfiza Garcia de, Takimura, Celso Kiyoshi, Lemos, Pedro Alves, Gutierrez, Marco Antonio","Research on Biomedical Engineering; 32(1); 35-43","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100035&lang=pt" 
"S0011-85162016000200003-sza","Epithelial cell rests of Malassez: From quiescent remnants to front-runners in periodontal homeostasis and regeneration. A brief review","Miniggio, HD, Raubenheimer, EJ","South African Dental Journal; 71(2); 54-57","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200003&lang=pt" 
"S0011-85162016000200004-sza","Glucocorticosteroids in the treatment of immune mediated oral diseases","Khammissa, RAG, Ballyram, R, Wood, NH, Lemmer, J, Feller, L","South African Dental Journal; 71(2); 62-67","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200004&lang=pt" 
"S0011-85162016000200005-sza","Penetration of hydrogen peroxide into the pulp chamber after conventional and laser-assisted bleaching","Omrani, LR, Taher, A, Albujeer, A, Parvin, M, Daryakenari, G, Gorgani-Firuzjaee, S, Kermanshah, Η, Chiniforush, V","South African Dental Journal; 71(2); 58-61","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200005&lang=pt" 
"S0011-85162016000200002-sza","Communique, Communique","","South African Dental Journal; 71(2); 52-53","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200002&lang=pt" 
"S2446-47402016000100001-scl","In memoriam Antonio Fernando Catelli Infantosi (1947-2016)","Nadal, Jurandir","Research on Biomedical Engineering; 32(1); 1-2","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100001&lang=pt" 
"S0011-85162016000200011-sza","What&#039;s new for the clinician? Summaries of and excerpts from recently published papers","Yengopal, V","South African Dental Journal; 71(2); 86-89","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200011&lang=pt" 
"S0011-85162016000200010-sza","Referrals - practitioner, patient &amp; specialist obligations","Naidoo, S","South African Dental Journal; 71(2); 82-84","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200010&lang=pt" 
"S0011-85162016000200001-sza","Continuous growth","Evans, WG","South African Dental Journal; 71(2); 50-50","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200001&lang=pt" 
"S0011-85162016000200009-sza","Maxillo-facial radiology case 138","Nortjé, CJ","South African Dental Journal; 71(2); 81-81","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000200009&lang=pt" 
"S2446-47402016000100063-scl","A digital approach for design and fabrication by rapid prototyping of orthosis for developmental dysplasia of the hip","Munhoz, Rodrigo, Moraes, Cícero André da Costa, Tanaka, Harki, Kunkel, Maria Elizete","Research on Biomedical Engineering; 32(1); 63-73","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100063&lang=pt" 
"S2446-47402016000100092-scl","Polymer-based surface plasmon resonance biochip: construction and experimental aspects","Moreira, Cleumar da Silva, Oliveira, Leiva Casemiro, Fischer, Robert, Medeiros, Eliton Souto, Lima, Antonio Marcus Nogueira, Neff, Helmut","Research on Biomedical Engineering; 32(1); 92-103","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000100092&lang=pt" 
"S2011-75822016000100005-col","Aclaramiento de lactato como factor pronóstico en pacientes con traumatismo penetrante: Revisión sistemática de la literatura","González, Mercedes, Morales, Carlos Hernando, Sanabria, Álvaro","Revista Colombiana de Cirugía; 31(1); 34-43","Revista Colombiana de Cirugía","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822016000100005&lang=pt" 
"S2011-75822016000100002-col","Guías de práctica clínica Asociación Colombiana de Cirugía","Guevara, Óscar A.","Revista Colombiana de Cirugía; 31(1); 12-16","Revista Colombiana de Cirugía","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822016000100002&lang=pt" 
"S2011-75822016000100008-col","Tumor mucoso apendicular","Ángeles, Pedro Diego, Vega, Ximena, Palacios, José","Revista Colombiana de Cirugía; 31(1); 57-60","Revista Colombiana de Cirugía","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822016000100008&lang=pt" 
"S2011-75822016000100009-col","Obstrucción intestinal parcial producida por mucocele apendicular con fístula a íleon proximal","Ensuncho, Cesar, Osorio, Carlos, Marrugo, Ángela, Herrera, Francisco","Revista Colombiana de Cirugía; 31(1); 61-64","Revista Colombiana de Cirugía","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822016000100009&lang=pt" 
"S0104-530X2016000100037-scl","Identificação dos motivadores de alterações de produto e seus impactos financeiros no desempenho do PDP: um estudo em uma empresa montadora de medidores de energia elétrica","Fiedler, Raphael, Kampa, Josmael Roberto","Gestão &amp; Produção; 23(1); 37-47","Gestão &amp; Produção","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2016000100037&lang=pt" 
"S1688-12492016000100007-ury","Síndrome de hipersensibilidad a anticonvulsivantes: Descripción de tres casos clínicos","Pietrafesa, Damian, Vomero, Alejandra, Giachetto, Gustavo","Archivos de Pediatría del Uruguay; 87(1); 38-43","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100007&lang=pt" 
"S1688-12492016000100004-ury","Modelo estadístico para predecir el puntaje de desarrollo psicomotor de niños de 4 a 5 años de edad en función del nivel socioeconómico: Proposal of a statistical model to predict the score of psychomotor development of children 4 to 5 years according to socioeconomic level","Leiva, Marcelo, Valdés, Marcelo","Archivos de Pediatría del Uruguay; 87(1); 22-27","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100004&lang=pt" 
"S1688-12492016000100005-ury","Lupus eritematoso neonatal: reporte de un caso","Dorado, Natalia, Mastandrea, Gastón, Magliano, Julio, Matelzonas, Tamy","Archivos de Pediatría del Uruguay; 87(1); 28-32","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100005&lang=pt" 
"S1688-12492016000100008-ury","Síndrome de Gradenigo: una complicación poco frecuente de la otitis media aguda","Methol, Guillermina, García, Loreley, Giachetto, Gustavo","Archivos de Pediatría del Uruguay; 87(1); 44-48","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100008&lang=pt" 
"S1688-12492016000100002-ury","Hospitalizaciones por IRAB de probable etiología viral en niños durante el año 2012: estrategia asistencial","Machado, Karina, Pérez, Walter, Pírez, Catalina, Stoll, Marina","Archivos de Pediatría del Uruguay; 87(1); 5-11","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100002&lang=pt" 
"S1688-12492016000100009-ury","Chagas en Uruguay, 1937-2016: Información básica para su prevención, control y atención","Salvatella, Roberto","Archivos de Pediatría del Uruguay; 87(1); 49-52","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100009&lang=pt" 
"S1688-12492016000100006-ury","Ascaris lumbricoides: una causa de pancreatitis aguda","Marmo, Gastón, Vaccaro, Carla, Kohn, Guillermo","Archivos de Pediatría del Uruguay; 87(1); 33-37","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100006&lang=pt" 
"S1688-12492016000100003-ury","Correlación clínico patológica y evolución de la nefropatía lúpica en niños y adolescentes","Caggiani, Marina, Halty, Margarita, Delfino, Laura","Archivos de Pediatría del Uruguay; 87(1); 12-20","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100003&lang=pt" 
"S1688-12492016000100010-ury","Zika y zikafobia: una página en construcción","González, Sebastián","Archivos de Pediatría del Uruguay; 87(1); 53-61","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100010&lang=pt" 
"S1688-12492016000100001-ury","Dengue: el rol del pediatra en esta nueva enfermedad. Situación epidemiológica, impacto y medidas preventivas","Quian, Jorge","Archivos de Pediatría del Uruguay; 87(1); 3-4","Archivos de Pediatría del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492016000100001&lang=pt" 
"S0103-73312016000100251-spa","Sujeitos e(m) experiências: estratégias micropolíticas no contexto da reforma psiquiátrica no Brasil","Andrade, Ana Paula Müller de, Maluf, Sônia Weidner","Physis: Revista de Saúde Coletiva; 26(1); 251-270","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100251&lang=pt" 
"S0103-73312016000100087-spa","Acesso aos cuidados primários de saúde: revisão integrativa","Rocha, Suelen Alves, Bocchi, Silvia Cristina Mangini, Godoy, Moacir Fernandes de","Physis: Revista de Saúde Coletiva; 26(1); 87-111","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100087&lang=pt" 
"S0103-73312016000100157-spa","Sentidos da participação social na saúde para lideranças comunitárias e profissionais da Estratégia Saúde da Família do território de Vila União, em Sobral-CE","Lima, Fabiana Araújo, Galimbertti, Percy Antonio","Physis: Revista de Saúde Coletiva; 26(1); 157-175","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100157&lang=pt" 
"S1413-65382016000100093-scl","Ensino de Futsal para Pessoas com Deficiência Intelectual1","JOAQUIM, Érica Roberta, DANTAS, Luiz Eduardo Pinto Basto Tourinho","Revista Brasileira de Educação Especial; 22(1); 93-110","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100093&lang=pt" 
"S0103-73312016000100271-scl","Dilemas e vicissitudes de famílias em situação de vulnerabilidade social no contexto da desinstitucionalização psiquiátrica","Gomes, Tarcisa Bezerra, Santos, João Bosco Feitosa dos","Physis: Revista de Saúde Coletiva; 26(1); 271-287","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100271&lang=pt" 
"S0103-73312016000100045-spa","Percurso do idoso em redes de atenção à saúde: um elo a ser construído","Santos, Carla Targino Bruno dos, Andrade, Luiz Odorico Monteiro de, Silva, Maria Josefina, Sousa, Maria Fátima de","Physis: Revista de Saúde Coletiva; 26(1); 45-62","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100045&lang=pt" 
"S1413-65382016000100027-scl","O Caminho da Escola para os Estudantes com Deficiência: o Transporte Escolar Acessível no Plano Viver sem Limite1","RIBEIRO, Andreia Couto, TENTES, Vanessa Teresinha Alves","Revista Brasileira de Educação Especial; 22(1); 27-38","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100027&lang=pt" 
"S0103-73312016000100113-spa","Atenção integral à hipertensão arterial e diabetes mellitus: implementação da Linha de Cuidado em uma Região de Saúde do estado de São Paulo, Brasil","Venancio, Sonia Isoyama, Rosa, Tereza Etsuko da Costa, Bersusa, Ana Aparecida Sanches","Physis: Revista de Saúde Coletiva; 26(1); 113-135","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100113&lang=pt" 
"S0103-73312016000100137-spa","Subjetividade e afeto em Zizek e Johnston: controvérsias em torno da relação psicanálise-neurociências","Gama, Jairo de Almeida","Physis: Revista de Saúde Coletiva; 26(1); 137-156","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100137&lang=pt" 
"S0103-73312016000100063-spa","O processo de construção da Fundação Estatal Saúde da Família da Bahia","Cavalcante Filho, João Batista, Franco, Túlio Batista","Physis: Revista de Saúde Coletiva; 26(1); 63-86","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100063&lang=pt" 
"S1413-65382016000100079-scl","História de Vida de Líderes Surdos: um Estudo a Partir da sua Trajetória em Movimentos Sociais1","VASCONCELOS, Norma Abreu e Lima Maciel de Lemos, SERRANO, Elsie Alejandrina Pérez, MENDES, Enicéia Gonçalves, CAMPOS, Juliane Aparecida de Paula Perez","Revista Brasileira de Educação Especial; 22(1); 79-92","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100079&lang=pt" 
"S1413-65382016000100065-scl","A Representação Cultural da Deficiência nos Discursos Midiáticos do Portal do Professor do MEC1","OLIVEIRA, Ana Flávia Teodoro de Mendonça, ARAÚJO, Clarissa Martins de","Revista Brasileira de Educação Especial; 22(1); 65-78","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100065&lang=pt" 
"S0103-73312016000100137-scl","Subjetividade e afeto em Zizek e Johnston: controvérsias em torno da relação psicanálise-neurociências","Gama, Jairo de Almeida","Physis: Revista de Saúde Coletiva; 26(1); 137-156","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73312016000100137&lang=pt" 
"S2237-93632016000100050-scl","Jejunal diverticulitis as a cause of acute abdomen","Cantão, Cássio Alfred Brattig, Feitosa, Marley Ribeiro, Godinho, Maurício, Scarpelini, Sandro, Féres, Omar, Rocha, José Joaquim Ribeiro da","Journal of Coloproctology (Rio de Janeiro); 36(1); 50-52","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100050&lang=pt" 
"S0103-73312016000100011-spa","Zika and Microcephaly: can we learn from history?","Löwy, Ilana","Physis: Revista de Saúde Coletiva; 26(1); 11-21","Physis: Revista de Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100011&lang=pt" 
"S2237-93632016000100016-scl","Evaluation of the inflammatory response induced by different materials in the treatment of perianal fistulas: experimental study in rats","Galvão, Mariana Ocampos, Santos, Carlos Henrique Marques dos, Falcão, Gustavo Ribeiro","Journal of Coloproctology (Rio de Janeiro); 36(1); 16-20","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100016&lang=pt" 
"S2237-93632016000100001-scl","Confocal laser endomicroscopy in inflammatory bowel diseases: future, reality or dream?","Lins Neto, Manoel Alvaro, Almeida, Eliana Silva de","Journal of Coloproctology (Rio de Janeiro); 36(1); 1-3","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100001&lang=pt" 
"S0103-73312016000100271-spa","Dilemas e vicissitudes de famílias em situação de vulnerabilidade social no contexto da desinstitucionalização psiquiátrica","Gomes, Tarcisa Bezerra, Santos, João Bosco Feitosa dos","Physis: Revista de Saúde Coletiva; 26(1); 271-287","Physis: Revista de Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312016000100271&lang=pt" 
"S2237-93632016000100040-scl","Using amniotic membrane for anal sphincter repair in animal model","Izadpanah, Ahmad, Rezazadehkermani, Mohammad, Ghaderi, Mohammadali, Rahimikazerooni, Salar, Safarpour, Alireza, Homayouni, Kaynoosh, Mokhtari, Maral, Bananzadeh, Alimohammad","Journal of Coloproctology (Rio de Janeiro); 36(1); 40-44","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000100040&lang=pt" 
"S1413-65382016000100125-scl","Características e Tendências das Teses em Educação Especial Desenvolvidas nos Programas de Pós-Graduação em Educação do Estado de São Paulo1","SILVA, Régis Henrique dos Reis","Revista Brasileira de Educação Especial; 22(1); 125-144","Revista Brasileira de Educação Especial","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382016000100125&lang=pt" 
