"S1414-32832011000400014-spa","Formação do psicólogo para a saúde mental: a psicologia piauiense em análise","Macedo, João Paulo, Dimenstein, Magda","Interface - Comunicação, Saúde, Educação; 15(39); 1145-1158","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400014&lang=pt" 
"S1852-73102011000200002-arg","Algunas consideraciones acerca de la validez del Método de Estudio de la Intersubjetividad en el Relato (MEIR)","Losinno, Horacio R.","Subjetividad y procesos cognitivos; 15(2); 27-52","Subjetividad y procesos cognitivos","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73102011000200002&lang=pt" 
"S1852-73102011000200003-arg","Sobre la unidad de análisis para el estudio de los deseos en los actos del habla con el Algoritmo David Liberman (ADL)","Maldavsky, David, Scilletta, Delia, Perez Zambón, Silvina, Argibay, Juan Carlos","Subjetividad y procesos cognitivos; 15(2); 53-82","Subjetividad y procesos cognitivos","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73102011000200003&lang=pt" 
"S1852-73102011000200004-arg","Confiabilidad y validez de los instrumentos de evaluación neuropsicológica","Romero, Ester","Subjetividad y procesos cognitivos; 15(2); 83-92","Subjetividad y procesos cognitivos","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73102011000200004&lang=pt" 
"S1852-73102011000200005-arg","Consideraciones acerca de la confiabilidad y validez en las técnicas proyectivas","Sneiderman, Susana","Subjetividad y procesos cognitivos; 15(2); 93-110","Subjetividad y procesos cognitivos","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73102011000200005&lang=pt" 
"S1852-73102011000200006-arg","Escala de Interacción Triádica Precoz (EITP): Cuestiones relativas a su confiabilidad y validez","Stoppiello, Luis Alberto","Subjetividad y procesos cognitivos; 15(2); 111-132","Subjetividad y procesos cognitivos","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73102011000200006&lang=pt" 
"S1415-43662011001200005-scl","Folha diagnótica para avaliação do estado nutricional do feijoeiro","Souza, Henrique A. de, Hernandes, Amanda, Romualdo, Liliane M., Rozane, Danilo E., Natale, William, Barbosa, José C.","Revista Brasileira de Engenharia Agrícola e Ambiental; 15(12); 1243-1250","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662011001200005&lang=pt" 
"S1415-43662011001200012-scl","Uso da matéria orgânica como mitigadora de solo multicontaminado e do girassol como fitoextratora","Gabos, Mariana B., Casagrande, Giseli, Abreu, Cleide A., Paz-Ferreiro, Jorge","Revista Brasileira de Engenharia Agrícola e Ambiental; 15(12); 1298-1306","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662011001200012&lang=pt" 
"S0001-37652011000400008-scl","A diachronic view of the net longshore sediment drift during the Late Holocene at the Jequitinhonha River delta, Brazil, using numerical modeling","Bittencourt, Abilio C.S.P., Dominguez, José M.L., Tanajura, Clemente A.S., Silva, Iracema R., Martin, Louis","Anais da Academia Brasileira de Ciências; 83(4); 1207-1220","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400008&lang=pt" 
"S0001-37652011000400004-scl","Chemical composition fluctuations in roots of Plumbago scandens L. in relation to floral development","Paiva, Selma R., Lima, Lucilene A., Figueiredo, Maria Raquel, Kaplan, Maria Auxiliadora C.","Anais da Academia Brasileira de Ciências; 83(4); 1165-1170","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400004&lang=pt" 
"S0001-37652011000400006-scl","A new genus of dipnoiformes from the Cretaceous of Brazil","Toledo, Carlos E.V., Sousa, Eliane P. de, Medeiros, Manuel A.A., Bertini, Reinaldo J.","Anais da Academia Brasileira de Ciências; 83(4); 1181-1192","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400006&lang=pt" 
"S0001-37652011000400010-scl","Modeling radiative transfer in tropical rainforest canopies: sensitivity of simulated albedo to canopy architectural and optical parameters","Yanagi, Sílvia N. M., Costa, Marcos H.","Anais da Academia Brasileira de Ciências; 83(4); 1231-1242","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400010&lang=pt" 
"S0001-37652011000400011-scl","A new ctenochasmatid pterosaur from the Lower Cretaceous, western Liaoning, China","Jiang, Shunxing, Wang, Xiaolin","Anais da Academia Brasileira de Ciências; 83(4); 1243-1249","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400011&lang=pt" 
"S0001-37652011000400016-scl","Economic valuation of the Emas waterfall, Mogi-Guaçu River, SP, Brazil","Peixer, Janice, Giacomini, Henrique C., Petrere Jr, Miguel","Anais da Academia Brasileira de Ciências; 83(4); 1287-1302","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400016&lang=pt" 
"S0001-37652011000400018-scl","Phytoplankton abundance, dominance and coexistence in an eutrophic reservoir in the state of Pernambuco, Northeast Brazil","Lira, Giulliari A. S. T., Araújo, Elcida L., Bittencourt-Oliveira, Maria Do Carmo, Moura, Ariadne N.","Anais da Academia Brasileira de Ciências; 83(4); 1313-1326","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400018&lang=pt" 
"S0001-37652011000400020-scl","Caring about medullary anesthesia in Saimiri sciureus: the conus medullaris topography","Lima, Ana R., Fioretto, emerson T., Fontes, Rodrigo F., Imbeloni, Aline A., Muniz, José A. P. C., Branco, Érrika","Anais da Academia Brasileira de Ciências; 83(4); 1339-1344","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400020&lang=pt" 
"S0001-37652011000400021-scl","Pampean lizard assemblage from subtropical Brazil: a temporal analysis","Winck, Gisele R., Santos, Tiago G. Dos, Cechin, Sonia Z.","Anais da Academia Brasileira de Ciências; 83(4); 1345-1358","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400021&lang=pt" 
"S0001-37652011000400023-scl","Treatment of fear memories: interactions between extinction and reconsolidation","Fiorenza, Natália G., Sartor, Dagieli, Myskiw, Jociane C., Izquierdo, Iván","Anais da Academia Brasileira de Ciências; 83(4); 1363-1372","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400023&lang=pt" 
"S0001-37652011000400015-scl","Growth of immature Chironomus calligraphus (Diptera, Chironomidae) in laboratory conditions","Canteiro, Rita de Cássia S.A., Albertoni, Edélti F.","Anais da Academia Brasileira de Ciências; 83(4); 1279-1286","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400015&lang=pt" 
"S0001-37652011000400029-scl","Phenotypic stability of hybrids of Gália melon in Rio Grande do Norte state, Brazil","Nunes, Glauber H.S., Santos Júnior, Haroldo, Grangeiro, Leilson C., Bezerra Neto, Francisco, Dias, Carlos T.S., Dantas, Mara S.M.","Anais da Academia Brasileira de Ciências; 83(4); 1421-1434","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400029&lang=pt" 
"S0001-37652011000400031-scl","A new analytical formulation of retention effects on particle diffusion processes","Bevilacqua, Luiz, Galeão, Augusto C.N.R., Costa, Flavio P.","Anais da Academia Brasileira de Ciências; 83(4); 1443-1464","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400031&lang=pt" 
"S0001-37652011000400007-scl","Heavy metal concentrations in soils from a remote oceanic island, Fernando de Noronha, Brazil","Oliveira, Sonia M.B. de, Pessenda, Luiz C.R., Gouveia, Suzy E.M., Favaro, Deborah I.T.","Anais da Academia Brasileira de Ciências; 83(4); 1193-1206","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400007&lang=pt" 
"S0001-37652011000400025-scl","Elastase-induced pulmonary emphysema: insights from experimental models","Antunes, Mariana A., Rocco, Patricia R.M.","Anais da Academia Brasileira de Ciências; 83(4); 1385-1396","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400025&lang=pt" 
"S0001-37652011000400012-scl","Floral biology of Tropaeolum majus L. (Tropaeolaceae) and its relation with Astylus variegatus activity (Germar 1824) (Coleoptera: Melyridae)","Silva, Maria Emilia P.F., Mussury, Rosilda M., Vieira, Maria do Carmo, Alves Junior, Valter V., Pereira, Zefa V., Scalon, Silvana P.Q.","Anais da Academia Brasileira de Ciências; 83(4); 1251-1258","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400012&lang=pt" 
"S0001-37652011000400026-scl","In vitro anti-inflammatory effects of naturally-occurring compounds from two Lauraceae plants","Coy-Barrera, Ericsson D., Cuca-Suarez, Luis E.","Anais da Academia Brasileira de Ciências; 83(4); 1397-1402","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400026&lang=pt" 
"S0001-37652011000400033-scl","Daily practices, consumption and citizenship","Mazzarino, Jane M., Morigi, Valdir J., Kaufmann, Cristine, Farias, Alessandra M.B., Fernandes, Diefersom A.","Anais da Academia Brasileira de Ciências; 83(4); 1481-1492","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400033&lang=pt" 
"S0004-28032011000400005-scl","Endoscopic mucosal resection in colorectal lesion: a safe and effective procedure even in lesions larger than 2 cm and in carcinomas","Santos, Carlos Eduardo Oliveira dos, Malaman, Daniele, Pereira-Lima, Julio Carlos","Arquivos de Gastroenterologia; 48(4); 242-247","Arquivos de Gastroenterologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032011000400005&lang=pt" 
"S0001-37652011000400019-scl","Cyanobacterial blooms in stratified and destratified eutrophic reservoirs in semi-arid region of Brazil","Dantas, Ênio W., Moura, Ariadne N., Bittencourt-Oliveira, Maria do Carmo","Anais da Academia Brasileira de Ciências; 83(4); 1327-1338","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000400019&lang=pt" 
"S0864-215X2011000200006-cub","Fractura de cadera y mieloma múltiple","Quesada Musa, Juan Vicente, Delgado Rifá, Eraclio","Revista Cubana de Ortopedia y Traumatología; 25(2); 159-164","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200006&lang=pt" 
"S0864-215X2011000200007-cub","Fibroma desmoplásico del hueso","Meriño Martínez, Eliovigildo, Tamayo Figueroa, Alicia, Osana Rondón García, Osana Vilma, Gómez Ríos, Sadia, Álvarez Rodríguez, Juan Carlos","Revista Cubana de Ortopedia y Traumatología; 25(2); 165-173","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200007&lang=pt" 
"S0864-215X2011000200008-cub","Hallazgo radiográfico atípico en paciente que sufre de coxalgia","Labrado Berea, Galia de la Caridad, Rondón García, Osana Vilma, Marrero Riverón, Luis Oscar, García Estrada, Elsa María, Roche Sánchez, Jorge Luis","Revista Cubana de Ortopedia y Traumatología; 25(2); 174-178","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200008&lang=pt" 
"S0864-215X2011000200009-cub","Fibrolipoma gigante de la espalda","López Pozas, Moisés, López Piloto, Orestes, Valdés Leyva, Fidel Raúl, Vilaplana Santaló, Carlos, Martínez Santana, Julio C, Escarpanter Buliés, Julio César","Revista Cubana de Ortopedia y Traumatología; 25(2); 179-187","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200009&lang=pt" 
"S0864-215X2011000200010-cub","Microfracturas por vía artroscópica en pacientes con artrosis de la rodilla","Álvarez López, Alejandro, García Lorenzo, Yenima, Puentes Álvarez, Antonio","Revista Cubana de Ortopedia y Traumatología; 25(2); 188-198","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200010&lang=pt" 
"S0864-215X2011000200001-cub","Análisis de la funcionabilidad de prótesis ortopédicas transfemorales","Olivares Miyares, Andy L, Broche Vázquez, Leonardo, Díaz Novo, Carlos, Garlobo Castillo, Leonardo, Sagaró Zamora, Roberto","Revista Cubana de Ortopedia y Traumatología; 25(2); 102-116","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200001&lang=pt" 
"S0864-215X2011000200002-cub","Síndrome de atrapamiento del nervio interóseo anterior","Cabrera Viltres, Nelson, Álvarez Placeres, Leopoldo, Román Salles Betancourt, Guido, Espinosa Tejeda, Nayibis, Bernal González, Mario de Jesús, Montes de Oca Chú, Carmen Julia","Revista Cubana de Ortopedia y Traumatología; 25(2); 117-127","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200002&lang=pt" 
"S0864-215X2011000200003-cub","Apósito biológico esterilizado con gas óxido de etileno","Jacas Torné, Manuel, Sánchez Noda, Eddy, García Mesa, Norberto, Piña Ares, Daisy","Revista Cubana de Ortopedia y Traumatología; 25(2); 128-135","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200003&lang=pt" 
"S0864-215X2011000200004-cub","Morbilidad y mortalidad por fractura de cadera","Quesada Musa, Juan Vicente, Delgado Rifá, Eraclio, Tórrez Vázquez, Diosnel, Gómez Silva, Yanet","Revista Cubana de Ortopedia y Traumatología; 25(2); 136-148","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200004&lang=pt" 
"S0864-215X2011000200005-cub","Fundamentos anatómicos de la epicondilitis lateral","Vergara-Amador, Enrique, Ardila Buitrago, Kinsthmena Andrea, Calixto, Luis Fernando","Revista Cubana de Ortopedia y Traumatología; 25(2); 149-158","Revista Cubana de Ortopedia y Traumatología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-215X2011000200005&lang=pt" 
"S0104-66322011000400001-scl","Recent trends in the modeling of cellulose hydrolysis","Sousa Jr., R., Carvalho, M. L., Giordano, R. L. C., Giordano, R. C.","Brazilian Journal of Chemical Engineering; 28(4); 545-564","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400001&lang=pt" 
"S0104-66322011000400002-scl","The inter-relationship between inoculum concentration, morphology, rheology and erythromycin productivity in submerged cultivation of Saccharopolyspora erythraea","Ghojavand, H., Bonakdarpour, B., Heydarian, S. M., Hamedi, J.","Brazilian Journal of Chemical Engineering; 28(4); 565-574","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400002&lang=pt" 
"S0104-66322011000400003-scl","Production of native flagellin from Salmonella Typhimurium in a bioreactor and purification by tangential ultrafiltration","Oliveira, B. H., Silva, M. R., Braga, C. J. M., Massis, L. M., Ferreira, L. C. S., Sbrogio-Almeida, M. E., Takagi, M.","Brazilian Journal of Chemical Engineering; 28(4); 575-584","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400003&lang=pt" 
"S0104-66322011000400004-scl","High cell density strategy for poly(3-hydroxybutyrate) production by Cupriavidus necator","Ienczak, J. L., Quines, L. K., Melo, A. A. de, Brandellero, M., Mendes, C. R., Schmidell, W., Aragão, G. M. F.","Brazilian Journal of Chemical Engineering; 28(4); 585-596","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400004&lang=pt" 
"S0104-66322011000400005-scl","Ethanol production from sorghum grains [Sorghum bicolor (L.) Moench]: evaluation of the enzymatic hydrolysis and the hydrolysate fermentability","Barcelos, C. A., Maeda, R. N., Betancur, G. J. V., Pereira Jr., N.","Brazilian Journal of Chemical Engineering; 28(4); 597-604","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400005&lang=pt" 
"S0104-66322011000400006-scl","Heterogeneous fenton process using the mineral hematite for the discolouration of a reactive dye solution","Araujo, F. V. F., Yokoyama, L., Teixeira, L. A. C., Campos, J. C.","Brazilian Journal of Chemical Engineering; 28(4); 605-616","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400006&lang=pt" 
"S0104-66322011000400007-scl","Applicability of anthraquinone-2,6-disulfonate (AQDS) to enhance colour removal in mesophilic UASB reactors treating textile wastewater","Firmino, P. I. M., Silva, M. E. R. da, Mota, F. S. B., Santos, A. B. dos","Brazilian Journal of Chemical Engineering; 28(4); 617-623","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400007&lang=pt" 
"S0104-66322011000400008-scl","Anaerobic treatment of cellulose bleach plant wastewater: chlorinated organics and genotoxicity removal","Chaparro, T. R., Pires, E. C.","Brazilian Journal of Chemical Engineering; 28(4); 625-638","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400008&lang=pt" 
"S0104-66322011000400011-scl","Recovery of hydrocarbon liquid from waste high density polyethylene by thermal pyrolysis","Kumar, Sachin, Singh, R. K.","Brazilian Journal of Chemical Engineering; 28(4); 659-667","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400011&lang=pt" 
"S0104-66322011000400012-scl","Desalination of aqueous solutions by LTA and MFI zeolite membranes using pervaporation method","Malekpour, A., Samadi-Maybodi, A., Sadati, M. R.","Brazilian Journal of Chemical Engineering; 28(4); 669-677","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400012&lang=pt" 
"S0104-66322011000400013-scl","Solubility improvement of an anthelmintic benzimidazole carbamate by association with dendrimers","Fernández, L., Sigal, E., Otero, L., Silber, J. J., Santo, M.","Brazilian Journal of Chemical Engineering; 28(4); 679-689","Brazilian Journal of Chemical Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322011000400013&lang=pt" 
"S1851-96012011000200001-arg","Presentación","Freidenber, Flavia","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200001&lang=pt" 
"S1851-96012011000200002-arg","Carreras Políticas en América Latina: Discusión teórica y ajuste de supuesto","Botero, Felipe","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200002&lang=pt" 
"S1851-96012011000200003-arg","Carreras políticas y oportunidades &quot;generizadas&quot; en la provincia de Buenos Aires, Argentina (1983-2007)","Caminotti, Mariana, Rotman, Santiago, Varetto, Carlos","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200003&lang=pt" 
"S1851-96012011000200004-arg","Profesionalización de las elites parlamentarias en Bolivia, Colombia y Perú","Cabezas Rincón, Lina María","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200004&lang=pt" 
"S1851-96012011000200005-arg","Ambición inicial: Motivaciones para iniciar una carrera política","Martínez Rosón, María del Mar","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200005&lang=pt" 
"S1851-96012011000200006-arg","Ambición política, reclutamiento de candidatos y política legislativa en Brasi","Samuel, David","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200006&lang=pt" 
"S1851-96012011000200007-arg","Estado, instituciones laborales y acción sindical en países del Mercosur frente al contexto de la crisis mundial","Caamaño, Walter J","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200007&lang=pt" 
"S1851-96012011000200008-arg","Marxismo tardío: Adorno y la persistencia de la dialéctica","Catanzaro, Gisela","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200008&lang=pt" 
"S1851-96012011000200009-arg","América Latina frente a la crisis","Sarli, Corina","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200009&lang=pt" 
"S1851-96012011000200010-arg","Democracia, agencia y estado: Teoría con intención comparativa","D&#039;Alessandro, Martín","Postdata; 16(2); -","Postdata","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-96012011000200010&lang=pt" 
"S0864-02892011000400001-cub","Concluye un año fructífero para nuestra revista","","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 365-366","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400001&lang=pt" 
"S0864-02892011000400002-cub","Algunas aplicaciones clínicas del zinc y su acción sobre el sistema inmune","de la Guardia Peña, Odalis, Ustáriz García, Catalino, García García, María de los Ángeles, Morera Barrios, Luz","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 367-381","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400002&lang=pt" 
"S0864-02892011000400003-cub","El síndrome de las plaquetas pegajosas y su diagnóstico en el laboratorio","Rodríguez Pérez, Loreta, Castillo González, Dunia","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 382-388","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400003&lang=pt" 
"S0864-02892011000400004-cub","Algunas variables clínicas y de laboratorio en pacientes adultos con leucemia mieloide crónica tratados con interferón alfa recombinante + citosina arabinósido","Espinosa Martínez, Edgardo, Díaz Durán, Carmen Virginia, Ávila Cabrera, Onel, Hernández Padrón, Carlos, Rodríguez, Luis Ramón, Izquierdo Cano, Lisset, Amor Vigil, Ana María, Lavaut Sánchez, Kalia, Espinosa Estrada, Edgardo, Wade Mateo, Maura, Estrada del Cueto, Marianela","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 389-406","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400004&lang=pt" 
"S0864-02892011000400005-cub","Aspectos diagnósticos, evolutivos y terapéuticos de la mielofibrosis primaria","Ávila Cabrera, Onel, González Albelo, Yanet, Espinosa Martínez, Edgardo, Rodríguez, Luis Ramón, Izquierdo Cano, Lissete, Espinosa Estrada, Edgardo, Bencomo Hernández, Antonio","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 407-417","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400005&lang=pt" 
"S0864-02892011000400006-cub","Capacidad neurocognitiva en niños con drepanocitosis y su relación con el valor de la hemoglobina","Martínez Triana, Raúl, Svarch, Eva, Menéndez Veitía, Andrea, Machado Almeida, Teresita, Álvarez González, Miguel Ángel","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 418-428","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400006&lang=pt" 
"S0864-02892011000400007-cub","Comparación de la actividad de 2 factores estimuladores de colonias de granulocitos de producción nacional: Hebervital y Leukocim","Socarrás Ferrer, Bertha Beatriz, Macías Abraham, Consuelo, del Valle Pérez, Lázaro, Marsán Suárez, Vianed, Vergara Castellanos, Janet, Lam Díaz, Rosa María, González Iglesias, Ana Iris, Matamoros, María de los Angeles, Infante Cristiá, Ena, Guerra Segura, Osmel, Mulens Arias, Vladimir, Hernández Ramírez, Porfírio","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 429-434","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400007&lang=pt" 
"S0864-02892011000400008-cub","Síndrome Beguez-Chediak-Higashi. Comunicación de un nuevo caso en Cuba","Machín García, Sergio, Svarch, Eva, González Otero, Alejandro, Menéndez Veitía, Andrea, Hernández Cabezas, Ania, Serrano Mirabal, Jesús, Arencibia Núñez, Alberto, Gutiérrez Díaz, Addys","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 435-444","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400008&lang=pt" 
"S0864-02892011000400009-cub","Trasplante celular como alternativa terapéutica en el fallo hepático. Primeras experiencias del Centro de Investigaciones Médicoquirúrgicas de Cuba","Abdo Cuza, Anselmo, Wilford de León, Mario, Jordán González, José, Ugarte Suárez, José, Herrera Rojas, Ana, López González, Arietel, Fuentes Céspedes, Odalys, González Piedra, Maite, Valdivia Arencibia, Julio","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 441-444","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400009&lang=pt" 
"S0864-02892011000400010-cub","Disponibilidad y seguridad de la sangre en África Subsahariana","Fernández Águila, Julio, Rivero Jiménez, René, Baptista Pocongo, Bárbara","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 445-447","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400010&lang=pt" 
"S0864-02892011000400011-cub","Resúmenes de la Jornada Científica conjunta del Instituto de Hematología e Inmunología (IHI) y el Hospital General Docente &quot;Enrique Cabrera&quot;","","Revista Cubana de Hematología, Inmunología y Hemoterapia; 27(4); 448-456","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892011000400011&lang=pt" 
