"S0188-49992016000100035-mex","Análisis costo-beneficio de la calefacción distrital en la zona central de Chile","Carrasco Vidal, Rudy, Jiménez del Río, Jorge, Mardones Poblete, Cristian","Revista internacional de contaminación ambiental; 32(1); 35-45","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100035&lang=pt" 
"S0716-97602016000100021-chl","The anti-cancerous activity of recombinant trichosanthin on prostate cancer cell PC3","Li, JinLong, Li, Hui, Zhang, ZhaoLi, Wang, NianYue, Zhang, Yong Chen","Biological Research; 49(); 1-6","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100021&lang=pt" 
"S0716-97602016000100017-chl","Shenhua Tablet inhibits mesangial cell proliferation in rats with chronic anti-Thy-1 nephritis","Geng, Wenjia, Wei, Ribao, Liu, Shuwen, Tang, Li, Zhu, Hanyu, Chen, Pu, Wu, Jie, Zhang, Xueguang, Zhu, Fei, Yin, Zhong, Chen, Xiangmei","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100017&lang=pt" 
"S0716-97602016000100020-chl","Cobalt oxide nanoparticles aggravate DNA damage and cell death in eggplant via mitochondrial swelling and NO signaling pathway","Faisal, Mohammad, Saquib, Quaiser, Alatar, Abdulrahman A., Al-Khedhairy, Abdulaziz A., Ahmed, Mukhtar, Ansari, Sabiha M., Alwathnani, Hend A., Dwivedi, Sourabh, Musarrat, Javed, Praveen, Shelly","Biological Research; 49(); 1-13","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100020&lang=pt" 
"S0716-97602016000100015-chl","A high-fat diet decreases GABA concentration in the frontal cortex and hippocampus of rats","Sandoval-Salazar, Cuauhtemoc, Ramírez-Emiliano, Joel, Trejo-Bahena, Aurora, Oviedo-Solís, Cecilia I., Solís-Ortiz, Martha Silvia","Biological Research; 49(); 1-6","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100015&lang=pt" 
"S0716-97602016000100012-chl","Effects of different water management options and fertilizer supply on photosynthesis, fluorescence parameters and water use efficiency of Prunella vulgaris seedlings","Chen, Yuhang, Liu, Li, Guo, Qiaosheng, Zhu, Zaibiao, Zhang, Lixia","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100012&lang=pt" 
"S0716-97602016000100003-chl","Identification of novel gene and pathway targets for human epilepsy treatment","Jin, Ying, Zhao, Chunzhe, Chen, Lihui, Liu, Xiangyu, Pan, Shuxiao, Ju, Dongsheng, Ma, Jing, Li, Jinying, Wei, Bo","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100003&lang=pt" 
"S0716-97602016000100002-chl","The expression of heterologous MAM-7 in Lactobacillus rhamnosus reduces its intrinsic capacity to inhibit colonization of pathogen Vibrio parahaemolyticus in vitro","Beltran, Sebastian, Munoz-Bergmann, Cristian A, Elola-Lopez, Ana, Quintana, Javiera, Segovia, Cristopher, Trombert, Annette N","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100002&lang=pt" 
"S0716-97602016000100005-chl","Reprimo as a modulator of cell migration and invasion in the MDA-MB-231 breast cancer cell line","Buchegger, Kurt, Ili, Carmen, Riquelme, Ismael, Letelier, Pablo, Corvalán, Alejandro H., Brebi, Priscilla, Huang, Tim Hui-Ming, Roa, Juan Carlos","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100005&lang=pt" 
"S0716-97602016000100004-chl","Coenzyme Q10 defects may be associated with a deficiency of Q10-independent mitochondrial respiratory chain complexes","Fragaki, Konstantina, Chaussenot, Annabelle, Benoist, Jean-François, Ait-El-Mkadem, Samira, Bannwarth, Sylvie, Rouzier, Cécile, Cochaud, Charlotte, Paquis-Flucklinger, Véronique","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100004&lang=pt" 
"S0716-97602016000100008-chl","Effects of CpG oligodeoxynucleotide 1826 on acute radiation-induced lung injury in mice","Li, Xuan, Xu, Guoxiong, Qiao, Tiankui, Yuan, Sujuan, Zhuang, Xibing","Biological Research; 49(); 1-6","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100008&lang=pt" 
"S0716-97602016000100006-chl","Soluble carbohydrate content variation in Sanionia uncinata and Polytrichastrum alpinum, two Antarctic mosses with contrasting desiccation capacities","Zúñiga-González, Paz, Zúñiga, Gustavo E, Pizarro, Marisol, Casanova-Katny, Angélica","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100006&lang=pt" 
"S0716-97602016000100001-chl","Can widely used cell type markers predict the suitability of immortalized or primary mammary epithelial cell models?","Ontsouka, Edgar Corneille, Bertschi, Janique Sabina, Huang, Xiao, Lüthi, Michael, Müller, Stefan, Albrecht, Christiane","Biological Research; 49(); 1-11","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100001&lang=pt" 
"S0716-97602016000100035-chl","Erratum to: Superoxide dismutase and catalase: tissue activities and relation with age in the long-lived species Margaritifera margaritifera","Fernández, Carlos, Ferreira, Eloísa, San Miguel, Eduardo, Fernández-Briera, Almudena","Biological Research; 49(); 1-1","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100035&lang=pt" 
"S0716-97602016000100037-chl","Growth hormone in the presence of laminin modulates interaction of human thymic epithelial cells and thymocytes in vitro","Lins, Marvin Paulo, Vieira, Larissa Fernanda de Araújo, Rosa, Alfredo Aurélio Marinho, Smaniotto, Salete","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100037&lang=pt" 
"S0716-97602016000100040-chl","Upregulation of MiR-196a promotes cell proliferation by downregulating p27kip1 in laryngeal cancer","Cheng, Jin, Yi, Zhang, Jiping, Li","Biological Research; 49(); 1-8","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100040&lang=pt" 
"S0716-97602016000100022-chl","MnSOD and GPx1 polymorphism relationship with coronary heart disease risk and severity","Souiden, Yosra, Mallouli, Hela, Meskhi, Salah, Chaabouni, Yassine, Rebai, Ahmed, Chéour, Foued, Mahdouani, Kacem","Biological Research; 49(); 1-12","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100022&lang=pt" 
"S0716-97602016000100013-chl","Carotid body (Thermoreceptors, sympathetic neural activation, and cardiometabolic disease","Iturriaga, Rodrigo, Del Rio, Rodrigo, Idiaquez, Juan, Somers, Virend K.","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100013&lang=pt" 
"S0716-97602016000100007-chl","Aged garlic extract and S-allylcysteine prevent apoptotic cell death in a chemical hypoxia model","Orozco-Ibarra, Marisol, Muñoz-Sánchez, Jorge, Zavala-Medina, Martín E, Pineda, Benjamín, Magaña-Maldonado, Roxana, Vázquez-Contreras, Edgar, Maldonado, Perla D, Pedraza-Chaverri, José, Chánez-Cárdenas, María Elena","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100007&lang=pt" 
"S0716-97602016000100009-chl","Wnt-5a-regulated miR-101b controls COX2 expression in hippocampal neurons","Codocedo, Juan Francisco, Inestrosa, Nibaldo C.","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100009&lang=pt" 
"S0716-97602016000100011-chl","Neuroethics: the pursuit of transforming medical ethics in scientific ethics","Figueroa, Gustavo","Biological Research; 49(); 1-7","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100011&lang=pt" 
"S0716-97602016000100010-chl","On cognitive ecology and the environmental factors that promote Alzheimer disease: lessons from Octodon degus (Rodentia: Octodontidae)","Rivera, Daniela S., Inestrosa, Nibaldo C., Bozinovic, Francisco","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100010&lang=pt" 
"S0716-97602016000100014-chl","Genetic variants associated with neurodegenerative Alzheimer disease in natural models","Salazar, Claudia, Valdivia, Gonzalo, Ardiles, Álvaro O., Ewer, John, Palacios, Adrian G.","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100014&lang=pt" 
"S0716-97602016000100018-chl","Antitumor and anti-angiogenic potentials of isolated crude saponins and various fractions of Rumexhastatus D. Don","Ahmad, Sajjad, Ullah, Farhat, Ayaz, Muhammad, Zeb, Anwar, Ullah, Farman, Sadiq, Abdul","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100018&lang=pt" 
"S0716-97602016000100016-chl","Schizophrenia and reelin: a model based on prenatal stress to study epigenetics, brain development and behavior","Negrón-Oyarzo, Ignacio, Lara-Vásquez, Ariel, Palacios-García, Ismael, Fuentealba, Pablo, Aboitiz, Francisco","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100016&lang=pt" 
"S0716-97602016000100024-chl","Salinity-induced changes in the morphology and major mineral nutrient composition of purslane (Portulaca oleracea L.) accessions","Alam, Md. Amirul, Juraimi, Abdul Shukor, Rafii, M. Y., Hamid, Azizah Abdul, Aslani, Farzad, Hakim, M. A.","Biological Research; 49(); 1-19","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100024&lang=pt" 
"S0716-97602016000100027-chl","Novel identification and characterisation of Transient receptor potential melastatin 3 ion channels on Natural Killer cells and B lymphocytes: effects on cell signalling in Chronic fatigue syndrome/Myalgic encephalomyelitis patients","Nguyen, T., Staines, D., Nilius, B., Smith, P., Marshall-Gradisnik, S.","Biological Research; 49(); 1-8","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100027&lang=pt" 
"S0716-97602016000100030-chl","The antioxidative defense system is involved in the premature senescence in transgenic tobacco (Nicotiana tabacum NC89)","Liu, Yu, Wang, Lu, Liu, Heng, Zhao, Rongrong, Liu, Bin, Fu, Quanjuan, Zhang, Yuanhu","Biological Research; 49(); 1-5","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100030&lang=pt" 
"S0716-97602016000100031-chl","50 years of amino acid hydrophobicity scales: revisiting the capacity for peptide classification","Simm, Stefan, Einloft, Jens, Mirus, Oliver, Schleiff, Enrico","Biological Research; 49(); 1-19","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100031&lang=pt" 
"S0716-97602016000100033-chl","Galectin-8 promotes migration and proliferation and prevents apoptosis in U87 glioblastoma cells","Metz, Claudia, Döger, Remziye, Riquelme, Elizabeth, Cortés, Priscilla, Holmes, Christopher, Shaughnessy, Ronan, Oyanadel, Claudia, Grabowski, Catalina, González, Alfonso, Soza, Andrea","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100033&lang=pt" 
"S0716-97602016000100034-chl","Conserved genes and pathways in primary human fibroblast strains undergoing replicative and radiation induced senescence","Marthandan, Shiva, Menzel, Uwe, Priebe, Steffen, Groth, Marco, Guthke, Reinhard, Platzer, Matthias, Hemmerich, Peter, Kaether, Christoph, Diekmann, Stephan","Biological Research; 49(); 1-16","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100034&lang=pt" 
"S0716-97602016000100038-chl","Potential role of marine algae extract on 3T3-L1 cell proliferation and differentiation: an in vitro approach","Ilavenil, Soundharrajan, Kim, Da Hye, Vijayakumar, Mayakrishnan, Srigopalram, Srisesharam, Roh, Sang Gun, Arasu, Mariadhas Valan, Lee, Jong Suk, Choi, Ki Choon","Biological Research; 49(); 1-11","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100038&lang=pt" 
"S1516-89132016000100604-scl","Genetic Engineering In BioButanol Production And Tolerance","Rao, Ashok, Sathiavelu, A., Mythili, S.","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100604&lang=pt" 
"S1516-89132016000100350-scl","Bacterial Diversity in the Digestive Tracts of Four Indian Air-Breathing Fish Species Investigated by PCR Based Denaturing Gradient Gel Electrophoresis","He, Suxu, Zhou, Zhigang, Banerjee, Goutam, Huang, Lu, Ray, Arun Kumar, Ringø, Einar","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100350&lang=pt" 
"S1516-89132016000100432-scl","Evaluation of Genetic Diversity amongthe Pakistani Wheat (Triticumaestivum L.) Lines through Random Molecular Markers","Zeshan, Ali, Afzal, Muhammad, Alghamdi, Salem S., Kettener, Karien, Ali, Mubashar, Mubushar, Muhammad, Ahmad, Shakeel","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100432&lang=pt" 
"S1516-89132016000100433-scl","Endophytic Microbiota Associated with the Root Tips and Leaves of Baccharis dracunculifolia","Santana, Raiana S. M., Fernandes, G. W., Ávila, Marcelo P., Reis, Mariana P., Araújo, Flávio M. G. de, Salim, Anna C. M., Oliveira, Guilherme, Chartone-Souza, Edmar, Nascimento, Andréa M. A.","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100433&lang=pt" 
"S1516-89132016000100435-scl","Effects of Arbuscular Mycorrhiza on Osmotic Adjustment and Photosynthetic Physiology of Maize Seedlings in Black Soils Region of Northeast China","Xu, Hongwen, Lu, Yan, Zhu, Xiancan","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100435&lang=pt" 
"S1516-44462016005061983-scl","Postpartum depression: bipolar or unipolar? Analysis of 434 Polish postpartum women","Jaeschke, Rafał R., Dudek, Dominika, Topór-Mądry, Roman, Drozdowicz, Katarzyna, Datka, Wojciech, Siwek, Marcin, Rybakowski, Janusz","Revista Brasileira de Psiquiatria; (ahead); -","Revista Brasileira de Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462016005061983&lang=pt" 
"S0104-59702016005009101-scl","Colonial scientific-medical documentary films and the legitimization of an ideal state in post-war Spain","Tabernero, Carlos, Jiménez-Lucena, Isabel, Molero-Mesa, Jorge","História, Ciências, Saúde-Manguinhos; (ahead); -","História, Ciências, Saúde-Manguinhos","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016005009101&lang=pt" 
"S0036-46652016005000268-scl","SAND FLIES (DIPTERA: PSYCHODIDAE) IN AN ENDEMIC AREA OF LEISHMANIASIS IN AQUIDAUANA MUNICIPALITY, PANTANAL OF MATO GROSSO DO SUL , BRAZIL","FIGUEIREDO, Helen Rezende de, SANTOS, Mirella Ferreira da Cunha, CASARIL, Aline Etelvina, INFRAN, Jucelei Oliveira de Moura, RIBEIRO, Leticia Moraes, FERNANDES, Carlos Eurico dos Santos, OLIVEIRA, Alessandra Gutierrez de","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000268&lang=pt" 
"S0104-59702016005009102-scl","La discontinuidad entre lo humano y lo animal en la Historia natural de Buffon","Caponi, Gustavo","História, Ciências, Saúde-Manguinhos; (ahead); -","História, Ciências, Saúde-Manguinhos","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016005009102&lang=pt" 
"S0717-75262016000500016-chl","Interrupción inmediata versus manejo expectante luego de rotura prematura de membranas cercano al término del embarazo (ensayo PPROMT): un ensayo controlado randomizado","Valdés V, Rafael, Carvajal C, Jorge A","Revista chilena de obstetricia y ginecología; 81(5); 445-447","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500016&lang=pt" 
"S0717-75262016000500008-chl","Dehiscencia y evisceración vaginal recidivante: A propósito de un caso","Manrique Fuentes, Gador, Redondo Aguilar, Rosario, Aisa Denaroso, Leonardo Mauro, Delgado Martínez, Luis, González Acosta, Valois, Aceituno Velasco, Longinos","Revista chilena de obstetricia y ginecología; 81(5); 388-392","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500008&lang=pt" 
"S0717-75262016000500007-chl","Endometritis tuberculosa sin foco primario y dolor pélvico crónico","Navarro Santana, Beatriz, Sanz Baro, Raquel, Idrovo, Franklin, Plaza Arranz, Javier, Albi, Manuel","Revista chilena de obstetricia y ginecología; 81(5); 388-392","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500007&lang=pt" 
"S0717-75262016000500010-chl","Malformación arteriovenosa uterina: A propósito de un caso","Badía Agustí, Paloma, Tamarit Bordes, Silvia, Alcover Barrachina, Inmaculada, Tamarit Bordes, Gemma, Pérez-Moneo Pérez, Patricia, Reyes Balanzá Chancosa, María","Revista chilena de obstetricia y ginecología; 81(5); 406-410","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500010&lang=pt" 
"S0717-75262016000500014-chl","Efectos de la cirugía bariátrica en resultados perinatales","Busquets C, Maritza, Estefó A, Magdalena, Ferrero M, Mónica, Silva B, Soledad","Revista chilena de obstetricia y ginecología; 81(5); 433-438","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500014&lang=pt" 
"S0717-75262016000500015-chl","Diseño e implementación de una unidad de medicina materno fetal","Salinas P, Hugo","Revista chilena de obstetricia y ginecología; 81(5); 439-444","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500015&lang=pt" 
"S0717-75262016000500012-chl","Metástasis pulmonar de tumor de células de la granulosa como recurrencia del tumor primario después de diez años del tratamiento quirúrgico","Cerón Terán, Miguel, Mancilla Sierpe, Edgardo","Revista chilena de obstetricia y ginecología; 81(5); 421-425","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500012&lang=pt" 
"S0717-75262016000500013-chl","Preeclampsia y defecto cardiaco fetal: ¿existe una asociación? Revisión de la evidencia","Silva-Ocas, Isabel, Gálvez-Olortegui, José, Gálvez-Olortegui, Tomás, Tavara-Valladolid, Lida, Fiestas-Plucker, Germán, Chaman-Castillo, José","Revista chilena de obstetricia y ginecología; 81(5); 426-432","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500013&lang=pt" 
"S0717-75262016000500011-chl","Tuberculosis peritoneal con presentación clínica como cáncer ovárico avanzado: revisión de la literatura","Serman V, Felipe, Saavedra C, Miguel, Feldman G, Roberto, Concha P, Camila, Vitar G, Camila, Bustos P, Alma, Marín T, Gloria","Revista chilena de obstetricia y ginecología; 81(5); 411-420","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500011&lang=pt" 
"S0717-75262016000500004-chl","Desenlaces maternos, fetales y perinatales de las gestantes con diabetes en manejo con bomba de insulina en el Hospital Universitario San Ignacio","Silva H, Jaime, Buitrago F, Sandra, Gómez M, Ana, Marín C, Lisseth","Revista chilena de obstetricia y ginecología; 81(5); 367-371","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000500004&lang=pt" 
"S1678-91992016000100322-scl","Cytotoxic activity of Androctonus australis hector venom and its toxic fractions on human lung cancer cell line","Béchohra, Louisa, Laraba-Djebari, Fatima, Hammoudi-Triki, Djelila","Journal of Venomous Animals and Toxins including Tropical Diseases; 22(); -","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992016000100322&lang=pt" 
"S1678-91992016000100321-scl","Cloning, structural modelling and characterization of VesT2s, a wasp venom hyaluronidase (HAase) from Vespa tropica","Rungsa, Prapenpuksiri, Incamnoi, Paroonkorn, Sukprasert, Sophida, Uawonggul, Nunthawun, Klaynongsruang, Sompong, Daduang, Jureerut, Patramanon, Rina, Roytrakul, Sittiruk, Daduang, Sakda","Journal of Venomous Animals and Toxins including Tropical Diseases; 22(); -","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992016000100321&lang=pt" 
"S2317-64312016000100801-scl","Carta ao Editor","Andrade, Claudia Regina Furquim de","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100801&lang=pt" 
"S0301-603X2016000200012-sza","A comparison of project participants and extension officers&#039; perception regarding knowledge of production in agricultural projects in the North West Province, South Africa","Matiwane, M. B., Terblanché, S. E.","South African Journal of Agricultural Extension; 44(2); 136-146","South African Journal of Agricultural Extension","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0301-603X2016000200012&lang=pt" 
"S2225-20102016000100009-sza","Evaluating laboratory request forms submitted to haematology and blood transfusion departments at a hospital in Northwest Nigeria","Jegede, Feyisayo, Mbah, Henry A., Dakata, Ado, Gwarzo, Dalhatu H., Abdulrahman, Surajudeen A., Kuliya-Gwarzo, Aisha","African Journal of Laboratory Medicine; 5(1); 1-6","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100009&lang=pt" 
"S2225-20102016000100015-sza","The viable but non-culturable state in pathogenic Escherichia coli: A general review","Pienaar, Jennifer A., Singh, Atheesha, Barnard, Tobias G.","African Journal of Laboratory Medicine; 5(1); 1-9","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100015&lang=pt" 
"S2225-20102016000100017-sza","A review of antimicrobial resistance in East Africa","Ampaire, Lucas, Muhindo, Abraham, Orikiriza, Patrick, Mwanga-Amumpaire, Juliet, Bebell, Lisa, Boum, Yap","African Journal of Laboratory Medicine; 5(1); 1-6","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100017&lang=pt" 
"S2225-20102016000100013-sza","Development of immunohistochemistry services for cancer care in western Kenya: Implications for low- and middle-income countries","Patel, Kirtika, Matthew Strother, R., Ndiangui, Francis, Chumba, David, Jacobson, William, Dodson, Cecelia, Resnic, Murray B., Strate, Randall W., Smith, James W.","African Journal of Laboratory Medicine; 5(1); 1-7","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100013&lang=pt" 
"S2225-20102016000100019-sza","Experiential Bloom&#039;s Taxonomy learning framework for point-of-care diagnostics training of primary healthcare workers","Mashamba-Thompson, Tivani P., Sartorius, Benn, Stevens, Fred C.J., Drain, Paul K.","African Journal of Laboratory Medicine; 5(1); 1-4","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100019&lang=pt" 
"S2225-20102016000100006-sza","Real-time polymerase chain reaction optimised for hepatitis C virus detection in dried blood spots from HIV-exposed infants, KwaZulu-Natal, South Africa","Naidoo, Anneta, Parboosing, Raveen, Moodley, Pravi","African Journal of Laboratory Medicine; 5(1); 1-6","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100006&lang=pt" 
"S2225-20102016000100004-sza","Evaluation of the accuracy of the CellaVision™ DM96 in a high HIV-prevalence population in South Africa","Vaughan, Jenifer L., Loonat, Sakina, Alli, Nazeer","African Journal of Laboratory Medicine; 5(1); 1-5","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100004&lang=pt" 
"S2225-20102016000100008-sza","Molecular confirmation of Lassa fever imported into Ghana","Bonney, Joseph H.K., Nyarko, Edward O., Ohene, Sally-Ann, Amankwa, Joseph, Ametepi, Ralph K., Nimo-Paintsil, Shirley C., Sarkodie, Badu, Agbenohevi, Prince, Adjabeng, Michael, Kyei, Nicholas N.A., Bel-Nono, Samuel, Ampofo, William K.","African Journal of Laboratory Medicine; 5(1); 1-6","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100008&lang=pt" 
"S2225-20102016000100011-sza","Experimental phage therapy against haematogenous multi-drug resistant Staphylococcus aureus pneumonia in mice","Oduor, Joseph M. Ochieng&#039;, Onkoba, Nyamongo, Maloba, Fredrick, Nyachieo, Atunga","African Journal of Laboratory Medicine; 5(1); 1-7","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100011&lang=pt" 
"S0301-603X2016000200010-sza","Weak and or non-existent farmer-research-extension linkage structures, a cause for concern: the Nyanga District perspective, Zimbabwe","Nyamupangedengu, Z. S., Terblanché, S. E.","South African Journal of Agricultural Extension; 44(2); 110-120","South African Journal of Agricultural Extension","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0301-603X2016000200010&lang=pt" 
"S2225-20102016000100020-sza","The diagnostic-clinical chasm: Work in progress?","Nkengasong, John N.","African Journal of Laboratory Medicine; 5(1); 1-2","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100020&lang=pt" 
"S2225-20102016000100007-sza","The prevalence of hepatitis B virus infection in HIV-positive and HIV-negative infants: KwaZulu-Natal, South Africa","Mdlalose, Nokukhanya, Parboosing, Raveen, Moodley, Pravi","African Journal of Laboratory Medicine; 5(1); 1-5","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100007&lang=pt" 
