"S0100-204X2014000900665-scl","Biologia e tabela de vida de fertilidade do pulgão-preto em cultivares de videira","Baronio, Cléber Antonio, Andzeiewski, Simone, Cunha, Uemerson Silva da, Botton, Marcos","Pesquisa Agropecuária Brasileira; 49(9); 665-672","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900665&lang=pt" 
"S1413-65382014000300004-scl","Esportes de raquete para deficientes intelectuais leves: uma proposta fundamentada na pedagogia do esporte","Guioti, Tiago Del Tedesco, Toledo, Eliana de, Scaglia, Alcides José","Revista Brasileira de Educação Especial; 20(3); 357-370","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300004&lang=pt" 
"S1413-65382014000300003-scl","Inclusão escolar, formação de professores e a assessoria baseada em habilidades sociais educativas","Rosin-Pinola, Andréa Regina, Del Prette, Zilda Aparecida Pereira","Revista Brasileira de Educação Especial; 20(3); 341-356","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300003&lang=pt" 
"S1413-65382014000300002-scl","Reformas, relatos de vida e identidades profesionales en educación especial: una aproximación a partir de las voces de educadores especiales en Medellín (Colombia), 1965-2002","Yarza De Los Ríos, Alexander, Ramírez Ramírez, Myriam, Franco, Lina María, Vásquez, Nancy Catalina","Revista Brasileira de Educação Especial; 20(3); 325-340","Revista Brasileira de Educação Especial","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300002&lang=pt" 
"S1415-47142014000300450-scl","Dor na psicanálise - física ou psíquica?","Santos, Natália Amendola, Rudge, Ana Maria","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 450-468","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300450&lang=pt" 
"S1413-99362014000300010-scl","O bibliotecário no tratamento de dados oriundos da e-science: considerações iniciais","Costa, Maira Murrieta, Cunha, Murilo Bastos da","Perspectivas em Ciência da Informação; 19(3); 189-206","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300010&lang=pt" 
"S0366-69132014000300008-scl","Síntese e propriedades fotoluminescentes do óxido de cério dopado com magnésio","Casali, G. P., Mazzo, T., Longo, E., Muccillo, R.","Cerâmica; 60(355); 371-378","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300008&lang=pt" 
"S0366-69132014000300009-scl","Identifying spathic calcite recipe in archaeological ceramics: possibilities and limitations","Santacreu, D. A.","Cerâmica; 60(355); 379-391","Cerâmica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300009&lang=pt" 
"S0366-69132014000300005-scl","Addition of alternative materials to ceramic slabs","Nara, E. O. B., Moraes, J. A. R., Freitas, A. M. V. de, Rediske, G., Benitez, G. B.","Cerâmica; 60(355); 340-347","Cerâmica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300005&lang=pt" 
"S0366-69132014000300003-scl","Blindagens cerâmicas para aplicações balísticas: uma revisão","Silva, M. V. da, Stainer, D., Al-Qureshi, H. A., Hotza, D.","Cerâmica; 60(355); 323-331","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300003&lang=pt" 
"S0066-782X2014002100015-scl","Cylinder Mania in Valvulopathy Back to the Future","Grinberg, Max","Arquivos Brasileiros de Cardiologia; 103(3); e41-e44","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100015&lang=pt" 
"S0066-782X2014002100010-scl","Comparison of Postprandial Lipemia between Women who are on Oral Contraceptive Methods and Those who are not","Petto, Jefferson, Vasques, Leila Monique Reis, Pinheiro, Renata Leão, Giesta, Beatriz de Almeida, Santos, Alan Carlos Nery dos, Gomes Neto, Mansueto, Ladeia, Ana Marice Teixeira","Arquivos Brasileiros de Cardiologia; 103(3); 245-250","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100010&lang=pt" 
"S0066-782X2014002100011-scl","Multimodality Imaging of Heart Valve Disease","Rajani, Ronak, Khattar, Rajdeep, Chiribiri, Amedeo, Victor, Kelly, Chambers, John","Arquivos Brasileiros de Cardiologia; 103(3); 251-263","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100011&lang=pt" 
"S0034-75232014000300001-cub","Cefalea crónica diaria por sobreconsumo de medicamentos","Olivera Leal, Irma Regla","Revista Cubana de Medicina; 53(3); 237-238","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300001&lang=pt" 
"S0034-75232014000300002-cub","Atención a pacientes con &quot;grados buenos&quot; de hemorragia subaracnoidea aneurismática en la unidad de ictus","Miranda Hernández, José Luis, Pérez Nellar, Jesús, Scherle-Matamoros, Claudio, González González, Justo, de Jongh Cobo, Enrique, Hierro García, Daniel","Revista Cubana de Medicina; 53(3); 239-253","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300002&lang=pt" 
"S0034-75232014000300003-cub","Estimación de la función renal mediante creatinina sérica y fórmulas predictivas en población litiásica cubana","González González, Elizabeth, Bacallao Méndez, Raymed Antonio, Gutiérrez García, Francisco, Mañalich Comas, Reinaldo","Revista Cubana de Medicina; 53(3); 254-265","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300003&lang=pt" 
"S0034-75232014000300005-cub","Efecto del tratamiento con extracto de propóleos rojo oral en la esteatohepatitis no alcohólica","Fernández Vega, Dayamí, Velbes Marquetti, Pedro Evelio, Nasiff Hadad, Alfredo, Domínguez Álvarez, Carlos, Soto Matos, Jossane, Giral Rivera, Teresa","Revista Cubana de Medicina; 53(3); 282-290","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300005&lang=pt" 
"S0034-75232014000300006-cub","Enfermedad renal quística adquirida y su relación con variables clínicas, demográficas y antropométricas en pacientes dialíticos","Bacallao Méndez, Raymed Antonio, Ávila Guzmán, Arturo, Salgado López, Jennie, Gutiérrez García, Francisco, Llerena Ferrer, Betsy","Revista Cubana de Medicina; 53(3); 291-299","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300006&lang=pt" 
"S0034-75232014000300007-cub","Ingestión de sodio en pacientes litiásicos y su relación con variables demográficas y nutricionales","Antonio Bacallao Méndez, Raymed, Mañalich Comas, Reinaldo, Gutiérrez García, Francisco, Llerena Ferrer, Betsy","Revista Cubana de Medicina; 53(3); 300-309","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300007&lang=pt" 
"S0034-75232014000300008-cub","Hemorragia subaracnoidea no aneurismática","Pérez Nellar, Jesús, Scherle Matamoros, Claudio, Gil Alfonso, Marialis, González González, Justo, Hierro García, Daniel","Revista Cubana de Medicina; 53(3); 310-324","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300008&lang=pt" 
"S0034-75232014000300009-cub","Tabaquismo, consumo de alcohol y de café en el espectro de los factores de riesgo para la muerte cardíaca súbita","Vilches Izquierdo, Ernesto, Ochoa Montes, Luis Alberto, Pernas Sánchez, Yanelis, González Lugo, Mileidys, Ramos Marrero, Lianne, Tamayo Vicente, Nidia Doris, Díaz Londres, Henrry","Revista Cubana de Medicina; 53(3); 325-336","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300009&lang=pt" 
"S0041-476X2014000200009-sza","&#039;Regardez la vie reprendre&#039;: Futurity in Véronique Tadjo&#039;s L&#039;Ombre d&#039;lmana / The Shadow of Imana","West-Pavlov, Russell","Tydskrif vir Letterkunde; 51(2); 114-130","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200009&lang=pt" 
"S0041-476X2014000200008-sza","Constitution Hill: Memory, ideology and utopia","Ashcroft, Bill","Tydskrif vir Letterkunde; 51(2); 94-114","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200008&lang=pt" 
"S0041-476X2014000200005-sza","South African end times: Conceiving an apocalyptic imaginary","Titlestad, Michael","Tydskrif vir Letterkunde; 51(2); 52-71","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200005&lang=pt" 
"S0041-476X2014000200004-sza","Visions of the future in the &#039;new&#039; Swahili novel: Hope in desperation?","Gromov, Mikhail","Tydskrif vir Letterkunde; 51(2); 40-52","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200004&lang=pt" 
"S0041-476X2014000200007-sza","Cultural nationalism in Mashingaidze Gomo&#039;s A Fine Madness","Makombe, Rodwell","Tydskrif vir Letterkunde; 51(2); 82-94","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200007&lang=pt" 
"S0041-476X2014000200006-sza","Wole Soyinka&#039;s dystopian/utopian vision in A Dance of the Forests","Azumurana, Solomon Omatsola","Tydskrif vir Letterkunde; 51(2); 71-81","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200006&lang=pt" 
"S0041-476X2014000200001-sza","Shadows of the past, visions of the future in African literatures and cultures","Russell, West-Pavlov","Tydskrif vir Letterkunde; 51(2); 05-08","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200001&lang=pt" 
"S0041-476X2014000200003-sza","Guilt, guns, girls and ghettos: Adjacent futures in selected post-apartheid fantasies","Brown, Molly","Tydskrif vir Letterkunde; 51(2); 28-40","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200003&lang=pt" 
"S0041-476X2014000200002-sza","Dystopian future visions in Afrikaans novels published after 1999: A relationship between past and future","Barendse, Joan-Mari","Tydskrif vir Letterkunde; 51(2); 18-28","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200002&lang=pt" 
"S0021-25712014000300001-spa","Medical education, cost and policy: what are the drivers for change?","Walsh, Kieran","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 205-206","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300001&lang=pt" 
"S0021-25712014000300014-spa","","Macrì, Simone","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 301-303","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300014&lang=pt" 
"S0021-25712014000300013-spa","Combined HLA matched limbal stem cells allograft with amniotic membrane transplantation as a prophylactic surgical procedure to prevent corneal graft rejection after penetrating keratoplasty: case report","Capozzi, Paolo, Petroni, Sergio, Buzzonetti, Luca","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 298-300","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300013&lang=pt" 
"S0021-25712014000300012-spa","The continued ageing of people with AIDS in Italy: recent trend from the national AIDS Registry","Camoni, Laura, Regine, Vincenza, Raimondo, Mariangela, Salfa, Maria Cristina, Boros, Stefano, Suligoi, Barbara","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 291-297","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300012&lang=pt" 
"S0021-25712014000300011-spa","Brain tumor stem cell dancing","Bozzuto, Giuseppina, Toccacieli, Laura, Mazzoleni, Stefania, Frustagli, Gianluca, Chistolini, Pietro, Galli, Rossella, Molinari, Agnese","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 286-290","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300011&lang=pt" 
"S0021-25712014000300010-spa","A meta-analysis of mortality data in Italian contaminated sites with industrial waste landfills or illegal dumps","Fazzo, Lucia, Minichilli, Fabrizio, Pirastu, Roberta, Bellino, Mirella, Falleni, Fabrizio, Comba, Pietro, Bianchi, Fabrizio","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 278-285","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300010&lang=pt" 
"S0021-25712014000300015-spa","","Rossi, Anna Maria","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 304-306","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300015&lang=pt" 
"S0021-25712014000300002-spa","Clinical, bioethical and experimental considerations behind the study of coma patients","Alleva, Enrico, Bonsignore, Luca Tommaso, Chiarotti, Flavia, Macrì, Simone, Petrini, Carlo","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 207-208","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300002&lang=pt" 
"S0021-25712014000300016-spa","","","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 306-306","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300016&lang=pt" 
"S0021-25712014000300004-spa","Biomedical research involving patients with disorders of consciousness: ethical and legal dimensions","Farisco, Michele, Evers, Kathinka, Petrini, Carlo","Annali dell&#039;Istituto Superiore di Sanità; 50(3); 221-228","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712014000300004&lang=pt" 
"S1983-40632014000300015-scl","Mal-do-pé do arroz: hospedeiros e resistência varietal a Gaeumannomyces graminis var. graminis","Peixoto, Cecília do Nascimento, Ottoni, Giselle Ferreira, Silva-Lobo, Valacia Lemes da, Filippi, Marta Cristina Corsi, Prabhu, Anne Sitarama","Pesquisa Agropecuária Tropical; 44(3); 318-324","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300015&lang=pt" 
"S0104-59702014010900001-scl","Os escritos do comandante do Beagle sobre o Brasil","Passetti, Gabriel","História, Ciências, Saúde-Manguinhos; 21(3); 1-4","História, Ciências, Saúde-Manguinhos","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702014010900001&lang=pt" 
"S2071-00542014000300011-cub","Síntesis guiada de soluciones acumulativas para el diseño conceptual de un fogón eficiente para biomasa","Álvarez Cabrales, Alexis, Pérez Rodríguez, Roberto, Simeón Monet, Rolando Esteban, GaskinsEspinosa, Benjamín Gabriel","Revista Ciencias Técnicas Agropecuarias; 23(3); 69-76","Revista Ciencias Técnicas Agropecuarias","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2071-00542014000300011&lang=pt" 
"S1983-40632014000300013-scl","Preferência alimentar e desenvolvimento de Cerotoma arcuata (Olivier) (Coleoptera: Chrysomelidae) em soja","Boiça Júnior, Arlindo Leal, Souza, Bruno Henrique Sardinha de, Costa, Eduardo Neves, Ferreira, Phelippe Sant&#039;Anna Honório","Pesquisa Agropecuária Tropical; 44(3); 238-245","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300013&lang=pt" 
"S1983-40632014000300005-scl","Embriogênese somática em Agave sisalana Perrine: indução, caracterização anatômica e regeneração","Carneiro, Fernando dos Santos, Queiroz, Sandra Regina de Oliveira Domingos, Passos, Adriana Rodrigues, Nascimento, Marilza Neves do, Santos, Keylla Souza dos","Pesquisa Agropecuária Tropical; 44(3); 294-303","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300005&lang=pt" 
"S1983-40632014000300004-scl","Capacidade antioxidante da própolis","De-Melo, Adriane Alexandre Machado, Matsuda, Adriana Hitomi, Freitas, Alex da Silva de, Barth, Ortrud Monika, Almeida-Muradian, Ligia Bicudo de","Pesquisa Agropecuária Tropical; 44(3); 341-348","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300004&lang=pt" 
"S2071-00542014000300007-cub","Calidad del agua del río Túnico como respuesta al uso del suelo","Robledo, José, Vanegas Chacón, Eddi Alejandro, García Álvarez, Nancy","Revista Ciencias Técnicas Agropecuarias; 23(3); 41-45","Revista Ciencias Técnicas Agropecuarias","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2071-00542014000300007&lang=pt" 
"S2071-00542014000300006-cub","Disponibilidad de metales pesados en suelos Ferralíticos con baja actividad antrópica en San José de las Lajas, Mayabeque","Reyes Rodríguez, Reinaldo, Pierre, Gina, Guridi Izquierdo, Fernando, Valdés Carmenate, Ramiro","Revista Ciencias Técnicas Agropecuarias; 23(3); 37-40","Revista Ciencias Técnicas Agropecuarias","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2071-00542014000300006&lang=pt" 
"S1415-47142014000300469-scl","Melancolia como presença real do objeto - uma abordagem lacaniana","Tenório, Fernando, Costa-Moura, Fernanda","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 469-484","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300469&lang=pt" 
"S1413-99362014000300006-scl","Atividades administrativas e produção científica dos docentes: reflexos em Programas Brasileiros de Pós-Graduação em Física","Correia, Anna Elizabeth Galvão Coutinho, Alvarenga, Lídia, Garcia, Joana Coeli Ribeiro","Perspectivas em Ciência da Informação; 19(3); 98-117","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300006&lang=pt" 
"S1413-99362014000300007-scl","Indicadores cientométricos normalizados: um estudo na produção científica brasileira internacional (1996 a 2011)","Grácio, Maria Cláudia Cabrini, Oliveira, Ely Francina Tannuri de","Perspectivas em Ciência da Informação; 19(3); 118-133","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300007&lang=pt" 
"S1413-99362014000300005-scl","Indicadores para o novo serviço público: uma análise bibliométrica e sistêmica","Santos, Paloma Maria, Selig, Paulo Maurício","Perspectivas em Ciência da Informação; 19(3); 82-97","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300005&lang=pt" 
"S1413-99362014000300002-scl","Gestão da informação e a importância do uso de fontes de informação para geração de conhecimento","Rodrigues, Charles, Blattmann, Ursula","Perspectivas em Ciência da Informação; 19(3); 4-29","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300002&lang=pt" 
"S1413-99362014000300009-scl","O comportamento no processo de busca da informação por meio das tecnologias da informação e comunicação: um estudo de caso sobre os discentes da Faculdade de Biblioteconomia no Estado do Pará","Costa, Elisângela Silva da, Pires, Erik André de Nazaré","Perspectivas em Ciência da Informação; 19(3); 149-188","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300009&lang=pt" 
"S0366-69132014000300012-scl","Métodos de reforço microestrutural da hidroxiapatita","Bonan, R. F., Bonan, P. R. F., Batista, A. U. D., Oliveira, J. E., Menezes, R. R., Medeiros, E. S.","Cerâmica; 60(355); 402-410","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300012&lang=pt" 
"S0366-69132014000300016-scl","Síntese e caracterização de compósito magnético nanoestruturado contendo óxido de manganês para remoção de íons Cd(II) do meio aquoso","Heitmann, A. P., Silva, G. C., Paiva, P. R. P., Ferreira, A. M.","Cerâmica; 60(355); 429-435","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300016&lang=pt" 
"S0366-69132014000300014-scl","Planejamento experimental no estudo eletroquímico de camadas de óxido de nióbio em liga de alumínio 3003","Tussolini, M., Ichikawa, T., Gallina, A. L., Viomar, A., Antunes, A. C., Cunha, M. T., Banczek, E. P., Rodrigues, P. R. P.","Cerâmica; 60(355); 417-424","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300014&lang=pt" 
"S0366-69132014000300019-scl","A study about the contribution of the α-β phase transition of quartz to thermal cycle damage of a refractory used in fluidized catalytic cracking units","Pereira, A. H. A., Miyaji, D. Y., Cabrelon, M. D., Medeiros, J., Rodrigues, J. A.","Cerâmica; 60(355); 449-456","Cerâmica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300019&lang=pt" 
"S0066-782X2014002100003-scl","Do Diabetic Patients with Acute Coronary Syndromes Have a Higher Threshold for Ischemic Pain?","Nicolau, José Carlos, Barbosa, Carlos José Dornas Gonçalves, Franci, André, Baracioli, Luciano Moreira, Franken, Marcelo, Lima, Felipe Gallego, Giraldez, Roberto Rocha, Kalil Filho, Roberto, Ramires, José Antônio Franchini, Giugliano, Robert P.","Arquivos Brasileiros de Cardiologia; 103(3); 183-191","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100003&lang=pt" 
"S0066-782X2014002100002-scl","Efficacy and Safety of Drug-Eluting Stents in the Real World: 8-Year Follow-Up","Pellegrini, Denise Oliveira, Gomes, Vitor Osório, Lasevitch, Ricardo, Smidt, Luis, Azeredo, Marco Aurélio, Ledur, Priscila, Bodanese, Rodrigo, Sinnott, Leonardo, Moriguchi, Emílio, Caramori, Paulo","Arquivos Brasileiros de Cardiologia; 103(3); 174-182","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100002&lang=pt" 
"S0066-782X2014002100007-scl","Combination Therapy for the Cardiovascular Effects of Perinatal Lead Exposure in Young and Adult Rats","Gaspar, Andréia Fresneda, Cordellini, Sandra","Arquivos Brasileiros de Cardiologia; 103(3); 219-230","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100007&lang=pt" 
"S0041-476X2014000200014-sza","","Willemse, Hein","Tydskrif vir Letterkunde; 51(2); 172-175","Tydskrif vir Letterkunde","Africaner","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200014&lang=pt" 
"S0041-476X2014000200015-sza","","","Tydskrif vir Letterkunde; 51(2); 175-175","Tydskrif vir Letterkunde","Africaner","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200015&lang=pt" 
"S0041-476X2014000200012-sza","Looking forward towards peace by remembering the past: Recycling war and lived histories in contemporary Mozambican art","Schwartzott, Amy","Tydskrif vir Letterkunde; 51(2); 156-171","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200012&lang=pt" 
"S0041-476X2014000200013-sza","Peter E. Clarke (2.6.1929-13.4.2014)","Matthews, James","Tydskrif vir Letterkunde; 51(2); 171-175","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200013&lang=pt" 
"S0041-476X2014000200010-sza","&#039;Reterritorialising&#039; the land: Agaat and cartography","Fincham, Gail","Tydskrif vir Letterkunde; 51(2); 130-144","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200010&lang=pt" 
"S0041-476X2014000200011-sza","Woman for President? &#039;Alternative&#039; future in the works of Kenyan women writers","Rinkanya, Alina","Tydskrif vir Letterkunde; 51(2); 144-156","Tydskrif vir Letterkunde","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-476X2014000200011&lang=pt" 
"S0104-59702014010900005-scl","O mar como ciência em Portugal","Rollo, Maria Fernanda, Queiroz, Maria Inês, Brandão, Tiago","História, Ciências, Saúde-Manguinhos; 21(3); 5-9","História, Ciências, Saúde-Manguinhos","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702014010900005&lang=pt" 
"S1983-40632014000300006-scl","Divergência genética e índice de seleção via BLUP em acessos de algodoeiro para características tecnológicas da fibra","Resende, Maria Aparecida Vilela de, Freitas, Joelson André de, Lanza, Marcelo Abreu, Resende, Marcos Deon Vilela de, Azevedo, Camila Ferreira","Pesquisa Agropecuária Tropical; 44(3); 334-640","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300006&lang=pt" 
"S1983-40632014000300012-scl","Emergência e vigor de mudas de genótipos de mamoeiro em função da irradiância","Mengarda, Liana Hilda Golin, Lopes, José Carlos, Buffon, Rafael Breda","Pesquisa Agropecuária Tropical; 44(3); 325-333","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300012&lang=pt" 
"S1983-40632014000300011-scl","Avaliação do potencial fisiológico de sementes de soja por meio de imagens","Wendt, Letícia, Gomes Junior, Francisco Guilhien, Zorato, Maria de Fátima, Moreira, Gláucia Cristina","Pesquisa Agropecuária Tropical; 44(3); 280-286","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300011&lang=pt" 
"S1809-48642014000300289-scl","Evaluation of Respiratory Muscle Strength in Mouth Breathers: Clinical Evidences","Cunha, Renata Andrade da, Cunha, Daniele Andrade da, Assis, Roberta Borba, Bezerra, Luciana Ângelo, Silva, Hilton Justino da","International Archives of Otorhinolaryngology; 18(3); 289-293","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300289&lang=pt" 
"S1809-48642014000300294-scl","Improvement of Vocal Pathologies Diagnosis Using High-Speed Videolaryngoscopy","Tsuji, Domingos Hiroshi, Hachiya, Adriana, Dajer, Maria Eugenia, Ishikawa, Camila Cristina, Takahashi, Marystella Tomoe, Montagnoli, Arlindo Neto","International Archives of Otorhinolaryngology; 18(3); 294-302","International Archives of Otorhinolaryngology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642014000300294&lang=pt" 
