"S0101-74382006000200005-scl","Um algoritmo evolutivo híbrido para a formação de células de manufatura em sistemas de produção","Trindade, Áthila Rocha, Ochi, Luiz Satoru","Pesquisa Operacional; 26(2); 255-294","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200005&lang=pt" 
"S0034-89102006000500009-spa","La violencia familiar ejercida en contra de los adolescentes mexicanos","Suárez, Leticia, Menkes, Catherine","Revista de Saúde Pública; 40(4); 611-609","Revista de Saúde Pública","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102006000500009&lang=pt" 
"S0034-89102006000500009-scl","La violencia familiar ejercida en contra de los adolescentes mexicanos","Suárez, Leticia, Menkes, Catherine","Revista de Saúde Pública; 40(4); 611-609","Revista de Saúde Pública","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102006000500009&lang=pt" 
"S0102-37722006000200001-scl","SEER ou não SEER? Eis a questão","Conceição, Maria Inês Gandolfo","Psicologia: Teoria e Pesquisa; 22(2); iii-iii","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200001&lang=pt" 
"S0102-37722006000200005-scl","A modelagem dos comportamentos agressivos e as ciências cognitivas","Vasconcellos, Silvio José Lemos, Picon, Patrícia, Gauer, Gabriel José Chittó","Psicologia: Teoria e Pesquisa; 22(2); 163-168","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200005&lang=pt" 
"S0102-37722006000200006-scl","Cognição, emoção e expertise musical","Galvão, Afonso","Psicologia: Teoria e Pesquisa; 22(2); 169-174","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200006&lang=pt" 
"S0102-37722006000200014-scl","O corpo em psicanálise","Lazzarini, Eliana Rigotto, Viana, Terezinha de Camargo","Psicologia: Teoria e Pesquisa; 22(2); 241-249","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200014&lang=pt" 
"S0102-37722006000200009-scl","Expectativas e beber problemático entre universitários","Peuker, Ana Carolina, Fogaça, Janaina, Bizarro, Lisiane","Psicologia: Teoria e Pesquisa; 22(2); 193-200","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200009&lang=pt" 
"S0102-37722006000200013-scl","As influências da psicanálise na educação brasileira no início do século XX","Abrão, Jorge Luís Ferreira","Psicologia: Teoria e Pesquisa; 22(2); 233-239","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200013&lang=pt" 
"S0102-37722006000200012-scl","O silêncio da pintura ingênua nos ateliês psiquiátricos","Andriolo, Arley","Psicologia: Teoria e Pesquisa; 22(2); 227-231","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200012&lang=pt" 
"S0102-37722006000200015-scl","Psicologia das habilidades sociais na infância: teoria e prática","Freitas, Lucas Cordeiro","Psicologia: Teoria e Pesquisa; 22(2); 251-252","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200015&lang=pt" 
"S1516-35982006000600008-scl","Desenvolvimento testicular, espermatogênese e concentrações hormonais em touros Angus","Aguiar, Gyselle Viana, Araújo, Airton Alencar, Moura, Arlindo de Alencar Araripe","Revista Brasileira de Zootecnia; 35(4); 1629-1638","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600008&lang=pt" 
"S1516-35982006000600016-scl","Uso da metodologia de coleta total de excretas na determinação da energia metabolizável em rações para frangos de corte ajustadas ou não quanto aos níveis de vitaminas e minerais","Avila, Valdir Silveira de, Paula, Aline, Brum, Paulo Antônio Rabenschlag de, Barioni Júnior, Waldomiro, Maier, João Carlos","Revista Brasileira de Zootecnia; 35(4); 1691-1695","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600016&lang=pt" 
"S1516-35982006000600015-scl","Aplicação do método Bayesiano na estimação de correlações genéticas e fenotípicas de peso em codornas de corte em várias idades","Winter, Eliane Maria Wilbert, Almeida, Marina Isabel Mateus de, Oliveira, Edson Gonçalves de, Martins, Elias Nunes, Natel, Andressa Santanna, Surek, Diego","Revista Brasileira de Zootecnia; 35(4); 1684-1690","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600015&lang=pt" 
"S1516-35982006000600014-scl","Interação genótipo-ambiente em cruzamentos de bovinos de corte","Teixeira, Rodrigo de Almeida, Albuquerque, Lucia Galvão de, Alencar, Maurício Mello de, Dias, Laila Talarico","Revista Brasileira de Zootecnia; 35(4); 1677-1683","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600014&lang=pt" 
"S1516-35982006000600017-scl","Digestibilidade, cecotrofia, desempenho e rendimento de carcaça de coelhos em crescimento alimentados com rações contendo óleo vegetal ou gordura animal","Ferreira, Vanusa Patrícia de Araújo, Ferreira, Walter Motta, Saliba, Eloísa de Oliveira Simões, Scapinello, Cláudio, Teixeira, Alexandre de Oliveira, Kamwa, Elis Bernard","Revista Brasileira de Zootecnia; 35(4); 1696-1704","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600017&lang=pt" 
"S1516-35982006000600020-scl","Níveis de cálcio e granulometrias do calcário para frangas e seus efeitos sobre a produção e qualidade de ovos","Geraldo, Adriano, Bertechini, Antônio Gilberto, Kato, Reinaldo Kanji, Brito, Jerônimo Ávito Gonçalves de, Fassani, Édison José","Revista Brasileira de Zootecnia; 35(4); 1720-1727","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600020&lang=pt" 
"S1516-35982006000600036-scl","Valor nutritivo de silagens de capim-elefante enriquecidas com subproduto do processamento do maracujá","Neiva, José Neuman Miranda, Nunes, Francisco Canindé Souza, Cândido, Magno José Duarte, Rodriguez, Norberto Mário, Lôbo, Raimundo Nonato Braga","Revista Brasileira de Zootecnia; 35(4); 1845-1851","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600036&lang=pt" 
"S1516-35982006000600040-scl","Qualidade da carne de cordeiros castrados e não-castrados confinados sob dois fotoperíodos","Klein Júnior, Manoel Henrique, Siqueira, Edson Ramos de, Roça, Roberto de Oliveira","Revista Brasileira de Zootecnia; 35(4); 1872-1879","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600040&lang=pt" 
"S1516-35982006000600027-scl","Comportamento de suínos submetidos a diferentes sistemas de pastejo em pastagem de trevo-branco","Leite, Denyse Maria Galvão, Silva, Marcelo Abreu da, Medeiros, Renato Borges de, Saibro, João Carlos de, Pavan, Marcos Antonio, Zanella, José Adroaldo, Barrey, Marcos Aurélio Arrighi","Revista Brasileira de Zootecnia; 35(4); 1774-1779","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600027&lang=pt" 
"S0034-89102006000500028-scl","Comment on: Loureiro &amp; Rozenfeld &quot;Epidemiology of sickle cell disease hospital admissions in Brazil&quot;","Wierenga, Klaas J. J., Hambleton, Ian R., Loureiro, Monique M., Rozenfeld, Suely","Revista de Saúde Pública; 40(4); 740-741","Revista de Saúde Pública","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102006000500028&lang=pt" 
"S0034-89102006000500028-spa","Comment on: Loureiro &amp; Rozenfeld &quot;Epidemiology of sickle cell disease hospital admissions in Brazil&quot;","Wierenga, Klaas J. J., Hambleton, Ian R., Loureiro, Monique M., Rozenfeld, Suely","Revista de Saúde Pública; 40(4); 740-741","Revista de Saúde Pública","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102006000500028&lang=pt" 
"S1516-35982006000600028-scl","Desempenho e características das fibras musculares esqueléticas de cordeiros nascidos de ovelhas que receberam suplementação alimentar em diferentes períodos da gestação","Mexia, Alexandre Agostinho, Macedo, Francisco de Assis Fonseca de, Macedo, Rosa Maria Gomes de, Sakaguti, Eduardo Shiguero, Santello, Graziela Aparecida, Capovilla, Luiz Carlos Tadeu, Zundt, Marilice, Sasa, Aya","Revista Brasileira de Zootecnia; 35(4); 1780-1787","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600028&lang=pt" 
"S0102-37722006000200002-scl","Efeitos de perguntas e de histórias experimentais sobre o seguir regras","Silva, Francynete Melo e, Albuquerque, Luiz Carlos de","Psicologia: Teoria e Pesquisa; 22(2); 133-142","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200002&lang=pt" 
"S0102-37722006000200003-scl","Variáveis no ensino de discriminação para bebês","Gil, Maria Stella C. de Alcântara, Oliveira, Thais Porlan de, Sousa, Naiara Minto de, Faleiros, Danilo A. de Melo","Psicologia: Teoria e Pesquisa; 22(2); 143-152","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200003&lang=pt" 
"S0102-37722006000200004-scl","Funções neuropsicológicas em crianças com dificuldades de leitura e escrita","Salles, Jerusa Fumagalli de, Parente, Maria Alice de Mattos Pimenta","Psicologia: Teoria e Pesquisa; 22(2); 153-162","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200004&lang=pt" 
"S0102-37722006000200007-scl","Malhando o gênero: o grupo focal e os atos da fala na interação de adolescentes com a telenovela","Fávero, Maria Helena, Abrão, Larissa Guimarães Martins","Psicologia: Teoria e Pesquisa; 22(2); 175-182","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200007&lang=pt" 
"S0102-37722006000200008-scl","&quot;Mobbing&quot; (assédio psicológico) no trabalho: uma síndrome psicossocial multidimensional","Guimarães, Liliana Andolpho Magalhães, Rimoli, Adriana Odalia","Psicologia: Teoria e Pesquisa; 22(2); 183-191","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200008&lang=pt" 
"S0102-37722006000200010-scl","Pesquisa qualitativa versus pesquisa quantitativa: esta é a questão?","Günther, Hartmut","Psicologia: Teoria e Pesquisa; 22(2); 201-209","Psicologia: Teoria e Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200010&lang=pt" 
"S0102-37722006000200011-scl","Representations sociales et triangulation: une application en psychologie sociale de la sante","Apostolidis, Thémis","Psicologia: Teoria e Pesquisa; 22(2); 211-226","Psicologia: Teoria e Pesquisa","Francês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722006000200011&lang=pt" 
"S1516-35982006000600002-scl","Coeficientes de digestibilidade aparente de ingredientes para juvenis de jundiá","Oliveira Filho, Paulo Roberto Campagnoli de, Fracalossi, Débora Machado","Revista Brasileira de Zootecnia; 35(4); 1581-1587","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600002&lang=pt" 
"S1516-35982006000600003-scl","Níveis de fósforo total em dietas para alevinos de tilápia-do-nilo","Ribeiro, Felipe Barbosa, Lanna, Eduardo Arruda Teixeira, Bomfim, Marcos Antonio Delmondes, Donzele, Juarez Lopes, Freitas, Anderson Saraiva de, Sousa, Maíra Paula de, Quadros, Moisés","Revista Brasileira de Zootecnia; 35(4); 1588-1593","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600003&lang=pt" 
"S1516-35982006000600004-scl","Dinâmica da pastagem e desempenho de novilhos em pastagem de capim-tanzânia sob diferentes ofertas de forragem","Barbosa, Marco Aurélio Alves de Freitas, Nascimento Júnior, Domicio do, Cecato, Ulysses","Revista Brasileira de Zootecnia; 35(4); 1594-1600","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600004&lang=pt" 
"S1516-35982006000600005-scl","Caracterizações morfológica e agronômica e divergência genética em germoplasma de trevo-branco","Bortolini, Fernanda, Dall&#039;Agnol, Miguel, Schifino-Wittmann, Maria Teresa, Trevisan, Miriam, Vieira, Vladirene Macedo, Scheffer-Basso, Simone Meredith, Montardo, Daniel Portela","Revista Brasileira de Zootecnia; 35(4); 1601-1610","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600005&lang=pt" 
"S1516-35982006000600006-scl","Comportamento ingestivo de novilhos mestiços em pastagens tropicais manejadas em diferentes alturas","Rego, Fabíola Cristine de Almeida, Damasceno, Júlio César, Fukumoto, Nelson Massaru, Côrtes, Cristiano, Hoeshi, Lauri, Martins, Elias Nunes, Cecato, Ulysses","Revista Brasileira de Zootecnia; 35(4); 1611-1620","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600006&lang=pt" 
"S1516-35982006000600007-scl","Alterações bromatológicas nas frações dos carboidratos de silagens de milho &quot;safrinha&quot; sob diferentes tempos de exposição ao ar antes da ensilagem","Velho, João Pedro, Mühlbach, Paulo Roberto Frenzel, Genro, Teresa Cristina Moraes, Velho, Ione Maria Pereira Haygert, Nörnberg, José Laerte, Orqis, Mariane Garcia, Kessler, Julcemar Dias","Revista Brasileira de Zootecnia; 35(4); 1621-1628","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600007&lang=pt" 
"S1516-35982006000600009-scl","Avaliação de características de qualidade da carne de suínos por meio de componentes principais","Barbosa, Leandro, Lopes, Paulo Sávio, Regazzi, Adair José, Guimarães, Simone Eliza Facioni, Torres, Robledo de Almeida","Revista Brasileira de Zootecnia; 35(4); 1639-1645","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600009&lang=pt" 
"S1516-35982006000600010-scl","Estimação de parâmetros genéticos utilizando-se a produção de leite no dia do controle em primeiras lactações de vacas da raça Jersey","Dionello, Nelson José Laurino, Silva, Carlos Alberto Soares da, Costa, Claudio Napolis, Cobuci, Jaime Araújo","Revista Brasileira de Zootecnia; 35(4); 1646-1652","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600010&lang=pt" 
"S1516-35982006000600011-scl","Avaliação espermática e da concentração de proteínas solúveis no plasma seminal de bodes da raça Alpina em regime de monta controlada","Martins, Leonardo Franco, Pereira, Maria Cristina Baracat, Guimarães, José Domingos, Costa, Eduardo Paulino da, Silveira, Thiago da Silva, Torres, Ciro Alexandre Alves, Rodrigues, Marcelo Teixeira, Braz, Vandberg Barbosa","Revista Brasileira de Zootecnia; 35(4); 1653-1659","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600011&lang=pt" 
"S1516-35982006000600012-scl","Mapeamento de locos de características quantitativas no cromossomo 6, associados às características de carcaça e de órgãos internos de suínos","Pires, Aldrin Vieira, Lopes, Paulo Sávio, Guimarães, Simone Eliza Facioni","Revista Brasileira de Zootecnia; 35(4); 1660-1668","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600012&lang=pt" 
"S1516-35982006000600013-scl","Estimativas de parâmetros genéticos de características de crescimento em um rebanho Caracu selecionado para peso ao sobreano","Pereira, Márcio Cinachi, Mercadante, Maria Eugênia Zerlotti, Albuquerque, Lucia Galvão de, Razook, Alexander George, Figueiredo, Leopoldo Andrade de","Revista Brasileira de Zootecnia; 35(4); 1669-1676","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600013&lang=pt" 
"S1516-35982006000600018-scl","Níveis de proteína bruta e energia metabolizável na ração para codornas de corte","Freitas, Almir Chalegre de, Fuentes, Maria de Fátima Freire, Freitas, Ednardo Rodrigues, Sucupira, Francislene Silveira, Oliveira, Bruno César Moura de, Espíndola, Gastão Barreto","Revista Brasileira de Zootecnia; 35(4); 1705-1710","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600018&lang=pt" 
"S1516-35982006000600019-scl","Avaliação de ácidos orgânicos em dietas para leitões de 21 a 49 dias de idade","Freitas, Letícia Silva de, Lopes, Darci Clementino, Freitas, Ary Ferreira de, Carneiro, Jailton da Costa, Corassa, Anderson, Pena, Sérgio de Miranda, Costa, Leidimara Feregueti","Revista Brasileira de Zootecnia; 35(4); 1711-1719","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600019&lang=pt" 
"S1516-35982006000600021-scl","Exigência de lisina para poedeiras semipesadas durante o pico de postura","Filho, José Jordão, Silva, José Humberto Vilar da, Silva, Edson Lindolfo da, Ribeiro, Marcelo Luís Gomes, Costa, Fernando Guilherme Perazzo, Rodrigues, Paulo Borges","Revista Brasileira de Zootecnia; 35(4); 1728-1734","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600021&lang=pt" 
"S1516-35982006000600022-scl","Efeitos da relação metionina + cistina: lisina sobre os desempenhos produtivo e econômico e a qualidade interna e externa dos ovos antes e após 28 dias de armazenamento","Jordão Filho, José, Silva, José Humberto Vilar da, Silva, Edson Lindolfo da, Araujo, Daniel de Magalhães, Ribeiro, Marcelo Luís Gomes, Lima, Matheus Ramalho de","Revista Brasileira de Zootecnia; 35(4); 1735-1743","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600022&lang=pt" 
"S1516-35982006000600023-scl","Níveis de lisina em rações para fêmeas suínas em lactação","Nunes, Christiane Garcia Vilela, Oliveira, Rita Flavia Miranda de, Donzele, Juarez Lopes, Oliveira, Will Pereira de, Silva, Bruno Alexander Nunes, Abreu, Marvio Lobão Teixeira de","Revista Brasileira de Zootecnia; 35(4); 1744-1751","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600023&lang=pt" 
"S1516-35982006000600025-scl","Deposição de proteínas no fêmur de frangos de corte em função do balanço eletrolítico das dietas","Oliveira, Nominando Andrade de, Ferreira, Aloízio Soares, Moraes, George Henrique Kling de, Rostagno, Horacio Santiago, Abreu, Márvio Lobão Teixeira de","Revista Brasileira de Zootecnia; 35(4); 1758-1764","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600025&lang=pt" 
"S1516-35982006000600029-scl","Digestibilidade intestinal verdadeira da proteína de alimentos para ruminantes","Branco, Antonio Ferriani, Coneglian, Sabrina Marcantonio, Maia, Fábio José, Guimarães, Kátia Cylene","Revista Brasileira de Zootecnia; 35(4); 1788-1795","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600029&lang=pt" 
"S1516-35982006000600030-scl","Digestibilidades parcial e total de dietas com feno de capim-marandu e concentrado balanceadas para diferentes níveis de produção","Brito, Rodolfo Marques de, Sampaio, Alexandre Amstalden Moraes, Fernandes, Alexandre Rodrigo Mendes, Henrique, Wignez, Cattelan, José Wanderley, Routman, Karina de Souza","Revista Brasileira de Zootecnia; 35(4); 1796-1804","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600030&lang=pt" 
"S1516-35982006000600031-scl","Comportamento ingestivo de ovinos alimentados com dietas compostas de silagem de capim-elefante amonizada ou não e subprodutos agroindustriais","Carvalho, Gleidson Giordano Pinto de, Pires, Aureliano José Vieira, Silva, Robério Rodrigues, Veloso, Cristina Mattos, Silva, Herymá Giovane de Oliveira","Revista Brasileira de Zootecnia; 35(4); 1805-1812","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600031&lang=pt" 
"S1516-35982006000600032-scl","Consumo, digestibilidade e excreção de uréia e derivados de purinas em novilhas de diferentes pesos","Chizzotti, Mario Luiz, Valadares Filho, Sebastião de Campos, Valadares, Rilene Ferreira Diniz, Chizzotti, Fernanda Helena Martins, Campos, José Maurício de Souza, Marcondes, Marcos Inácio, Fonseca, Mozart Alves","Revista Brasileira de Zootecnia; 35(4); 1813-1821","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600032&lang=pt" 
"S1516-35982006000600033-scl","Utilização de resíduo agroindustrial de abacaxi desidratado em dietas para caprinos em crescimento: digestibilidade e desempenho","Correia, Marta Xavier de Carvalho, Costa, Roberto Germano, Silva, José Humberto Vilar da, Carvalho, Francisco Fernando Ramos de, Medeiros, Ariosvaldo Nunes de","Revista Brasileira de Zootecnia; 35(4); 1822-1828","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600033&lang=pt" 
"S0101-81082006000200001-scl","Análise do Conjunto Histórico do Hospital Psiquiátrico São Pedro (HPSP)","Horowitz, Renata Galbinski","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 111-112","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200001&lang=pt" 
"S0101-81082006000200017-scl","O estudante de medicina e o paciente: uma aproximação à prática médica","Cassorla, Roosevelt M. S.","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 219-221","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200017&lang=pt" 
"S0101-81082006000200003-scl","A publicação de estudos brasileiros de validação de medidas de aferição em psiquiatria","Picon, Patrícia","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 117-119","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200003&lang=pt" 
"S0101-81082006000200006-scl","O processamento das informações sociais numa amostra de adolescentes agressivos","Vasconcellos, Silvio José Lemos, Picon, Patrícia, Gauer, Gabriel José Chittó","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 135-142","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200006&lang=pt" 
"S0101-81082006000200002-scl","Escutando o paciente: disso, não nos afastemos","Keidann, Carmem, Shansis, Flávio","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 115-116","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200002&lang=pt" 
"S0101-81082006000200005-scl","Prevalência de transtornos depressivos e ansiosos em uma amostra ambulatorial brasileira de mulheres na menopausa","Veras, André B., Rassi, Arabella, Valença, Alexandre Martins, Nardi, Antonio E.","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 130-134","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200005&lang=pt" 
"S0101-81082006000200014-scl","Adolescente com compulsão de assistir TV: relato de caso","Fontanella, Bruno José Barcellos","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 211-214","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200014&lang=pt" 
"S0101-81082006000200008-scl","Adaptação transcultural para o português brasileiro do Parental Bonding Instrument (PBI)","Hauck, Simone, Schestatsky, Sidnei, Terra, Luciana, Knijnik, Laís, Sanchez, Patrícia, Ceitlin, Lucia Helena Freitas","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 162-168","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200008&lang=pt" 
"S0101-81082006000200016-scl","Prática psiquiátrica no hospital geral: interconsulta e emergência","Rocha, Gibsi Maria Possapp","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 217-218","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200016&lang=pt" 
"S0101-81082006000200015-scl","Investigação da afetividade na psiquiatria com a utilização do International Affective Picture System","Ribeiro, Rafaela Larsen, Pompéia, Sabine, Bueno, Orlando Francisco Amodeo","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 215-216","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200015&lang=pt" 
"S0101-81082006000200004-scl","Sobrepeso e obesidade em pacientes esquizofrênicos em uso de clozapina comparado com o uso de outros antipsicóticos","Leitão-Azevedo, Carmen Lúcia, Abreu, Martha Guerra Belmonte de, Guimarães, Lísia Rejane, Moreno, Dolores, Lobato, Maria Inês, Gama, Clarissa Severino, Belmonte-de-Abreu, Paulo Silva","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 120-128","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200004&lang=pt" 
"S0101-81082006000200009-scl","Os sonhos: integrando as visões psicanalítica e neurocientífica","Cheniaux, Elie","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 169-177","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200009&lang=pt" 
"S0101-81082006000200010-scl","Influência dos antígenos de histocompatibilidade humanos na susceptibilidade e expressão clínica de doenças psiquiátricas","Alves, Crésio, Souza, Thaisa, Toralles, Maria Betânia P., Oliveira, Irismar","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 178-185","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200010&lang=pt" 
"S0101-81082006000200011-scl","Efeitos adversos metabólicos de antipsicóticos e estabilizadores de humor","Teixeira, Paulo José Ribeiro, Rocha, Fábio Lopes","Revista de Psiquiatria do Rio Grande do Sul; 28(2); 186-196","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082006000200011&lang=pt" 
