"S0102-86502015001100756-scl","Remifentanil protects uterus against ischemia-reperfusion injury in rats","Atalay, Yunus Oktay, Aktas, Serap, Sahin, Sadik, Kucukodaci, Zafer, Ozakpinar, Ozlem Bingol","Acta Cirurgica Brasileira; 30(11); 756-761","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100756&lang=pt" 
"S0102-311X2015001102449-scl","Desigualdades na autoavaliação de saúde: uma análise para populações do Brasil e de Portugal","Carvalho, Alice Teles de, Malta, Deborah Carvalho, Barros, Marilisa Berti de Azevedo, Oliveira, Pedro Nuno Ferreira Pinto de, Mendonça, Denisa Maria de Melo Vasques, Barros, Henrique","Cadernos de Saúde Pública; 31(11); 2449-2461","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102449&lang=pt" 
"S0102-311X2015001102379-scl","Análise da implantação do Programa Telessaúde Brasil em Pernambuco, Brasil: estudo de casos","Oliviera, Dulcineide Gonçalo de, Frias, Paulo Germano de, Vanderlei, Lygia Carmen de Moraes, Vidal, Suely Arruda, Novaes, Magdala de Araújo, Souza, Wayner Vieira de","Cadernos de Saúde Pública; 31(11); 2379-2389","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102379&lang=pt" 
"S0102-311X2015001102390-scl","Fatores associados ao início tardio da amamentação em hospitais do Sistema Único de Saúde no Município do Rio de Janeiro, Brasil, 2009","Esteves, Tania Maria Brasil, Daumas, Regina Paiva, Oliveira, Maria Inês Couto de, Andrade, Carlos Augusto Ferreira de, Leite, Iuri da Costa","Cadernos de Saúde Pública; 31(11); 2390-2400","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102390&lang=pt" 
"S0102-311X2015001302437-spa","Efeito do tempo de espera para radioterapia na sobrevida geral em cinco anos de mulheres com câncer do colo do útero, 1995-2010","Nascimento, Maria Isabel do, Azevedo e Silva, Gulnar","Cadernos de Saúde Pública; 31(11); 2437-2448","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302437&lang=pt" 
"S0102-311X2015001302379-spa","Análise da implantação do Programa Telessaúde Brasil em Pernambuco, Brasil: estudo de casos","Oliviera, Dulcineide Gonçalo de, Frias, Paulo Germano de, Vanderlei, Lygia Carmen de Moraes, Vidal, Suely Arruda, Novaes, Magdala de Araújo, Souza, Wayner Vieira de","Cadernos de Saúde Pública; 31(11); 2379-2389","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302379&lang=pt" 
"S0102-311X2015001302331-spa","Influência do excesso de peso e da obesidade nos gastos em saúde nos domicílios brasileiros","Canella, Daniela Silva, Novaes, Hillegonda Maria Dutilh, Levy, Renata Bertazzi","Cadernos de Saúde Pública; 31(11); 2331-2341","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302331&lang=pt" 
"S0102-311X2015001102401-scl","Uso de medicamentos potencialmente inadequados entre idosos do Município de Viçosa, Minas Gerais, Brasil: um inquérito de base populacional","Martins, Gabriela Aires, Acurcio, Francisco de Assis, Franceschini, Sylvia do Carmo Castro, Priore, Silvia Eloiza, Ribeiro, Andréia Queiroz","Cadernos de Saúde Pública; 31(11); 2401-2412","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102401&lang=pt" 
"S0102-311X2015001102313-scl","Características dos eventos adversos na atenção primária à saúde no Brasil","Marchon, Simone Grativol, Mendes Junior, Walter Vieira, Pavão, Ana Luiza Braz","Cadernos de Saúde Pública; 31(11); 2313-2330","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102313&lang=pt" 
"S0102-311X2015001302390-spa","Fatores associados ao início tardio da amamentação em hospitais do Sistema Único de Saúde no Município do Rio de Janeiro, Brasil, 2009","Esteves, Tania Maria Brasil, Daumas, Regina Paiva, Oliveira, Maria Inês Couto de, Andrade, Carlos Augusto Ferreira de, Leite, Iuri da Costa","Cadernos de Saúde Pública; 31(11); 2390-2400","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302390&lang=pt" 
"S0102-311X2015001302413-spa","Iniquidades sociais influenciam a qualidade e a diversidade da dieta de crianças brasileiras de 6 a 36 meses","Bortolini, Gisele Ane, Vitolo, Márcia Regina, Gubert, Muriel Bauermann, Santos, Leonor Maria Pacheco","Cadernos de Saúde Pública; 31(11); 2413-2424","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302413&lang=pt" 
"S0102-311X2015001102353-scl","Condições socioeconômicas, oferta de médicos e internações por condições sensíveis à atenção primária em grandes municípios do Brasil","Castro, Ana Luisa Barros de, Andrade, Carla Lourenço Tavares de, Machado, Cristiani Vieira, Lima, Luciana Dias de","Cadernos de Saúde Pública; 31(11); 2353-2366","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102353&lang=pt" 
"S0102-311X2015001102275-scl","As interações entre os atores no retorno ao trabalho após afastamento por transtorno mental: uma metaetnografia","Neves, Robson da Fonseca, Nunes, Mônica de Oliveira, Magalhães, Lilian","Cadernos de Saúde Pública; 31(11); 2275-2290","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102275&lang=pt" 
"S0102-311X2015001102291-scl","Avaliação psicométrica do Questionário de Mudança Corporal para adolescentes","Meireles, Juliana Fernandes Filgueiras, Amaral, Ana Carolina Soares, Neves, Clara Mockdece, Conti, Maria Aparecida, Ferreira, Maria Elisa Caputo","Cadernos de Saúde Pública; 31(11); 2291-2301","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102291&lang=pt" 
"S0102-311X2015001302353-spa","Condições socioeconômicas, oferta de médicos e internações por condições sensíveis à atenção primária em grandes municípios do Brasil","Castro, Ana Luisa Barros de, Andrade, Carla Lourenço Tavares de, Machado, Cristiani Vieira, Lima, Luciana Dias de","Cadernos de Saúde Pública; 31(11); 2353-2366","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302353&lang=pt" 
"S0102-311X2015001102437-scl","Efeito do tempo de espera para radioterapia na sobrevida geral em cinco anos de mulheres com câncer do colo do útero, 1995-2010","Nascimento, Maria Isabel do, Azevedo e Silva, Gulnar","Cadernos de Saúde Pública; 31(11); 2437-2448","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102437&lang=pt" 
"S0102-311X2015001302425-spa","Periodontal conditions and associated factors among adults and the elderly: findings from the first National Oral Health Survey in Uruguay","Lorenzo, Susana M., Alvarez, Ramón, Andrade, Ernesto, Piccardo, Virginia, Francia, Alejandro, Massa, Fernando, Correa, Marcos Britto, Peres, Marco Aurélio","Cadernos de Saúde Pública; 31(11); 2425-2436","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302425&lang=pt" 
"S0102-311X2015001102303-scl","Cruising y e-citas: un nuevo contexto para los encuentros sexuales entre hombres jóvenes que tienen sexo con hombres","Grau-Muñoz, Arantxa, Pla-Ernst, Eduardo, Belda-Ibáñez, Josefina, Juan-Corrons, Amparo, Fernández-García, Elisa, Doménech-Alonso, Elena, Galán-Rubio, Enrique, Lloria-Paes, Fernando, Zafra-Espinosa, Trinidad, Tasa-Zapater, Teresa, Santos-Rubio, Concepción, Alastrue-Loscos, Ignacio","Cadernos de Saúde Pública; 31(11); 2303-2312","Cadernos de Saúde Pública","Inglês, Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102303&lang=pt" 
"S0102-311X2015001102331-scl","Influência do excesso de peso e da obesidade nos gastos em saúde nos domicílios brasileiros","Canella, Daniela Silva, Novaes, Hillegonda Maria Dutilh, Levy, Renata Bertazzi","Cadernos de Saúde Pública; 31(11); 2331-2341","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102331&lang=pt" 
"S0102-311X2015001302401-spa","Uso de medicamentos potencialmente inadequados entre idosos do Município de Viçosa, Minas Gerais, Brasil: um inquérito de base populacional","Martins, Gabriela Aires, Acurcio, Francisco de Assis, Franceschini, Sylvia do Carmo Castro, Priore, Silvia Eloiza, Ribeiro, Andréia Queiroz","Cadernos de Saúde Pública; 31(11); 2401-2412","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302401&lang=pt" 
"S0102-311X2015001102425-scl","Periodontal conditions and associated factors among adults and the elderly: findings from the first National Oral Health Survey in Uruguay","Lorenzo, Susana M., Alvarez, Ramón, Andrade, Ernesto, Piccardo, Virginia, Francia, Alejandro, Massa, Fernando, Correa, Marcos Britto, Peres, Marco Aurélio","Cadernos de Saúde Pública; 31(11); 2425-2436","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102425&lang=pt" 
"S0102-311X2015001302275-spa","As interações entre os atores no retorno ao trabalho após afastamento por transtorno mental: uma metaetnografia","Neves, Robson da Fonseca, Nunes, Mônica de Oliveira, Magalhães, Lilian","Cadernos de Saúde Pública; 31(11); 2275-2290","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302275&lang=pt" 
"S0102-311X2015001102367-scl","Socioeconomic and environmental determinants of adolescent asthma in urban Latin America: an ecological analysis","Fattore, Gisel Lorena, Santos, Carlos Antonio de Souza Teles, Barreto, Mauricio Lima","Cadernos de Saúde Pública; 31(11); 2367-2378","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102367&lang=pt" 
"S0102-311X2015001302291-spa","Avaliação psicométrica do Questionário de Mudança Corporal para adolescentes","Meireles, Juliana Fernandes Filgueiras, Amaral, Ana Carolina Soares, Neves, Clara Mockdece, Conti, Maria Aparecida, Ferreira, Maria Elisa Caputo","Cadernos de Saúde Pública; 31(11); 2291-2301","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302291&lang=pt" 
"S0102-311X2015001102413-scl","Iniquidades sociais influenciam a qualidade e a diversidade da dieta de crianças brasileiras de 6 a 36 meses","Bortolini, Gisele Ane, Vitolo, Márcia Regina, Gubert, Muriel Bauermann, Santos, Leonor Maria Pacheco","Cadernos de Saúde Pública; 31(11); 2413-2424","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102413&lang=pt" 
"S0102-311X2015001302313-spa","Características dos eventos adversos na atenção primária à saúde no Brasil","Marchon, Simone Grativol, Mendes Junior, Walter Vieira, Pavão, Ana Luiza Braz","Cadernos de Saúde Pública; 31(11); 2313-2330","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302313&lang=pt" 
"S0102-311X2015001302367-spa","Socioeconomic and environmental determinants of adolescent asthma in urban Latin America: an ecological analysis","Fattore, Gisel Lorena, Santos, Carlos Antonio de Souza Teles, Barreto, Mauricio Lima","Cadernos de Saúde Pública; 31(11); 2367-2378","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302367&lang=pt" 
"S0102-311X2015001302464-spa","ERRATA","","Cadernos de Saúde Pública; 31(11); 2464-2464","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302464&lang=pt" 
"S0102-311X2015001102464-scl","ERRATA","","Cadernos de Saúde Pública; 31(11); 2464-2464","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102464&lang=pt" 
"S0102-311X2015001102463-scl","ERRATA","","Cadernos de Saúde Pública; 31(11); 2463-2463","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102463&lang=pt" 
"S0102-311X2015001302463-spa","ERRATA","","Cadernos de Saúde Pública; 31(11); 2463-2463","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302463&lang=pt" 
"S0102-311X2015001102253-scl","As tecnologias da informação e comunicação e novas formas de sociabilidade: possibilidades e desafios para o campo da saúde coletiva","Iriart, Jorge Alberto Bernstein, Silva, Luís Augusto Vasconcelos da","Cadernos de Saúde Pública; 31(11); 2253-2254","Cadernos de Saúde Pública","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102253&lang=pt" 
"S0102-311X2015001302253-spa","As tecnologias da informação e comunicação e novas formas de sociabilidade: possibilidades e desafios para o campo da saúde coletiva","Iriart, Jorge Alberto Bernstein, Silva, Luís Augusto Vasconcelos da","Cadernos de Saúde Pública; 31(11); 2253-2254","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302253&lang=pt" 
"S0102-311X2015001102342-scl","Lay perceptions of health and environmental inequalities and their associations to mental health","Lima, Maria Luisa, Morais, Rita","Cadernos de Saúde Pública; 31(11); 2342-2352","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102342&lang=pt" 
"S0102-311X2015001102259-scl","Assessment of participation bias in cohort studies: systematic review and meta-regression analysis","Silva Junior, Sérgio Henrique Almeida da, Santos, Simone M., Coeli, Cláudia Medina, Carvalho, Marilia Sá","Cadernos de Saúde Pública; 31(11); 2259-2274","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102259&lang=pt" 
"S0102-311X2015001302259-spa","Assessment of participation bias in cohort studies: systematic review and meta-regression analysis","Silva Junior, Sérgio Henrique Almeida da, Santos, Simone M., Coeli, Cláudia Medina, Carvalho, Marilia Sá","Cadernos de Saúde Pública; 31(11); 2259-2274","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302259&lang=pt" 
"S0102-311X2015001302303-spa","Cruising y e-citas: un nuevo contexto para los encuentros sexuales entre hombres jóvenes que tienen sexo con hombres","Grau-Muñoz, Arantxa, Pla-Ernst, Eduardo, Belda-Ibáñez, Josefina, Juan-Corrons, Amparo, Fernández-García, Elisa, Doménech-Alonso, Elena, Galán-Rubio, Enrique, Lloria-Paes, Fernando, Zafra-Espinosa, Trinidad, Tasa-Zapater, Teresa, Santos-Rubio, Concepción, Alastrue-Loscos, Ignacio","Cadernos de Saúde Pública; 31(11); 2303-2312","Cadernos de Saúde Pública","Inglês, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302303&lang=pt" 
"S0102-311X2015001302255-spa","Dilemas e desafios para a implementação de políticas de saúde mental global no Brasil","Ortega, Francisco, Wenceslau, Leandro David","Cadernos de Saúde Pública; 31(11); 2255-2257","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302255&lang=pt" 
"S0102-311X2015001102255-scl","Dilemas e desafios para a implementação de políticas de saúde mental global no Brasil","Ortega, Francisco, Wenceslau, Leandro David","Cadernos de Saúde Pública; 31(11); 2255-2257","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001102255&lang=pt" 
"S1815-02762015000200006-bol","Construcciones de sentido sobre violencia de género: El caso del diario argentino Clarín","Gil, Ana Soledad","Punto Cero; 20(31); 55-64","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200006&lang=pt" 
"S1020-49892015001000012-spa","Names for cigars or cigarettes used by the Latino consumer in the United States of America","Marcano, Maytté, Baasch, Alessandra, Mejía, José Luis, Tamí-Maury, Irene","Revista Panamericana de Salud Pública; 38(5); 431-432","Revista Panamericana de Salud Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000012&lang=pt" 
"S1020-49892015001000010-spa","Uso de álcool como causa necessária de morte no Brasil, 2010 a 2012","Garcia, Leila Posenato, Freitas, Lucia Rolim Santana, Gawryszewski, Vilma Pinheiro, Duarte, Elisabeth Carmen","Revista Panamericana de Salud Pública; 38(5); 418-424","Revista Panamericana de Salud Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000010&lang=pt" 
"S0066-782X2015002400545-scl","Arteriovenous and Intercoronary Fistulae Presenting as Heart Failure in an Adult","Petrou, Emmanouil, Girasis, Chrysafios","Arquivos Brasileiros de Cardiologia; 105(5); 545-546","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400545&lang=pt" 
"S0066-782X2015002400519-scl","Atrial Fibrillation and Non-cardiovascular Diseases: A Systematic Review","Ferreira, Cátia, Providência, Rui, Ferreira, Maria João, Gonçalves, Lino Manuel","Arquivos Brasileiros de Cardiologia; 105(5); 519-526","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400519&lang=pt" 
"S0011-52582015010400002-scl","Onde estão os políticos pretos e pardos?","Campos, Luiz Augusto","Dados; 58(3); 2-2","Dados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582015010400002&lang=pt" 
"S0104-87752015010300001-scl","“Quantos poetas perdidos para sempre, quanta rima destinada ao olvido da humanidade!”: Produção e circulação de poesias no Rio de Janeiro de fins do século XIX e início do século XX.","Cassão, Júlia de Cássia Silva","Varia Historia; 31(56); 1-1","Varia Historia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752015010300001&lang=pt" 
"S0066-782X2015002400493-scl","Predictors of Arrhythmic Events Detected by Implantable Loop Recorders in Renal Transplant Candidates","Silva, Rodrigo Tavares, Martinelli Filho, Martino, Peixoto, Giselle de Lima, Lima, José Jayme Galvão de, Siqueira, Sérgio Freitas de, Costa, Roberto, Gowdak, Luís Henrique Wolff, Paula, Flávio Jota de, Kalil Filho, Roberto, Ramires, José Antônio Franchini","Arquivos Brasileiros de Cardiologia; 105(5); 493-502","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400493&lang=pt" 
"S0100-72032015001100495-scl","Fetal myelomeningocele repair: where are we and where can we go?","Araujo Júnior, Edward, Eggink, Alex Jan, Oepkes, Dick","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 495-497","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100495&lang=pt" 
"S0100-72032015001100498-scl","Fatores determinantes do near miss materno em uma unidade de terapia intensiva obstétrica","Souza, Maria Aparecida Cardoso De, Souza, Tházio Henrique Soares Cardoso De, Gonçalves, Ana Katherine Da Silveira","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 498-504","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100498&lang=pt" 
"S0100-72032015001100526-scl","Miocardiopatia de Takotsubo pós-parto: relato de caso","Sousa, Vera Cristina Pereira de, Pinto, Ana Patrícia Lopes, Lopes, Ana Paula Calado, Gomes, Fernanda Maria Ervedoso, Pinho, Maria de Lurdes das Neves Ferreira, Marques, Maria Isabel Silva","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 526-532","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100526&lang=pt" 
"S0100-72032015001100516-scl","Polymorphism in the lymphotoxin-alpha gene, position +252 (rs909253), is not associated with preeclampsia development in Brazilian women","Pissetti, Cristina Wide, Bianco, Thiago Mantello, Tanaka, Sarah Cristina Sato Vaz, Silva, Sueli Riul Da, Balarin, Marly Aparecida Spadotto","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 516-519","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100516&lang=pt" 
"S0100-72032015001100512-scl","Functional activity of neutrophilic polymorphonuclear leukocytes in the first five days postpartum","Morita, Maria Helena Setsuko, Vázquez, Mônica López, Yamano, Lúcia Mitsuko, Kawano, Jorge da Silva, Mosca, Tainá, Forte, Wilma Carvalho Neves","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 512-515","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100512&lang=pt" 
"S0100-72032015001100505-scl","Fatores de associados à anemia em gestantes da rede pública de saúde de uma capital do Nordeste do Brasil","Oliveira, Alane Cabral Menezes De, Barros, Amanda Maria Rocha De, Ferreira, Raphaela Costa","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 505-511","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100505&lang=pt" 
"S0100-72032015001100520-scl","Tradução, adaptação e validação da versão brasileira do questionário Utian Quality of Life para avaliação da qualidade de vida no climatério","Lisboa, Lilian Lira, Utian, Wulf, Fonseca Filho, Gentil Gomes da, Azevedo, George Dantas de","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 520-525","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100520&lang=pt" 
"S0066-782X2015002400540-scl","Post-Hospital Syndrome: A New Challenge in Cardiovascular Practice","Mesquita, Evandro Tinoco, Cruz, Larissa Nascimento, Mariano, Bruna Melo, Jorge, Antonio José Lagoeiro","Arquivos Brasileiros de Cardiologia; 105(5); 540-544","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400540&lang=pt" 
"S0066-782X2015002400527-scl","Case 5/2015 – 88-Year-Old Female with Chronic Coronary Artery Disease, Upper Limb Thrombosis, Atrial Fibrillation and Cardiac Arrest","Marçula, Magaly, Aiello, Vera Demarchi","Arquivos Brasileiros de Cardiologia; 105(5); 527-535","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400527&lang=pt" 
"S0066-782X2015002400466-scl","Efficacy of Patient Selection for Diagnostic Coronary Angiography in Suspected Coronary Artery Disease","Costa Filho, Francisco Flávio, Chaves, Áurea Jacob, Ligabó, Lourenço Teixeira, Santos, Eduardo Moreira dos, Silva, Danillo Taiguara da, Puzzi, Marcelo Aguiar, Braga, Sérgio Luiz, Abizaid, Alexandre, Sousa, Amanda GMR","Arquivos Brasileiros de Cardiologia; 105(5); 466-471","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400466&lang=pt" 
"S0066-782X2015002400536-scl","Coronary Fistulas in a Patient with a Novel Long QT Syndrome Mutation","Plácido, Rui, Cortez-Dias, Nuno, Veiga, Arminda, Jorge, Cláudia, Miltenberger-Miltény, Gábriel, Pinto, Fausto","Arquivos Brasileiros de Cardiologia; 105(5); 536-539","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400536&lang=pt" 
"S0066-782X2015002400472-scl","Assessment of Galectin-3 Polymorphism in Subjects with Chronic Chagas Disease","Cruz, Gabriela da Silva, Angelo, Ana Luiza Dias, Larocca, Ticiana Ferreira, Macedo, Carolina Thé, Noya-Rabelo, Márcia, Correia, Luís Claudio Lemos, Torreão, Jorge Andion, Souza, Bruno Solano de Freitas, Santos, Ricardo Ribeiro dos, Soares, Milena Botelho Pereira","Arquivos Brasileiros de Cardiologia; 105(5); 472-478","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400472&lang=pt" 
"S0066-782X2015002400487-scl","Does Ad Hoc Coronary Intervention Reduce Radiation Exposure? – Analysis of 568 Patients","Truffa, Márcio A. M., Alves, Gustavo M.P., Bernardi, Fernando, Esteves Filho, Antonio, Ribeiro, Expedito, Galon, Micheli Z., Spadaro, André, Kajita, Luiz J., Arrieta, Raul, Lemos, Pedro A.","Arquivos Brasileiros de Cardiologia; 105(5); 487-492","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400487&lang=pt" 
"S0066-782X2015002400510-scl","Incidence and Predictors of Cardiovascular Complications and Death after Vascular Surgery","Smeili, Luciana Andrea Avena, Lotufo, Paulo Andrade","Arquivos Brasileiros de Cardiologia; 105(5); 510-518","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400510&lang=pt" 
"S0066-782X2015002400450-scl","Age, Creatinine and Ejection Fraction Score in Brazil: Comparison with InsCor and the EuroSCORE","Mejía, Omar Asdrúbal Vilca, Matrangolo, Bruna La Regina, Titinger, David Provenzale, Faria, Leandro Batisti de, Dallan, Luís Roberto Palma, Galas, Filomena Regina Barbosa, Lisboa, Luiz Augusto Ferreira, Dallan, Luís Alberto Oliveira, Jatene, Fabio Biscegli","Arquivos Brasileiros de Cardiologia; 105(5); 450-456","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400450&lang=pt" 
"S0066-782X2015002400457-scl","Human Tissue Kallikrein Activity in Angiographically Documented Chronic Stable Coronary Artery Disease","Figueiredo, Estêvão Lanna, Magalhães, Carolina Antunes, Belli, Karlyse Claudino, Mandil, Ari, Garcia, José Carlos Faria, Araújo, Rosanã Aparecida, Figueiredo, Amintas Fabiano de Souza, Pellanda, Lucia Campos","Arquivos Brasileiros de Cardiologia; 105(5); 457-565","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400457&lang=pt" 
"S0066-782X2015002400448-scl","Obesity: A Growing Multifaceted Problem","Azevedo, Paula S., Minicucci, Marcos F., Zornoff, Leonardo A. M.","Arquivos Brasileiros de Cardiologia; 105(5); 448-449","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015002400448&lang=pt" 
