"S1517-86922000000500005-scl","Aptidão física, saúde e qualidade de vida relacionada à saúde em adultos","Araújo, Denise Sardinha Mendes Soares de, Araújo, Claudio Gil Soares de","Revista Brasileira de Medicina do Esporte; 6(5); 194-203","Revista Brasileira de Medicina do Esporte","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922000000500005&lang=pt" 
"S0034-89102000000500006-spa","Serviço de emergências psiquiátricas em hospital geral universitário: estudo prospectivo","Santos, Maria Eugênia de SB dos, Amor, Jafesson dos A do, Del-Ben, Cristina M, Zuardi, Antonio W","Revista de Saúde Pública; 34(5); 468-474","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500006&lang=pt" 
"S0034-89102000000500005-spa","Comportamento de Aedes albopictus e de Ae. scapularis adultos (Diptera: Culicidae) no Sudeste do Brasil","Forattini, Oswaldo Paulo, Kakitani, Iná, Santos, Roseli La Corte dos, Kobayashi, Keilla M, Ueno, Helene M, Fernandez, Zoraida","Revista de Saúde Pública; 34(5); 461-467","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500005&lang=pt" 
"S0034-89102000000500003-spa","Avaliação da contaminação bacteriana em desinfetantes de uso domiciliar","Miyagi, Fumie, Timenetsky, Jorge, Alterthum, Flávio","Revista de Saúde Pública; 34(5); 444-448","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500003&lang=pt" 
"S0034-89102000000500002-spa","Abandono de tratamento e recidiva da tuberculose: aspectos de episódios prévios, Campinas, SP, Brasil, 1993-1994","Oliveira, Helenice B de, Moreira Filho, Djalma de C","Revista de Saúde Pública; 34(5); 437-443","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500002&lang=pt" 
"S0034-89102000000500001-spa","Correlation between HIV and HCV in Brazilian prisoners: evidence for parenteral transmission inside prison","Burattini, MN, Massad, E, Rozman, M, Azevedo, RS, Carvalho, HB","Revista de Saúde Pública; 34(5); 431-436","Revista de Saúde Pública","Inglês","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500001&lang=pt" 
"S1020-49892000000900019-spa","The next generation of HIV surveillance systems","","Revista Panamericana de Salud Pública; 8(4); 293-297","Revista Panamericana de Salud Pública","Inglês","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900019&lang=pt" 
"S1020-49892000000900003-spa","A descentralização da saúde no Estado de Mato Grosso, Brasil: financiamento e modelo de atenção","Scatena, João Henrique G., Tanaka, Oswaldo Yoshimi","Revista Panamericana de Salud Pública; 8(4); 242-249","Revista Panamericana de Salud Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900003&lang=pt" 
"S1020-49892000000900018-spa","Decisiones diversas","","Revista Panamericana de Salud Pública; 8(4); 290-292","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900018&lang=pt" 
"S1020-49892000000900007-spa","Evaluación de la respuesta a la tuberculina en estudiantes del área de la salud","Arbeláez M., María Patricia, Ocampo, María Clara, Montoya, Javier, Jaramillo, Lina María, Giraldo, Paula María, Maldonado, Andrés, Cano, Erica, Andrés Mejía, Óscar, García, Luis F.","Revista Panamericana de Salud Pública; 8(4); 272-279","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900007&lang=pt" 
"S1020-49892000000900006-spa","Avaliação das condições de saúde bucal dos idosos em um município brasileiro","Silva, Silvio Rocha Corrêa da, Valsecki Júnior, Aylton","Revista Panamericana de Salud Pública; 8(4); 268-271","Revista Panamericana de Salud Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900006&lang=pt" 
"S1020-49892000000900015-spa","Uso racional","","Revista Panamericana de Salud Pública; 8(4); 286-288","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900015&lang=pt" 
"S1020-49892000000900014-spa","Enmiendas a la rotulación","","Revista Panamericana de Salud Pública; 8(4); 284-286","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900014&lang=pt" 
"S1020-49892000000900013-spa","Políticas sobre medicamentos","","Revista Panamericana de Salud Pública; 8(4); 284-284","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900013&lang=pt" 
"S0102-09352000000500007-scl","Parasitological characteristics and tissue response in the abomasum of sheep infected with Haemonchus spp.","Oliveira-Sequeira, T.C.G., Amarante, A.F.T, Sequeira, J.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 447-452","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500007&lang=pt" 
"S0102-09352000000500008-scl","Dinâmica populacional de Boophilus microplus (Canestrini, 1887) em bovinos leiteiros mantidos em manejo de pastejo rotativo de capim-elefante","Kasai, N., Labruna, M.B., Pires, A.V., Louvandini, H., Abdalla, A.L., Gennari, S.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 453-458","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500008&lang=pt" 
"S0102-09352000000500010-scl","Características físicas e morfológicas de sêmen de touros jovens das raças Gir, Guzerá, Nelore (Bos taurus indicus) e Caracu (Bos taurus taurus)","Schmidt-Hebbel, J., Toniollo, G.H., Leite, F.G., Ferraudo, A.S., Perecin, D., Pacola, L.J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 461-467","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500010&lang=pt" 
"S0102-09352000000500011-scl","Detecção de subfertilidade em vacas leiteiras por meio de medidas anatômicas da região pélvica e do aparelho genital","Vasconcelos, J.L.M., Esper, C.R., Santos, R.M., Vasconcelos, C.G.C., Wechsler, F.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 468-474","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500011&lang=pt" 
"S0102-09352000000500013-scl","Fatores de risco associados ao desempenho reprodutivo da fêmea suína","Amaral, A.L., Morés, N., Barioni Júnior, W., Wentz, I., Bortolozzo, F.P., Sobestiansky, J., Dalla Costa, O.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 479-486","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500013&lang=pt" 
"S0102-09352000000500015-scl","Avaliação da silagem de sete genótipos de sorgo [(Sorghum bicolor (L) Moench)]. II. Padrão de fermentação","Brito, A.F., Gonçalves, L.C., Rodrigues, J.A.S., Rocha Jr., V.R., Rodriguez, N.M., Borges, I.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 491-497","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500015&lang=pt" 
"S0102-09352000000500016-scl","Avaliação da silagem de sete genótipos de sorgo (Sorghum bicolor (L) Moench). III. Valor nutritivo","Brito, A.F., Gonçalves, L.C., Rodrigues, J.A.S., Rocha Jr., V.R., Borges, I., Rodriguez, N.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 498-505","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500016&lang=pt" 
"S0102-09352000000500018-scl","Avaliação de sete genótipos de sorgo (Sorghum bicolor (L.) Moench) para produção de silagem. II- Padrão de fermentação","Rocha Jr., V.R., Gonçalves, L.C., Rodrigues, J.A.S., Brito, A.F., Borges, I., Rodriguez, N.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 512-520","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500018&lang=pt" 
"S0102-09352000000500019-scl","Influência da aplicação de gesso na produção de matéria seca, na relação nitrogênio: enxofre e concentrações de enxofre, cobre, nitrogênio e nitrato em pastagens de Brachiaria decumbens Stapf","Guedes, L.M., Graça, D.S., Morais, M.G., Antunes, R.C., Gonçalves, L.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 521-526","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500019&lang=pt" 
"S0102-09352000000500020-scl","Análise de características de crescimento da raça Simental","Marques, L.F.A., Pereira, J.C.C., Oliveira, H.N., Silva, M.A., Bergmann, J.A.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 527-533","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500020&lang=pt" 
"S0102-09352000000500021-scl","Aspectos epidemiológicos da caprinocultura cearense","Pinheiro, R.R., Gouveia, A.M.G., Alves, F.S.F., Haddad, J.P.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 534-543","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500021&lang=pt" 
"S0102-09352000000500023-scl","Bactérias do gênero Aeromonas em água de matadouro bovino","Rossi Jr, O.D., Amaral, L.A., Nader Filho, A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 549-553","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500023&lang=pt" 
"S0037-86822000000500010-scl","Pulmonary adiaspiromycosis: report of two cases","Santos, Vitorino Modesto dos, Fatureto, Marcelo Cunha, Saldanha, João Carlos, Adad, Sheila Jorge","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 483-488","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500010&lang=pt" 
"S0037-86822000000500013-scl","Influenza sim, gripe não","Amato Neto, Vicente, Pasternak, Jacyr","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 499-500","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500013&lang=pt" 
"S0037-86822000000500001-scl","O plexo pampiniforme na fase crônica da doença de Chagas humana: avaliação histológica","Rocha, Ademir, Miguel, Omar Ferreira, Barbosa, Hugo Marcelo Ribeiro, Candelori, Ignez, Silva, Arnaldo Moreira da, Lopes, Edison Reis","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 413-416","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500001&lang=pt" 
"S0037-86822000000500003-scl","Absence of both circadian rhythm and Trypanosoma cruzi periodicity with xenodiagnosis in chronic chagasic individuals","Castro, Cleudson, Prata, Aluizio","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 427-430","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500003&lang=pt" 
"S0037-86822000000500006-scl","Espécies de Anopheles no município de Pinheiro (Maranhão), área endêmica de malária","Oliveira-Pereira, Yrla Nívea, Rebêlo, José Manuel Macário","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 443-450","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500006&lang=pt" 
"S0037-86822000000500005-scl","Enzimotipagem de espécies do gênero Candida isoladas da cavidade bucal","Candido, Regina Celia, Azevedo, Rosa Vitória Palamin, Komesu, Marilena Chinalli","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 437-442","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500005&lang=pt" 
"S0037-86822000000500008-scl","Dengue: uma nova abordagem","Serufo, José Carlos, Nobre, Vandack, Rayes, Abdunnabi, Marcial, Tânia Maria, Lambertucci, José Roberto","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 465-476","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500008&lang=pt" 
"S0037-86822000000500009-scl","Aplastic crisis caused by parvovirus B19 in an adult patient with sickle-cell disease","Setúbal, Sérgio, Gabriel, Adelmo H.D., Nascimento, Jussara P., Oliveira, Solange A.","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 477-481","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500009&lang=pt" 
"S0037-86822000000500011-scl","How prevalent is Plasmodium malariae in Rondônia, Western Brazilian Amazon?","Cavasini, Marisa Torres Vidal, Ribeiro, Weber Luidi, Kawamoto, Fumihiko, Ferreira, Marcelo Urbano","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 489-492","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500011&lang=pt" 
"S0037-86822000000500002-scl","Epidemiologia e ecologia das dermatofitoses na cidade de Fortaleza: o Trichophyton tonsurans como importante patógeno emergente da Tinea capitis","Brilhante, Raimunda SâmiaNogueira, Paixão, Germana Costa, Salvino, Liliam Kécia, Diógenes, Maria José Nogueira, Bandeira, Silviane Praciano, Rocha, Marcos Fábio Gadelha, Santos, João Bosco Feitosa dos, Sidrim, José Júlio Costa","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 417-425","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500002&lang=pt" 
"S0037-86822000000500004-scl","Avaliação da esquistossomose e de outras parasitoses intestinais, em escolares do município de Bambuí, Minas Gerais, Brasil","Rocha, Roberto Sena, Silva, Janaína Guernica, Peixoto, Sérgio Viana, Caldeira, Roberta Lima, Firmo, Josélia Oliveira Araújo, Carvalho, Omar dos Santos, Katz, Naftale","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 431-436","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500004&lang=pt" 
"S0037-86822000000500007-scl","Gonorréia","Penna, Gerson Oliveira, Hajjar, Ludhmila Abrahão, Braz, Tatiana Magalhães","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 451-464","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500007&lang=pt" 
"S0037-86822000000500012-scl","Contribuição ao diagnóstico morfológico da adiaspiromicose pulmonar","Santos, Vitorino Modesto dos, Reis, Marlene Antonia dos, Adad, Sheila Jorge, Saldanha, João Carlos, Teixeira, Vicente de Paula Antunes","Revista da Sociedade Brasileira de Medicina Tropical; 33(5); 493-497","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500012&lang=pt" 
"S0102-09352000000500006-scl","Efeito colateral da anestesia local subcutânea com vasoconstritores em bovinos","Soares, P.C., Costa, N.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 444-446","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500006&lang=pt" 
"S0102-09352000000500005-scl","Perfil dos constituintes do sangue no puerpério imediato de ovelhas submetidas a cesariana eletiva e de ovelhas com parto normal","Chalhoub, M., Gentile, L.B., Prestes, N.C., Lopes, M.D., Lopes, R.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 440-443","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500005&lang=pt" 
"S0102-09352000000500004-scl","Acurácia do exame citológico no diagnóstico de processos inflamatórios e proliferativos dos animais domésticos","Guedes, R.M.C., Zica, K.G.B., Coelho-Guedes, M.I.M., Oliveira, S.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 437-439","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500004&lang=pt" 
"S0102-09352000000500003-scl","Clinical diagnosis and alternative surgical treatment of tetralogy of Fallot in a dog. A case report","Larsson, M.H.M.A, Pereira, L., Jatene, F.B., Freitas, R.F., Barbusci, L.O.D., Oliveira, S.M. de, Abduch, M.C.D.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 433-436","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500003&lang=pt" 
"S0102-09352000000500001-scl","Caracterização de biótipos de Staphylococcus aureus isolados de mastite bovina","Brito, M.A.V.P., Brito, J.R.F., Cordeiro, F.M., Costa, W.A., Fortes, T.O.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 425-429","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500001&lang=pt" 
"S0102-09352000000500002-scl","Carcinoma de células de transição da uretra com metástases cardíaca e pulmonar em cão","Serakides, R., Rachid, M.A., Veado, J.C., Menezes, J.M.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 430-432","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500002&lang=pt" 
"S0102-09352000000500009-scl","Dípteros muscóides associados com carcaça de suíno e seus parasitóides em área de pastagem e de mata em Goiás","Marchiori, C.H., Silva, C.G., Caldas, E.R., Vieira, C.I.S., Almeida, K.G.S., Teixeira, F.F., Linhares, A.X.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 52(5); 459-460","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352000000500009&lang=pt" 
"S0066-782X2000001000001-scl","Management of chronic aortic regurgitation. From physician to surgeon","Tarasoutchi, Flávio, Grinberg, Max","Arquivos Brasileiros de Cardiologia; 75(4); 266-268","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000001&lang=pt" 
"S0066-782X2000001000003-scl","Response of blood pressure to maximum exercise in hypertensive patients under different therapeutic programs","Carreira, Maria Angela Magalhães de Queiroz, Ribeiro, Jamila Costa, Caldas, José Antônio, Tavares, Leandro Reis, Nani, Eduardo","Arquivos Brasileiros de Cardiologia; 75(4); 285-288","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000003&lang=pt" 
"S0066-782X2000001000005-scl","Clinical and pathological assessment of 82 patients with cardiovascular diseases undergoing autopsy at the Hospital das Clínicas of the Faculdade de Medicina de Botucatu from 1988 to 1993","Oliveira, Reinaldo Ayer de, Silva, Marcos Augusto de Moraes, Andrade, Rubens Ramos de, Montenegro, Mário Rubens Guimarães","Arquivos Brasileiros de Cardiologia; 75(4); 308-312","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000005&lang=pt" 
"S0066-782X2000001000007-scl","Cantrell Syndrome. Case report of an adult","Falcão, João Luiz Alencar Araripe, Falcão, Sandra Nívea dos Reis Saraiva, Sawicki, Wanda Cristina, Liberatori Fº, Aroldo Walter, Lopes, Antonio Carlos","Arquivos Brasileiros de Cardiologia; 75(4); 326-328","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000007&lang=pt" 
"S0066-782X2000001000008-scl","A 73-year-old woman with retrosternal pain but no obstructive coronary artery lesion on coronary angiography","","Arquivos Brasileiros de Cardiologia; 75(4); 334-338","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000008&lang=pt" 
"S0066-782X2000001000009-scl","Beta-adrenergic blocking agents in heart failure","Batlouni, Michel, Albuquerque, Denilson Campos de","Arquivos Brasileiros de Cardiologia; 75(4); 350-360","Arquivos Brasileiros de Cardiologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2000001000009&lang=pt" 
"S0036-46652000000500013-scl","Acute bacterial infections of the lower respiratory tract: epidemiological, clinicopathologic and molecular-genetic findings in children from warm-climate countries","WOLF, Bartholomeus Hubertus Maria","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 244-244","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500013&lang=pt" 
"S0104-93132000000200016-scl","O mal que se adivinha: polícia e menoridade no Rio de Janeiro (1910-1920)","Deccache-Maia, Eline","Mana; 6(2); 189-192","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200016&lang=pt" 
"S0104-93132000000200015-scl","","Franchetto, Bruna","Mana; 6(2); 186-189","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200015&lang=pt" 
"S0104-93132000000200014-scl","","Freire, Maria José Alfaro","Mana; 6(2); 183-186","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200014&lang=pt" 
"S0104-93132000000200013-scl","Um sertão chamado Brasil: intelectuais e representação geográfica da identidade nacional","Souza, Candice Vidal e","Mana; 6(2); 180-183","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200013&lang=pt" 
"S0104-93132000000200012-scl","","Vecchioli, Virginia","Mana; 6(2); 177-180","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200012&lang=pt" 
"S0104-93132000000200011-scl","","Mafra, Clara","Mana; 6(2); 174-177","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200011&lang=pt" 
"S0104-93132000000200010-scl","Antropologia: escritos exumados 2. Dimensões do conhecimento antropológico","Gaspar, Maria Dulce","Mana; 6(2); 171-173","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200010&lang=pt" 
"S0104-93132000000200009-scl","Antropologia: escritos exumados 1. Espaços circunscritos, tempos soltos","Corrêa, Mariza","Mana; 6(2); 169-171","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200009&lang=pt" 
"S0104-93132000000200008-scl","","Lima, Antonio Carlos de Souza","Mana; 6(2); 166-169","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200008&lang=pt" 
"S0104-93132000000200006-scl","Diversidade e universalidade lingüística","Hale, Ken","Mana; 6(2); 147-162","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200006&lang=pt" 
"S0104-93132000000200007-scl","","Frederic, Sabina","Mana; 6(2); 163-166","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200007&lang=pt" 
"S0104-93132000000200001-scl","O inca pano: mito, história e modelos etnológicos","Calavia Sáez, Oscar","Mana; 6(2); 07-35","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200001&lang=pt" 
"S0104-93132000000200002-scl","&quot;I&quot;, &quot;Uuu&quot;, &quot;Shhh&quot;: gritos, sexos e metamorfoses entre Os Matis (Amazônia Brasileira)","Erikson, Philippe","Mana; 6(2); 37-64","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200002&lang=pt" 
"S0104-93132000000200003-scl","O Espírito Santo contra o feitiço e os espíritos revoltados: &quot;civilização&quot; e &quot;tradição&quot; em Moçambique","Fry, Peter","Mana; 6(2); 65-95","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200003&lang=pt" 
"S0104-93132000000200004-scl","Um gaúcho e dezoito condores nas Ilhas Malvinas: identidade política e nação sob o autoritarismo argentino","Guber, Rosana","Mana; 6(2); 97-125","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200004&lang=pt" 
"S0104-93132000000200005-scl","Putas, escravos e garanhões: linguagens de exploração e de acomodação entre boxeadores profissionais","Wacquant, Loïc","Mana; 6(2); 127-146","Mana","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-93132000000200005&lang=pt" 
"S0036-46652000000500012-scl","Aloantibodies ABO in patients with ascariasis","PONCE DE LEON, Patricia, VALVERDE, Juana, ZDERO, María","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 297-298","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500012&lang=pt" 
"S0036-46652000000500011-scl","Preliminary studies on antigenic mimicry of Ascaris lumbricoides","PONCE DE LEÓN, Patricia, VALVERDE, Juana, ZDERO, María","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 295-296","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500011&lang=pt" 
"S0036-46652000000500002-scl","Paragonimosis in the Cajabamba and Condebamba districts, Cajamarca, Peru","CORNEJO, William, HUIZA, Alina, ESPINOZA, Yrma, ALVA, Pilar, SEVILLA, Carlos, CENTURION, Wilson","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 245-247","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500002&lang=pt" 
"S0036-46652000000500001-scl","Inoculation of BALB/c mice with Lacazia loboi","MADEIRA, Suzana, OPROMOLLA, Diltor Vladimir Araújo, BELONE, Andréa de Faria Fernandes","Revista do Instituto de Medicina Tropical de São Paulo; 42(5); 239-243","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652000000500001&lang=pt" 
