"S1137-66272009000300011-esp","Neuritis óptica inflamatoria","Ayuso, T., Aliseda, D., Ajuria, I., Zandío, B., Mayor, S., Navarro, M.C.","Anales del Sistema Sanitario de Navarra; 32(2); 249-263","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300011&lang=pt" 
"S0213-12852009000400003-esp","Prevalencia de caries en una población escolar de doce años","Tapias Ledesma, M.A., Martín-Pero, L., Hernández, V., Jiménez, R., Gil de Miguel, A.","Avances en Odontoestomatología; 25(4); 185-191","Avances en Odontoestomatología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852009000400003&lang=pt" 
"S0213-12852009000400001-esp","","","Avances en Odontoestomatología; 25(4); 177-177","Avances en Odontoestomatología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852009000400001&lang=pt" 
"S0034-89102009000400003-scl","Qualidade do sistema de informação do câncer do colo do útero no estado do Rio de Janeiro","Girianelli, Vania Reis, Thuler, Luiz Claudio Santos, Silva, Gulnar Azevedo e","Revista de Saúde Pública; 43(4); 580-588","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400003&lang=pt" 
"S0034-89102009000400008-scl","Prevalência de dor crônica e fatores associados na população de Salvador, Bahia","Sá, Katia, Baptista, Abrahão Fontes, Matos, Marcos Almeida, Lessa, Ines","Revista de Saúde Pública; 43(4); 622-630","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400008&lang=pt" 
"S0034-89102009000400018-scl","Percepção de familiares sobre a anorexia e bulimia: revisão sistemática","Espíndola, Cybele Ribeiro, Blay, Sérgio Luís","Revista de Saúde Pública; 43(4); 707-716","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400018&lang=pt" 
"S0034-89102009000400001-scl","Efeito da fortificação alimentar com ácido fólico na prevalência de defeitos do tubo neural","Pacheco, Sâmya Silva, Braga, Cynthia, Souza, Ariani Impieri de, Figueiroa, José Natal","Revista de Saúde Pública; 43(4); 565-571","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400001&lang=pt" 
"S0034-89102009000400007-scl","Factors associated to quality of life in active elderly","Alexandre, Tiago da Silva, Cordeiro, Renata Cereda, Ramos, Luiz Roberto","Revista de Saúde Pública; 43(4); 613-621","Revista de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400007&lang=pt" 
"S0034-89102009000400001-spa","Efeito da fortificação alimentar com ácido fólico na prevalência de defeitos do tubo neural","Pacheco, Sâmya Silva, Braga, Cynthia, Souza, Ariani Impieri de, Figueiroa, José Natal","Revista de Saúde Pública; 43(4); 565-571","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000400001&lang=pt" 
"S0034-89102009000400003-spa","Qualidade do sistema de informação do câncer do colo do útero no estado do Rio de Janeiro","Girianelli, Vania Reis, Thuler, Luiz Claudio Santos, Silva, Gulnar Azevedo e","Revista de Saúde Pública; 43(4); 580-588","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000400003&lang=pt" 
"S0034-89102009000400008-spa","Prevalência de dor crônica e fatores associados na população de Salvador, Bahia","Sá, Katia, Baptista, Abrahão Fontes, Matos, Marcos Almeida, Lessa, Ines","Revista de Saúde Pública; 43(4); 622-630","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000400008&lang=pt" 
"S0034-89102009000400018-spa","Percepção de familiares sobre a anorexia e bulimia: revisão sistemática","Espíndola, Cybele Ribeiro, Blay, Sérgio Luís","Revista de Saúde Pública; 43(4); 707-716","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000400018&lang=pt" 
"S0103-84782009000500040-scl","Esporulação de Pyricularia grisea em diferentes meios de cultura e regimes de luz","Cruz, Maria Fernanda Antunes da, Prestes, Ariano Moraes, Maciel, João Leodato Nunes","Ciência Rural; 39(5); 1562-1564","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500040&lang=pt" 
"S1678-77572009000400001-scl","Guest editorial: placing enabling technologies at the forefront of translational research","Kuo, Winston Patrick","Journal of Applied Oral Science; 17(4); -","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400001&lang=pt" 
"S1678-77572009000400005-scl","Influence of light energy density on heat generation during photoactivation of dental composites with different dentin and composite thickness","Guiraldo, Ricardo Danil, Consani, Simonides, Souza, Aline Simprine de, Consani, Rafael Leonardo Xediek, Sinhoreti, Mario Alexandre Coelho, Correr-Sobrinho, Lourenço","Journal of Applied Oral Science; 17(4); 289-293","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400005&lang=pt" 
"S1678-77572009000400014-scl","Joint disorder: nonreducing disc displacement with mouth opening limitation - report of a case","Corrêa, Hellen Cordeiro, Freitas, Ana Carolina Stevaneli, Silva, Anísio Lima da, Coêlho, Túlio Kalife, Castillo, Daisilene Baena, Vinholi, Gustavo Helder","Journal of Applied Oral Science; 17(4); 350-353","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400014&lang=pt" 
"S1678-77572009000400010-scl","Cytotoxicity of intermaxillary orthodontic elastics of different colors: an in vitro study","Santos, Rogério Lacerda dos, Pithon, Matheus Melo, Mendes, Gabriella da Silva, Romanos, Maria Teresa Villela, Ruellas, Antônio Carlos de Oliveira","Journal of Applied Oral Science; 17(4); 326-329","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400010&lang=pt" 
"S1678-77572009000400002-scl","In vitro interactions between lactic acid solution and art glass-ionomer cements","Wang, Linda, Cefaly, Daniela Francisca Gigo, Santos, Janaína Lima dos, Santos, Jean Rodrigo dos, Lauris, José Roberto Pereira, Mondelli, Rafael Francisco Lia, Atta, Maria Teresa","Journal of Applied Oral Science; 17(4); 274-279","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400002&lang=pt" 
"S1678-77572009000400003-scl","In vitro assessment of an experimental coat applied over fluoride varnishes","Delbem, Alberto Carlos Botazzo, Brighenti, Fernanda Lourenção, Oliveira, Felipe Alberto Lino, Pessan, Juliano Pelin, Buzalaf, Marília Afonso Rabelo, Sassaki, Kikue Takebayashi","Journal of Applied Oral Science; 17(4); 280-283","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400003&lang=pt" 
"S1678-77572009000400004-scl","Effectiveness of home bleaching agents in discolored teeth and influence on enamel microhardness","Delfino, Carina Sinclér, Chinelatti, Michelle Alexandra, Carrasco-Guerisoli, Laíse Daniela, Batista, Andrigo Reis, Fröner, Izabel Cristina, Palma-Dibb, Regina Guenka","Journal of Applied Oral Science; 17(4); 284-288","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400004&lang=pt" 
"S1678-77572009000400006-scl","Influence of environmental conditions on properties of ionomeric and resin sealant materials","Kantovitz, Kamila Rosamilia, Pascon, Fernanda Miori, Correr, Gisele Maria, Alonso, Roberta Caroline Bruschi, Rodrigues, Lidiany Karla Azevedo, Alves, Marcelo Correa, Puppin-Rontani, Regina Maria","Journal of Applied Oral Science; 17(4); 294-300","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400006&lang=pt" 
"S1678-77572009000400008-scl","A field-trial of two restorative materials used with atraumatic restorative treatment in rural Turkey: 24-month results","Ercan, Ertugrul, Dülgergil, Ç. Türksel, Soyman, Mübin, Dalli, Mehmet, Yildirim, Isil","Journal of Applied Oral Science; 17(4); 307-314","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400008&lang=pt" 
"S1678-77572009000400009-scl","Bond strength and morphology of enamel using self-etching adhesive systems with different acidities","Moura, Sandra Kiss, Reis, Alessandra, Pelizzaro, Arlete, Dal-Bianco, Karen, Loguercio, Alessandro Dourado, Arana-Chavez, Victor Elias, Grande, Rosa Helena Miranda","Journal of Applied Oral Science; 17(4); 315-325","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400009&lang=pt" 
"S1678-77572009000400015-scl","Orthodontic treatment alternative to a class III subdivision malocclusion","Janson, Guilherme, Souza, José Eduardo Prado de, Barros, Sérgio Estelita Cavalcante, Andrade Junior, Pedro, Nakamura, Alexandre Yudi","Journal of Applied Oral Science; 17(4); 354-363","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400015&lang=pt" 
"S1678-77572009000400011-scl","Influence of crown shape on root coverage therapy","Peres, Maria Fernanda Santos, Ribeiro, Érica Del Peloso, Bittencourt, Sandro, Sallum, Enilson Antônio, Sallum, Antônio Wilson, Nociti-Júnior, Francisco Humberto, Casati, Márcio Zaffalon","Journal of Applied Oral Science; 17(4); 330-334","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400011&lang=pt" 
"S1678-77572009000400007-scl","Clinical outcome of narrow diameter implants inserted into allografts","Franco, Maurizio, Viscioni, Alessandro, Rigo, Leone, Guidi, Riccardo, Zollino, Ilaria, Avantaggiato, Anna, Carinci, Francesco","Journal of Applied Oral Science; 17(4); 301-306","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400007&lang=pt" 
"S0102-311X2009000800023-scl","Erratum","","Cadernos de Saúde Pública; 25(8); 1865-1865","Cadernos de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000800023&lang=pt" 
"S0102-311X2009000800001-scl","Farmacogenômica e a diversidade genética da população brasileira","Suarez-Kurtz, Guilherme","Cadernos de Saúde Pública; 25(8); 1650-1651","Cadernos de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000800001&lang=pt" 
"S0102-311X2009000800006-scl","Avaliação de conhecimentos e práticas que adultos e crianças têm acerca da doença de Chagas e seus vetores em região endêmica de Minas Gerais, Brasil","Villela, Marcos Marreiro, Pimenta, Denise Nacif, Lamounier, Paulo Acácio, Dias, João Carlos Pinto","Cadernos de Saúde Pública; 25(8); 1701-1710","Cadernos de Saúde Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000800006&lang=pt" 
"S0102-311X2009000800013-scl","Cambridge Cognitive Examination: performance of healthy elderly Brazilians with low education levels","Moreira, Irene de Freitas Henriques, Lourenço, Roberto Alves, Soares, Claudia, Engelhardt, Eliasz, Laks, Jerson","Cadernos de Saúde Pública; 25(8); 1774-1780","Cadernos de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000800013&lang=pt" 
"S0103-84782009000500047-scl","Concentrações de metais pesados em grãos de café produzidos em lavouras sobre solos originados do basalto e do arenito Caiuá","Schmidt, Carla Adriana Pizarro, Miglioranza, Édison, Nagashima, Getúlio, Grecco, Fábio","Ciência Rural; 39(5); 1591-1594","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500047&lang=pt" 
"S0103-84782009000500001-scl","Volume de calda e inseticidas no controle de Piezodorus guildinii (Westwood) na cultura da soja","Maziero, Heleno, Guedes, Jerson Vanderlei Carús, Farias, Juliano Ricardo, Rodrigues, Rodrigo Borkowski, Dalazen, Giliardi, Dal Prá, Elder","Ciência Rural; 39(5); 1307-1312","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500001&lang=pt" 
"S0103-84782009000500003-scl","Qualidade fisiológica de sementes de arroz submetidas à radiação gama","Miranda, Helen Lúcia da Cruz, Bobrowski, Vera Lucia, Tillmann, Maria Angela André, Dode, Luciana Bicca, Meneghello, Geri Eduardo","Ciência Rural; 39(5); 1320-1326","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500003&lang=pt" 
"S0103-84782009000500002-scl","Características morfológicas em plantas de cultivares de aveia como indicadoras do potencial competitivo com plantas daninhas","Schaedler, Carlos Eduardo, Fleck, Nilson Gilberto, Ferreira, Fausto Borges, Lazaroto, Carlos Alberto, Rizzardi, Mauro Antônio","Ciência Rural; 39(5); 1313-1319","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500002&lang=pt" 
"S0103-84782009000500031-scl","Desempenho e características de carcaça de suínos dos 20 aos 50kg recebendo rações com reduzido teor de proteína bruta e diferentes níveis de lisina digestível verdadeira","Zangeronimo, Márcio Gilberto, Fialho, Elias Tadeu, Lima, José Augusto de Freitas, Girão, Lúcio Vilela Carneiro, Amaral, Níkolas de Oliveira, Silveira, Hebert","Ciência Rural; 39(5); 1507-1513","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500031&lang=pt" 
"S0103-84782009000500043-scl","Rendimento de feijão e alterações no pH e na matéria orgânica do solo em função de doses de composto de resíduo de algodão","Ramos, Sílvio Júnio, Alves, Daniel Soares, Fernandes, Luiz Arnaldo, Costa, Candido Alves da","Ciência Rural; 39(5); 1572-1576","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500043&lang=pt" 
"S0103-84782009000500019-scl","Dióxido de carbono em forma de névoa na refrigeração da ferramenta de corte, durante a usinagem da madeira","Gozeloto, Marcelo, Gonçalves, Raquel","Ciência Rural; 39(5); 1426-1432","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500019&lang=pt" 
"S0103-84782009000500041-scl","Moscas-das-frutas em pomares de pessegueiro e maracujazeiro, no Município de Iraceminha, Santa Catarina, Brasil","Alberti, Sheila, Garcia, Flávio Roberto Mello, Bogus, Gilson Marcos","Ciência Rural; 39(5); 1565-1568","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500041&lang=pt" 
"S0103-84782009000500045-scl","Suscetibilidade de linhagens celulares e cultivos primários ao Neospora caninum","Cadore, Gustavo Cauduro, Vogel, Fernanda Silveira Flores, Flores, Eduardo Furtado, Sangioni, Luis Antônio, Camillo, Giovana","Ciência Rural; 39(5); 1581-1586","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500045&lang=pt" 
"S0103-84782009000500042-scl","Germinação in vitro de pólen de híbridos interespecíficos entre o caiaué e o dendezeiro","Chia, Gilson Sanchez, Lopes, Ricardo, Cunha, Raimundo Nonato Vieira da, Rocha, Raimundo Nonato Carvalho da","Ciência Rural; 39(5); 1569-1571","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500042&lang=pt" 
"S0103-84782009000500020-scl","Dopplervelocimetric evaluation of portal vein as a diagnostic tool for portosystemic shunt diagnosis in dogs","Carvalho, Cibele Figueira, Cerri, Giovanni Guido, Chammas, Maria Cristina","Ciência Rural; 39(5); 1433-1437","Ciência Rural","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500020&lang=pt" 
"S0103-84782009000500046-scl","Investigação de Campylobacter fetus e Tritrichomonas foetus na mucosa prepucial de touros da região do Médio Paraíba, RJ","Rocha, Flávio Soares da, Jesus, Vera Lúcia Teixeira de, Torres, Helenita Marques, Gomes, Marcos José Pereira, Figueiredo, Márcio José de, Nascimento, Elmiro Rosendo do, Ferreira, Teresinha, Aquino, Maria Helena Cosendey de","Ciência Rural; 39(5); 1587-1590","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500046&lang=pt" 
"S0103-84782009000500026-scl","Intestinal mucosa structure of broiler chickens infected experimentally with Eimeria tenella and treated with essential oil of oregano","Silva, Maria Aparecida da, Pessotti, Bruna Mirelly de Sousa, Zanini, Surama Freitas, Colnago, Geraldo Luiz, Rodrigues, Maria Regina Alves, Nunes, Louisiane de Carvalho, Zanini, Marcos Santos, Martins, Isabella Vilhena Freire","Ciência Rural; 39(5); 1471-1477","Ciência Rural","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500026&lang=pt" 
"S0103-84782009000500027-scl","Caracterização e desempenho reprodutivo de fêmeas suínas submetidas à intervenção obstétrica manual","Mellagi, Ana Paula Gonçalves, Heim, Giseli, Bernardi, Mari Lourdes, Bortolozzo, Fernando Pandolfo, Wentz, Ivo","Ciência Rural; 39(5); 1478-1484","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500027&lang=pt" 
"S0103-84782009000500008-scl","Modelos de determinação não-destrutiva da área foliar em girassol","Maldaner, Ivan Carlos, Heldwein, Arno Bernardo, Loose, Luis Henrique, Lucas, Dionéia Daiane Pitol, Guse, Fabrício Ivan, Bortoluzzi, Mateus Possebon","Ciência Rural; 39(5); 1356-1361","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500008&lang=pt" 
"S0103-84782009000500038-scl","Análise ergonômica do trabalho em unidades de beneficiamento de produtos agrícolas: exigências laborais dos postos de seleção","Braga, Celso de Oliveira, Abrahão, Roberto Funnes, Tereso, Mauro José Andrade","Ciência Rural; 39(5); 1552-1557","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500038&lang=pt" 
"S0103-84782009000500044-scl","An improved method for characterization of the mutation associated to porcine stress syndrome by PCR amplification followed by restriction analysis","Luerce, Tessália Diniz, Galli, Vanessa, Cerqueira, Gustavo Maia, Simionatto, Simone, Dellagostin, Odir Antônio","Ciência Rural; 39(5); 1577-1580","Ciência Rural","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500044&lang=pt" 
"S0103-84782009000500039-scl","Uso de Bacillus subtilis no controle da meloidoginose e na promoção do crescimento do tomateiro","Araújo, Fabio Fernando de, Marchesi, Gabriel Victor Poletto","Ciência Rural; 39(5); 1558-1561","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500039&lang=pt" 
"S0102-311X2009000800001-spa","Farmacogenômica e a diversidade genética da população brasileira","Suarez-Kurtz, Guilherme","Cadernos de Saúde Pública; 25(8); 1650-1651","Cadernos de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2009000800001&lang=pt" 
"S0102-311X2009000800023-spa","Erratum","","Cadernos de Saúde Pública; 25(8); 1865-1865","Cadernos de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2009000800023&lang=pt" 
"S0102-311X2009000800013-spa","Cambridge Cognitive Examination: performance of healthy elderly Brazilians with low education levels","Moreira, Irene de Freitas Henriques, Lourenço, Roberto Alves, Soares, Claudia, Engelhardt, Eliasz, Laks, Jerson","Cadernos de Saúde Pública; 25(8); 1774-1780","Cadernos de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2009000800013&lang=pt" 
"S0102-311X2009000800011-spa","Analysis of the prevalence of and factors associated with urinary incontinence among elderly people in the Municipality of São Paulo, Brazil: SABE Study (Health, Wellbeing and Aging)","Tamanini, José Tadeu Nunes, Lebrão, Maria Lúcia, Duarte, Yeda A. O., Santos, Jair L. F., Laurenti, Ruy","Cadernos de Saúde Pública; 25(8); 1756-1762","Cadernos de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2009000800011&lang=pt" 
"S0034-89102009000400009-spa","Performance of a Brazilian population on the test of functional health literacy in adults","Carthery-Goulart, Maria Teresa, Anghinah, Renato, Areza-Fegyveres, Renata, Bahia, Valeria Santoro, Brucki, Sonia Maria Dozzi, Damin, Antonio, Formigoni, Ana Paula, Frota, Norberto, Guariglia, Carla, Jacinto, Alessandro F, Kato, Eliane Mayumi, Lima, Edson P, Mansur, Letícia, Moreira, Daniel, Nóbrega, Ana, Porto, Claudia Selitto, Senaha, Mirna L H, Silva, Mari-Nilva Maia da, Smid, Jerusa, Souza-Talarico, Juliana N, Radanovic, Marcia, Nitrini, Ricardo","Revista de Saúde Pública; 43(4); 631-638","Revista de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000400009&lang=pt" 
"S0102-311X2009000800011-scl","Analysis of the prevalence of and factors associated with urinary incontinence among elderly people in the Municipality of São Paulo, Brazil: SABE Study (Health, Wellbeing and Aging)","Tamanini, José Tadeu Nunes, Lebrão, Maria Lúcia, Duarte, Yeda A. O., Santos, Jair L. F., Laurenti, Ruy","Cadernos de Saúde Pública; 25(8); 1756-1762","Cadernos de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000800011&lang=pt" 
"S0103-84782009000500014-scl","Crescimento e produção de antúrio cultivado sob diferentes malhas de sombreamento","Nomura, Edson Shigueaki, Lima, Juliana Domingues, Rodrigues, Domingos Sávio, Garcia, Valéria Augusta, Fuzitani, Eduardo Jun, Silva, Silvia Helena Modenese-Gorla da","Ciência Rural; 39(5); 1394-1400","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500014&lang=pt" 
"S0103-84782009000500022-scl","Comparative evaluation of conventional RT-PCR and real-time RT-PCR (RRT-PCR) for detection of avian metapneumovirus subtype A","Ferreira, Helena Lage, Spilki, Fernando Rosado, Santos, Márcia Mercês Aparecida Bianchi dos, Almeida, Renata Servan de, Arns, Clarice Weis","Ciência Rural; 39(5); 1445-1451","Ciência Rural","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500022&lang=pt" 
"S0103-84782009000500052-scl","Fatores pré-colheita que afetam a qualidade tecnológica de trigo","Franceschi, Lucia de, Benin, Giovani, Guarienti, Eliana, Marchioro, Volmir Sérgio, Martin, Thomas Newton","Ciência Rural; 39(5); 1625-1632","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500052&lang=pt" 
"S0103-84782009000500051-scl","Dirofilariose: zoonose emergente negligenciada","Silva, Rodrigo Costa da, Langoni, Helio","Ciência Rural; 39(5); 1615-1624","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500051&lang=pt" 
"S0103-84782009000500035-scl","Crescimento de jundiá e carpa húngara criados em sistema de recirculação de água","Corrêia, Viviani, Radünz Neto, João, Lazzari, Rafael, Veiverberg, Cátia Aline, Bergamin, Giovani Taffarel, Pedron, Fabio de Araújo, Ferreira, Cristiano Costenaro, Emanuelli, Tatiana, Ribeiro, Cristiane Portes","Ciência Rural; 39(5); 1533-1539","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500035&lang=pt" 
"S0103-84782009000500009-scl","Rentabilidade da produção orgânica de cultivares de alface com diferentes preparos do solo e ambiente de cultivo","Araújo Neto, Sebastião Elviro de, Ferreira, Regina Lúcia Félix, Pontes, Frederico Silva Thé","Ciência Rural; 39(5); 1362-1368","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500009&lang=pt" 
"S0103-84782009000500033-scl","Administração oral de piperina em frangos de corte","Cardoso, Verônica da Silva, Lima, Cristina Amorim Ribeiro de, Lima, Marco Edílson Freire de, Dorneles, Luis Eduardo Gomes, Teixeira Filho, Walter Leira, Lisboa, Raquel Silva, Guedes Junior, Daniel da Silva, Direito, Glória Maria, Danelli, Maria das Graças Miranda","Ciência Rural; 39(5); 1521-1526","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500033&lang=pt" 
"S0103-84782009000500023-scl","Radiação gama sobre a micobiota de ração avícola e Aspergillus spp.","Ribeiro, Jéssika Mara Martins, Cavaglieri, Lilia Renée, Vital, Hélio de Carvalho, Kruger, César Daniel, Rosa, Carlos Alberto da Rocha","Ciência Rural; 39(5); 1452-1458","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500023&lang=pt" 
"S0103-84782009000500004-scl","Expressão dos caracteres e seleção de clones de batata nas condições de cultivo de primavera e outono","Müller, Douglas Renato, Bisognin, Dilson Antônio, Andriolo, Jerônimo Luiz, Morin Junior, Glademir Roque, Gnocato, Francisco Saccol","Ciência Rural; 39(5); 1327-1334","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500004&lang=pt" 
"S0103-84782009000500013-scl","Desempenho agronômico de linhas endogâmicas recombinadas de pimenta em dois sistemas de cultivo","Moreira, Sarah Ola, Rodrigues, Rosana, Araújo, Maria Luíza de, Sudré, Cláudia Pombo, Riva-Souza, Elaine Manelli","Ciência Rural; 39(5); 1387-1393","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500013&lang=pt" 
"S0103-84782009000500029-scl","Conforto térmico de bovinos leiteiros confinados em clima subtropical e mediterrâneo pela análise de parâmetros fisiológicos utilizando a teoria dos conjuntos fuzzy","Perissinotto, Maurício, Moura, Daniella Jorge, Cruz, Vasco Fitas, Souza, Silvia Regina Lucas de, Lima, Karla Andréa Oliveira de, Mendes, Angélica Signor","Ciência Rural; 39(5); 1492-1498","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500029&lang=pt" 
"S0103-84782009000500015-scl","Crescimento, teor e composição do óleo essencial de melissa cultivada sob malhas fotoconversoras","Brant, Renata da Silva, Pinto, José Eduardo Brasil Pereira, Rosa, Louise Ferreira, Albuquerque, Carlos Juliano Brant, Ferri, Pedro Henrique, Corrêa, Ricardo Monteiro","Ciência Rural; 39(5); 1401-1407","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500015&lang=pt" 
"S0103-84782009000500006-scl","Temperatura base inferior e estacionalidade de produção de genótipos diplóides e tetraplóides de azevém","Müller, Liziany, Manfron, Paulo Augusto, Medeiros, Sandro Luís Petter, Streck, Nereu Augusto, Mittelmman, Andréa, Dourado Neto, Durval, Bandeira, Andriéli Hedlund, Morais, Katiule Pereira","Ciência Rural; 39(5); 1343-1348","Ciência Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009000500006&lang=pt" 
