"S0430-50272015000100005-prt","Mobilidades, comércio e consumo da feira de Leiria: conflitos de uma centralidade temporária","Bernardino, Virgílio Manuel Pereira, Rocha, Márcio Mendes","Finisterra - Revista Portuguesa de Geografia; (99); 101-117","Finisterra - Revista Portuguesa de Geografia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0430-50272015000100005&lang=pt" 
"S1809-48642015000200130-scl","Surfactant Protein A Expression in Chronic Rhinosinusitis and Atrophic Rhinitis","El-Anwar, Mohammad Waheed, Hamed, Atef A., Mohamed, Abd ElRaof Said, Nofal, Ahmad Abdel-Fattah, Mohamed, Maha A., Abdel-Aziz, Hesham R.","International Archives of Otorhinolaryngology; 19(2); 130-134","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200130&lang=pt" 
"S1809-48642015000200135-scl","Mercury Exposure in a Riverside Amazon Population, Brazil: A Study of the Ototoxicity of Methylmercury","Hoshino, Ana, Pacheco-Ferreira, Heloisa, Sanches, Seisse Gabriela G., Carvallo, Renata, Cardoso, Nathália, Perez, Maurício, Câmara, Volney de Magalhães","International Archives of Otorhinolaryngology; 19(2); 135-140","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200135&lang=pt" 
"S1809-48642015000200099-scl","Research Awards 2015","Jotz, Geraldo Pereira","International Archives of Otorhinolaryngology; 19(2); 099-099","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200099&lang=pt" 
"S1809-48642015000200161-scl","Auditory Brainstem Response in Term and Preterm Infants with Neonatal Complications: The Importance of the Sequential Evaluation","Silva, Daniela da, Lopez, Priscila, Mantovani, Jair Cortez","International Archives of Otorhinolaryngology; 19(2); 161-165","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200161&lang=pt" 
"S0034-83092015000100409-scl","WOOD, GORDON S. &lt;italic&gt;A REVOLUÇÃO AMERICANA&lt;/italic&gt;. RIO DE JANEIRO: OBJETIVA, 2013.","Pandolfi, Fernanda Cláudia","Revista de História (São Paulo); (172); 409-412","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100409&lang=pt" 
"S1809-48642015000200166-scl","Health Promotion in Obstructive Sleep Apnea Syndrome","Corrêa, Camila de Castro, Blasca, Wanderléia Quinhoneiro, Berretin-Felix, Giédre","International Archives of Otorhinolaryngology; 19(2); 166-170","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200166&lang=pt" 
"S1809-48642015000200176-scl","Olfaction in Neurologic and Neurodegenerative Diseases: A Literature Review","Godoy, Maria Dantas Costa Lima, Voegels, Richard Louis, Pinna, Fábio de Rezende, Imamura, Rui, Farfel, José Marcelo","International Archives of Otorhinolaryngology; 19(2); 176-179","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200176&lang=pt" 
"S1809-48642015000200183-scl","Intralabyrinthine Penetrating Ventilation Tube with Preservation of Hearing: An Unusual Clinical Situation","Raoelina, Tantely Razafimahefa, Elziere, Maya, Michel, Justin, Devèze, Arnaud","International Archives of Otorhinolaryngology; 19(2); 183-186","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200183&lang=pt" 
"S2237-96222015000200207-spa","Desenho da amostra da Pesquisa Nacional de Saúde 2013","Souza-Júnior, Paulo Roberto Borges de, Freitas, Marcos Paulo Soares de, Antonaci, Giuseppe de Abreu, Szwarcwald, Célia Landmann","Epidemiologia e Serviços de Saúde; 24(2); 207-216","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200207&lang=pt" 
"S2237-96222015000200325-spa","Uso de big data em saúde no Brasil: perspectivas para um futuro próximo","Chiavegatto Filho, Alexandre Dias Porto","Epidemiologia e Serviços de Saúde; 24(2); 325-332","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200325&lang=pt" 
"S0034-73292015000100164-scl","International drivers of Brazilian agricultural cooperation in Africa in the post-2008 economic crisis","Vaz, Alcides Costa","Revista Brasileira de Política Internacional; 58(1); 164-190","Revista Brasileira de Política Internacional","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100164&lang=pt" 
"S0034-73292015000100127-scl","Transformações da ordem econômica mundial, do final do século 19 à Segunda Guerra Mundial","Almeida, Paulo Roberto de","Revista Brasileira de Política Internacional; 58(1); 127-141","Revista Brasileira de Política Internacional","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100127&lang=pt" 
"S0034-73292015000100108-scl","EU Commission participation in the Troika mission: is there a European Union price to pay?","Soares, Antonio Goucha","Revista Brasileira de Política Internacional; 58(1); 108-126","Revista Brasileira de Política Internacional","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100108&lang=pt" 
"S0034-73292015000100005-scl","A cooperação técnica do Brasil com a África: comparando os governos Fernando Henrique Cardoso (1995-2002) e Lula da Silva (2003-2010)","Mendonça Júnior, Wilson, Faria, Carlos Aurélio Pimenta de","Revista Brasileira de Política Internacional; 58(1); 5-22","Revista Brasileira de Política Internacional","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100005&lang=pt" 
"S0034-73292015000100023-scl","A integração regional como mecanismo para provisão de bens públicos: uma análise comparativa da agenda de segurança pública no Mercosul e na Comunidade Andina de Nações","Las Casas, Taiane","Revista Brasileira de Política Internacional; 58(1); 23-41","Revista Brasileira de Política Internacional","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100023&lang=pt" 
"S0034-73292015000100042-scl","The UN peacebuilding process: an analysis of its shortcomings in Timor-Leste","Blanco, Ramon","Revista Brasileira de Política Internacional; 58(1); 42-62","Revista Brasileira de Política Internacional","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100042&lang=pt" 
"S0034-73292015000100063-scl","Political conditions for successful inflation stabilization: comparing Brazil and Argentina","Özdemir, Yonca","Revista Brasileira de Política Internacional; 58(1); 63-83","Revista Brasileira de Política Internacional","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100063&lang=pt" 
"S0034-73292015000100084-scl","Os Estados Unidos e a ameaça do crime organizado transnacional nos anos 1990","Pereira, Paulo","Revista Brasileira de Política Internacional; 58(1); 84-107","Revista Brasileira de Política Internacional","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100084&lang=pt" 
"S0034-73292015000100142-scl","Negociações comerciais em uma economia fechada: o Brasil e o comércio de serviços na Rodada Uruguai","Cunha, Raphael Coutinho da","Revista Brasileira de Política Internacional; 58(1); 142-163","Revista Brasileira de Política Internacional","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100142&lang=pt" 
"S0034-73292015000100191-scl","Environmental issues and international relations, a new global (dis)order - the role of International Relations in promoting a concerted international system","Pereira, Joana Castro","Revista Brasileira de Política Internacional; 58(1); 191-209","Revista Brasileira de Política Internacional","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100191&lang=pt" 
"S0034-73292015000100210-scl","Towards modular regionalism: the proliferation of Latin American cooperation","Gardini, Gian Luca","Revista Brasileira de Política Internacional; 58(1); 210-229","Revista Brasileira de Política Internacional","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100210&lang=pt" 
"S0034-73292015000100230-scl","The US experience in contracting out security and lessons for other countries","Bruneau, Thomas C.","Revista Brasileira de Política Internacional; 58(1); 230-248","Revista Brasileira de Política Internacional","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292015000100230&lang=pt" 
"S2237-96222015000200287-spa","Problema crônico de coluna e diagnóstico de distúrbios osteomusculares relacionados ao trabalho (DORT) autorreferidos no Brasil: Pesquisa Nacional de Saúde, 2013","Oliveira, Max Moura de, Andrade, Silvânia Suely Caribé de Araújo, Souza, Carlos Augusto Vaz de, Ponte, Jully Nascimento, Szwarcwald, Célia Landmann, Malta, Deborah Carvalho","Epidemiologia e Serviços de Saúde; 24(2); 287-296","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200287&lang=pt" 
"S2237-96222015000200197-spa","O processo de desenvolvimento da Pesquisa Nacional de Saúde no Brasil, 2013","Damacena, Giseli Nogueira, Szwarcwald, Célia Landmann, Malta, Deborah Carvalho, Souza Júnior, Paulo Roberto Borges de, Vieira, Maria Lúcia França Pontes, Pereira, Cimar Azeredo, Morais Neto, Otaliba Libânio de, Silva Júnior, Jarbas Barbosa da","Epidemiologia e Serviços de Saúde; 24(2); 197-206","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200197&lang=pt" 
"S2237-96222015000200277-spa","Prática de atividade física e hábito de assistir à televisão entre adultos no Brasil: Pesquisa Nacional de Saúde 2013","Mielke, Grégore Iven, Hallal, Pedro Curi, Rodrigues, Gisele Balbino Araújo, Szwarcwald, Célia Landmann, Santos, Flávia Vinhaes, Malta, Deborah Carvalho","Epidemiologia e Serviços de Saúde; 24(2); 277-286","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200277&lang=pt" 
"S1405-66662015000200008-mex","La percepción de los estudiantes de Bellas Artes sobre lo aprendido en un entorno de Aprendizaje Basado en Problemas","Gregori-Giralt, Eva, Menéndez-Varela, José-Luis","Revista mexicana de investigación educativa; 20(65); 481-506","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200008&lang=pt" 
"S1405-66662015000200004-mex","Liderazgo de los rectores frente a la &quot;tercera misión&quot; de la universidad: visiones globales, miradas locales","Badillo Vega, Rosalba, Buendía Espinosa, Angélica, Krücken, Georg","Revista mexicana de investigación educativa; 20(65); 393-417","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200004&lang=pt" 
"S1405-66662015000200013-mex","Estado del arte sobre experiencias de enseñanza de programación a niños y jóvenes para el mejoramiento de las competencias matemáticas en primaria","Palma Suárez, Carlos Andrés, Sarmiento Porras, Román Eduardo","Revista mexicana de investigación educativa; 20(65); 607-641","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200013&lang=pt" 
"S1405-66662015000200012-mex","Procesos cognoscitivos básicos asociados a las dificultades en comprensión lectora de alumnos de secundaria","Flores-Macías, Rosa del Carmen, Jiménez, Juan E., García, Eduardo","Revista mexicana de investigación educativa; 20(65); 581-605","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200012&lang=pt" 
"S2179-10742015000100014-scl","Analysis and Design of a GaAs Monolithic Tunable Polyphase Filter in S/C Bands","Leggieri, Alberto, Passi, Davide, Gagliesi, Daniele, Di Paolo, Franco","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 14-27","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100014&lang=pt" 
"S2179-10742015000100028-scl","Long Period Bragg Grating in Coaxial Transmission Lines","Stevan Jr, Sergio Luiz, Mendes Júnior, José Jair Alves, Janzen, Frederich Conrad, Oliveira, Murilo Leme, Pohl, Alexandre de Almeida Prado","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 28-39","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100028&lang=pt" 
"S2179-10742015000100040-scl","Design and implementation of a Quarter Mode Substrate Integrated Waveguide (QMSIW) cavity filter","Alkhoder Jr, Assal, Abboud, Fariz","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 40-50","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100040&lang=pt" 
"S2179-10742015000100060-scl","Radio-Wave Propagation Model for UHF Band in Different Climatic Conditions with Dyadic Green’s Function","Gomes Jr, Cristiane R., Silva, Diego K. N. da, Araújo, Jasmine, Gomes, Herminio S., Cavalcante, Gervásio P. S.","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 60-72","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100060&lang=pt" 
"S2179-10742015000100121-scl","An efficient method of EM field modification around transmitting stations","Lewicki, Fryderyk, Scharoch, Pawel","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 121-131","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100121&lang=pt" 
"S0864-21412015000200018-cub","Aspectos metodológicos sobre las revisiones sistemáticas y la Colaboración Cochrane","Oramas Díaz, Jehová, Santana Arroyo, Sonia","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200018&lang=pt" 
"S0864-21412015000200012-cub","Herramientas para análisis cualitativo en estudio del empleo de la información científica por usuarios de Infomed","Llanusa Ruiz, Susana Beatriz, Rojo Pérez, Nereida, Sarduy Domínguez, Yanetsys, Urra González, Pedro Andrés","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200012&lang=pt" 
"S0864-21412015000200013-cub","Estrategia didáctica para estimular la educación de la personalidad en estudiantes de Licenciatura en Psicología","Veloso Rodríguez, Ariadna, Veloso Pérez, Eduardo","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200013&lang=pt" 
"S0864-21412015000200011-cub","Identificación y normalización de las competencias profesionales específicas del especialista en Medicina Intensiva y Emergencia","Véliz Martínez, Pedro Luis, Jorna Calixto, Ana Rosa, Berra Socarrás, Esperanza Mirella","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200011&lang=pt" 
"S0864-21412015000200016-cub","Análisis histórico de la superación profesional de los tecnólogos de la salud en laboratorio clínico","García González, Mercedes Caridad, Loret de Mola López, Enrique, Bermejo Correa, Rolando Miguel, Cadenas Freixas, José Luis","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200016&lang=pt" 
"S0864-21412015000200015-cub","Dimensiones de la evaluación de impacto del posgrado académico desde la óptica de la Educación Avanzada en la Educación Médica","Borges Oquendo, Lourdes de la Caridad, Añorga Morales, Julia Aurora","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200015&lang=pt" 
"S0864-21412015000200009-cub","Impacto de la maestría en Educación Médica Superior en el desarrollo científico de sus egresados","Díaz Rojas, Pedro Augusto, Leyva Sánchez, Elizabeth, Borroto Cruz, Eugenio Radamés, Vicedo Tomey, Agustín","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200009&lang=pt" 
"S0864-21412015000200003-cub","Hiperentorno educativo para el aprendizaje de la Gastroenterología Pediátrica","García Bacallao, Elsa, Jorge Fernández, Miriam, García Bacallao, Lourdes, Pérez Suárez, Jorge","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200003&lang=pt" 
"S0864-21412015000200004-cub","Experiencia de cambio metodológico en estudiantes chilenos basada en la autonomía y colaboración para la construcción de aprendizajes","Araya Leal, Sandra Hortensia","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200004&lang=pt" 
"S0864-21412015000200007-cub","Utilidad de una estrategia educativa activo-participativa en el desarrollo del razonamiento clínico en pregrado","Gómez López, Víctor Manuel, Rosales Gracia, Sandra, Medellín del Angel, Luis Gerardo, Azcona Arteaga, Francisco Javier","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200007&lang=pt" 
"S0864-21412015000200006-cub","La Educación Avanzada ante las exigencias de los procesos de profesionalización pedagógica en la Educación Médica","Barbón Pérez, Olga Gloria, Borges Oquendo, Lourdes, Añorga Morales, Julia A","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200006&lang=pt" 
"S0185-25232015000100083-mex","Caroline Cunill, Los defensores de indios de Yucatán y el acceso de los mayas a la justicia colonial, 1540-1600, Mérida, Centro Peninsular en Humanidades y Ciencias Sociales-Universidad Nacional Autónoma de México, 2012, 391 pp.","Llanes Salazar, Rodrigo","Estudios de historia novohispana; (52); 83-85","Estudios de historia novohispana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232015000100083&lang=pt" 
"S0185-25232015000100075-mex","Cristina Gómez Álvarez, Navegar con libros: el comercio de libros entre España y Nueva España: una visión cultural de la Independencia (1750-1820), México, D.F., Universidad Nacional Autónoma de México, Madrid, España, Trama editorial, 2011, 173 pp. (Colección Barlovento). ISBN (México) 978-607-02-2459-1; ISBN (España) 978-84-92755-46-2","Meneses Tello, Felipe","Estudios de historia novohispana; (52); 75-79","Estudios de historia novohispana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232015000100075&lang=pt" 
"S0864-21412015000200001-cub","Hacia una educación médica cada vez más científica","Borroto Cruz, Eugenio Radamés","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200001&lang=pt" 
"S0864-21412015000200014-cub","Investigación acción en la formación del profesorado universitario novel a través de la propuesta de una rúbrica","Guerra-Martín, María Dolores, Lima-Serrano, Marta, Porcel-Gálvez, Ana María, León-Larios, Fátima, González-López, José Rafael","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200014&lang=pt" 
"S0185-25232015000100080-mex","Luis René Guerrero Galván, De acciones y transgresiones: los comisarios del Santo Oficio y la aplicación de la justicia inquisitorial en Zacatecas, siglo XVIII. Zacatecas: Universidad Autónoma de Zacatecas, 2010","Lourenço, Miguel Rodrigues","Estudios de historia novohispana; (52); 80-81","Estudios de historia novohispana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232015000100080&lang=pt" 
"S0864-21412015000200017-cub","La educación de posgrado en las universidades médicas cubanas","Urbina Laza, Omayda","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200017&lang=pt" 
"S0864-21412015000200010-cub","Propuesta metodológica para el análisis crítico a un programa de estudio","García Milián, Ana Julia, Alonso Carbone, Liuba, López Puig, Pedro, León Cabrera, Pablo, Segredo Pérez, Alina María, Calvo Barbado, Dulce María","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200010&lang=pt" 
"S0864-21412015000200019-cub","Aprender, desaprender, reaprender","Vidal Ledo, María Josefina, Fernández Oliva, Bertha","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200019&lang=pt" 
"S0864-21412015000200008-cub","Curso para el equipo básico de salud sobre el control y prevención del VIH/sida","Bolaños Gutiérrez, María Regla, Díaz Lemus, Margarita, Segredo Pérez, Alina","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200008&lang=pt" 
"S0864-21412015000200002-cub","Alcance de las investigaciones del Programa de Maestría en Atención Primaria de Salud","Perdomo Victoria, Irene, Segredo Pérez, Alina María, León Cabrera, Pablo","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200002&lang=pt" 
"S0864-21412015000200005-cub","Influencia del canal de percepción predominante, en el desarrollo de la aptitud clínica de los estudiantes de Medicina","Rosales Gracia, Sandra, Gómez López, Víctor Manuel, Guzmán Acuña, Josefina, García Galaviz, José Luis, Vázquez Vázquez, José Arturo","Educación Médica Superior; 29(2); -","Educación Médica Superior","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412015000200005&lang=pt" 
"S0102-36162015000300243-scl","RBO print or eletronic?","Camanho, Gilberto Luis","Revista Brasileira de Ortopedia; 50(3); 243-244","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300243&lang=pt" 
"S2237-96222015000200335-spa","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA","Galvão, Taís Freire, Pansani, Thais de Souza Andrade, Harrad, David","Epidemiologia e Serviços de Saúde; 24(2); 335-342","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200335&lang=pt" 
"S2237-96222015000200315-spa","Uso de medicamentos para tratamento de doenças crônicas não transmissíveis no Brasil: resultados da Pesquisa Nacional de Saúde, 2013","Tavares, Noemia Urruth Leão, Costa, Karen Sarmento, Mengue, Sotero Serrate, Vieira, Maria Lúcia França Pontes, Malta, Deborah Carvalho, Silva Júnior, Jarbas Barbosa da","Epidemiologia e Serviços de Saúde; 24(2); 315-323","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200315&lang=pt" 
"S2237-96222015000200267-spa","Prevalência e distribuição sociodemográfica de marcadores de alimentação saudável, Pesquisa Nacional de Saúde, Brasil 2013","Jaime, Patricia Constante, Stopa, Sheila Rizzato, Oliveira, Taís Porto, Vieira, Maria Lúcia, Szwarcwald, Célia Landmann, Malta, Deborah Carvalho","Epidemiologia e Serviços de Saúde; 24(2); 267-276","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200267&lang=pt" 
"S2237-96222015000200217-spa","Estilos de vida da população brasileira: resultados da Pesquisa Nacional de Saúde, 2013","Malta, Deborah Carvalho, Andrade, Silvânia Suely Caribé de Araújo, Stopa, Sheila Rizzato, Pereira, Cimar Azeredo, Szwarcwald, Célia Landmann, Silva Júnior, Jarbas Barbosa da, Reis, Ademar Arthur Chioro dos","Epidemiologia e Serviços de Saúde; 24(2); 217-226","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200217&lang=pt" 
"S2237-96222015000200227-spa","Consumo abusivo de álcool no Brasil: resultados da Pesquisa Nacional de Saúde 2013","Garcia, Leila Posenato, Freitas, Lúcia Rolim Santana de","Epidemiologia e Serviços de Saúde; 24(2); 227-237","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200227&lang=pt" 
"S2237-96222015000200297-spa","Prevalência de hipertensão arterial autorreferida na população brasileira: análise da Pesquisa Nacional de Saúde, 2013","Andrade, Silvânia Suely de Araújo, Stopa, Sheila Rizzato, Brito, Alessandra Scalioni, Chueri, Patrícia Sampaio, Szwarcwald, Célia Landmann, Malta, Deborah Carvalho","Epidemiologia e Serviços de Saúde; 24(2); 297-304","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200297&lang=pt" 
"S2237-96222015000200239-spa","Uso e exposição à fumaça do tabaco no Brasil: resultados da Pesquisa Nacional de Saúde 2013","Malta, Deborah Carvalho, Oliveira, Taís Porto, Vieira, Maria Lúcia, Almeida, Liz, Szwarcwald, Célia Landmann","Epidemiologia e Serviços de Saúde; 24(2); 239-248","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200239&lang=pt" 
"S2237-96222015000200305-spa","Prevalência de diabetes autorreferido no Brasil: resultados da Pesquisa Nacional de Saúde 2013","Iser, Betine Pinto Moehlecke, Stopa, Sheila Rizzato, Chueiri, Patrícia Sampaio, Szwarcwald, Célia Landmann, Malta, Deborah Carvalho, Monteiro, Helena Oliveira da Cruz, Duncan, Bruce Bartholow, Schmidt, Maria Inês","Epidemiologia e Serviços de Saúde; 24(2); 305-314","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200305&lang=pt" 
"S2237-96222015000200249-spa","Consumo elevado de sal autorreferido em adultos: dados da Pesquisa Nacional de Saúde, 2013","Oliveira, Max Moura de, Malta, Deborah Carvalho, Santos, Maria Aline Siqueira, Oliveira, Taís Porto, Nilson, Eduardo Augusto Fernandes, Claro, Rafael Moreira","Epidemiologia e Serviços de Saúde; 24(2); 249-256","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000200249&lang=pt" 
"S1405-66662015000200003-mex","Relaciones de amistad y solidaridad en el aula: Un acercamiento psicoeducativo a la discapacidad en un marco inclusivo","Luque Parra, Diego Jesús, Luque Rojas, María Jesús","Revista mexicana de investigación educativa; 20(65); 369-392","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200003&lang=pt" 
"S1405-66662015000200010-mex","Niveles de interpretación que muestran estudiantes sobre gráficas para comunicar información de contextos económicos y sociodemográficos","Inzunsa Cazares, Santiago","Revista mexicana de investigación educativa; 20(65); 529-555","Revista mexicana de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662015000200010&lang=pt" 
"S2179-10742015000100073-scl","An improved UWB Patch Antenna Design using Multiple Notches and Finite Ground Plane","Padmavathy, A.P, Madhan, M.Ganesh","Journal of Microwaves, Optoelectronics and Electromagnetic Applications; 14(1); 73-82","Journal of Microwaves, Optoelectronics and Electromagnetic Applications","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-10742015000100073&lang=pt" 
