"S0718-84712015000100019-chl","Georgios Kanarakis (Editor): El aporte diacrònico del griego a otras lenguas","Castillo Didier, Miguel","Byzantion nea hellás; (34); 359-361","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100019&lang=pt" 
"S0716-10182015000600016-chl","Neutropenia grave secundaria al tratamiento médico de una adenitis por micobacterias no tuberculosas","Ruíz del Olmo, Ignacio, Romera, Beatriz, Guerrero, Carmelo, Burgués, Pedro, Bustillo, Matilde","Revista chilena de infectología; 32(5); 584-587","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000600016&lang=pt" 
"S2317-17822015000500411-scl","Telessaúde em Audiologia: avaliação da eficácia de uma rede social on-line como apoio aos pais de crianças candidatas ao implante coclear","Aiello, Camila Piccini, Ferrari, Deborah Viviane","CoDAS; 27(5); 411-418","CoDAS","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822015000500411&lang=pt" 
"S0011-85162015000900002-sza","Professor Daniel Philip Barnard Emeritus Professor: Medical University of Southern Africa (Sefako Makgotho Hospital)","Botha, Piet, Evans, Bill","South African Dental Journal; 70(9); 380-383","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000900002&lang=pt" 
"S0100-69912015000600280-scl","Evidence based case report","GUIMARÃES, CARLOS ALBERTO","Revista do Colégio Brasileiro de Cirurgiões; 42(5); 280-280","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912015000600280&lang=pt" 
"S2077-99172015000400002-per","Determinación del potencial promotor del crecimiento vegetal de Azotobacter spp. aislados de la rizósfera de malezas en cultivos de maíz (Zea mays L.)","León, Luis H, Rojas, Luis M","Scientia Agropecuaria; 6(4); 247-257","Scientia Agropecuaria","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-99172015000400002&lang=pt" 
"S1678-77572015000500515-scl","Effect of software version and parameter settings on the marginal and internal adaptation of crowns fabricated with the CAD/CAM system","SHIM, Ji Suk, LEE, Jin Sook, LEE, Jeong Yol, CHOI, Yeon Jo, SHIN, Sang Wan, RYU, Jae Jun","Journal of Applied Oral Science; 23(5); 515-522","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500515&lang=pt" 
"S1678-77572015000500508-scl","Analysis of the reaction of subcutaneous tissues in rats and the antimicrobial activity of calcium hydroxide paste used in association with different substances","MIDENA, Raquel Zanin, GARCIA, Roberto Brandão, CAVENAGO, Bruno Cavalini, MARCIANO, Marina Angélica, MINOTTI, Paloma Gagliardi, ORDINOLA-ZAPATA, Ronald, WECKWERTH, Paulo Henrique, ANDRADE, Flaviana Bombarda de, DUARTE, Marco Antonio Hungaro","Journal of Applied Oral Science; 23(5); 508-514","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500508&lang=pt" 
"S1678-77572015000500536-scl","Differential expression of CC chemokines (CCLs) and receptors (CCRs) by human T lymphocytes in response to different Aggregatibacter actinomycetemcomitans serotypes","ALVAREZ, Carla, BENÍTEZ, Alvaro, ROJAS, Leticia, PUJOL, Myriam, CARVAJAL, Paola, DÍAZ-ZÚÑIGA, Jaime, VERNAL, Rolando","Journal of Applied Oral Science; 23(5); 536-546","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500536&lang=pt" 
"S1678-77572015000500529-scl","Management of painful temporomandibular joint clicking with different intraoral devices and counseling: a controlled study","CONTI, Paulo César Rodrigues, CORRÊA, Ana Silvia da Mota, LAURIS, José Roberto Pereira, STUGINSKI-BARBOSA, Juliana","Journal of Applied Oral Science; 23(5); 529-535","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500529&lang=pt" 
"S1678-77572015000500523-scl","Microbial contamination and disinfection methods of pacifiers","NELSON-FILHO, Paulo, LOUVAIN, Márcia Costa, MACARI, Soraia, LUCISANO, Marília Pacífico, SILVA, Raquel Assed Bezerra da, QUEIROZ, Alexandra Mussolino de, GATON-HERNÁNDEZ, Patrícia, SILVA, Léa Assed Bezerra da","Journal of Applied Oral Science; 23(5); 523-528","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500523&lang=pt" 
"S1678-77572015000500467-scl","Biocompatibility and bioactivity of calcium silicate-based endodontic sealers in human dental pulp cells","MESTIERI, Leticia Boldrin, GOMES-CORNÉLIO, Ana Lívia, RODRIGUES, Elisandra Márcia, SALLES, Loise Pedrosa, BOSSO-MARTELO, Roberta, GUERREIRO-TANOMARU, Juliane Maria, TANOMARU-FILHO, Mário","Journal of Applied Oral Science; 23(5); 467-471","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500467&lang=pt" 
"S1678-77572015000500479-scl","Cone beam computed tomography study of apical root resorption induced by Herbst appliance","SCHWARTZ, João Paulo, RAVELI, Taísa Boamorte, ALMEIDA, Kélei Cristina de Mathias, SCHWARTZ-FILHO, Humberto Osvaldo, RAVELI, Dirceu Barnabé","Journal of Applied Oral Science; 23(5); 479-485","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500479&lang=pt" 
"S1678-77572015000500472-scl","Altered β-catenin expression in oral mucosal dysplasia: a comparative study","SILVA, Brunno Santos de Freitas, CASTRO, Caroline Alves de, VON ZEIDLER, Sandra Lúcia Ventorin, SOUSA, Suzana Cantanhede Orsini Machado de, BATISTA, Aline Carvalho, YAMAMOTO-SILVA, Fernanda Paula","Journal of Applied Oral Science; 23(5); 472-478","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500472&lang=pt" 
"S1678-77572015000500459-scl","Acinar autolysis and mucous extravasation in human sublingual glands: a microscopic postmortem study","AZEVEDO-ALANIS, Luciana Reis, TOLENTINO, Elen de Souza, ASSIS, Gerson Francisco de, CESTARI, Tânia Mary, LARA, Vanessa Soares, DAMANTE, José Humberto","Journal of Applied Oral Science; 23(5); 459-466","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500459&lang=pt" 
"S1678-77572015000500450-scl","Marginal integrity of restorations produced with a model composite based on polyhedral oligomeric silsesquioxane (POSS)","CORREA NETTO, Luciano Ribeiro, BORGES, Alexandre Luiz Souto, GUIMARÃES, Heloisa Bailly, ALMEIDA, Elis Regina Nunes de, POSKUS, Laiza Tatiana, SILVA, Eduardo Moreira da","Journal of Applied Oral Science; 23(5); 450-458","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500450&lang=pt" 
"S1678-77572015000500486-scl","Protective effect of experimental mouthrinses containing NaF and TiF4 on dentin erosive loss in vitro","CASTILHO, Aline Rogéria Freire de, SALOMÃO, Priscila Maria Aranda, BUZALAF, Marília Afonso Rabelo, MAGALHÃES, Ana Carolina","Journal of Applied Oral Science; 23(5); 486-490","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500486&lang=pt" 
"S1678-77572015000500491-scl","Serum big endothelin-1 as a biomarker in oral squamous cell carcinoma patients: an analytical study","MANKAPURE, Pritam Kumar, BARPANDE, Suresh Ramchandra, BHAVTHANKAR, Jyoti Dilip, MANDALE, Manda","Journal of Applied Oral Science; 23(5); 491-496","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500491&lang=pt" 
"S1678-77572015000500497-scl","Effects on gastric mucosa induced by dental bleaching – an experimental study with 6% hydrogen peroxide in rats","PAULA, Anabela Baptista, DIAS, Maria Isabel, FERREIRA, Manuel Marques, CARRILHO, Teresa, MARTO, Carlos Miguel, CASALTA, João, CABRITA, António Silvério, CARRILHO, Eunice","Journal of Applied Oral Science; 23(5); 497-507","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000500497&lang=pt" 
"S0188-62662015000500003-mex","Contaminación por ruido en el centro histórico de Matamoros","Zamorano González, Benito, Peña Cárdenas, Fabiola, Parra Sierra, Víctor, Velázquez Narváez, Yolanda, Vargas Martínez, José Ignacio","Acta universitaria; 25(5); 20-27","Acta universitaria","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-62662015000500003&lang=pt" 
"S0188-62662015000500004-mex","Appraisal of exercise recommendations for osteoporosis treatment of current guidelines: a systematic review","Regil-González, Paulina de, Olascoaga-Gómez de León, Andrea, Chávez-Arias, Daniel D., Nava-Bringas, Tania I., Macías-Hernández, Salvador I., Cruz-Medina, Eva, Lara-Vázquez, Blanca I., Coronado-Zarco, Roberto","Acta universitaria; 25(5); 28-35","Acta universitaria","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-62662015000500004&lang=pt" 
"S0188-62662015000500001-mex","Talla de madurez de almeja de sifón Panopea globosa en la parte central del Golfo de California","Aragón-Noriega, Eugenio Alberto","Acta universitaria; 25(5); 03-10","Acta universitaria","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-62662015000500001&lang=pt" 
"S1665-11462015000500318-mex","Hijo de madre con síndrome de HELLP: características y papel de la prematuridad, bajo peso y leucopenia en su evolución","González Álvarez, Carmen Elena, González García, Lara Gloria, Carrera García, Laura, Díaz Zabala, Mikel, Suárez Rodríguez, Marta, Arias Llorente, Rosa Patricia, Costa Romero, Marta, Solís Sánchez, Gonzalo","Boletín médico del Hospital Infantil de México; 72(5); 318-324","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500318&lang=pt" 
"S1665-11462015000500297-mex","El verdadero impacto en la salud del neonato nacido de una gestación con trastorno hipertensivo del embarazo","Díaz-Martínez, Luis Alfonso","Boletín médico del Hospital Infantil de México; 72(5); 297-298","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500297&lang=pt" 
"S1665-11462015000500346-mex","Diseño de estudios clínicos y causalidad: ¿la vacuna oral contra rotavirus causa invaginación intestinal?","Castilla-Peón, María Fernanda, Ramírez-Sandoval, Juan C., Reyes-Morales, Hortensia, Reyes-López, Alfonso","Boletín médico del Hospital Infantil de México; 72(5); 346-352","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500346&lang=pt" 
"S1665-11462015000500339-mex","Prematuro tardío con gastrosquisis e hipoalbuminemia grave","Zalles-Vidal, Cristian, Vega González, María Guadalupe, Valadez Reyes, María Teresa, Cabrera-Muñoz, María de Lourdes","Boletín médico del Hospital Infantil de México; 72(5); 339-345","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500339&lang=pt" 
"S1665-11462015000500333-mex","Perinatal factors and type 1 diabetes-associated dysbiosis in Mexican infants","Mejía-León, María Esther, Calderón de la Barca, Ana María","Boletín médico del Hospital Infantil de México; 72(5); 333-338","Boletín médico del Hospital Infantil de México","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500333&lang=pt" 
"S1665-11462015000500353-mex","Decisiones de los padres que no arriesgan la vida de sus hijos, pero que los exponen a daños serios: no a las vacunas","Guadarrama-Orozco, Jéssica H., Vargas-López, Guillermo, Viesca-Treviño, Carlos","Boletín médico del Hospital Infantil de México; 72(5); 353-357","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500353&lang=pt" 
"S1665-11462015000500307-mex","Microbiología de lavado broncoalveolar en lactantes con neumonía bacteriana adquirida en la comunidad de mala evolución","García-Elorriaga, Guadalupe, Palma-Alaniz, Laura, García-Bolaños, Carlos, Ruelas-Vargas, Consuelo, Méndez-Tovar, Socorro, Rey-Pineda, Guillermo del","Boletín médico del Hospital Infantil de México; 72(5); 307-312","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500307&lang=pt" 
"S1665-11462015000500313-mex","Cetoacidosis diabética en niños: experiencia hospitalaria. Estudio retrospectivo de 15 años","Gómez Rivera, Norberto, García Zárate, María Guadalupe, Fonseca Chon, Ignacio, Gómez Figueroa, Cesar Omar, Gómez Jiménez, Isaac Albéniz, Villalobos García, Luis","Boletín médico del Hospital Infantil de México; 72(5); 313-317","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500313&lang=pt" 
"S1665-11462015000500325-mex","Incontinencia pigmenti con defecto en la inmunidad celular","Zamora-Chávez, Antonio, Escobar-Sánchez, Argelia, Sadowinski-Pine, Stanislaw, Saucedo-Ramírez, Omar Josué, Delgado-Barrera, Palmira, Enríquez-Quiñones, Claudia G.","Boletín médico del Hospital Infantil de México; 72(5); 325-332","Boletín médico del Hospital Infantil de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500325&lang=pt" 
"S1665-11462015000500299-mex","Retinoblastoma in Mexico: part I. A review of general knowledge of the disease, diagnosis, and management","Lansingh, Van C., Eckert, Kristen A., Haik, Barrett G., Phillipps, Blanca X., Bosch-Canto, Vanessa, Leal-Leal, Carlos, Ramírez-Ortiz, Marco A.","Boletín médico del Hospital Infantil de México; 72(5); 299-306","Boletín médico del Hospital Infantil de México","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462015000500299&lang=pt" 
"S0185-33252015000500391-mex","Don Quijote. El poder del delirio.","Rojas Malpica, Carlos","Salud mental; 38(5); 391-392","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500391&lang=pt" 
"S0185-33252015000500347-mex","Evaluación de la efectividad de una intervención interactiva para el manejo del estrés en profesionales de la salud","Fuentes, Patricia, Barrera, Ma. Isabel, González Forteza, Catalina, Ruiz, Eunice, Rodríguez, Eva Ma., Navarro, Claudia","Salud mental; 38(5); 347-351","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500347&lang=pt" 
"S0185-33252015000500361-mex","Identificación de estresores laborales y burnout en docentes de una secundaria para trabajadores del Distrito Federal","Saltijeral Méndez, María Teresa, Ramos Lira, Luciana","Salud mental; 38(5); 361-369","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500361&lang=pt" 
"S0185-33252015000500353-mex","Alteraciones neuropsicológicas por exposición crónica a concentraciones bajas de monóxido de carbono en trabajadores de autopista de peaje de México","Díaz-López, Luis Fernando, Haro-García, Luis Cuauhtémoc, Juárez-Pérez, Cuauhtémoc Arturo, Aguilar-Madrid, Guadalupe","Salud mental; 38(5); 353-359","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500353&lang=pt" 
"S0185-33252015000500337-mex","Estudio transversal de uso de servicios de salud mental en cinco ciudades del Perú","Piazza, Marina, Fiestas, Fabián","Salud mental; 38(5); 337-345","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500337&lang=pt" 
"S0185-33252015000500311-mex","Exploración de las propiedades psicométricas de la Batería Montreal de Evaluación de Amusia en una muestra de sujetos con epilepsia de lóbulo temporal","Toledo-Fernández, Aldebarán, Salvador-Cruz, Judith","Salud mental; 38(5); 311-319","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500311&lang=pt" 
"S2306-41022015000500007-mex","Artroplastía de resuperficialización de cadera posterior a distracción iliofemoral en displasia del desarrollo de la cadera tipo IV: reporte de un caso","Sambri, A, Cadossi, M, Mazzotti, A, Faldini, C, Giannini, S","Acta ortopédica mexicana; 29(5); 271-274","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500007&lang=pt" 
"S2306-41022015000500004-mex","Ondas de choque en población deportiva y no deportiva: resultados preliminares","Serviat-Hung, N, Carvajal-Veitía, W, Medina-Sánchez, M, Gutiérrez-Jorge, Y, Croas-Fernández, A","Acta ortopédica mexicana; 29(5); 254-260","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500004&lang=pt" 
"S2306-41022015000500005-mex","Adelantamiento rotuliano tipo Bandi versus limpieza articular artroscópica para el manejo de la artrosis patelofemoral: Seguimiento a un año","Barragán-Hervella, R, Montiel-Jarquín, A, Alvarado-Ortega, I, Corona-Juárez, E, Lima-Ramírez, P, Vázquez-Rodríguez, C, Romero-Figueroa, M, López-Cázares, G, Ramos-Hernández, V, Medina-Escobedo, C, Villatoro-Martínez, A, Salvatori-Rubí, J, Moyaho-Bernal, A","Acta ortopédica mexicana; 29(5); 261-265","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500005&lang=pt" 
"S2306-41022015000500001-mex","Hoy por ti, mañana por mí","Espinosa-Urrutia, E","Acta ortopédica mexicana; 29(5); 243-244","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500001&lang=pt" 
"S0188-62662015000500005-mex","Nadando a contracorriente: las madres solas como nuevo actor social en la novela mexicana contemporánea de Juan Rulfo y Julián Herbert","García Peña, Lilia Leticia","Acta universitaria; 25(5); 36-46","Acta universitaria","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-62662015000500005&lang=pt" 
"S0188-62662015000500002-mex","Comparación del desempeño térmico de techos verdes y techos blancos mediante técnicas IR","Ordóñez López, Eduardo Ernesto, Pérez Sánchez, María Milagrosa","Acta universitaria; 25(5); 11-19","Acta universitaria","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-62662015000500002&lang=pt" 
"S2306-41022015000500002-mex","Factores asociados a un sangrado mayor en reemplazo total de cadera","Torres-Gómez, A, Mallen-Trejo, A","Acta ortopédica mexicana; 29(5); 245-250","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500002&lang=pt" 
"S2306-41022015000500008-mex","Control de daño de extremidad pélvica en lesión compleja del pie: Reporte de un caso","Velázquez-Vélez, D, Durán-Martínez, N, Peñafort-García, JA, Romero-Peña, A","Acta ortopédica mexicana; 29(5); 275-279","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500008&lang=pt" 
"S2306-41022015000500003-mex","Resección de la superficie articular por abordaje dorsal mínimamente invasivo para artrodesis de la articulación interfalángica distal","Ayala-Gamboa, U, Domínguez-Chacón, ND","Acta ortopédica mexicana; 29(5); 251-253","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500003&lang=pt" 
"S2306-41022015000500006-mex","Estudio del nivel de concordancia entre los diagnósticos prequirúrgico y artroscópico de lesiones meniscales asociadas a lesiones del ligamento cruzado anterior","Montiel-Jarquín, A, Barragán-Hervella, R, López-Cázares, G, Lima-Ramírez, P, Lázaro-Michaca, G, Vallecillo-Velázquez, H, Sánchez-Durán, M, Medina-Escobedo, C, Villatoro-Martínez, A","Acta ortopédica mexicana; 29(5); 266-270","Acta ortopédica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2306-41022015000500006&lang=pt" 
"S0185-33252015000500309-mex","Adversidad psicosocial, salud mental y suicidio en adolescentes: ¿estamos haciendo lo suficiente para atender a esta población?","Palacios Cruz, Lino","Salud mental; 38(5); 309-310","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500309&lang=pt" 
"S0185-33252015000500321-mex","Salud mental en mujeres maltratadas por su pareja. Un estudio con muestras de México y España","García Oramas, María José, Matud Aznar, M. Pilar","Salud mental; 38(5); 321-327","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500321&lang=pt" 
"S0034-74502015000400010-col","Psicosis asociada con síndrome de Fahr: informe de un caso","Cassiani-Miranda, Carlos Arturo, Herazo-Bustos, Mariana, Cabrera-González, Armando, Cadena-Ramos, Ivan, Barrios-Ayola, Francisco","Revista Colombiana de Psiquiatría; 44(4); 256-261","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400010&lang=pt" 
"S0034-74502015000400007-col","Trastorno conversivo en niños y adolescentes","Duque, Paula Andrea, Vásquez, Rafael, Cote, Miguel","Revista Colombiana de Psiquiatría; 44(4); 237-242","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400007&lang=pt" 
"S0034-74502015000400003-col","Caracterización de pacientes adultos con diagnóstico de apnea del sueño en una clínica de sueño en la ciudad de Pereira (Colombia)","Moreno, Alexander, Echeverry, Jorge Enrique, Moreno, German Alberto","Revista Colombiana de Psiquiatría; 44(4); 206-212","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400003&lang=pt" 
"S0034-74502015000400004-col","Estructura factorial de la Cardiff Anomalous Perceptions Scale (CAPS) en una muestra de población colombiana","Tamayo-Agudelo, William, Jaén-Moreno, María José, Luque-Luque, Rogelio","Revista Colombiana de Psiquiatría; 44(4); 213-219","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400004&lang=pt" 
"S0034-74502015000400005-col","Evaluación y seguimiento metabólico del paciente con diagnóstico de esquizofrenia","Oviedo, Gabriel Fernando, Gómez Restrepo, Carlos, Bohórquez Peñaranda, Adriana, García Valencia, Jenny, Jaramillo, Luis Eduardo, Tamayo, Nathalie, Arenas, María Luisa, Vélez Fernández, Carolina","Revista Colombiana de Psiquiatría; 44(4); 220-229","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400005&lang=pt" 
"S0034-74502015000400002-col","Síndrome por quemarse en el trabajo y variables familiares y laborales de los médicos generales de Bogotá. Una estrategia de calidad laboral","Aguirre Roldán, Adriana María, Quijano Barriga, Ana María","Revista Colombiana de Psiquiatría; 44(4); 198-205","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400002&lang=pt" 
"S0034-74502015000400009-col","Trazodona en el trastorno del comportamiento del sueño MOR","Chica-Urzola, Heyd y Luz","Revista Colombiana de Psiquiatría; 44(4); 251-255","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400009&lang=pt" 
"S0034-74502015000400001-col","Invitación a renovar vínculos","Palacio Acosta, Carlos Alberto","Revista Colombiana de Psiquiatría; 44(4); 197-197","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400001&lang=pt" 
"S0034-74502015000400008-col","El complejo estigma-discriminación asociado a trastorno mental como factor de riesgo de suicidio","Campo-Arias, Adalberto, Herazo, Edwin","Revista Colombiana de Psiquiatría; 44(4); 243-250","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400008&lang=pt" 
"S0034-74502015000400006-col","Actigrafía en pacientes con trastorno bipolar y familiares en primer grado","Andrade Carrillo, Rommel, Gómez Cano, Sujey, Palacio Ortiz, Juan David, García Valencia, Jenny","Revista Colombiana de Psiquiatría; 44(4); 230-236","Revista Colombiana de Psiquiatría","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502015000400006&lang=pt" 
"S0185-33252015000500393-mex","La morfología de la naturaleza humana.","Portillo Corte, Jonatan","Salud mental; 38(5); 393-394","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500393&lang=pt" 
"S0185-33252015000500379-mex","Suicidios en menores de 20 años. México 1998-2011","Sánchez-Cervantes, Felipe S, Serrano-González, Reyna E, Márquez-Caraveo, María E","Salud mental; 38(5); 379-389","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500379&lang=pt" 
"S0185-33252015000500371-mex","La terapia cognitivo conductual y los síntomas negativos en la esquizofrenia","Morales Vigil, Tania, Fresán Orellana, Ana, Robles García, Rebeca, Domínguez Correa, Mariana","Salud mental; 38(5); 371-377","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500371&lang=pt" 
"S0185-33252015000500329-mex","Salud mental en menores españoles. Variables socioeducativas","Fajardo Bullón, Fernando, León del Barco, Benito, Felipe Castaño, Elena, Polo del Río, María Isabel, Santos, Eduardo Joao Ribeiro Dos","Salud mental; 38(5); 329-335","Salud mental","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-33252015000500329&lang=pt" 
"S2007-24222015000500009-mex","Dispersión hídrica de arsénico en el distrito minero de San Antonio-El Triunfo, Baja California Sur, México","Hernández-Cruz, Berenice, de Luna-Cruz, Faustino, Sánchez-Cruz, José A., Martín Romero, Francisco","Tecnología y ciencias del agua; 6(5); 113-122","Tecnología y ciencias del agua","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500009&lang=pt" 
"S2007-24222015000500008-mex","Diseño de riego por melgas empleando las ecuaciones de Saint-Venant, y Green y Ampt","Saucedo, Heber, Zavala, Manuel, Fuentes, Carlos","Tecnología y ciencias del agua; 6(5); 103-112","Tecnología y ciencias del agua","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500008&lang=pt" 
"S2007-24222015000500001-mex","k-ε Flow Modeling of Osmosis","Laranjeira, Cristiana, Sanches-Fernandes, Luís, Borges, Amadeu, Cristelo, Nuno","Tecnología y ciencias del agua; 6(5); 05-16","Tecnología y ciencias del agua","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500001&lang=pt" 
"S2007-24222015000500007-mex","La infraestructura hidroagrícola ante escenarios del cambio climático","Iñiguez, Mauro, Ojeda-Bustamante, Waldo, Díaz-Delgado, Carlos","Tecnología y ciencias del agua; 6(5); 89-101","Tecnología y ciencias del agua","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222015000500007&lang=pt" 
