"S0042-96862007000700012-spa","Unfulfilled potential: using diethylcarbamazine-fortified salt to eliminate lymphatic filariasis","Lammie, Patrick, Milner, Trevor, Houston, Robin","Bulletin of the World Health Organization; 85(7); 545-549","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700012&lang=pt" 
"S0004-27302007000500024-scl","Boron neutron capture therapy in cancer: past, present and future","Pisarev, Mario A., Dagrosa, Maria Alejandra, Juvenal, Guilermo J.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 852-856","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500024&lang=pt" 
"S0004-27302007000500023-scl","Nuclear factor-kB in thyroid carcinogenesis and progression: a novel therapeutic target for advanced thyroid cancer","Namba, Hiroyuki, Saenko, Vladimir, Yamashita, Shunichi","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 843-851","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500023&lang=pt" 
"S0004-27302007000500025-scl","New drugs in thyroid cancer","Santoro, Massimo, Fusco, Alfredo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 857-861","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500025&lang=pt" 
"S0004-27302007000500009-scl","Polimorfismos genéticos: implicações na patogênese do carcinoma medular de tireóide","Rocha, Andreia Possatti da, Magalhães, Patrícia K. Ribeiro, Maia, Ana Luiza, Maciel, Lea Maria Zanini","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 723-730","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500009&lang=pt" 
"S0004-27302007000500015-scl","Microcarcinoma da tireóide: experiência e conduta em clínica privada","Friguglietti, Celso U.M., Kulcsar, Marco Aurélio V.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 774-782","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500015&lang=pt" 
"S0004-27302007000500016-scl","Uso da ultra-sonografia no diagnóstico e seguimento do carcinoma bem diferenciado da tireóide","Camargo, Rosalinda Y.A. de, Tomimori, Eduardo Kiyoshi","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 783-792","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500016&lang=pt" 
"S0004-27302007000500022-scl","Nódulos com diagnóstico de padrão folicular: marcadores biológicos são o futuro?","Cerutti, Janete M.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 832-842","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500022&lang=pt" 
"S0004-27302007000500026-scl","O ensaio de tiroglobulina com melhor sensibilidade funcional enquanto os pacientes tomam L-T4 substituirá a tiroglobulina estimulada pelo TSH no seguimento dos pacientes com câncer diferenciado da tiróide?","Maciel, Rui M.B.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 862-866","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500026&lang=pt" 
"S0004-27302007000500010-scl","20 years of RET/PTC in thyroid cancer: clinico-pathological correlations","Fusco, Alfredo, Santoro, Massimo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 731-735","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500010&lang=pt" 
"S1806-37132007000800002-scl","Ventilação mecânica: princípios, análise gráfica e modalidades ventilatórias","Carvalho, Carlos Roberto Ribeiro de, Toufen Junior, Carlos, Franca, Suelene Aires","Jornal Brasileiro de Pneumologia; 33(); 54-70","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800002&lang=pt" 
"S1806-37132007000800001-scl","Introdução","","Jornal Brasileiro de Pneumologia; 33(); 51-53","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800001&lang=pt" 
"S1806-37132007000800004-scl","Ventilação mecânica não invasiva com pressão positiva","Schettino, Guilherme P. P., Reis, Marco Antonio Soares, Galas, Filomena, Park, Marcelo, Franca, Suelene, Okamoto, Valdelis","Jornal Brasileiro de Pneumologia; 33(); 92-105","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800004&lang=pt" 
"S1806-37132007000800006-scl","Ventilação mecânica na doença pulmonar obstrutiva crônica (DPOC) descompensada","Jezler, Sérgio, Holanda, Marcelo A., José, Anderson, Franca, Suelene","Jornal Brasileiro de Pneumologia; 33(); 111-118","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800006&lang=pt" 
"S1806-37132007000800009-scl","Ventilação mecânica no intra-operatório","Auler Junior, José Otávio Costa, Galas, Filomena Regina Barbosa Gomes, Hajjar, Ludhmila Abrahão, Franca, Suelene","Jornal Brasileiro de Pneumologia; 33(); 137-141","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800009&lang=pt" 
"S1806-37132007000800003-scl","Ventiladores mecânicos","Toufen Junior, Carlos, Carvalho, Carlos Roberto Ribeiro de","Jornal Brasileiro de Pneumologia; 33(); 71-91","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800003&lang=pt" 
"S1806-37132007000800005-scl","Ventilação mecânica na crise de asma aguda","Barbas, Carmen Sílvia Valente, Pinheiro, Bruno do Valle, Vianna, Arthur, Magaldi, Ricardo, Casati, Ana, José, Anderson, Okamoto, Valdelis","Jornal Brasileiro de Pneumologia; 33(); 106-110","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800005&lang=pt" 
"S1806-37132007000800008-scl","Desmame e interrupção da ventilação mecânica","Goldwasser, Rosane, Farias, Augusto, Freitas, Edna Estelita, Saddy, Felipe, Amado, Verônica, Okamoto, Valdelis","Jornal Brasileiro de Pneumologia; 33(); 128-136","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800008&lang=pt" 
"S0102-36162007000700004-scl","Avaliação do efeito da glicosamina e condroitina na consolidação de fratura: estudo experimental em ratos","Guarniero, Roberto, Molin, Éden Dal, Vaz, Carlos Eduardo Sanches, Santana, Paulo José de, Cinagawa, Fernando Takao, Tatibana, William Shimada","Revista Brasileira de Ortopedia; 42(7); 201-205","Revista Brasileira de Ortopedia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162007000700004&lang=pt" 
"S1806-37132007000800010-scl","Fisioterapia no paciente sob ventilação mecânica","Jerre, George, Silva, Thelso de Jesus, Beraldo, Marcelo A., Gastaldi, Ada, Kondo, Claudia, Leme, Fábia, Guimarães, Fernando, Forti Junior, Germano, Lucato, Jeanette J. J., Tucci, Mauro R., Vega, Joaquim M., Okamoto, Valdelis N.","Jornal Brasileiro de Pneumologia; 33(); 142-150","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800010&lang=pt" 
"S1806-37132007000800007-scl","Ventilação mecânica na Lesão Pulmonar Aguda (LPA)/Síndrome do Desconforto Respiratório Agudo (SDRA)","Amato, Marcelo B. P., Carvalho, Carlos R. R., Alexandre, Ísola, Vieira, Sílvia, Rotman, Vivian, Moock, Marcelo, José, Anderson, Franca, Suelene","Jornal Brasileiro de Pneumologia; 33(); 119-127","Jornal Brasileiro de Pneumologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000800007&lang=pt" 
"S0102-36162007000700003-scl","Resultado funcional do tratamento artroscópico da instabilidade do ombro sem a lesão do lábio da glenóide","Lino Júnior, Waldo, Belangero, William Dias","Revista Brasileira de Ortopedia; 42(7); 195-200","Revista Brasileira de Ortopedia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162007000700003&lang=pt" 
"S0102-36162007000700005-scl","Revisões femorais de artroplastias totais do quadril com afrouxamentos assépticos e fraturas periprotéticas: análise de 49 casos tratados com haste de Wagner","Drumond, Sergio Nogueira, Drumond, Fernando Corradi Fonseca, Maranhão, Bruno Kaehler de Albuquerque, Cruz, Leonardo Corradi Rodrigues La","Revista Brasileira de Ortopedia; 42(7); 206-216","Revista Brasileira de Ortopedia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162007000700005&lang=pt" 
"S0102-36162007000700006-scl","Avaliação funcional e radiográfica do pé torto congênito tratado cirurgicamente","Lara, Luiz Carlos Ribeiro, Luciano, Alexandre de Paiva, Barros, Marcos Alexandre, Franco Filho, Nelson, Feroldi, Paulo César","Revista Brasileira de Ortopedia; 42(7); 217-224","Revista Brasileira de Ortopedia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162007000700006&lang=pt" 
"S0102-36162007000700002-scl","Impacto dos nutrientes na saúde óssea: novas tendências","Morais, Glaucia Queiroz, Burgos, Maria Goretti Pessoa de Araújo","Revista Brasileira de Ortopedia; 42(7); 189-194","Revista Brasileira de Ortopedia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162007000700002&lang=pt" 
"S0102-36162007000700001-scl","EDITORIAL","Giesta, Carlos","Revista Brasileira de Ortopedia; 42(7); V-V","Revista Brasileira de Ortopedia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162007000700001&lang=pt" 
"S0102-36162007000700007-scl","Ensaio mecânico da resistência ao impacto do cimento ósseo puro e associado a duas drogas anestésicas locais","Giordano, Vincenzo, Rios, Henrique, Moreirão, Marcos, Giordano, Marcos, Amaral, Ney Pecegueiro do, Pallottino, Alexandre, Oliveira, Silvio de","Revista Brasileira de Ortopedia; 42(7); 225-230","Revista Brasileira de Ortopedia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162007000700007&lang=pt" 
"S0718-22362007000100001-chl","Presentación","","Ultima década; 15(26); 07-08","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100001&lang=pt" 
"S0718-22362007000100002-chl","Jovenes: la identidad social y la construccion de la memoria","Castro, Graciela","Ultima década; 15(26); 11-29","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100002&lang=pt" 
"S0718-22362007000100003-chl","Colectivos juveniles: ¿inmadurez política o afirmación de otras políticas posibles?","Valenzuela Fuentes, Katia","Ultima década; 15(26); 31-52","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100003&lang=pt" 
"S0718-22362007000100004-chl","Las Representaciones Sociales de la Política y la Democracia","Cárdenas, Manuel, Parra, Luis, Picón, Juan, Pineda, Héctor, Rojas, Rodrigo","Ultima década; 15(26); 53-78","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100004&lang=pt" 
"S0718-22362007000100005-chl","Discurso sobre el género y disposición hacia la diferencia: Estudio exploratorio en jóvenes universitarios de la Ciudad de México","Pech Salvador, Cynthia, Rizo García, Marta, Romeu Aldaya, Vivian","Ultima década; 15(26); 79-102","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100005&lang=pt" 
"S0718-22362007000100007-chl","Construcción de capital social comunitario y empoderamiento ciudadano","Arosteguy Pérez, Ana Inés","Ultima década; 15(26); 123-145","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100007&lang=pt" 
"S0718-22362007000100006-chl","Cuerpos Transgresores/Cuerpos transgredidos: Carne y memoria marcadas. Los jóvenes y sus prácticas de modificación corporal","López Vergara, Ricardo","Ultima década; 15(26); 103-119","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100006&lang=pt" 
"S0718-22362007000100008-chl","Pobreza y voluntariado: Análisis crítico del discurso aplicado a tres programas sociales de la ciudad de Valparaíso","Vera Rojas, W. Daniel","Ultima década; 15(26); 147-177","Ultima década","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362007000100008&lang=pt" 
"S1024-94352007000700001-cub","El empleo de encuestas en los portales de Internet","Silva Ayçaguer, Luis Carlos","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700001&lang=pt" 
"S1024-94352007000700002-cub","Importancia del procesamiento analítico de los libros de la Biblioteca Virtual de Salud","Urra González, Pedro","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700002&lang=pt" 
"S1024-94352007000700003-cub","La dirección estratégica en la sociedad del conocimiento: Parte II. Resultados del proceso de diseño e implementación del cuadro de mando integral en un centro de información de nivel provincial","Casate Fernández, Ricardo","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700003&lang=pt" 
"S1024-94352007000700004-cub","Las tecnologías de información y comunicación en el seguimiento y evaluación de los desastres naturales: Estudio de un caso: La plataforma informática de la red UTEEDA para la gestión de la información sobre desastres","Mena Díaz, Néstor","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700004&lang=pt" 
"S1024-94352007000700005-cub","El análisis del discurso en la organización y representación de la información y el conocimiento","Zaldúa Garoz, Alexei","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700005&lang=pt" 
"S1024-94352007000700006-cub","Mujer y desarrollo en ciencias de la salud: un estudio cienciométrico del Reporte Técnico de Vigilancia desde la perspectiva de género","Vega Almeida, Rosa Lidia, Risco Nolla, Lidiet del, Arencibia Jorge, Ricardo","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700006&lang=pt" 
"S1024-94352007000700010-cub","La metodología de la investigación en la formación del profesional de Bibliotecología y Ciencia de la Información","Fernández Hernández, Sandra, Rivera, Zoia","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700010&lang=pt" 
"S1024-94352007000700011-cub","El blog y los foros de discusión: diferencias y complemento","Urra González, Pedro","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700011&lang=pt" 
"S1024-94352007000700012-cub","El blog, el planet y los sitios de especialidades","Alí Herrera, Alfonso","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700012&lang=pt" 
"S1024-94352007000700013-cub","Entrevista al licenciado Rubén Cañedo Andalia, editor gerente de la revista Acimed y que ha sido reconocido por los trabajos científicos presentados","Díaz Antúnez, Maura E.","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700013&lang=pt" 
"S1024-94352007000700014-cub","Jornada por el 7 de junio en la Sede La Lisa","Conde Placencia, Arturo","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700014&lang=pt" 
"S1024-94352007000700015-cub","ACTA y PREMIOS ASCUBI 2007","","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700015&lang=pt" 
"S1024-94352007000700007-cub","Referencias para una bibliografía de José López Sánchez","López Espinosa, José Antonio","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700007&lang=pt" 
"S1024-94352007000700008-cub","Nuevo enfoque en la teoría y práctica del diagnóstico de la habilidad de expresión escrita en idioma inglés entre profesionales y estudiantes universitarios de las ciencias médicas","Forteza Fernández, Rafael","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700008&lang=pt" 
"S1024-94352007000700009-cub","Una nueva propuesta para el estudio de la gestión del conocimiento","González Suárez, Enrique","ACIMED; 16(1); -","ACIMED","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352007000700009&lang=pt" 
"S0254-16372007000200002-ven","¿Existe el especificador múltiple en español?","Matera, Masiel, Medina, Raimundo","Argos; 24(47); 6-14","Argos","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372007000200002&lang=pt" 
"S0254-16372007000200003-ven","El modelo panóptico en la arquitectura penitenciaria argentina: la primera cárcel en la ciudad. Mendoza, 1864","Raffa, Cecilia","Argos; 24(47); 15-27","Argos","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372007000200003&lang=pt" 
"S0254-16372007000200001-ven","","","Argos; 24(47); 5-6","Argos","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372007000200001&lang=pt" 
"S0254-16372007000200006-ven","Lo que cabe en el texto. Cuerpo, subversión e identidad en Jeux, de Martiza Núñez","Suárez, Mariana Libertad","Argos; 24(47); 51-64","Argos","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372007000200006&lang=pt" 
"S0254-16372007000200007-ven","Agustín Codazzi, Italia y la construcción del Nuevo Mundo","","Argos; 24(47); 65-78","Argos","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372007000200007&lang=pt" 
"S0254-16372007000200004-ven","Los bienes culturales en el espacio habitable","Guitián, Dyna","Argos; 24(47); 28-41","Argos","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372007000200004&lang=pt" 
"S0254-16372007000200005-ven","El mar Caribe en dos escritoras venezolanas","Pacheco Oropeza, Bettina","Argos; 24(47); 42-50","Argos","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372007000200005&lang=pt" 
"S1020-49892007000600004-spa","Chlamydia trachomatis in the conjunctiva of children living in three rural areas in Mexico","Goldschmidt, Pablo, Zago, Virginia Vanzzini, Diaz Vargas, Lidia, Espinoza Garcia, Laura, Morales Montoya, Carlos, Peralta, Beatríz, Mercado, Mario","Revista Panamericana de Salud Pública; 22(1); 29-34","Revista Panamericana de Salud Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000600004&lang=pt" 
"S1020-49892007000600006-spa","Health care provider choice and utilization among the elderly in a state in Brazil: a structural model","Bos, Antonio M.","Revista Panamericana de Salud Pública; 22(1); 41-50","Revista Panamericana de Salud Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000600006&lang=pt" 
"S0367-47622007000300002-ven","Enfermedad inflamatoria del intestino: colitis ulcerativa","Salomón, Ricardo","Gaceta Médica de Caracas; 115(3); 183-202","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300002&lang=pt" 
"S0367-47622007000300003-ven","Síncope: Un enfoque pragmático","Muci-Mendoza, Rafael","Gaceta Médica de Caracas; 115(3); 202-213","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300003&lang=pt" 
"S0367-47622007000300011-ven","Vida de la Academia y Notas Bibliográficas","Avilán Rovira, J. M","Gaceta Médica de Caracas; 115(3); 266-270","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300011&lang=pt" 
"S0367-47622007000300010-ven","Resumen de las Actas de las Sesiones de la Academia Nacional de Medicina","","Gaceta Médica de Caracas; 115(3); 257-265","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300010&lang=pt" 
"S0367-47622007000300008-ven","Barroco V.- Luso- Brasilero. Arquitectura y escultura. Antonio Francisco Lisboa (El Aleijadinho)","López, José Enrique, Marcano Torres, Myriam, López Salazar, José Enrique, López Salazar, Yolanda, Fasanella, Humberto","Gaceta Médica de Caracas; 115(3); 234-254","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300008&lang=pt" 
"S0367-47622007000300009-ven","La Gaceta Médica de Caracas, hace 100, 50, 25 años","Avilán Rovira, J. M","Gaceta Médica de Caracas; 115(3); 255-257","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300009&lang=pt" 
"S0367-47622007000300006-ven","Modificación de la técnica abierta para el neumoperitoneo en cirugía bariátrica por laparoscopia","Leyba, José Luis, Navarrete, Salvador, Isaac, José","Gaceta Médica de Caracas; 115(3); 224-226","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300006&lang=pt" 
"S0367-47622007000300007-ven","Piedra Rosseta, enoftalmía y síndrome del seno silencioso","Muci-Mendoza, Rafael","Gaceta Médica de Caracas; 115(3); 227-233","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300007&lang=pt" 
"S0367-47622007000300004-ven","Valores normales de las alfa-fetoproteínas en embarazadas a las 24 y 28 semanas de gestación","Salazar de Dugarte, Guillermina, Faneite, Pedro, Pineda, Francis, Molina, Francis","Gaceta Médica de Caracas; 115(3); 213-218","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300004&lang=pt" 
"S0367-47622007000300005-ven","Nacimientos según tipo de asistencia obstétrica. Hospital “Dr. Adolfo Prince Lara”, Puerto Cabello, Estado Carabobo, 1969-2004","Faneite, Pedro, Rivera, Clara, Faneite, Josmery","Gaceta Médica de Caracas; 115(3); 219-223","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300005&lang=pt" 
"S0367-47622007000300001-ven","Treinta años sin viruela","Avilán Rovira, J. M","Gaceta Médica de Caracas; 115(3); 181-182","Gaceta Médica de Caracas","Espanhol","2007","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0367-47622007000300001&lang=pt" 
"S1516-89132007000400002-scl","Seed germination in Miconia theaezans (Bonpl.) Cogniaux (Melastomataceae)","Godoi, Simone, Takaki, Massanori","Brazilian Archives of Biology and Technology; 50(4); 571-578","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400002&lang=pt" 
"S1516-89132007000400001-scl","Selection for durable resistance to leaf rust using test-crosses on IAPAR-59 and Tupi IAC 1669-33 cultivars of Coffea arabica","Sera, Gustavo Hiroshi, Sera, Tumoru, Ito, Dhalton Shiguer, Azevedo, José Alves de, Mata, João Siqueira da, Doi, Deisy Saori, Ribeiro Filho, Claudionor","Brazilian Archives of Biology and Technology; 50(4); 565-570","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400001&lang=pt" 
"S1516-89132007000400004-scl","Isolation and mycelial growth of Diehliomyces microsporus: effect of culture medium and incubation temperature","Nascimento, José Soares do, Eira, Augusto Ferreira da","Brazilian Archives of Biology and Technology; 50(4); 587-595","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400004&lang=pt" 
"S1516-89132007000400006-scl","Genes involved in brassinosteroids&#039;s metabolism and signal transduction pathways","Pereira-Netto, Adaucto Bellarmino","Brazilian Archives of Biology and Technology; 50(4); 605-618","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400006&lang=pt" 
"S1516-89132007000400007-scl","Hematological parameters in Nile Tilápia, Oreochromis niloticus exposed to sub-letal concentrations of mercury","Ishikawa, Nilton Massuo, Ranzani-Paiva, Maria José Tavares, Lombardi, Julio Vicente, Ferreira, Cláudia Maris","Brazilian Archives of Biology and Technology; 50(4); 619-626","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400007&lang=pt" 
"S1516-89132007000400020-scl","Physicochemical characterization of different trademarks of compound Yerba Maté and their herbs","Scipioni, Griselda Patricia, Ferreyra, Darío Jorge, Schmalko, Miguel Eduardo","Brazilian Archives of Biology and Technology; 50(4); 735-741","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400020&lang=pt" 
"S1516-89132007000400019-scl","Penicillium expansum versus antagonist yeasts and patulin degradation in vitro","Coelho, Alexandre Rodrigo, Celli, Marcos Giovani, Ono, Elisabete Yurie Sataque, Wosiacki, Gilvan, Hoffmann, Fernando Leite, Pagnocca, Fernando Carlos, Hirooka, Elisa Yoko","Brazilian Archives of Biology and Technology; 50(4); 725-733","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400019&lang=pt" 
"S0718-09502007000100001-chl","EL CARÁCTER CIENTÍFICO DE LA DOGMÁTICA JURÍDICA","Bernasconi Ramírez, Andrés","Revista de derecho (Valdivia); 20(1); 9-37","Revista de derecho (Valdivia)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502007000100001&lang=pt" 
"S0718-09502007000100002-chl","TRES APORTES FUNDAMENTALES DE EL FEDERALISTA A LA TEORÍA CONSTITUCIONAL MODERNA","García García, José Francisco","Revista de derecho (Valdivia); 20(1); 39-59","Revista de derecho (Valdivia)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502007000100002&lang=pt" 
"S0718-09502007000100004-chl","DEBER DE LOS ADMINISTRADORES DE NO COMEPETIR CON LA SOCIEDAD ANÓNIMA QUE ADMINISTRAN","Díaz Tolosa, Regina Ingrid","Revista de derecho (Valdivia); 20(1); 85-106","Revista de derecho (Valdivia)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502007000100004&lang=pt" 
