"S1405-22532009000100008-mex","Luis Aboites y Luis Jáuregui, Penuria sin fin. Historia de los impuestos en México siglos XVIII -XX","Quintanar Zárate, Iliana Marcela","América Latina en la historia económica; (31); 206-212","América Latina en la historia económica","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100008&lang=pt" 
"S0102-67202009000200004-scl","Processo cicatricial de sutura em ceco com os fios polipropilene, poliglecaprone 25 e glicomer 60 em ratos","Nomura, Luiz Masakatso, Ribas-Filho, Jurandir Marcondes, Malafaia, Osvaldo, Dietz, Ulrich Andreas, Skare, Thelma Laroka, Kume, Marcio Hiroaki","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 82-88","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200004&lang=pt" 
"S0102-67202009000200005-scl","Regeneração do fígado de ratos após oclusão parcial da drenagem venosa hepática","Aguiar, Luiz Roberto Farion de, Nassif, Paulo Afonso Nunes, Ribas, Carmen Australia Paredes Marcondes, Nascimento, Marcelo Mazza do, Wiederker, Julio Cesar, Pachnicki, Jan Pawel Andrade, Stieven-Filho, Edmar","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 89-95","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200005&lang=pt" 
"S0102-67202009000200006-scl","Gastric volvulus: A review of 38 cases","Jacob, Carlos Eduardo, Lopasso, Fábio Pinatel, Zilberstein, Bruno, Bresciani, Cláudio José Caldas, Kuga, Rogério, Cecconello, Ivan, Gama-Rodrigues, Joaquim José","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 96-100","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200006&lang=pt" 
"S0102-67202009000200007-scl","Tratamento da doença de Crohn com infliximabe: primeira opção?","Malheiros, Anna Paula Rocha, Teixeira, Magaly Gemio, Scanavini Neto, Arceu, Silva Filho, Edésio Vieira, Rodrigues, Leonardo Correa de Oliveira, Thierry, Roberta, Nahas, Sergio, Cecconello, Ivan","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 101-104","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200007&lang=pt" 
"S0102-67202009000200009-scl","Influência da nicotina durante a gestação e lactação na cicatrização da parede abdominal de ratos lactentes: estudo tensiométrico","Alves, Marcelo Ribas, Campos, Antônio Carlos Ligocki, Ioshii, Sérgio Ossamu, Moraes-Junior, Hugo, Sakamoto, Danielle, Gortz, Lucas Wagner","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 110-114","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200009&lang=pt" 
"S0102-67202009000200011-scl","Prevalência e fisiopatologia da litíase biliar em pacientes submetidos a transplante de órgãos","Coelho, Júlio Cesar Uili, Contieri, Fabiana Loss de, Matias, Jorge Eduardo Fouto, Parolin, Mônica Beatriz, Godoy, Jose Luiz de","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 120-123","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200011&lang=pt" 
"S1676-56482009000100006-scl","Nos limites da autonomia: reflexões sobre práticas de blind review e editoria de revistas científicas em administração no Brasil","Kirschbaum, Charles, Mascarenhas, André Ofenhejm","RAE eletrônica; 8(1); -","RAE eletrônica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100006&lang=pt" 
"S1676-56482009000100008-scl","Responsabilidade social materializada pelo varejo","Spers, Valéria Rueda Elias","RAE eletrônica; 8(1); -","RAE eletrônica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100008&lang=pt" 
"S1676-56482009000100004-scl","Consciência ambiental: um estudo exploratório sobre suas implicações para o ensino de administração","Gonçalves-Dias, Sylmara Lopes Francelino, Teodósio, Armindo dos Santos de Sousa, Carvalho, Selma, Silva, Hermes Moretti Ribeiro da","RAE eletrônica; 8(1); -","RAE eletrônica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100004&lang=pt" 
"S1676-56482009000100007-scl","Inovação e o desempenho empresarial: lucro ou crescimento?","Brito, Eliane Pereira Zamith, Brito, Luiz Artur Ledur, Morganti, Fábio","RAE eletrônica; 8(1); -","RAE eletrônica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100007&lang=pt" 
"S1676-56482009000100003-scl","A identificação de preferências e atributos relacionados à estrutura de capital em pequenas empresas","Burkowski, Érika, Perobelli, Fernanda Finotti, Zanini, Alexandre","RAE eletrônica; 8(1); -","RAE eletrônica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100003&lang=pt" 
"S1676-56482009000100005-scl","Ética da propaganda sob o olhar dos publicitários","Acevedo, Claudia Rosa, Nohara, Jouliana Jordan, Campanario, Milton de Abreu, Telles, Cecilia Caraver Prado","RAE eletrônica; 8(1); -","RAE eletrônica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100005&lang=pt" 
"S1676-56482009000100001-scl","Editorial","Vasconcelos, Flávio Carvalho de","RAE eletrônica; 8(1); -","RAE eletrônica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100001&lang=pt" 
"S1676-56482009000100002-scl","Dividend clientele, new insights, and new questions: the Brazilian case","Procianoy, Jairo Laser, Verdi, Rodrigo S.","RAE eletrônica; 8(1); -","RAE eletrônica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-56482009000100002&lang=pt" 
"S0102-05362009000200012-scl","Combining ability in sweet pepper for resistance to powdery mildew","Marchesan, Cristina B, Melo, Arlete MT de, Paterniani, Maria Elisa AGZ","Horticultura Brasileira; 27(2); 189-195","Horticultura Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362009000200012&lang=pt" 
"S0102-05362009000200013-scl","Sources of resistance against the Pepper yellow mosaic virus in chili pepper","Bento, Cíntia dos S, Rodrigues, Rosana, Zerbini Júnior, Francisco Murilo, Sudré, Cláudia P","Horticultura Brasileira; 27(2); 196-201","Horticultura Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362009000200013&lang=pt" 
"S0034-71402009000200002-scl","Investimentos em infra-estrutura e produtividade total dos fatores na agricultura brasileira: 1985-2004","Mendes, Sérgio Magno, Teixeira, Erly Cardoso, Salvato, Márcio Antônio","Revista Brasileira de Economia; 63(2); 91-102","Revista Brasileira de Economia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402009000200002&lang=pt" 
"S0034-71402009000200003-scl","The natural rate of interest in Brazil between 1999 and 2005","Barcellos Neto, Paulo Chananeco F. de, Portugal, Marcelo Savino","Revista Brasileira de Economia; 63(2); 103-118","Revista Brasileira de Economia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402009000200003&lang=pt" 
"S0034-71402009000200005-scl","A substituição de trabalhadores como instrumento para redução de gastos com salários: evidências para a indústria paulista","Orellano, Veronica, Mattos, Enlinson, Pazello, Elaine","Revista Brasileira de Economia; 63(2); 135-152","Revista Brasileira de Economia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402009000200005&lang=pt" 
"S0034-71402009000200006-scl","Cálculo da alíquota de contribuição previdenciária atuarialmente equilibrada: uma aplicação ao caso brasileiro","Giambiagi, Fabio, Afonso, Luís Eduardo","Revista Brasileira de Economia; 63(2); 153-179","Revista Brasileira de Economia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402009000200006&lang=pt" 
"S0034-71402009000200001-scl","Incompatibilidade escolaridade-ocupação e salários: evidências de uma empresa industrial brasileira","Esteves, Luiz A.","Revista Brasileira de Economia; 63(2); 77-90","Revista Brasileira de Economia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402009000200001&lang=pt" 
"S0034-71402009000200004-scl","Bolhas racionais no índice Bovespa","Nunes, Mauricio Simiano, Silva, Sergio Da","Revista Brasileira de Economia; 63(2); 119-134","Revista Brasileira de Economia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402009000200004&lang=pt" 
"S0102-05362009000200023-scl","Cultivo de melão rendilhado com dois e três frutos por planta","Charlo, Hamilton César de O, Castoldi, Renata, Vargas, Pablo F, Braz, Leila T","Horticultura Brasileira; 27(2); 251-255","Horticultura Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362009000200023&lang=pt" 
"S0102-05362009000200004-scl","Desempenho e qualidade de frutos de tomateiro em cultivo protegido com diferentes números de hastes","Charlo, Hamilton César de O, Souza, Samuel de C, Castoldi, Renata, Braz, Leila T","Horticultura Brasileira; 27(2); 144-149","Horticultura Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362009000200004&lang=pt" 
"S1676-06032009000200014-scl","Os répteis do município de São Paulo: diversidade e ecologia da fauna pretérita e atual","Marques, Otavio Augusto Vuolo, Pereira, Donizete Neves, Barbo, Fausto Erritto, Germano, Valdir José, Sawaya, Ricardo Jannini","Biota Neotropica; 9(2); 139-150","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200014&lang=pt" 
"S0798-04692009000100006-ven","Entorno virtual de enseñanza-aprendizaje para la construcción del conocimiento en bioquímica médica","Sánchez, María del Rosario, Miguel, Vanessa, Díaz, Keybell, Vílchez, Glenda, Villasmil, Saúl, López, María Gertrudis","Revista de la Facultad de Medicina; 32(1); 31-37","Revista de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-04692009000100006&lang=pt" 
"S0798-04692009000100007-ven","Estimación del requerimiento energético para jóvenes que realizan actividad física","Bauce, Gerardo, Córdova, Miguel","Revista de la Facultad de Medicina; 32(1); 38-45","Revista de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-04692009000100007&lang=pt" 
"S0798-04692009000100011-ven","Patrones y hábitos alimentarios: reflejo de lo que comen los jóvenes ucevistas","Pérez Correa, Nataly G, Moya de Sifontes, Mary Zulay, Bauce, Gerardo, Cueva, Edgar, Peña, Rubén, Flores, Zhandra, García A, Pedro","Revista de la Facultad de Medicina; 32(1); 67-74","Revista de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-04692009000100011&lang=pt" 
"S0798-04692009000100010-ven","Morbi-mortalidad por influenza y neumonía de los adultos en Venezuela 1995-2006","Rísquez, Alejandro, Echezuría, Luis","Revista de la Facultad de Medicina; 32(1); 59-66","Revista de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-04692009000100010&lang=pt" 
"S0798-04692009000100013-ven","Mielolipoma suprarrenal gigante: reporte de un caso y revisión de la literatura","Otaño Hernández, Natalia, Balzán Perez, Jorge, Benítez, Gustavo, Rodríguez, Omaira, Sánchez Ismayel, Alexis","Revista de la Facultad de Medicina; 32(1); 82-84","Revista de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-04692009000100013&lang=pt" 
"S1025-02552009000300002-cub","Promoción de salud bucal en la Tercera edad en un Centro Comunitario de Salud Mental","Reyes Obediente, Fidela M, Espeso Nápoles, Nelia, Hernández Suárez, Alicia","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300002&lang=pt" 
"S1025-02552009000300003-cub","Intervención educativa para elevar nivel de conocimiento sobre brucelosis en trabajadores expuesto a riesgo: municipio Camagüey","Casado Rodríguez, Cristina, Rodríguez Heredia, Odalys, Mena Fernández, Magalys, García González, Gloria","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300003&lang=pt" 
"S1025-02552009000300004-cub","Alteración de la ventilación pulmonar en pacientes asmáticos de más de 20 años de evolución","Machado del Risco, Edilberto, Molina Leyva, Mailin, Morales Menéndez, Maria, Santos Herrera, Yamilet","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300004&lang=pt" 
"S1025-02552009000300005-cub","Relación entre Tos Seca Nocturna y Atopia en niños entre 3 y 14 años","Machado del Risco, Edilberto, Pérez Fabelo, Marlene, Pérez Rojas, Judith, hinea Pérez, Joel","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300005&lang=pt" 
"S1025-02552009000300006-cub","Nódulo de Tiroides: estudio ecográfico","Ceballos Díaz, Maria Estela, Malpica Mederos, Antonio Jesús, Guerra González, Alfredo, Machado del Risco, Edilberto","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300006&lang=pt" 
"S1025-02552009000300007-cub","Eficacia diagnóstica de la prueba cutánea de Prick con extractos alergénicos de ácaros en pacientes asmáticos","Ross Peña, Arlenis, Rodríguez Pérez, Judit, Pérez Fabelo, Marlene, Sarduy Ramos, Carlos M","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300007&lang=pt" 
"S1025-02552009000300009-cub","Comportamiento Clínico Epidemiológico del Glaucoma Neovascular en un Servicio de Glaucoma","Landín Sorí, Matilde, López Pérez, Grabiel Ricardo, Rodríguez Bencomo, Dania De Jesús","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300009&lang=pt" 
"S1025-02552009000300010-cub","Conocimiento de algunas características de las infecciones de transmisión sexual en adolescentes: intervención educativa","Chávez Roque, Mavel, Virella Trujillo, María Elena, Viñas Sifontes, Leída Nilda, Almeda Díaz, Gelenis","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300010&lang=pt" 
"S1025-02552009000300011-cub","Cirugía conservadora y radical en estadíos tempranos del cáncer de mama","Nápoles Izquierdo, Yunexis, García Novoa, Wilfredo, Díaz Agüero, Heriberto, Báez Pupo, María Margarita","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300011&lang=pt" 
"S1025-02552009000300012-cub","Modificación en la información sobre la infección por VIH/SIDA del personal estomatológico en 10 años","Bestard Echevarría, Dolores María, Placeres Collot, Maritza, Hernández Castañeda, Alvin, Sánchez Martínez, Rolando","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300012&lang=pt" 
"S1025-02552009000300013-cub","Simulación de un brote de enfermedad respiratoria aguda en el municipio de Camagüey","Betancourt, José A, Rivero, Jorge, Brito, Humberto, Larios, Luis, Acao, Luis","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300013&lang=pt" 
"S1025-02552009000300014-cub","Urgencias de Prótesis Bucomaxilofacial en el municipio Camagüey","Puig Capote, Elizabeth, Nápoles González, Isidro de Jesús, Díaz Gómez, Silvia María, Rodríguez Alpízar, Rolando","Revista Archivo Médico de Camagüey; 13(3); -","Revista Archivo Médico de Camagüey","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552009000300014&lang=pt" 
"S1315-52162009000200011-ven","","","Utopìa y Praxis Latinoamericana; 14(45); 141-152","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200011&lang=pt" 
"S1315-52162009000200010-ven","A universidade ontem e amanhã - da cópia acadêmica à invenção intercultural","Barcelos, Valdo, Trevisan, Amarildo Luiz","Utopìa y Praxis Latinoamericana; 14(45); 127-139","Utopìa y Praxis Latinoamericana","Português","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200010&lang=pt" 
"S1315-52162009000200008-ven","Apuntes en torno a las representaciones de la modernidad capitalista durante el siglo XIX: (Los casos de Chile y Bolivia)","Llanos Reyes, Claudio","Utopìa y Praxis Latinoamericana; 14(45); 97-116","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200008&lang=pt" 
"S1315-52162009000200009-ven","Una contribución para el diálogo intercultural: algunas interpretaciones en torno a la cosmovisión amerindia","Quintero-Montilla, María del Pilar","Utopìa y Praxis Latinoamericana; 14(45); 117-125","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200009&lang=pt" 
"S1315-52162009000200006-ven","Autocrítica de la “filosofía única” vía a una filosofía de la (multi)cultura","Lazo Briones, Pablo","Utopìa y Praxis Latinoamericana; 14(45); 65-80","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200006&lang=pt" 
"S1315-52162009000200007-ven","Ética ecológica y pensamiento amerindio desde la interculturalidad","Sánchez Pirela, Beatriz","Utopìa y Praxis Latinoamericana; 14(45); 81-96","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200007&lang=pt" 
"S1315-52162009000200004-ven","Una nueva edad en la Historia de la Filosofía: el diálogo mundial entre tradiciones filosóficas","Dussel, Enrique","Utopìa y Praxis Latinoamericana; 14(45); 31-44","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200004&lang=pt" 
"S1315-52162009000200005-ven","Reconocimiento e Identidad: Diálogo Intercultural","Ávila Hernández, Flor María, Martínez de Correa, Luz María","Utopìa y Praxis Latinoamericana; 14(45); 45-64","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200005&lang=pt" 
"S1315-52162009000200002-ven","","Márquez-Fernández, Álvaro B","Utopìa y Praxis Latinoamericana; 14(45); 07-09","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200002&lang=pt" 
"S1315-52162009000200003-ven","La deconstrucción del concepto de propiedad: Una aproximación intercultural a los derechos territoriales indígenas","Martínez de Bringas, Asier","Utopìa y Praxis Latinoamericana; 14(45); 11-29","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200003&lang=pt" 
"S1315-52162009000200001-ven","","M-F, A. B","Utopìa y Praxis Latinoamericana; 14(45); 05-06","Utopìa y Praxis Latinoamericana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162009000200001&lang=pt" 
"S1676-06032009000200004-scl","Body size and extinction risk in Brazilian carnivores","Forero-Medina, German, Vieira, Marcus Vinícius, Grelle, Carlos Eduardo de Viveiros, Almeida, Paulo Jose","Biota Neotropica; 9(2); 45-49","Biota Neotropica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200004&lang=pt" 
"S1676-06032009000200001-scl","Mapping and evaluation of the state of conservation of the vegetation in and surrounding the Chapada Diamantina National Park, NE Brazil","Funch, Roy Richard, Harley, Raymond Mervyn, Funch, Ligia Silveira","Biota Neotropica; 9(2); 21-30","Biota Neotropica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200001&lang=pt" 
"S1676-06032009000200002-scl","Description of two new species of Sycorax Curtis (Diptera, Psychodidae, Sycoracinae) from the Atlantic Rain Forest of Espírito Santo, Brazil","Santos, Claudiney Biral dos, Bravo, Freddy","Biota Neotropica; 9(2); 31-34","Biota Neotropica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200002&lang=pt" 
"S1676-06032009000200003-scl","","Kitahara, Marcelo Visentini","Biota Neotropica; 9(2); 35-43","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200003&lang=pt" 
"S1676-06032009000200005-scl","Florística vascular da Floresta Ombrófila Densa Altomontana de quatro serras no Paraná","Scheer, Maurício Bergamini, Mocochinski, Alan Yukio","Biota Neotropica; 9(2); 51-69","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200005&lang=pt" 
"S1676-06032009000200008-scl","A new species of Philosepedon Eaton, 1904 (Diptera, Psychodidae) from Brazil","Chagas, Cínthia, Bravo, Freddy, Rafael, José Albertino","Biota Neotropica; 9(2); 99-101","Biota Neotropica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200008&lang=pt" 
"S1676-06032009000200010-scl","Caracterização das assembléias de peixes de riachos de cabeceira no período chuvoso na bacia do rio Cachoeira (SE da Bahia, NE do Brasil)","Cetra, Mauricio, Ferreira, Fabio Cop, Carmassi, Alberto Luciano","Biota Neotropica; 9(2); 107-115","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200010&lang=pt" 
"S1676-06032009000200012-scl","Consumo de frutos e abundância de Tucano Toco (Ramphastos toco) em dois hábitats do Pantanal Sul","França, Leonardo Fernandes, Ragusa-Netto, Jose, Paiva, Luciana Vieira de","Biota Neotropica; 9(2); 125-130","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200012&lang=pt" 
"S1676-06032009000200009-scl","Ácaros em fruteiras e outras plantas no Estado de Amapá","Mineiro, Jeferson Luiz de Carvalho, Silva, Wilson Rodrigues da, Silva, Ricardo Adaime da","Biota Neotropica; 9(2); 103-106","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200009&lang=pt" 
"S1676-06032009000200017-scl","Ictiofauna da microbacia do Rio Jaguari, Juaguari/RS, Brasil","Copatti, Carlos Eduardo, Zanini, Lucéle Gonçalves, Valente, André","Biota Neotropica; 9(2); 179-186","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200017&lang=pt" 
"S1676-06032009000200021-scl","Levantamento da ictiofauna da Floresta Nacional de Canela, na região superior da bacia hidrográfica do Rio Caí, Rio Grande do Sul, Brasil","Dala-Corte, Renato Bolson, Franz, Ismael, Barros, Marcelo Pereira de, Ott, Paulo Henrique","Biota Neotropica; 9(2); 221-226","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200021&lang=pt" 
"S1676-06032009000200020-scl","Bromeliaceae da Ilha Grande, RJ: revisão da lista de espécies","Nunes-Freitas, André Felippe, Rocha-Pessôa, Thereza Christina da, Dias, Aline dos Santos, Ariani, Cristina Valente, Rocha, Carlos Frederico Duarte da","Biota Neotropica; 9(2); 213-219","Biota Neotropica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032009000200020&lang=pt" 
"S0124-00642009000300010-col","Opinión de Escolares de una Institución Educativa sobre la Presencia de Violencia en los Medios de Comunicación","Piedrahita S, Laura E","Revista de Salud Pública; 11(3); 414-424","Revista de Salud Pública","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642009000300010&lang=pt" 
"S0124-00642009000300003-col","Opinión Profesional sobre la Hospitalización Infantil de Inmigrantes de Origen Latinoamericano en Andalucía, España","Fernández-Castillo, Antonio, Vílchez-Lara, María J","Revista de Salud Pública; 11(3); 336-346","Revista de Salud Pública","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642009000300003&lang=pt" 
"S0102-261X2009000200001-scl","Evolution of Dst and auroral indices during some severe geomagnetic storms","Kane, Rajaram Purushottam","Revista Brasileira de Geofísica; 27(2); 151-163","Revista Brasileira de Geofísica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X2009000200001&lang=pt" 
"S0102-261X2009000200003-scl","Volume and heat transports in the world oceans from an ocean general circulation model","Assad, Luiz Paulo de Freitas, Torres Junior, Audalio Rebelo, Arruda, Wilton Zumpichiatti, Mascarenhas Junior, Affonso da Silveira, Landau, Luiz","Revista Brasileira de Geofísica; 27(2); 181-194","Revista Brasileira de Geofísica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X2009000200003&lang=pt" 
"S0102-261X2009000200004-scl","Propriedades acústicas (velocidade de propagação e coeficiente de atenuação) de sedimentos marinhos coletados nas proximidades da Ilha do Cabo Frio, RJ","Macedo, Helber Carvalho, Figueiredo Jr., Alberto Garcia de, Machado, João Carlos","Revista Brasileira de Geofísica; 27(2); 195-204","Revista Brasileira de Geofísica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X2009000200004&lang=pt" 
"S0102-261X2009000200005-scl","Utilização das transformadas de Laplace e Fourier-Bessel na modelagem de meios elásticos delgados","Mitrofanov, Georgy, Priimenko, Viatcheslav, Misságia, Roseane, Amaral, Luis","Revista Brasileira de Geofísica; 27(2); 205-224","Revista Brasileira de Geofísica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X2009000200005&lang=pt" 
"S0102-261X2009000200006-scl","Oscilação do nível de água e a co-oscilação da maré astronômica no baixo estuário do rio Paraíba do Sul, RJ","Nicolite, Micaela, Truccolo, Eliane Cristina, Schettini, Carlos Augusto França, Carvalho, Carlos Eduardo Veiga de","Revista Brasileira de Geofísica; 27(2); 225-239","Revista Brasileira de Geofísica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X2009000200006&lang=pt" 
"S0102-261X2009000200007-scl","Métodos estocásticos para modelagem de escoamento estacionário e transiente em meios porosos","Azevedo, Juarez dos Santos, Oliveira, Saulo Pomponet, Lima, Olivar Antônio Lima de","Revista Brasileira de Geofísica; 27(2); 241-254","Revista Brasileira de Geofísica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X2009000200007&lang=pt" 
