"S0102-85292016000200567-scl","Explaining Co-operation and Conflict in Southern Africa: State-building, Foreign Policy and Regional Order","Silva, Igor Castellano da","Contexto Internacional; 38(2); 567-591","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000200567&lang=pt" 
"S0103-20702016000200131-scl","Gosto musical e pertencimento social: O caso do samba e do choro no Rio de Janeiro e em São Paulo","Fernandes, Dmitri Cerboncini, Pulici, Carolina","Tempo Social; 28(2); 131-160","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200131&lang=pt" 
"S0103-20702016000200213-scl","Um olhar arqueológico da saúde pública brasileira","Borges, Camila Furlanetti, Baptista, Tatiana Wargas de Faria, Mattos, Ruben Araujo de","Tempo Social; 28(2); 213-228","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200213&lang=pt" 
"S0103-20702016000200161-scl","Formações nacionais de classe e raça","Guimarães, Antonio Sérgio Alfredo","Tempo Social; 28(2); 161-182","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200161&lang=pt" 
"S0103-20702016000200057-scl","The fall and rise of class analysis in British sociology, 1950-2016","Savage, Mike","Tempo Social; 28(2); 57-72","Tempo Social","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200057&lang=pt" 
"S0103-20702016000200001-scl","Apresentação","Bertoncelo, Edison Ricardo, Pereira, Virgílio Borges","Tempo Social; 28(2); 1-10","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200001&lang=pt" 
"S0103-20702016000200183-scl","Classes sociais e simbolização na cidade do Porto: Elementos teóricos e resultados de pesquisa empírica","Pereira, Virgílio Borges","Tempo Social; 28(2); 183-206","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200183&lang=pt" 
"S0103-20702016000200039-scl","&quot;Jeunes de cités&quot;: Délinquance, émeutes et radicalisation islamiste","Mauger, Gérard","Tempo Social; 28(2); 39-56","Tempo Social","Francês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200039&lang=pt" 
"S0103-20702016000200229-scl","Um paraíso selvagem: A Amazônia e os romances regionalistas de Raimundo Moraes","Paiva, Marco Aurélio Coelho de","Tempo Social; 28(2); 229-246","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200229&lang=pt" 
"S0103-20702016000200073-scl","O espaço das classes sociais no Brasil","Bertoncelo, Edison Ricardo","Tempo Social; 28(2); 73-104","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200073&lang=pt" 
"S0103-49792016000200209-scl","PASSAGENS DO RURAL AO URBANO E PARTICIPAÇÃO SOCIAL: a sociologia política brasileira dos anos 60","Brasil Jr, Antonio, Botelho, André","Caderno CRH; 29(77); 209-227","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200209&lang=pt" 
"S0103-49792016000200333-scl","O IBESP EM SEU MOMENTO: uma análise genética e cronológica dos Cadernos do Nosso Tempo","Silva, Fernanda Xavier da","Caderno CRH; 29(77); 333-348","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200333&lang=pt" 
"S0103-49792016000200243-scl","AS VIAS DE INTEGRAÇÃO DA MOBILIZAÇÃO SOCIAL NO CAMPO POLÍTICO","Teisserenc, Pierre","Caderno CRH; 29(77); 243-259","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200243&lang=pt" 
"S0103-49792016000200281-scl","COMPLEXO PORTUÁRIO, RESERVA EXTRATIVISTA E DESENVOLVIMENTO NO MARANHÃO","Sant’Ana Júnior, Horácio Antunes de","Caderno CRH; 29(77); 281-294","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200281&lang=pt" 
"S0103-49792016000200395-scl","SANTOS, G. G. dos; SAMPAIO, S. M. R; CARVALHO, A. Observatório da vida estudantil: avaliação e qualidade no ensino superior: formar como e para que mundo? Salvador: Edufba, 2015. 342 p.","Resende, Franciele Daiane Rodrigues","Caderno CRH; 29(77); 395-398","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200395&lang=pt" 
"S0103-49792016000200203-scl","O AMBIENTE E O DESENVOLVIMENTO SOB A PERSPECTIVA DA MUDANÇA SOCIAL","Santos, Rodrigo Salles Pereira dos, Esterci, Neide","Caderno CRH; 29(77); 203-208","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200203&lang=pt" 
"S0103-49792016000200261-scl","TÉCNICA E NATUREZA NO DESENVOLVIMENTO DO “AGRONEGÓCIO”","Oliveira, Valter Lúcio de, Bühler, Ève Anne","Caderno CRH; 29(77); 261-280","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200261&lang=pt" 
"S2182-51732016000400002-prt","A quarter century of teacher training in family medicine in Europe: homage to the Bled course","Yaphe, John","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 242-243","Revista Portuguesa de Medicina Geral e Familiar","Inglês","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400002&lang=pt" 
"S2182-51732016000400010-prt","Suplementação de vitamina D na gravidez: qual a evidência?","Olivença, Raquel, Martins, Mónica, Mendes, Vanessa, Castanheira, Liliana","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 283-285","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400010&lang=pt" 
"S2182-51732016000400011-prt","Será o leite hidrolisado protetor de doença alérgica ou autoimune?","Faria, Sofia, Silva, Carla Patrícia","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 286-288","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400011&lang=pt" 
"S2182-51732016000400007-prt","Prevalência do consumo de risco de álcool no idoso: estudo numa unidade dos cuidados primários da região de Braga","Martins, Albino, Parente, Joana, Araújo, Joana, Menezes, Maria José","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 270-274","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400007&lang=pt" 
"S1415-98482016000200336-scl","O MODELO ESTRUTURA-CONDUTA-DESEMPENHO E A TEORIA EVOLUCIONÁRIA NEOSCHUMPETERIANA: UMA PROPOSTA DE INTEGRAÇÃO TEÓRICA","Lopes, Herton Castiglioni","Revista de Economia Contemporânea; 20(2); 336-358","Revista de Economia Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482016000200336&lang=pt" 
"S2182-51732016000400009-prt","Infeções urinárias não complicadas na mulher: esperar ou tratar?","Marques, Ana Raquel, Cunha, Ana Falcão e","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 280-282","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400009&lang=pt" 
"S2182-51732016000400003-prt","Morte medicamente ajudada: o debate","Sá, Armando Brito de","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 244-246","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400003&lang=pt" 
"S2182-51732016000400008-prt","Hemorragia subaracnoideia: um quadro atípico de uma patologia rara","Rocha, Hugo, Braga, Raquel","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 275-279","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400008&lang=pt" 
"S2182-51732016000400001-prt","Relatos de caso: para além das normas, a coerência e a congruência","Barroso, Ricardina","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 238-240","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400001&lang=pt" 
"S1415-98482016000200229-scl","VOLATILIDADE DA TAXA DE CÂMBIO E SEUS EFEITOS SOBRE O FLUXO DE COMÉRCIO DOS PAÍSES DA AMÉRICA DO SUL","Silva, Fernanda Aparecida, Freitas, Carlos Otávio de, Mattos, Leonardo Bornacki de","Revista de Economia Contemporânea; 20(2); 229-249","Revista de Economia Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482016000200229&lang=pt" 
"S1415-98482016000200308-scl","DESEMPREGO E QUALIFICAÇÃO DA MÃO DE OBRA NO BRASIL","Araújo, João Paulo Faria de, Antigo, Mariangela Furlan","Revista de Economia Contemporânea; 20(2); 308-335","Revista de Economia Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482016000200308&lang=pt" 
"S1415-98482016000200250-scl","UM ESTUDO DA RIQUEZA FINANCEIRA DO BRASIL A PARTIR DA MATRIZ DE PATRIMÔNIO FINANCEIRO DO IBGE","Silva, Antonio Carlos Macedo e, Santos, Cláudio Hamilton Matos dos","Revista de Economia Contemporânea; 20(2); 250-280","Revista de Economia Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482016000200250&lang=pt" 
"S1415-98482016000200359-scl","EFEITOS DISTRIBUTIVOS DO SALÁRIO MÍNIMO NO MERCADO DE TRABALHO DA REGIÃO NORDESTE","Vasconcelos, Joyciane Coelho, Araujo, Jair Andrade","Revista de Economia Contemporânea; 20(2); 359-385","Revista de Economia Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482016000200359&lang=pt" 
"S2182-51732016000400004-prt","Avaliação do desenvolvimento psicomotor pelos médicos de família: estudo observacional","Maia, Ana Rita, Fernandes, João, Leite, Mariana Fidalgo, Santos, Helena, Pereira, Susana Aires","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 248-256","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400004&lang=pt" 
"S2182-51732016000400005-prt","O papel dos inibidores da fosfodiesterase 5 no tratamento dos sintomas do trato urinário inferior: revisão baseada na evidência","Rocha, Hugo, Neves, Ângela, Fernandes, Sofia","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 257-264","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400005&lang=pt" 
"S2014-98322016000400008-esp","El examen al examen MIR 2015: aproximación a la validez estructural a través de la teoría clásica de los tests","Baladrón, Jaime, Curbelo, José, Sánchez-Lasheras, Fernando, Romeo-Ladrero, José M., Villacampa, Tomás, Fernández-Somoano, Ana","FEM: Revista de la Fundación Educación Médica; 19(4); 217-226","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400008&lang=pt" 
"S2014-98322016000400003-esp","Manejo de factores de riesgo cardiovascular en Venezuela mediante educación de los médicos que trabajan en atención primaria de salud","Pulido, Pablo, Silva, Honorio, Vedilei, Ada, Brandt, Cesar, Thomson, Tom, Marques, Juan, Ortega, Manuel, Miller, Lewis A., Wentz, Dennis, Sriharan, Abi, Pereira, Gloria, Silva, Alejandro, Davis, Dave","FEM: Revista de la Fundación Educación Médica; 19(4); 167-173","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400003&lang=pt" 
"S2014-98322016000400006-esp","Importancia de las competencias y utilidad de las actividades de aprendizaje en el desempeño de los residentes de medicina","Díaz-Plasencia, Juan A., Díaz-Reyna, Juan A., Valencia-Mariñas, Hugo, Yan-Quiroz, Edgar, Iglesias-Obando, Anthony, Díaz-Villazón, Melissa","FEM: Revista de la Fundación Educación Médica; 19(4); 193-203","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400006&lang=pt" 
"S2077-21612016000200001-bol","PERFECCIONISMO INFANTIL: UNA REVISIÓN DE LA LITERATURA","Aguilar Durán, Leonardo Andrés, Castellanos López, Marilyn Yisneida","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 162-226","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200001&lang=pt" 
"S2014-98322016000400001-esp","Acreditación de las facultades de medicina en España","Palés-Argullós, Jordi","FEM: Revista de la Fundación Educación Médica; 19(4); 161-163","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400001&lang=pt" 
"S2014-98322016000400004-esp","Fiabilidad y validez de un portafolio reflexivo en la evaluación de la práctica clínica de los estudiantes del capítulo de Cirugía Oncológica del curso de Cirugía","Díaz-Plasencia, Juan A., Sánchez de Cáceda, Elva, Guzmán-Gavidia, Carlos, Valencia-Mariñas, Hugo, García-Cabrera, Julio, Yan-Quiroz, Edgar, Díaz-Villazón, Melissa","FEM: Revista de la Fundación Educación Médica; 19(4); 175-185","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400004&lang=pt" 
"S2014-98322016000400007-esp","Utilización de relatos literarios como actividad formativa para la enseñanza de la medicina en la Universidad de Oviedo","Cantabrana, Begoña, González-Rodríguez, Sara, Bordallo, Javier, Hidalgo, Agustín","FEM: Revista de la Fundación Educación Médica; 19(4); 205-215","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400007&lang=pt" 
"S1516-18462016000400876-scl","Comparação de dois protocolos de triagem auditiva neonatal com critérios de referência de passa e falha distintos","Rodrigues, Priscila de Araújo Lucas, Nardez, Taina Maiza Bilinski, Espindola, Mariano Martinez, Gomes, Keyla Cristina Costa, Silva, Bruna Luana da","Revista CEFAC; 18(4); 876-880","Revista CEFAC","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462016000400876&lang=pt" 
"S1413-86702016000400384-scl","Characterization of the genetic environment of the bla KPC-2 gene among Klebsiella pneumoniae isolates from a Chinese Hospital","Shen, Pinghua, Zhang, Ying, Li, Gang, Jiang, Xiaofei","Brazilian Journal of Infectious Diseases; 20(4); 384-388","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400384&lang=pt" 
"S1413-86702016000400335-scl","Comparison of PCR-based methods for the simultaneous detection of Neisseria meningitidis, Haemophilus influenzae, and Streptococcus pneumoniae in clinical samples","de Filippis, Ivano, Andrade, Claudia Ferreira de, Caldeira, Nathalia, Azevedo, Aline Carvalho de, Almeida, Antonio Eugenio de","Brazilian Journal of Infectious Diseases; 20(4); 335-341","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400335&lang=pt" 
"S1413-86702016000400389-scl","Fusarium spp infections in a pediatric burn unit: nine years of experience","Rosanova, María Teresa, Brizuela, Martín, Villasboas, Mabel, Guarracino, Fabian, Alvarez, Veronica, Santos, Patricia, Finquelievich, Jorge","Brazilian Journal of Infectious Diseases; 20(4); 389-392","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400389&lang=pt" 
"S1413-86702016000400408-scl","Disseminated Bacille Calmette-Guérin disease in immunocompetent adult patients","Nascimento, Luísa, Linhas, Ana, Duarte, Raquel","Brazilian Journal of Infectious Diseases; 20(4); 408-409","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400408&lang=pt" 
"S1413-86702016000400410-scl","Malaria diagnosis: still a challenge in non-endemic countries","Voulgaridi, Ioanna, Koufakis, Theocharis, Ntava, Evdokia, Zisis, Nikolaos, Tsiakalou, Maria","Brazilian Journal of Infectious Diseases; 20(4); 410-411","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400410&lang=pt" 
"S1413-86702016000400403-scl","Emergent diseases in emergent countries: we must study viral ecology to prevent new epidemics","Ellwanger, Joel Henrique, Chies, José Artur Bogo","Brazilian Journal of Infectious Diseases; 20(4); 403-404","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400403&lang=pt" 
"S1413-86702016000400330-scl","Prevalence and characteristics of HIV/HBV and HIV/HCV coinfections in Tuscany","Puglia, Monia, Stasi, Cristina, Da Frè, Monica, Voller, Fabio","Brazilian Journal of Infectious Diseases; 20(4); 330-334","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400330&lang=pt" 
"S1413-86702016000400401-scl","Long term effect of switching to darunavir/ritonavir in HIV infected patients previously on protease inhibitor therapy","Ucciferri, Claudio, Falasca, Katia, Vignale, Francesca, Di Nicola, Marta, Vecchiet, Jacopo","Brazilian Journal of Infectious Diseases; 20(4); 401-402","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400401&lang=pt" 
"S1413-86702016000400406-scl","Characterization of a small outbreak of Salmonella enterica serovar Infantis that harbour CTX-M-65 in Ecuador","Cartelle Gestal, Monica, Zurita, Jeannete, Paz y Mino, Ariane, Ortega-Paredes, David, Alcocer, Iliana","Brazilian Journal of Infectious Diseases; 20(4); 406-407","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400406&lang=pt" 
"S1413-86702016000400405-scl","Protease inhibitors and azolic antifungals in HIV patients with histoplasmosis: a clinical pharmacokinetics perspective","Okumura, Lucas Miyake","Brazilian Journal of Infectious Diseases; 20(4); 405-405","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400405&lang=pt" 
"S1413-86702016000400354-scl","Diagnostic-driven antifungal therapy in neutropenic patients using the D-index and serial serum galactomannan testing","Garnica, Marcia, Sinhorelo, Aline, Madeira, Laura, Portugal, Rodrigo, Nucci, Marcio","Brazilian Journal of Infectious Diseases; 20(4); 354-359","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400354&lang=pt" 
"S1413-86702016000400374-scl","The epidemiology and clinical features of Mycoplasma pneumoniae infection in neonates","Huang, Feng, Lu, Lianghua, Jiang, Wujun, Yan, Yongdong, Ji, Wei, Yang, Bin, Yu, Shenglin","Brazilian Journal of Infectious Diseases; 20(4); 374-378","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400374&lang=pt" 
"S2077-21612016000200002-bol","TERAPIA NARRATIVA APLICADA A UNA PERSONA CON CRISIS DE IDENTIDAD FEMENINA","Reyes Aguirre, Silvia Viviana, Losantos Velasco, Marcela","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 227-246","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200002&lang=pt" 
"S2077-21612016000200005-bol","TERAPIA BREVE CENTRADA EN SOLUCIONES APLICADA AL CASO DE UNA PERSONA DIAGNOSTICADA CON VIH/SIDA","Lazo, Dilsen","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 303-333","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200005&lang=pt" 
"S2077-21612016000200008-bol","RELACIÓN DE PAREJA EN LA UNIÓN LIBRE - ESTUDIO DE CASO","Sebastián Pabon, Mónica Andrea","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 371-394","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200008&lang=pt" 
"S2077-21612016000200003-bol","VALIDACIÓN DE UN INSTRUMENTO DE FUNCIONALIDAD FAMILIAR","Fuentes Aguilar, Andrea Patricia, Merino Escobar, José Manuel","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 247-283","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200003&lang=pt" 
"S1413-86702016000400323-scl","Extensive variation in drug-resistance mutational profile of Brazilian patients failing antiretroviral therapy in five large Brazilian cities","Brites, Carlos, Pinto-Neto, Lauro, Medeiros, Melissa, Nunes, Estevão, Sprinz, Eduardo, Carvalho, Mariana","Brazilian Journal of Infectious Diseases; 20(4); 323-329","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400323&lang=pt" 
"S1413-86702016000400365-scl","Antimicrobial susceptibility of hospital acquired Stenotrophomonas maltophilia isolate biofilms","Sun, Erlin, Liang, Gehong, Wang, Lining, Wei, Wenjie, Lei, Mingde, Song, Shiduo, Han, Ruifa, Wang, Yubao, Qi, Wei","Brazilian Journal of Infectious Diseases; 20(4); 365-373","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400365&lang=pt" 
"S2077-21612016000200004-bol","AMOR, SATISFACCION EN LA PAREJA Y RESOLUCION DE CONFLICTOS EN ADULTOS JOVENES","García, Felipe E., Fuentes Zarate, Ruth, Sánchez Sánchez, Alfredo","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 284-302","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200004&lang=pt" 
"S2077-21612016000200006-bol","PILARES DE RESILIENCIA EN POLICÍAS, ANTE UNA DISCAPACIDAD FÍSICA ADQUIRIDA EN ACTO DE SERVICIO","Losada, Analía Verónica, Otero, María Victoria","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 334-351","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200006&lang=pt" 
"S1413-86702016000400342-scl","Antifungal efficacy of amphotericin B encapsulated fibrin microsphere for treating Cryptococcus neoformans infection in Swiss albino mice","Khan, Azmat Ali, Jabeen, Mumtaz, Alanazi, Amer M, Khan, Abdul Arif","Brazilian Journal of Infectious Diseases; 20(4); 342-348","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400342&lang=pt" 
"S2077-21612016000200007-bol","TERAPIA NARRATIVA APLICADA A UNA PERSONA CON CRISIS DE IDENTIDAD FEMENINA","Reyes Aguirre, Silvia Viviana, Losantos Velasco, Marcela","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 14(2); 352-370","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612016000200007&lang=pt" 
"S1413-86702016000400393-scl","Secondary syphilis in the oral cavity and the role of the dental surgeon in STD prevention, diagnosis and treatment: a case series study","Seibt, Creta Elisa, Munerato, Maria Cristina","Brazilian Journal of Infectious Diseases; 20(4); 393-398","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400393&lang=pt" 
"S1413-86702016000400399-scl","Crusted scabies in a patient with lepromatous leprosy","Pedra e Cal, Alexandra Peres Paim, Ferreira, Cassio Porto, da Costa Nery, José Augusto","Brazilian Journal of Infectious Diseases; 20(4); 399-400","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400399&lang=pt" 
"S1413-86702016000400360-scl","JC virus/human immunodeficiency virus 1 co-infection in the Brazilian Amazonian region","Cayres-Vallinoto, Izaura Maria Vieira, Vallinoto, Antonio Carlos Rosário, Pena, Giselle Priscila dos Anjos, Azevedo, Vânia Nakauth, Machado, Luiz Fernando Almeida, Ishak, Marluísa de Oliveira Guimarães, Ishak, Ricardo","Brazilian Journal of Infectious Diseases; 20(4); 360-364","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400360&lang=pt" 
"S1413-86702016000400349-scl","Characteristics of gonorrhea and syphilis cases among the Roma ethnic group in Belgrade, Serbia","Bjekić, Milan, Vlajinac, Hristina, Šipetić-Grujičić, Sandra","Brazilian Journal of Infectious Diseases; 20(4); 349-353","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400349&lang=pt" 
"S1413-86702016000400379-scl","Association of genetic polymorphisms of CISH with the risk of pulmonary tuberculosis in Zahedan, Southeast Iran","Naderi, Mohammad, Hashemi, Mohammad, Safdari, Abolhassan, Bahari, Gholamreza, Taheri, Mohsen","Brazilian Journal of Infectious Diseases; 20(4); 379-383","Brazilian Journal of Infectious Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702016000400379&lang=pt" 
"S2014-98322016000400002-esp","Auscultación cardíaca: ¿un anacronismo?","Gargantilla-Madera, Pedro, Pintor-Holguín, Emilio","FEM: Revista de la Fundación Educación Médica; 19(4); 165-165","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400002&lang=pt" 
"S2014-98322016000400005-esp","Capacidad de comunicación: fundamental para comprender la consulta médica","Silva, Isabela, Vargas-Ferreira, Lize, Marques de Sá-Ciabattari, Ana C., Pires-Bellei, Luisa, Machado-Saraiva, Juliana, Barros-Costa, Mônica","FEM: Revista de la Fundación Educación Médica; 19(4); 187-191","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000400005&lang=pt" 
"S2182-51732016000400006-prt","Dor pélvica em medicina geral e familiar: um caso clínico de vulvodinia","Macedo, Maria João","Revista Portuguesa de Medicina Geral e Familiar; 32(4); 265-269","Revista Portuguesa de Medicina Geral e Familiar","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2182-51732016000400006&lang=pt" 
