"S0102-311X2003000400008-scl","Debate sobre o artigo de Maria Andréa Loyola","Estellita-Lins, Carlos Eduardo","Cadernos de Saúde Pública; 19(4); 892-893","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400008&lang=pt" 
"S0100-69912003000400001-scl","Além de um Congresso...","Velho, Átila","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 247-248","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400001&lang=pt" 
"S0100-69912003000400009-scl","Pneumoperitôneo progressivo no pré-operatório de hérnias incisionais volumosas","Oliveira, Diogo Franco Vieira de, Gonçalves, Luiz Fernando Fernandes, Cláudio-da-Silva, César Silveira, Porchat, Carlos Alberto, Franco, Talita","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 297-301","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400009&lang=pt" 
"S0100-69912003000400008-scl","Significado prognóstico da deiscência e infecção da ferida operatória no carcinoma epidermóide das vias aerodigestivas superiores","Amar, Ali, Miyahira, Lincoln, Rapoport, Abrão, Franz, Sérgio Altino","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 293-296","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400008&lang=pt" 
"S0100-69912003000400012-scl","Emprego da submucosa intestinal suína em uretroplastias complexas","Palma, Paulo César Rodrigues, Riccetto, Cássio Luís Zanettini, Thiel, Marcelo","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 319-321","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400012&lang=pt" 
"S0100-69912003000400003-scl","Gestação obtida em coelha após ooforectomia bilateral e transplante ovariano homógeno","Petroianu, Andy, Vasconcellos, Leonardo de Souza, Leite, Juliana Moysés, Alberti, Luiz Ronaldo, Castro, Lúcia Porto Fonseca de","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 262-267","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400003&lang=pt" 
"S0100-69912003000400007-scl","Avaliação histoquímica quantitativa do colágeno na fascia transversalis e na bainha anterior do músculo reto abdominal em doentes com hérnia inguinal","Gonçalves, Rogério de Oliveira, Silva, Evandro de Moraes e, Marques, Tatiana Cunha, Lopes Filho, Gaspar de Jesus","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 286-292","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400007&lang=pt" 
"S0100-69912003000400010-scl","Hepatectomia direita no tratamento da metástase hepática do carcinoma colorretal","Fonseca, Fernando César Façanha, Belghiti, Jacques, Bravo Neto, Guilherme Pinto, Nakajima, Gerson Suguiyama","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 302-313","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400010&lang=pt" 
"S1414-32832003000200018-scl","Aprendizagem baseada em problemas na Faculdade de Medicina de Marília: sensibilizando o olhar para o idoso","Komatsu, Ricardo Shoiti","Interface - Comunicação, Saúde, Educação; 7(13); 162-162","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200018&lang=pt" 
"S1414-32832003000200017-scl","Tecnologia educacional: produção e avaliação do site Escala de Pessoal de Enfermagem","Juliani, Carmen Maria Casquel Monti","Interface - Comunicação, Saúde, Educação; 7(13); 161-162","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200017&lang=pt" 
"S1414-32832003000200013-scl","Inovacción/esperanza...","Lucarelli, Elisa","Interface - Comunicação, Saúde, Educação; 7(13); 153-154","Interface - Comunicação, Saúde, Educação","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200013&lang=pt" 
"S1414-32832003000200001-scl","Apresentação","Cyrino, Eliana Goldfarb","Interface - Comunicação, Saúde, Educação; 7(13); 7-8","Interface - Comunicação, Saúde, Educação","Inglês, Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200001&lang=pt" 
"S1414-32832003000200014-scl","Inovação/construção do conhecimento","Frigotto, Gaudêncio","Interface - Comunicação, Saúde, Educação; 7(13); 154-156","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200014&lang=pt" 
"S1414-32832003000200011-scl","Inovações pedagógicas: tempos de silêncios e possibilidades de produção","Cunha, Maria Isabel da","Interface - Comunicação, Saúde, Educação; 7(13); 149-151","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200011&lang=pt" 
"S1414-32832003000200020-scl","Graduação em Saúde Coletiva: notas para reflexões","Elias, Paulo Eduardo","Interface - Comunicação, Saúde, Educação; 7(13); 167-170","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200020&lang=pt" 
"S1414-32832003000200019-scl","Graduação em Saúde Coletiva: antecipando a formação do Sanitarista","Teixeira, Carmen Fontes","Interface - Comunicação, Saúde, Educação; 7(13); 163-166","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200019&lang=pt" 
"S1414-32832003000200012-scl","Inovação/tensão entre poderes e saberes...","Leite, Denise","Interface - Comunicação, Saúde, Educação; 7(13); 152-1538","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200012&lang=pt" 
"S1414-32832003000200015-scl","Inovação/visão única...","Balzan, Newton César","Interface - Comunicação, Saúde, Educação; 7(13); 156-157","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200015&lang=pt" 
"S1414-32832003000200016-scl","Inovações em tempos de debate","Cunha, Maria Isabel da","Interface - Comunicação, Saúde, Educação; 7(13); 158-158","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200016&lang=pt" 
"S1414-32832003000200021-scl","Sensibilizando nossos olhares","Komatsu, Ricardo Shoiti","Interface - Comunicação, Saúde, Educação; 7(13); 171-172","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832003000200021&lang=pt" 
"S1414-32832003000200001-spa","Apresentação","Cyrino, Eliana Goldfarb","Interface - Comunicação, Saúde, Educação; 7(13); 7-8","Interface - Comunicação, Saúde, Educação","Inglês, Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200001&lang=pt" 
"S1414-32832003000200018-spa","Aprendizagem baseada em problemas na Faculdade de Medicina de Marília: sensibilizando o olhar para o idoso","Komatsu, Ricardo Shoiti","Interface - Comunicação, Saúde, Educação; 7(13); 162-162","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200018&lang=pt" 
"S1414-32832003000200012-spa","Inovação/tensão entre poderes e saberes...","Leite, Denise","Interface - Comunicação, Saúde, Educação; 7(13); 152-1538","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200012&lang=pt" 
"S1414-32832003000200013-spa","Inovacción/esperanza...","Lucarelli, Elisa","Interface - Comunicação, Saúde, Educação; 7(13); 153-154","Interface - Comunicação, Saúde, Educação","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200013&lang=pt" 
"S1414-32832003000200016-spa","Inovações em tempos de debate","Cunha, Maria Isabel da","Interface - Comunicação, Saúde, Educação; 7(13); 158-158","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200016&lang=pt" 
"S1414-32832003000200017-spa","Tecnologia educacional: produção e avaliação do site Escala de Pessoal de Enfermagem","Juliani, Carmen Maria Casquel Monti","Interface - Comunicação, Saúde, Educação; 7(13); 161-162","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200017&lang=pt" 
"S1414-32832003000200011-spa","Inovações pedagógicas: tempos de silêncios e possibilidades de produção","Cunha, Maria Isabel da","Interface - Comunicação, Saúde, Educação; 7(13); 149-151","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200011&lang=pt" 
"S1414-32832003000200015-spa","Inovação/visão única...","Balzan, Newton César","Interface - Comunicação, Saúde, Educação; 7(13); 156-157","Interface - Comunicação, Saúde, Educação","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832003000200015&lang=pt" 
"S0102-35862003000400004-scl","Spirometric values in children and adolescents with short stature","Dorneles, Naiza Alessandra, Rosário Filho, Nelson Augusto, Riedi, Carlos Antônio, Boguszewski, Margareth Cristina, Barros, João Adriano de","Jornal de Pneumologia; 29(4); 182-187","Jornal de Pneumologia","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-35862003000400004&lang=pt" 
"S0102-35862003000400012-scl","The value of cytology and pleural biopsy in the differential diagnostic of nonspecific pleural effusions","Capelozzi, Vera Luiza, Rosa, Danieli Cheke da, Silva, Aloísio S. Felipe da","Jornal de Pneumologia; 29(4); 225-234","Jornal de Pneumologia","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-35862003000400012&lang=pt" 
"S0102-35862003000400013-scl","Lung tissue remodeling in the acute respiratory distress syndrome","Souza, Alba Barros de, Santos, Flavia Brandão dos, Negri, Elnara Marcia, Zin, Walter Araujo, Rocco, Patricia Rieken Macedo","Jornal de Pneumologia; 29(4); 235-245","Jornal de Pneumologia","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-35862003000400013&lang=pt" 
"S1413-86702003000400001-scl","An outbreak of conjunctivitis caused by multiresistant Pseudomonas aeruginosa in a Brazilian Newborn Intensive Care Unit","Brito, D. V. D., Oliveira, E. J., Matos, C., Abdallah, V. O.S., Gontijo Filho, P.P.","Brazilian Journal of Infectious Diseases; 7(4); 234-235","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400001&lang=pt" 
"S1413-86702003000400002-scl","Frequency of polymorphisms of genes coding for HIV-1 co-receptors CCR5 and CCR2 in a Brazilian population","Munerato, Patrícia, Azevedo, Maria Lúcia, Sucupira, Maria Cecília Araripe, Pardini, Regina, Pinto, Gedson Humberto Novaes, Catroxo, Márcia, Souza, Inara Espinelli, Diaz, Ricardo Sobhie","Brazilian Journal of Infectious Diseases; 7(4); 236-240","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400002&lang=pt" 
"S1413-86702003000400003-scl","C-reactive protein in the diagnosis of community-acquired pneumonia","Requejo, Henry I. Z., Cocoza, Ana Maria","Brazilian Journal of Infectious Diseases; 7(4); 241-244","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400003&lang=pt" 
"S1413-86702003000400008-scl","Atypical presentation of syphilis in an HTLV-I infected patient","Carnaúba Jr, Dimas, Bittencourt, Achiléa, Brites, Carlos","Brazilian Journal of Infectious Diseases; 7(4); 273-277","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400008&lang=pt" 
"S1413-86702003000400007-scl","A case study of disseminated histoplasmosis linked to common variable immunodeficiency","Rachid, Acir, Rezende, Lucila Stange, Moura, Suzelle Freitas de, Loffy, Paulo C., Magalhães, Francisco Luiz Gomide M.","Brazilian Journal of Infectious Diseases; 7(4); 268-272","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400007&lang=pt" 
"S1020-49892003000700004-spa","Percepciones y experiencias en torno a la violencia en estudiantes de secundaria en la zona urbana de Jamaica","Gardner, Julie Meeks, Powell, Christine A., Thomas, Joan A., Millard, Doreen","Revista Panamericana de Salud Pública; 14(2); 97-103","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700004&lang=pt" 
"S1020-49892003000700003-spa","Panorama da hepatite B no Brasil e no Estado de Santa Catarina","Chávez, Juliana Helena, Campana, Sabrina Gonçalves, Haas, Patrícia","Revista Panamericana de Salud Pública; 14(2); 91-96","Revista Panamericana de Salud Pública","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700003&lang=pt" 
"S1020-49892003000700011-spa","Datos sobre el paracetamol en el tratamiento de la fiebre en niños","","Revista Panamericana de Salud Pública; 14(2); 132-132","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700011&lang=pt" 
"S1020-49892003000700010-spa","¿Por qué es más grave el dengue después de un primer episodio?","","Revista Panamericana de Salud Pública; 14(2); 131-132","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700010&lang=pt" 
"S1020-49892003000700009-spa","Estrategia novedosa para reducir radicalmente la mortalidad por causas cardiovasculares","","Revista Panamericana de Salud Pública; 14(2); 131-131","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700009&lang=pt" 
"S1020-49892003000700013-spa","Assessing an Internet health information site by using log analysis: the experience of the National Cancer Institute of Brazil","Vasconcellos-Silva, Paulo R., Castiel, Luis D., Rivera, Francisco J. U.","Revista Panamericana de Salud Pública; 14(2); 134-137","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700013&lang=pt" 
"S1020-49892003000700007-spa","Factores asociados a etapas de cambio de comportamiento en fumadores cubanos","Varona Pérez, Patricia, Rodríguez, Mariela, Alfonso, Karen, Bonet, Mariano, García, René Guillermo, Fernández Larrea, Niurys, García Pérez, Rosa Marina","Revista Panamericana de Salud Pública; 14(2); 119-124","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700007&lang=pt" 
"S1020-49892003000700008-spa","Abortion, contraceptive use, and adolescent pregnancy among first-year medical students at a major public university in Mexico City","Ortiz-Ortega, Adriana, García de la Torre, Guadalupe, Galván, Fernando, Cravioto, Patricia, Paz, Francisco, Díaz-Olavarrieta, Claudia, Ellertson, Charlotte, Cravioto, Alejandro","Revista Panamericana de Salud Pública; 14(2); 125-130","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700008&lang=pt" 
"S1020-49892003000700015-spa","&quot;Prevalencia y factores de riesgo de sobrepeso en colegialas de 12 a 19 años en una región semiurbana del Ecuador&quot;","Burbano, ","Revista Panamericana de Salud Pública; 14(2); 96-96","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700015&lang=pt" 
"S1020-49892003000700002-spa","Behavioral problems and tobacco use among adolescents in Chile","Caris, Luis, Varas, Marianela, Anthony, Christopher B., Anthony, James C.","Revista Panamericana de Salud Pública; 14(2); 84-90","Revista Panamericana de Salud Pública","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700002&lang=pt" 
"S1020-49892003000700014-spa","Nuevas recomendaciones para el tratamiento de personas con infección por VIH","","Revista Panamericana de Salud Pública; 14(2); 138-147","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700014&lang=pt" 
"S1020-49892003000700012-spa","Se explora la relación entre la violencia contra la mujer y el embarazo en México","","Revista Panamericana de Salud Pública; 14(2); 132-133","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700012&lang=pt" 
"S1413-86702003000400005-scl","Viral hepatitis in patients infected with human immunodeficiency virus","Pavan, Maria Helena P., Aoki, Francisco Hideo, Monteiro, Dinaida Teresa, Gonçales, Neiva Sellan L., Escanhoela, Cecília Amélia F., Gonçales Júnior, Fernando L.","Brazilian Journal of Infectious Diseases; 7(4); 253-261","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400005&lang=pt" 
"S1020-49892003000700001-spa","La violencia física, psicológica, emocional y sexual durante el embarazo: riesgo reproductivo predictor de bajo peso al nacer en Costa Rica","Núñez-Rivas, Hilda Patricia, Monge-Rojas, Rafael, Gríos-Dávila, Carla, Elizondo-Ureña, Ana María, Rojas-Chavarría, Ana","Revista Panamericana de Salud Pública; 14(2); 75-83","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700001&lang=pt" 
"S1020-49892003000700005-spa","Estudio neuroepidemiológico nacional (EPINEURO) colombiano","Pradilla A., Gustavo, Vesga A., Boris E., León-Sarmiento, Fidias E.","Revista Panamericana de Salud Pública; 14(2); 104-111","Revista Panamericana de Salud Pública","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700005&lang=pt" 
"S1020-49892003000700006-spa","Associação entre manifestações estomatológicas e características socioeconômicas e culturais de crianças brasileiras e norte-americanas infectadas pelo HIV","Grando, Liliane J., Yurgel, Liliane S., Machado, Denise C., Nachman, Sharon, Ferguson, Fred, Berentsen, Barbara, Fernandes, Ângela","Revista Panamericana de Salud Pública; 14(2); 112-118","Revista Panamericana de Salud Pública","Português","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892003000700006&lang=pt" 
"S1413-86702003000400004-scl","Use of rhu-GM-CSF in pulmonary tuberculosis patients: results of a randomized clinical trial","Pedral-Sampaio, Diana Brasil, Netto, Eduardo Martins, Brites, Carlos, Bandeira, Antonio Carlos, Guerra, Conceição, Barberin, Maria Goreth, Badaró, Roberto","Brazilian Journal of Infectious Diseases; 7(4); 245-252","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400004&lang=pt" 
"S1413-86702003000400009-scl","First isolation of enterovirus 71 (EV-71) from Northern Brazil","Lamarão, Leticia Martins, Maciel, Ana Maria T. R., Gomes, Maria de Lourdes Contente","Brazilian Journal of Infectious Diseases; 7(4); 278-281","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400009&lang=pt" 
"S0102-35862003000400002-scl","Monitoring of airway inflammation in asthma","Inman, Mark D.","Jornal de Pneumologia; 29(4); 176-177","Jornal de Pneumologia","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-35862003000400002&lang=pt" 
"S0102-35862003000400015-scl","Severe asthma: what is the issue, treatment or diagnosis?","","Jornal de Pneumologia; 29(4); 248-248","Jornal de Pneumologia","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-35862003000400015&lang=pt" 
"S0102-35862003000400001-scl","Low stature but high spirometric values","Zamel, Noé","Jornal de Pneumologia; 29(4); 175-175","Jornal de Pneumologia","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-35862003000400001&lang=pt" 
"S1413-86702003000400006-scl","Seroprevalence of HbsAg, anti-HBc and anti-HCV in Southern Brazil, 1999-2001","Rosini, Nilton, Mousse, Donaida, Spada, Celso, Treitinger, Arício","Brazilian Journal of Infectious Diseases; 7(4); 262-267","Brazilian Journal of Infectious Diseases","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702003000400006&lang=pt" 
"S1315-62682003000200002-ven","El Derecho a la participación de las minorías indígenas venezolanas dentro del marco legal de 1999","Morales Manzur, Juan Carlos, Morales García, Lucrecia","Frónesis; 10(2); 09-29","Frónesis","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682003000200002&lang=pt" 
"S1315-62682003000200003-ven","El régimen venezolano de la función pública y su incidencia en la gerencia de personal ante la crisis del pensamiento administrativo tradicional","Camba, Nelson, de Pelekais, Cira, Govea de Guerrero, María","Frónesis; 10(2); 30-48","Frónesis","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682003000200003&lang=pt" 
"S1315-62682003000200001-ven","","","Frónesis; 10(2); 05-05","Frónesis","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682003000200001&lang=pt" 
"S1315-62682003000200004-ven","Algunos aspectos teóricos de la desobediencia civil: Análisis sobre su consagración en la Constitución venezolana","Chacín Fuenmayor, Ronald de Jesús","Frónesis; 10(2); 49-72","Frónesis","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682003000200004&lang=pt" 
"S1315-62682003000200005-ven","El concepto de espacio político como paradigma ético-jurídico en la nueva Constitución venezolana","Villalobos Antúnez, José Vicente","Frónesis; 10(2); 73-89","Frónesis","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682003000200005&lang=pt" 
