"S0718-58392014000200015-chl","Influence of breed and feeding on the main quality characteristics of sheep carcass and meat: A review","Ramírez-Retamal, Jorge, Morales, Rodrigo","Chilean journal of agricultural research; 74(2); 225-233","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000200015&lang=pt" 
"S1984-22012014000100063-scl","PRODUÇÃO DOS ESPAÇOS INFORMAIS DE MORADIA NA METRÓPOLE DE CURITIBA","Silva, Madianita Nunes da","Mercator (Fortaleza); 13(1); 63-78","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100063&lang=pt" 
"S1984-22012014000100119-scl","ANÁLISE FITOECOLÓGICA E ZONAÇÃO DE MANGUEZAL EM ESTUÁRIO HIPERSALINO","Costa, Diógenes Félix da Silva, Rocha, Renato de Medeiros, Cestaro, Luiz Antonio","Mercator (Fortaleza); 13(1); 119-126","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100119&lang=pt" 
"S1984-22012014000100037-scl","CIRCUITO ESPACIAL PRODUTIVO DO CAFÉ E O JOGO DE ESCALAS","Frederico, Samuel","Mercator (Fortaleza); 13(1); 37-48","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100037&lang=pt" 
"S0100-39842014000200016-scl","Radiological findings of uterine arteriovenous malformation: a case report of an unusual and life-threatening cause of abnormal vaginal bleeding","Farias, Marcela Sales, Santi, Clara Campagnaro, Lima, Aline Aparecida A. de A., Teixeira, Sabrina Mendes, Biase, Tatiana Co Gomes De","Radiologia Brasileira; 47(2); 122-124","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200016&lang=pt" 
"S0100-39842014000200012-scl","Raspberry Pi: a 35-dollar device for viewing DICOM images","Paiva, Omir Antunes, Moreira, Renata de Oliveira","Radiologia Brasileira; 47(2); 99-100","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200012&lang=pt" 
"S0100-39842014000200018-scl","Bullet embolism of pulmonary artery: a case report","Yamanari, Mauricio Gustavo Ieiri, Mansur, Maria Clara Dias, Kay, Fernando Uliana, Silverio, Paulo Rogerio Barboza, Jayanthi, Shri Krishna, Funari, Marcelo Buarque de Gusmão","Radiologia Brasileira; 47(2); 128-130","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200018&lang=pt" 
"S0100-39842014000200011-scl","Learning on human resources management in the radiology residency program","Oliveira, Aparecido Ferreira de, Lederman, Henrique Manoel, Batista, Nildo Alves","Radiologia Brasileira; 47(2); 94-98","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200011&lang=pt" 
"S0100-39842014000200017-scl","Primary neuroendocrine breast carcinoma: a case report and literature review","Valentim, Maria Helena, Monteiro, Vanessa, Marques, José Carlos","Radiologia Brasileira; 47(2); 125-127","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200017&lang=pt" 
"S0100-39842014000200015-scl","Bosniak classification of renal cystic lesions according to multidetector computed tomography findings","Miranda, Christiana Maia Nobre Rocha de, Maranhão, Carol Pontes de Miranda, Santos, Carla Jotta Justo dos, Padilha, Igor Gomes, Farias, Lucas de Pádua Gomes de, Rocha, Milzi Sarmento da","Radiologia Brasileira; 47(2); 115-121","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200015&lang=pt" 
"S0100-39842014000200014-scl","The carpal boss: a review of different sonographic findings","Arend, Carlos Frederico","Radiologia Brasileira; 47(2); 112-114","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200014&lang=pt" 
"S0100-39842014000200001-scl","Audit in a diagnostic breast imaging service","Koch, Hilton","Radiologia Brasileira; 47(2); V-V","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200001&lang=pt" 
"S0100-39842014000200008-scl","Radiographic adenoid evaluation: proposal of an objective parameter","Feres, Murilo Fernando Neuppmann, Hermann, Juliana Sato, Sallum, Ana Carolina, Pignatari, Shirley Shizue Nagata","Radiologia Brasileira; 47(2); 79-83","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200008&lang=pt" 
"S0100-39842014000200002-scl","Carpal boss: a sonographic view","Simão, Marcelo Novelino","Radiologia Brasileira; 47(2); VII-VII","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200002&lang=pt" 
"S0100-39842014000200005-scl","Which is your diagnosis?","Mançano, Alexandre Dias, Santos Neto, Rubens Carneiro dos, Silva, Karla Coelho Caixeta e","Radiologia Brasileira; 47(2); XI-XII","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200005&lang=pt" 
"S0100-39842014000200004-scl","Medical knowledge on ionizing radiations","Carvalho, Antonio Carlos Pires","Radiologia Brasileira; 47(2); X-X","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200004&lang=pt" 
"S0100-39842014000200009-scl","Clinical and videofluoroscopic diagnosis of dysphagia in chronic encephalopathy of childhood","Araújo, Brenda Carla Lima, Motta, Maria Eugênia Almeida, Castro, Adriana Guerra de, Araújo, Claudia Marina Tavares de","Radiologia Brasileira; 47(2); 84-88","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200009&lang=pt" 
"S0100-39842014000200003-scl","Mobile health","Monteiro, Alexandra","Radiologia Brasileira; 47(2); IX-IX","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200003&lang=pt" 
"S0100-39842014000200013-scl","Functional magnetic resonance imaging in oncology: state of the art","Guimaraes, Marcos Duarte, Schuch, Alice, Hochhegger, Bruno, Gross, Jefferson Luiz, Chojniak, Rubens, Marchiori, Edson","Radiologia Brasileira; 47(2); 101-111","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200013&lang=pt" 
"S0100-39842014000200010-scl","Relationship between two year PSA nadir and biochemical recurrence in prostate cancer patients treated with iodine-125 brachytherapy","Franca, Carlos Antônio da Silva, Vieira, Sérgio Lannes, Carvalho, Antonio Carlos Pires, Bernabe, Antonio Jose Serrano, Penna, Antonio Belmiro Rodrigues Campbell","Radiologia Brasileira; 47(2); 89-93","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200010&lang=pt" 
"S0100-39842014000200006-scl","Correlation between PET/CT results and histological and immunohistochemical findings in breast carcinomas","Bitencourt, Almir Galvão Vieira, Lima, Eduardo Nóbrega Pereira, Chojniak, Rubens, Marques, Elvira Ferreira, Souza, Juliana Alves de, Graziano, Luciana, Andrade, Wesley Pereira, Osório, Cynthia Aparecida Bueno de Toledo","Radiologia Brasileira; 47(2); 67-73","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200006&lang=pt" 
"S0100-39842014000200007-scl","Complete internal audit of a mammography service in a reference institution for breast imaging","Badan, Gustavo Machado, Roveda Júnior, Décio, Ferreira, Carlos Alberto Pecci, Junior, Ozeas Alves de Noronha","Radiologia Brasileira; 47(2); 74-78","Radiologia Brasileira","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842014000200007&lang=pt" 
"S0074-02762014000200174-scl","Metallothionein-1 and nitric oxide expression are inversely correlated in a murine model of Chagas disease","Gonzalez-Mejia, Martha Elba, Torres-Rasgado, Enrique, Porchia, Leonardo M, Salgado, Hilda Rosas, Totolhua, José-Luis, Ortega, Arturo, Hernández-Kelly, Luisa Clara Regina, Ruiz-Vivanco, Guadalupe, Báez-Duarte, Blanca G, Pérez-Fuentes, Ricardo","Memórias do Instituto Oswaldo Cruz; 109(2); 174-181","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200174&lang=pt" 
"S0074-02762014000200236-scl","Genotyping Mycobacterium bovis from cattle in the Central Pampas of Argentina: temporal and regional trends","Shimizu, Ernesto, Macías, Analía, Paolicchi, Fernando, Magnano, Gabriel, Zapata, Laura, Fernández, Analía, Canal, Ana, Garbaccio, Sergio, Cataldi, Angel, Caimi, Karina, Zumárraga, Martín","Memórias do Instituto Oswaldo Cruz; 109(2); 236-245","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200236&lang=pt" 
"S0074-02762014000200154-scl","Alterations in cytokines and haematological parameters during the acute and convalescent phases of Plasmodium falciparum and Plasmodium vivax infections","Rodrigues-da-Silva, Rodrigo Nunes, Lima-Junior, Josué da Costa, Fonseca, Bruna de Paula Fonseca e, Antas, Paulo Renato Zuquim, Baldez, Arlete, Storer, Fabio Luiz, Santos, Fátima, Banic, Dalma Maria, Oliveira-Ferreira, Joseli de","Memórias do Instituto Oswaldo Cruz; 109(2); 154-162","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200154&lang=pt" 
"S0074-02762014000200210-scl","Low transformation growth factor-β1 production and collagen synthesis correlate with the lack of hepatic periportal fibrosis development in undernourished mice infected with Schistosoma mansoni","Barros, Andreia Ferreira, Oliveira, Sheilla Andrade, Carvalho, Camila Lima, Silva, Fabiana Leticia, Souza, Veruska Cintia Alexandrino de, Silva, Anekecia Lauro da, Araujo, Roni Evencio de, Souza, Bruno Solano F, Soares, Milena Botelho Pereira, Costa, Vlaudia MA, Coutinho, Eridan de Medeiros","Memórias do Instituto Oswaldo Cruz; 109(2); 210-219","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200210&lang=pt" 
"S0120-00622014000100017-col","Mejía, Santiago. &quot;Wittgenstein y la creencia religiosa&quot;, Ideas y Valores, Revista Colombiana de Filosofía. [Universidad Nacional de Colombia] LV/132 (2006): 3-29","BURITICÁ, ANDRÉS","Ideas y Valores; 63(154); 314-319","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100017&lang=pt" 
"S0120-00622014000100012-col","","GONZÁLEZ, LEONARDO","Ideas y Valores; 63(154); 295-299","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100012&lang=pt" 
"S0120-00622014000100014-col","Xolocotzi Yáñez, Ángel. Heidegger y el nacionalsocialismo: una crónica. Madrid: Plaza y Valdés, 2013. 198 pp","OREJARENA TORRES, JEAN","Ideas y Valores; 63(154); 302-306","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100014&lang=pt" 
"S0120-00622014000100015-col","Respuesta al comentario de Gustavo Caponi. &quot;Ginnobili, Santiago. &#039;El estatus fenomenológico de la teoría de la selección natural&#039;&quot;, Ideas y Valores LXII/152 (2013): 319-322","GINNOBILI, SANTIAGO","Ideas y Valores; 63(154); 307-311","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100015&lang=pt" 
"S0120-00622014000100016-col","Idareta, Francisco. &quot;La ontologzación cristiana de la trascendencia del Dios hebreo según E. Lévinas&quot;, Ideas y Valores, Revista Colombiana de Filosofía. [Universidad Nacional de Colombia] LXII/152 (2013): 9-34","DÍAZ, JORGE AURELIO","Ideas y Valores; 63(154); 312-313","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100016&lang=pt" 
"S0120-00622014000100010-col","ACERCA DEL VALOR ADAPTATIVO DEL ASCO MORALIZADO DESDE UNA PERSPECTIVA EVOLUCIONISTA","ZAVADIVKER, MARÍA NATALIA","Ideas y Valores; 63(154); 243-269","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100010&lang=pt" 
"S0120-00622014000100011-col","ORACIONES OBSERVACIONALES Y EMPIRISMO ILUSTRADO EN LA FILOSOFÍA DE QUINE","ÁVILA, IGNACIO","Ideas y Valores; 63(154); 271-294","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100011&lang=pt" 
"S0120-00622014000100013-col","","CADAHIA, MARÍA LUCIANA","Ideas y Valores; 63(154); 299-301","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100013&lang=pt" 
"S0120-00622014000100009-col","JUSTIFICACIÓN ARGUMENTATIVA Y SUTILEZA INTUITIVA EN LA CONCRECIÓN DE LA ACCIÓN ÉTICA","BARRIENTOS RASTROJO, JOSÉ","Ideas y Valores; 63(154); 215-242","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100009&lang=pt" 
"S0120-00622014000100008-col","HUME Y LA FICCIÓN DE LA IDENTIDAD PERSONAL","PEREIRA GANDARILLAS, FRANCISCO","Ideas y Valores; 63(154); 191-213","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100008&lang=pt" 
"S0120-00622014000100003-col","RATIONES IMPLÍCITAS Y SENSACIONES INTERNAS EN LAS MEDITATIONES DE PRIMA PHILOSOPHIA","OTAÍZA, MAURICIO","Ideas y Valores; 63(154); 59-83","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100003&lang=pt" 
"S0120-00622014000100002-col","EL PAPEL DE LOS AFECTOS EN EL PENSAMIENTO POLÍTICO DE SPINOZA","SERRANO, VICENTE","Ideas y Valores; 63(154); 31-57","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100002&lang=pt" 
"S0120-00622014000100001-col","LA VEHEMENCIA DE SÍ ELEMENTOS PARA UNA FILOSOFÍA DEL CONSENTIMIENTO","MENA MALET, PATRICIO ANDRÉS","Ideas y Valores; 63(154); 7-29","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100001&lang=pt" 
"S0120-00622014000100007-col","WALTER BENJAMIN: HISTORIA, EXPERIENCIA Y MODERNIDAD","MOLANO, MARIO ALEJANDRO","Ideas y Valores; 63(154); 165-190","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100007&lang=pt" 
"S0120-00622014000100006-col","PARADOJAS DEL PROGRESO EN LA ALDEA GLOBAL","ORDÓNEZ DÍAZ, LEONARDO","Ideas y Valores; 63(154); 137-163","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100006&lang=pt" 
"S0120-00622014000100005-col","¿QUÉ TAN LEIBNIZIANOS ERANLOS &quot;LEIBNIZIANOS&quot; CH. WOLFF Y A. G. BAUMGARTEN? REFLEXIONES ACERCA DE LA TEORÍA DE LA ARMONÍA PREESTABLECIDA","ROBERT, GASTON","Ideas y Valores; 63(154); 107-135","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100005&lang=pt" 
"S0120-00622014000100004-col","EXPRESIÓN, DESCRIPCIÓN Y CREENCIA CONSCIENTE","VIDAL, JAVIER","Ideas y Valores; 63(154); 85-106","Ideas y Valores","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622014000100004&lang=pt" 
"S0120-00112014000200008-col","Práctica de actividad física, actividades sedentarias y hábitos alimentarios en escolares entre los 5 y 10 años con exceso de peso de un colegio en Bogotá, Colombia","Sepúlveda-Valbuena, Cindy Natalia, Ladino-Meléndez, Liliana","Revista de la Facultad de Medicina; 62(2); 221-228","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200008&lang=pt" 
"S0120-00112014000200009-col","Efecto de la alopregnanolona sobre la ansiedad en ratas con separación materna durante la lactancia","Riveros-Barrera, Irene, Dueñas, Zulma","Revista de la Facultad de Medicina; 62(2); 229-236","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200009&lang=pt" 
"S0120-00112014000200004-col","Correlación de variables antropométricas como predictor de salud, en una población de niños y adolescentes con síndrome de Down de Temuco, Chile","Cresp-Barria, Mauricio, Caamaño-Navarrete, Felipe, Ojeda-Nahuelcura, Rodrigo, Machuca-Barria, Claudia, Carrasco-Jiménez, Ángela","Revista de la Facultad de Medicina; 62(2); 193-198","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200004&lang=pt" 
"S0120-00112014000200005-col","Exploración de estrategias de disciplina aplicadas a los niños de una institución educativa en Bogotá","Sáenz-Lozada, María Luz, Camacho-Lindo, Ángela Elisa, Silva-Oviedo, Nelly Johanna, Holguín-Sanabria, Alejandra","Revista de la Facultad de Medicina; 62(2); 199-204","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200005&lang=pt" 
"S0120-00112014000200006-col","Edad motora versus edad corregida en infantes prematuros y con bajo peso al nacer","Castellanos-Garrido, Adriana Lucía, Alfonso-Mora, Margareth Lorena, Campo-Gómez, María Paula, Rincón-Niño, Geraldine, Gómez-Patiño, María Carolina, Sánchez-Luque, Yuly Natalia","Revista de la Facultad de Medicina; 62(2); 205-211","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200006&lang=pt" 
"S0120-00112014000200007-col","Diseño y análisis psicométrico de una escala de resiliencia en infantes","Cabrera-García, Victoria Eugenia, Aya-Gómez, Viviana Lucía, Guevara-Marín, Ivón Paola","Revista de la Facultad de Medicina; 62(2); 213-220","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200007&lang=pt" 
"S0120-00112014000200001-col","Dos décadas de neonatología","Currea-Guerrero, Santiago","Revista de la Facultad de Medicina; 62(2); 177-177","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200001&lang=pt" 
"S0120-00112014000200002-col","Gestational and congenital toxoplasmosis in two hospitals in Bogota, Colombia","Angel-Müller, Edith, Hougton, María Paula, Eslava, Carolina, Riaño, Jorge, Rey, Gustavo E., Gómez-Marín, Jorge E.","Revista de la Facultad de Medicina; 62(2); 179-185","Revista de la Facultad de Medicina","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200002&lang=pt" 
"S0120-00112014000200003-col","Señales aterogénicas tempranas en niños entre 3 y 5 años de un círculo infantil de La Habana","Barreto-Quintana, Helen Maria, Ferrer-Arocha, Marlene, Femández-Britto-Rodríguez, José Emilio, Sierra-Ariza, Iván Darío","Revista de la Facultad de Medicina; 62(2); 187-191","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200003&lang=pt" 
"S0120-00112014000200018-col","Reflexiones en torno a los epónimos en medicina: presente, pasado y futuro","Rodríguez-Gama, Álvaro, Donado-Moré, Andrés Felipe, Salcedo-Quinche, María Paula","Revista de la Facultad de Medicina; 62(2); 305-317","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200018&lang=pt" 
"S0120-00112014000200013-col","Mecanismos inmunológicos implicados en la patología del asma alérgica","Pazmiño, Freddy Alexander, Navarrete-Jiménez, Myriam Lucia","Revista de la Facultad de Medicina; 62(2); 265-277","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200013&lang=pt" 
"S0120-00112014000200012-col","Parálisis obstétrica del plexo braquial. Revisión del estado actual de la enfermedad","Vergara-Amador, Enrique Manuel","Revista de la Facultad de Medicina; 62(2); 255-263","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200012&lang=pt" 
"S0120-00112014000200011-col","Síndrome Infantil de Muerte Súbita: nuevos conceptos y una misma solución","Latorre-Castro, María Luisa, Fernández-Deaza, Ginna Paola, Ucrós-Rodnguez, Santiago","Revista de la Facultad de Medicina; 62(2); 247-254","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200011&lang=pt" 
"S0120-00112014000200010-col","Factores influyentes en el comportamiento alimentario infantil","Díaz-Beltrán, Mónica del Pilar","Revista de la Facultad de Medicina; 62(2); 237-245","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200010&lang=pt" 
"S0120-00112014000200017-col","Evaluación económica aplicada a las unidades de soporte nutricional","Pinzón-Espitia, Olga Lucía","Revista de la Facultad de Medicina; 62(2); 299-303","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200017&lang=pt" 
"S0120-00112014000200016-col","Reconstrucción de encefalocele frontoetmoidal con injerto de acetábulo","Moscote-Salazar, Luis Rafael, Alvis-Miranda, Hernando Raphael, Alcalá-Cerra, Gabriel, Escorcia, Héctor Farid","Revista de la Facultad de Medicina; 62(2); 293-297","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200016&lang=pt" 
"S0120-00112014000200015-col","Galactosemia como causa de ictericia neonatal","Cifuentes-Cifuentes, Mery Yolanda, Estrada-Vizcaíno, Antonio, Romero C, Rosa","Revista de la Facultad de Medicina; 62(2); 287-292","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200015&lang=pt" 
"S0120-00112014000200014-col","Primer caso reportado en Colombia de hipoplasia renal congénita bilateral en dos hermanos","Urrego-Díaz, José Augusto, Romero-Rueda, José David, Landinez-Millán, Guillermo, Lozano-Triana, Carlos Javier, Moreno-Gómez, Luz Ángela","Revista de la Facultad de Medicina; 62(2); 279-285","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200014&lang=pt" 
"S0120-00112014000200019-col","Avances genéticos y moleculares en el estudio de trastornos mentales","Salamanca-Ortíz, Daisy Natalia, Vergara-Vergara, Jorge Yamit, Escobar-Córdoba, Franklin, Rodríguez-Gama, Álvaro, Caminos- Pinzón, Jorge Eduardo","Revista de la Facultad de Medicina; 62(2); 319-324","Revista de la Facultad de Medicina","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112014000200019&lang=pt" 
"S1665-11462014000200002-mex","Epidemiología de lesiones no intencionales en niños: revisión de estadísticas internacionales y nacionales","Bustos Córdova, Edgar, Cabrales Martínez, Rosa Georgina, Cerón Rodríguez, Magdalena, Naranjo López, María Yolanda","Boletín médico del Hospital Infantil de México; 71(2); 68-75","Boletín médico del Hospital Infantil de México","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200002&lang=pt" 
"S1665-11462014000200007-mex","Malformación linfática del omento menor","Fernández Domenech, José Antonio, Orozco Chávez, Efrén Gerardo, de la Cruz Ramírez Jaimez, Juan, González Ocampo, Luis Ricardo","Boletín médico del Hospital Infantil de México; 71(2); 103-107","Boletín médico del Hospital Infantil de México","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200007&lang=pt" 
"S1665-11462014000200006-mex","Childhood anemia in Mexico: A public health problem at all socioeconomic levels","Pasillas-Torres, Elvira Mireya, Rodríguez-Ortega, Evelyne Eugenia","Boletín médico del Hospital Infantil de México; 71(2); 95-102","Boletín médico del Hospital Infantil de México","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200006&lang=pt" 
"S1665-11462014000200005-mex","Asociación entre el índice de masa corporal y el perfil de lípidos en niños y adolescentes mexicanos con obesidad: un análisis retrospectivo","Arjona-Villicaña, Ruy David, Herrera-Sánchez, Luis Fernando, Sumárraga-Ugalde, Carolina del Mar, Alcocer-Gamboa, Miguel Alberto","Boletín médico del Hospital Infantil de México; 71(2); 88-94","Boletín médico del Hospital Infantil de México","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200005&lang=pt" 
"S1665-11462014000200004-mex","Neutrophilia induced by histamine challenge in guinea pig: The role of IL-5, IL-10 and IL-17A, but not CXCL8","Ramos-Ramírez, Patricia, Campos, María G., Martínez-Cordero, Erasmo, García-Zepeda, Eduardo, Téllez-Jiménez, Olivia, Larios-Martínez, Karen, Bazán-Perkins, Blanca","Boletín médico del Hospital Infantil de México; 71(2); 83-87","Boletín médico del Hospital Infantil de México","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200004&lang=pt" 
"S1665-11462014000200003-mex","Evaluation of the quality of care of neonates with necrotizing enterocolitis affiliated with Seguro Popular in Mexico","Pérez-Cuevas, Ricardo, Vladislavovna Doubova, Svetlana, Jasso-Gutiérrez, Luis, Flores-Hernández, Sergio, O&#039;Shea Cuevas, Gabriel, Aranza-Doniz, Carlos, González-Guerra, Eduardo, Muñoz-Hernández, Onofre","Boletín médico del Hospital Infantil de México; 71(2); 76-82","Boletín médico del Hospital Infantil de México","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200003&lang=pt" 
"S1665-11462014000200009-mex","El impacto de los Determinantes Sociales de la Salud en los niños","Jasso-Gutiérrez, Luis, López Ortega, Mariana","Boletín médico del Hospital Infantil de México; 71(2); 117-125","Boletín médico del Hospital Infantil de México","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200009&lang=pt" 
"S1665-11462014000200008-mex","Leucemia linfoblástica aguda en fase de mantenimiento con recaída a sistema nervioso central y hemosiderosis extensa","Medina-Sansón, Aurora, Dies-Suárez, Pilar, Rey-Helo, Elianneth, Escobar-Sánchez, María Argelia","Boletín médico del Hospital Infantil de México; 71(2); 108-116","Boletín médico del Hospital Infantil de México","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462014000200008&lang=pt" 
