"S1516-89132014000100018-scl","Plant cells in the context of climate change","Machado, Marcelo Rubens","Brazilian Archives of Biology and Technology; 57(1); 126-137","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100018&lang=pt" 
"S1025-02552014000100013-cub","Presentación de caso atípico de Glaucoma neovascular","González Rodríguez, Noris Thais, Landín Sorí, Matilde, Arredondo Torres, Elsa Liset, Chávez Pardo, Iris, Basulto Quirós, Niuvys, González Hernández, Yaima Liliana","Revista Archivo Médico de Camagüey; 18(1); 124-133","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100013&lang=pt" 
"S1025-02552014000100012-cub","Quilotórax bilateral y linfoma simultáneo en dos varones: presentación de dos casos","Armas Moredo, Karina, Santos Herrera, Yamilet, Olivera Morán, Orlando E., García Rodríguez, Miguel Emilio, Armas Pérez, Bárbaro Agustín","Revista Archivo Médico de Camagüey; 18(1); 110-123","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100012&lang=pt" 
"S1025-02552014000100010-cub","Cisticercosis cerebral: a propósito de un caso","Sánchez Fernández, Jorge Julián, Cabrera Menéndez, Ana Lilia","Revista Archivo Médico de Camagüey; 18(1); 93-99","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100010&lang=pt" 
"S1025-02552014000100014-cub","Enfermedad de Behcet: presentación de un caso","Pila Perez, Rafael Victor, Pila Peláez, Rafael Ulises, Rosales Torres, Pedro, Artola Gonzalez, Javier Alberto","Revista Archivo Médico de Camagüey; 18(1); 134-145","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100014&lang=pt" 
"S1025-02552014000100011-cub","Uso de surfactante exógeno en un caso pediátrico de insuficiencia respiratoria aguda hipoxémica: presentación de un caso","Rodríguez Moya, Valentín Santiago, Prince Martínez, Ivette A, de Mola Bueno, Yanet Loret, Díaz Casañas, Elaine","Revista Archivo Médico de Camagüey; 18(1); 100-109","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100011&lang=pt" 
"S1025-02552014000100015-cub","Propranolol en el tratamiento de los hemangiomas infantiles complicados","Albornoz López del Castillo, Carlos Manuel, Oliva Céspedes, Carlos Manuel, Bueno Rivero, Ricardo, Arranz Pozo, Juan Carlos","Revista Archivo Médico de Camagüey; 18(1); 146-160","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100015&lang=pt" 
"S1025-02552014000100002-cub","Chávez y los laboratorios de diagnósticos de Barrio Adentro: experiencia personal","Núñez Mesa, Ciro Omar","Revista Archivo Médico de Camagüey; 18(1); 9-11","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100002&lang=pt" 
"S1025-02552014000100006-cub","Comportamiento de pacientes con fracturas de la meseta tibial","Montánchez Salamanca, Daniel Rodolfo, Álvarez López, Alejandro, García Lorenzo, Yenima, Arías Sifont, Joanka, Ruiz de Villa Suárez, Abel","Revista Archivo Médico de Camagüey; 18(1); 42-54","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100006&lang=pt" 
"S1025-02552014000100003-cub","Comentarios sobre el artículo tripanosomiasis americana en estudiantes Latinoamericanos","Mendicino, Diego","Revista Archivo Médico de Camagüey; 18(1); 12-14","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100003&lang=pt" 
"S1025-02552014000100008-cub","Propuesta metodológica para el control de los laboratorios de los Centros de Higiene y Epidemiología","León Cabrera, Pablo, García Milian, Ana Julia, María Gálvez, Ana, Alonso Carbonell, Liuba","Revista Archivo Médico de Camagüey; 18(1); 69-82","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100008&lang=pt" 
"S1025-02552014000100009-cub","Resultados a corto plazo con la osteotomía de Mitchell en el hallux valgus","Sánchez Pérez, Yosvani, Gutiérrez Blanco, Mario Osvaldo, Frómeta Martínez, Markel, Cabrera Reyes, Yamisel","Revista Archivo Médico de Camagüey; 18(1); 83-92","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000100009&lang=pt" 
"S1130-63432014000100010-esp","Prescripción potencialmente inapropiada en pacientes hospitalizados con estudio comparativo entre la prescripción realizada por internistas y geriatras","Pardo-Cabello, A. J., Bermudo-Conde, S., Manzano-Gamero, V.","Farmacia Hospitalaria; 38(1); 65-68","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100010&lang=pt" 
"S1130-63432014000100013-esp","Síndrome hemofagocítico secundario a la administración de Peg-interferon","Ruiz Ramos, J., Domingo Chiva, E., Planells Herrero, C., Poveda Andrés, J. L.","Farmacia Hospitalaria; 38(1); 73-74","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100013&lang=pt" 
"S1130-63432014000100014-esp","Déficit parcial de ornitin-carbamiltransferasa: a propósito de un caso","Pellicer Corbí, M., Herranz Muñoz, C., Baldominos Utrilla, G., Fernández-Pacheco García-Valdecasas, M.","Farmacia Hospitalaria; 38(1); 75-76","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100014&lang=pt" 
"S1130-63432014000100011-esp","Mioclonias cervicales en paciente en tratamiento con etanercept","Domínguez Leñero, V., Sánchez-Martínez, I., Giménez-Cortés, M. E., Valiente-Borrego, F.","Farmacia Hospitalaria; 38(1); 69-70","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100011&lang=pt" 
"S1130-63432014000100001-esp","Estudio bibliométrico de producción y consumo de la revista Farmacia Hospitalaria (2004-2012)","Sanz-Valero, J., Tomás-Casterá, V., Tomás-Gorriz, V.","Farmacia Hospitalaria; 38(1); 1-8","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100001&lang=pt" 
"S1130-63432014000100003-esp","Evaluación preventiva de riesgos en la incorporación de nuevos medicamentos a la práctica asistencial: una propuesta metodológica","Sánchez-Rubio Ferrández, Luis, Esteban Alba, Concepción, Escobar Rodríguez, Ismael, Such Díaz, Ana, Barrueco Fernández, Nelida, Sáez de la Fuente, Javier","Farmacia Hospitalaria; 38(1); 18-24","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100003&lang=pt" 
"S1130-63432014000100012-esp","Dosificación de cidofovir en un paciente crítico en hemodiafiltración continua venovenosa","Anglada Martínez, H., Carcelero San Martín, E., Castro Rebollo, P., Soy Muner, D.","Farmacia Hospitalaria; 38(1); 71-73","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100012&lang=pt" 
"S1130-63432014000100004-esp","Análisis comparativo de la seguridad de la triple terapia con telaprevir entre pacientes monoinfectados por VHC y coinfectados por VIH","Sangrador Pelluz, C., Maiques Llácer, F. J., Soler Company, E.","Farmacia Hospitalaria; 38(1); 25-29","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100004&lang=pt" 
"S1130-63432014000100009-esp","Recomendaciones para la preparación de medicamentos estériles en las unidades de enfermería","Martín de Rosales Cabrera, Ana M.ª, López Cabezas, Carmen, Pernía López, M.ª Sagrario, Dávila Pousa, Carmela, Vila Clérigues, M.ª Nieves, Alonso Herreros, José María, García Salom, Pedro, Lozano Blázquez, Ana","Farmacia Hospitalaria; 38(1); 57-64","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100009&lang=pt" 
"S1130-63432014000100005-esp","Estudio de utilización de boceprevir y telaprevir para el tratamiento de la hepatitis C crónica","Marrero-Álvarez, P., Gil-Gómez, I., Monte-Boquet, E., Lorente-Fernández, L., Poveda-Andrés, J. L.","Farmacia Hospitalaria; 38(1); 30-37","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100005&lang=pt" 
"S1130-63432014000100007-esp","Seguridad de boceprevir y telaprevir en la práctica clínica habitual","López-Sepúlveda, R., Fernández-López, C., García Collado, C., Jiménez Morales, A., Valencia Soto, C., Calleja Hernández, M. Á.","Farmacia Hospitalaria; 38(1); 44-49","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100007&lang=pt" 
"S1130-63432014000100002-esp","Quality of prescription of high-alert medication and patient safety in pediatric emergency","Vieira de Melo, V., Neves Costa, M. S., Queiroz Soares, A.","Farmacia Hospitalaria; 38(1); 9-17","Farmacia Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100002&lang=pt" 
"S1130-63432014000100015-esp","Encefalopatía hiperamonémica en un paciente tratado con 5-fluorouracilo","Barrueco, N., Such Díaz, A., Sáez de la Fuente, J., Escobar, I.","Farmacia Hospitalaria; 38(1); 77-78","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100015&lang=pt" 
"S1130-63432014000100008-esp","Evaluación de la efectividad y seguridad de Dietas de Muy Bajo Contenido Calórico en pacientes obesos","Sáez Belló, M., Segarra Villalba, C., Gras Colomer, E., Frias Ruiz, P., Climente Martí, M.","Farmacia Hospitalaria; 38(1); 50-56","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100008&lang=pt" 
"S1130-63432014000100006-esp","Monitorización terapéutica de la digoxinemia en pacientes con insuficiencia cardiaca: comparación entre dos métodos analíticos","Medeiros Barros, Isabel Cristina, Marra da Madeira Freitas, Elis, Rassi, Salvador, Carneiro, Wilsione José, Rego Rodrigues, Caroline, Deus Honório, Tereza Cristina de, Souza Teixeira, Leonardo de, Rodríguez, Vania, Cunha, Luiz Carlos da","Farmacia Hospitalaria; 38(1); 38-43","Farmacia Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432014000100006&lang=pt" 
"S2317-17822014000100046-scl","Performance of preschool children with normal language development in past tense task","Monteiro-Luperi, Telma Iacovino, Befi-Lopes, Debora Maria","CoDAS; 26(1); 46-52","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100046&lang=pt" 
"S2317-17822014000100001-scl","EDITORIAL","","CoDAS; 26(1); 01-02","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100001&lang=pt" 
"S2317-17822014000100076-scl","Signs and symptoms of Temporomandibular Disorders in the elderly","Camacho, José Gustavo Dala Déa, Oltramari-Navarro, Paula Vanessa Pedron, Navarro, Ricardo de Lima, Conti, Ana Cláudia de Castro Ferreira, Conti, Marcio Rodrigues de Almeida, Marchiori, Luciana Lozza de Moraes, Fernandes, Karen Barros Parron","CoDAS; 26(1); 76-80","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100076&lang=pt" 
"S0100-736X2014000200016-scl","Relação entre a biometria ultrassonográfica ocular e os parâmetros morfométricos do crânio, idade, peso e gênero em gatos domésticos","Ferreira, Marco A., Allemann, Norma, Dias, Luís G.G.G., Honsho, Cristiane dos Santos","Pesquisa Veterinária Brasileira; 34(2); 192-198","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200016&lang=pt" 
"S0100-736X2014000200013-scl","Aspecto radiológico e macroscópico de matriz óssea mineralizada heteróloga fragmentada e polimetilmetacrilato autoclavados em falha óssea de tíbia de coelho","Moreira, Roberto, Dória, Renata G.S., Camargo, Lázaro M., Santos, Marcelo D., Minto, Bruno W., De Nardi, Andrigo B., Ambrósio, Carlos E., Freitas, Silvio H.","Pesquisa Veterinária Brasileira; 34(2); 173-178","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200013&lang=pt" 
"S0100-736X2014000200012-scl","Occurrence and molecular characterization of cryptococcosis in dogs and cats in Mato Grosso, Brazil","Paula, Daphine A.J. de, Almeida, Arleana B.P. F. de, Cruz, Felipe S. da, Furlan, Fernando H., Colodel, Edson M., Sousa, Valéria R.F., Nakazato, Luciano, Dutra, Valéria","Pesquisa Veterinária Brasileira; 34(2); 167-172","Pesquisa Veterinária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200012&lang=pt" 
"S0100-736X2014000200002-scl","NaOCl effect on biofilm produced by Staphylococcus aureus isolated from the milking environment and mastitis infected cows","Melo, Poliana de Castro, Sousa, Cláudia, Botelho, Cláudia, Oliveira, Rosário, Nader-Filho, Antonio","Pesquisa Veterinária Brasileira; 34(2); 109-113","Pesquisa Veterinária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200002&lang=pt" 
"S0100-736X2014000200001-scl","Múltiplas estirpes de isolados de Mycobacteriumbovis identificados por tipagem molecular em bovinos abatidos em matadouros-frigoríficos","Alzamora Filho, Fernando, Vasconcellos, Sidra E.G., Gomes, Harrison M., Cavalcante, Miriam P., Suffys, Philip N., Costa, Joselito N.","Pesquisa Veterinária Brasileira; 34(2); 103-108","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200001&lang=pt" 
"S0100-736X2014000200004-scl","Produção e composição do leite e escore corporal de cabras lactantes submetidas à suplementação mineral comercial e seletiva","Malafaia, Pedro, Cruz, Paula Barroso, Silva, Vinícius Pimentel","Pesquisa Veterinária Brasileira; 34(2); 119-122","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200004&lang=pt" 
"S0100-736X2014000200006-scl","In silico phylogenetic and virulence gene profile analyses of avian pathogenic Escherichia coli genome sequences","Rojas, Thaís C.G., Maluta, Renato P., Koenigkan, Luciano V., Silveira, Wanderley Dias da","Pesquisa Veterinária Brasileira; 34(2); 129-133","Pesquisa Veterinária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200006&lang=pt" 
"S2317-17822014000100087-scl","Voice-related quality of life in the pediatric population: validation of the Brazilian version of the Pediatric Voice-Related Quality-of Life survey","Ribeiro, Lívia Lima, Paula, Kely Maria Pereira de, Behlau, Mara","CoDAS; 26(1); 87-95","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100087&lang=pt" 
"S2317-17822014000100081-scl","Assessment of swallowing in preterm newborns fed by bottle and cup","López, Claudia Peyres, Chiari, Brasília Maria, Goulart, Ana Lúcia, Furkim, Ana Maria, Guedes, Zelita Caldeira Ferreira","CoDAS; 26(1); 81-86","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100081&lang=pt" 
"S2317-17822014000100003-scl","Distortion-product otoacoustic emissions at ultra-high frequencies in parents of individuals with autosomal recessive hearing loss","Mello, Jaqueline Medeiros de, Della-Rosa, Valter Augusto, Carvallo, Renata Mota Mamede","CoDAS; 26(1); 03-09","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100003&lang=pt" 
"S2317-17822014000100038-scl","Cross-cultural adaptation of the Western Aphasia Battery - Revised screening test to Brazilian Portuguese: a preliminary study","Neves, Márli de Borborema, Borsel, John Van, Pereira, Mônica Medeiros de Britto, Paradela, Emylucy Martins Paiva","CoDAS; 26(1); 38-45","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100038&lang=pt" 
"S2317-17822014000100061-scl","Profile of phonological awareness in bilingual and monolingual children","Souza, Lourdes Bernadete Rocha de, Leite, Aline Gisele Conceição","CoDAS; 26(1); 61-67","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100061&lang=pt" 
"S2317-17822014000100068-scl","Influence of gustatory and olfactory perception in the oral phase of swallowing in smokers","Santos, Karoline Weber dos, Echeveste, Simone Soares, Vidor, Deisi Cristina Gollo Marques","CoDAS; 26(1); 68-75","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100068&lang=pt" 
"S2317-17822014000100028-scl","Construction and validation of an instrument to assess the reading comprehension of students from the third to the fifth grades of elementary school","Cunha, Vera Lúcia Orlandi, Capellini, Simone Aparecida","CoDAS; 26(1); 28-37","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100028&lang=pt" 
"S2317-17822014000100096-scl","Quantitative instruments used to assess children&#039;s sense of smell: a review article","Moura, Raissa Gomes Fonseca, Cunha, Daniele Andrade, Gomes, Ana Carolina de Lima Gusmão, Silva, Hilton Justino da","CoDAS; 26(1); 96-101","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100096&lang=pt" 
"S2317-17822014000100053-scl","Speechreading as a communication mediator","Oliveira, Letícia Neves de, Soares, Alexandra Dezani, Chiari, Brasilia Maria","CoDAS; 26(1); 53-60","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100053&lang=pt" 
"S2317-17822014000100010-scl","Hearing aid handling skills: relationship with satisfaction and benefit","Campos, Patrícia Danieli, Bozza, Amanda, Ferrari, Deborah Viviane","CoDAS; 26(1); 10-16","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100010&lang=pt" 
"S2317-17822014000100017-scl","Identification of risk groups for oropharyngeal dysphagia in hospitalized patients in a university hospital","Bassi, Daiane, Furkim, Ana Maria, Silva, Cristiane Alves, Coelho, Mara Sérgia Pacheco Honório, Rolim, Maria Rita Pimenta, Alencar, Maria Luiza Aires de, Machado, Marcos José","CoDAS; 26(1); 17-27","CoDAS","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822014000100017&lang=pt" 
"S0100-736X2014000200015-scl","Propriedades tensiométricas do peritônio da paca (Cuniculus paca) a fresco e conservado em glicerina 98%","Camargo, Angela Daniele de, Camargo, Paulo César de, Leal, Leonardo Martins, Garcia Filho, Sérgio Pinter, Martins, Leandro Luís, Shimano, Antônio Carlos, Machado, Márcia Rita Fernandes","Pesquisa Veterinária Brasileira; 34(2); 185-191","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200015&lang=pt" 
"S0100-736X2014000200014-scl","Efeito de soluções eletrolíticas enterais com diferentes osmolaridades sobre o perfil eletrolítico e bioquímico de equinos","Ribeiro Filho, José D., Farias, Sheila K., Donner, Athina C., Oliveira, Dyego P., Guimarães, José D., Souza, Maria V., Gomes, Cláudio L.N., Avanza, Marcel F.B.","Pesquisa Veterinária Brasileira; 34(2); 179-184","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200014&lang=pt" 
"S0100-736X2014000200011-scl","Aflatoxicose em cães na região Sul do Rio Grande do Sul","Gomes, Angelita dos Reis, Marcolongo-Pereira, Clairton, Sallis, Eliza S.V., Pereira, Daniela I. Brayer, Schild, Ana Lucia, Faria, Renata Osório de, Meireles, Mario C.A.","Pesquisa Veterinária Brasileira; 34(2); 162-166","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200011&lang=pt" 
"S0100-736X2014000200010-scl","Diagnóstico imuno-histoquímico e caracterização anatomopatológica de Mycoplasma gallisepticum em galinhas de subsistência","Casagrande, Renata A., Castro, Luiza A., Rolim, Veronica M., Wouters, Flademir, Boabaid, Fabiana M., Souza, Suyene O., Guerra, Priscila R., Silva, Sérgio C., Driemeier, David","Pesquisa Veterinária Brasileira; 34(2); 153-161","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200010&lang=pt" 
"S0100-736X2014000200003-scl","Intoxicação aguda por triclorfon em caprinos tratados com a dose terapêutica","Lopes, Welber Daniel Zanetti, Carvalho, Rafael Silveira, Gracioli, Diogo dos Passos, Oliveira, Pedro Victor, Pereira, Valdomiro, Martinez, Antônio Campanha, Mazzucatto, Barbara Cristina","Pesquisa Veterinária Brasileira; 34(2); 114-118","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200003&lang=pt" 
"S0100-736X2014000200005-scl","Padronização do teste imunoalérgico aplicado ao diagnóstico da tuberculose e micobacterioses em suínos (Sus scrofa) experimentalmente sensibilizados com suspensões oleosas de Mycobacterium bovis ou M. avium inativados","Oliveira, Flávia C.S., Pinheiro, Sônia R., Azevedo, Sérgio S., Santos, Carolina S.A.B., Lilenbaum, Walter, Soto, Francisco R.M., Roxo, Eliana, Vasconcellos, Sílvio A.","Pesquisa Veterinária Brasileira; 34(2); 123-128","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200005&lang=pt" 
"S0100-736X2014000200008-scl","Resistência contra ectoparasitas em bovinos da raça Crioula Lageana e meio-sangue Angus avaliada em condições naturais","Cardoso, Cristina P., Silva, Bruna F., Gonçalves, Daniele S., Tagliari, Nelson J., Saito, Mere E., Amarante, Alessandro F.T.","Pesquisa Veterinária Brasileira; 34(2); 141-146","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200008&lang=pt" 
"S0100-736X2014000200009-scl","Intoxicação espontânea por Senna obtusifolia em bovinos no Pantanal Sul-Mato-Grossense","Carvalho, Amanda Q. de, Carvalho, Nilton M., Vieira, Gustavo P., Santos, Ariany C. dos, Franco, Gumercindo L., Pott, Arnildo, Barros, Cláudio S.L., Lemos, Ricardo A.A.","Pesquisa Veterinária Brasileira; 34(2); 147-152","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200009&lang=pt" 
"S0100-736X2014000200007-scl","Qualidade do leite de vacas criadas no sistema silvipastoril no Vale do Cauca, Colômbia","Bolaños, Carmen A.D., Pantoja, José C.F., Alves, Ana C., Risseti, Rafaela M., Listoni, Fernando J.P., Ribeiro, Márcio G.","Pesquisa Veterinária Brasileira; 34(2); 134-140","Pesquisa Veterinária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000200007&lang=pt" 
"S1020-49892014000200002-spa","Mortality inequality among older adults in Mexico: the combined role of infectious and chronic disease","González-González, César, Samper-Ternent, Rafael, Wong, Rebeca, Palloni, Alberto","Revista Panamericana de Salud Pública; 35(2); 89-95","Revista Panamericana de Salud Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200002&lang=pt" 
"S1135-57272014000100002-spa","Desarrollo de una hoja Excel para metaanálisis de comparaciones indirectas y mixtas","Tobías, Aurelio, Catalá-López, Ferrán, Roqué, Marta","Revista Española de Salud Pública; 88(1); 5-15","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100002&lang=pt" 
"S1135-57272014000100005-spa","Evaluación de técnicas inmunológicas in vitro para el diagnóstico de alergias: metanálisis 2000-2012","Cuervo-Perez, John Fredy, Camilo Arango, Julián, Cardona-Arias, Jaiberth Antonio","Revista Española de Salud Pública; 88(1); 67-84","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100005&lang=pt" 
"S1020-49892014000200001-spa","Estudio bibliométrico de la producción científica publicada por la Revista Panamericana de Salud Pública/ Pan American Journal of Public Health en el período de 1997 a 2012","Sanz-Valero, Javier, Casterá, Vicente Tomás, Wanden-Berghe, Carmina","Revista Panamericana de Salud Pública; 35(2); 81-88","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200001&lang=pt" 
"S1020-49892014000200006-spa","Efecto de las muertes evitables y no evitables en la esperanza de vida en México, 1998-2000 y 2008-2010","Agudelo-Botero, Marcela, Dávila-Cervantes, Claudio Alberto","Revista Panamericana de Salud Pública; 35(2); 121-127","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200006&lang=pt" 
"S1135-57272014000100009-spa","Frecuentación de las consultas de medicina general y especializada por población inmigrante y autóctona: una revisión sistemática","Carmona, Rocío, Alcázar-Alcázar, Raimundo, Sarría-Santamera, Antonio, Regidor, Enrique","Revista Española de Salud Pública; 88(1); 135-155","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100009&lang=pt" 
"S1135-57272014000100008-spa","Modelos de colaboración entre atención primaria y salud mental en la asistencia sanitaria a las personas con depresión: resultados principales y retos metodológicos de una meta-revisión sistemática","Calderón Gómez, Carlos, Mosquera Metcalfe, Isabel, Balagué Gea, Laura, Retolaza Balsategui, Ander, Bacigalupe de la Hera, Amaia, Belaunzaran Mendizabal, Jon, Iruin Sanz, Álvaro, García Moratalla, Beatriz","Revista Española de Salud Pública; 88(1); 113-133","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100008&lang=pt" 
"S1135-57272014000100004-spa","Bloqueo dual del sistema renina-angiotensina frente a la monoterapia: revisión sistemática y metaanálisis acumulativo de ensayos clínicos y estudios observacionales","Catalá-López, Ferrán, Macías Saint-Gerons, Diego, Fuente Honrubia, César de la, Martín-Serrano, Gloria","Revista Española de Salud Pública; 88(1); 37-65","Revista Española de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272014000100004&lang=pt" 
"S1020-49892014000200003-spa","Alimentação escolar: planejamento, produção, distribuição e adequação","Issa, Raquel Carvalho, Moraes, Letícia Freitas, Francisco, Raquel Rocha Jabour, Santos, Luana Caroline dos, Anjos, Adriana Fernandez Versiani dos, Pereira, Simone Cardoso Lisboa","Revista Panamericana de Salud Pública; 35(2); 96-103","Revista Panamericana de Salud Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000200003&lang=pt" 
