"S1678-77572008000400006-scl","Surface degradation of composite resins by acidic medicines and ph-cycling","Valinoti, Ana Carolina, Neves, Beatriz Gonçalves, Silva, Eduardo Moreira da, Maia, Lucianne Cople","Journal of Applied Oral Science; 16(4); 257-265","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400006&lang=pt" 
"S0718-34292008000200002-chl","IMPACTO SOCIAL Y ECOLÓGICO DEL EFECTO ESTIMULANTE DE SALMONELLA TIPHYMURIUM EN LA PRODUCCIÓN DE REUTERINA PRODUCIDA POR LACTOBACILLUS REUTERI","Mani López, Emma, García Galindo, Hugo Sergio, López-Malo Vigil, Aurelio, Santiago, Evelinda","Idesia (Arica); 26(2); 9-12","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200002&lang=pt" 
"S0718-34292008000200003-chl","EVALUACIÓN DE MÉTODOS DE INJERTO EN SANDÍA (CITRULLUS LANATUS (THUNB.) MATSUM. &amp; NAKAI) SOBRE DIFERENTES PATRONES DE CALABAZA","López-Elías, Jesús, Romo A, Agustín R. Fco, Domínguez S, Joaquín G","Idesia (Arica); 26(2); 13-18","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200003&lang=pt" 
"S0718-34292008000200004-chl","ESTUDIO COMPARATIVO DE LA PRODUCCIÓN DE MIEL CON UNA Y TRES REINAS POR COLMENA EN LA ZONA DE NUEVA IMPERIAL, CHILE","Rebolledo R, Ramón, Guiñez V, Carmen Gloria, Araneda D, Ximena, Aguilera P, Alfonso","Idesia (Arica); 26(2); 19-25","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200004&lang=pt" 
"S0718-34292008000200006-chl","CULTIVARES DE MAÍZ DULCE Y SU COMPORTAMIENTO FRENTE A DISTINTAS FECHAS DE SIEMBRA EN LA VI REGIÓN","Luchsinger L, Alfredo, Camilo F, Francisco","Idesia (Arica); 26(2); 45-52","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200006&lang=pt" 
"S0718-34292008000200007-chl","FACTORES DE SUELO Y PLANTA PARA DETERMINAR LA FERTILIZACIÓN NITROGENADA EN MAÍZ DULCE EN LA ZONA CENTRAL DE CHILE","Opazo A, José Domingo, Luchsinger L, Alfredo, Neira V, Orlando","Idesia (Arica); 26(2); 53-58","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200007&lang=pt" 
"S0718-34292008000200008-chl","EVALUACIÓN DEL COMPORTAMIENTO HIGIÉNICO DE APIS MELLIFERA L. EN RELACIÓN AL NIVEL DE INFESTACIÓN DE VARROA DESTRUCTOR ANDERSON &amp; TRUEMAN","Araneda D, Ximena, Pérez N, Roberto, Castillo R, Claudia, Medina M, Leovigildo","Idesia (Arica); 26(2); 59-67","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200008&lang=pt" 
"S0718-34292008000200009-chl","ASPECTOS BIOECOLÓGICOS DE CHELYMORPHA VARIANS BLANCHARD (COLEOPTERA: CHRYSOMELIDAE, CASSIDINAE) DEFOLIADOR DE CONVOLVULÁCEAS","Hamity, Verónica Cecilia, Neder de Román, Lilia Estela","Idesia (Arica); 26(2); 69-73","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200009&lang=pt" 
"S0718-34292008000200010-chl","AVALIAÇÃO DE INTERPOLADORES ESTATÍSTICOS E DETERMINÍSTICOS NA ESTIMATIVA DE ATRIBUTOS DO SOLO EM AGRICULTURA DE PRECISÃO","Silva, Samuel de Assis, Souza Lima, Julião Soares de, Souza, Gustavo Soares de, Oliveira, Rone Batista de","Idesia (Arica); 26(2); 75-81","Idesia (Arica)","Português","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200010&lang=pt" 
"S0718-34292008000200011-chl","VARIACIONES EN LA CALIDAD DE SEMILLAS DE POROTO (PHASEOLUS VULGARIS L.) POR EFECTOS DEL DAÑO MECÁNICO Y SU INFLUENCIA EN EL VIGOR DE LAS PLÁNTULAS","Romano, Amalia, Teves, Irma, Torres, Nancy, Cazón, Lauro","Idesia (Arica); 26(2); 83-87","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200011&lang=pt" 
"S0718-34292008000200005-chl","EVALUACIÓN SENSORIAL Y ANALÍTICA DE LA CALIDAD DE ACEITE DE OLIVA EXTRAVIRGEN","Loyola López, Nelson, López Acevedo, Roberto, Acuña Carrasco, Carlos","Idesia (Arica); 26(2); 27-44","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200005&lang=pt" 
"S0138-600X2008000200001-cub","Honor a quien honor merece","","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200001&lang=pt" 
"S0138-600X2008000200002-cub","Resultados maternos y perinatales del embarazo en pacientes que viven con VIH","Suárez González, Juan Antonio, Gutiérrez Machado, Mario, Rosa Howe, Renato, Pentón Cortés, Rogelio","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200002&lang=pt" 
"S0138-600X2008000200003-cub","Factores predisponentes y repercusión del accidente hipoglucémico en embarazadas diabéticas pre-gestacionales bajo tratamiento insulínico intensivo","Lemay Valdés, Amador, Copello Veublen, Magdalena, Santana Bacallao, Osvaldo, Rodríguez Anzardo, Bertha, Lang Prieto, Jacinto, Herrera, Blanca Elena, Santurio Gil, Antonio","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200003&lang=pt" 
"S0138-600X2008000200006-cub","Tumor gigante de ovario y embarazo: A propósito de un caso","Suárez González, Juan Antonio, Benavides Casal, María Elena, Rodríguez Mantilla, Hilda Elena, Gutiérrez Machado, Mario","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200006&lang=pt" 
"S0138-600X2008000200007-cub","Factores de riesgo del cáncer de cérvix uterino","Vázquez Márquez, Angela, González Aguilera, Julio César, de la Cruz Chávez, Francisca, Almirall Chávez, Angel Miguel, Valdés Martínez, Rubilselda","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200007&lang=pt" 
"S0138-600X2008000200008-cub","Características clínicas y sociodemográficas en un grupo de mujeres con lesiones escamosas intraepiteliales cervicales de alto grado","Sarduy Nápoles, Miguel","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200008&lang=pt" 
"S0138-600X2008000200004-cub","Neoplasia Intraepitelial Cervical: Preámbulo del cáncer cérvicouterino","Sarduy Nápoles, Miguel R.","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200004&lang=pt" 
"S0138-600X2008000200005-cub","Salud sexual y reproductiva de adolescentes y jóvenes: una mirada desde la óptica de los derechos humanos","Peláez Mendoza, Jorge","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200005&lang=pt" 
"S0138-600X2008000200009-cub","Noticia relevante para la comunidad científica de ginecoobstetras cubanos","","Revista Cubana de Obstetricia y Ginecología; 34(2); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000200009&lang=pt" 
"S0104-44782008000300008-scl","As intenções dos atores e os resultados da implantação do sistema eleitoral misto na Venezuela","Botelho, João Carlos Amoroso","Revista de Sociologia e Política; 16(); 105-112","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300008&lang=pt" 
"S0104-44782008000300001-scl","Editorial","Lacerda, Gustavo Biscaia de","Revista de Sociologia e Política; 16(); 5-7","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300001&lang=pt" 
"S0104-44782008000300003-scl","Gramsci e Althusser como críticos de Maquiavel","Martuscelli, Danilo Enrico","Revista de Sociologia e Política; 16(); 27-41","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300003&lang=pt" 
"S0104-44782008000300005-scl","Instituições e desenvolvimento econômico: a importância do capital social","Furlanetto, Egidio Luiz","Revista de Sociologia e Política; 16(); 55-67","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300005&lang=pt" 
"S0104-44782008000300007-scl","Regras, incentivos e comportamento: as comissões parlamentares nos países do Cone Sul","Rocha, Marta Mendes da, Barbosa, Cássio Felipe","Revista de Sociologia e Política; 16(); 93-104","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300007&lang=pt" 
"S1137-66272008000300001-esp","Hipertensión arterial: La perspectiva del médico de familia","Serrano-Martínez, M.","Anales del Sistema Sanitario de Navarra; 31(2); 107-111","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300001&lang=pt" 
"S1137-66272008000300010-esp","Resúmenes de proyectos concedidos por el Departamento de Salud","","Anales del Sistema Sanitario de Navarra; 31(2); 201-204","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300010&lang=pt" 
"S1137-66272008000300005-esp","Factores relacionados con la hemólisis en la extracción de muestras sanguíneas","Agós, M.D., Lizarraga, R., Gambra, D., Marañón, A., Orozco, C., Díaz, E.","Anales del Sistema Sanitario de Navarra; 31(2); 153-158","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300005&lang=pt" 
"S1137-66272008000300008-esp","Carcinoma de células de Merkel: A propósito de un caso","Cires, M., González, C.I., Jiménez, F.J., Rubio, T., Amat, I.","Anales del Sistema Sanitario de Navarra; 31(2); 193-196","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300008&lang=pt" 
"S1137-66272008000300004-esp","Validación de la Escala INFLESZ para evaluar la legibilidad de los textos dirigidos a pacientes","Barrio-Cantalejo, I.M., Simón-Lorda, P., Melguizo, M., Escalona, I., Marijuán, M.I., Hernando, P.","Anales del Sistema Sanitario de Navarra; 31(2); 135-152","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300004&lang=pt" 
"S1137-66272008000300002-esp","Obesidad, inflamación e insulino-resistencia: papel de los ligandos del receptor gp 130","Marcos-Gómez, B., Bustos, M., Prieto, J., Martínez, J. A., Moreno-Aliaga, M. J.","Anales del Sistema Sanitario de Navarra; 31(2); 113-123","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300002&lang=pt" 
"S1137-66272008000300009-esp","Endometriosis intestinal","González, C.I., Cires, M., Jiménez, F.J., Rubio, T.","Anales del Sistema Sanitario de Navarra; 31(2); 197-200","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300009&lang=pt" 
"S1137-66272008000300003-esp","Efectividad de la atención primaria de salud en el diagnóstico y tratamiento de la hipertensión arterial","Brugos, A., Guillén, F., Díez, J., Buil, P., Ciáurriz, M., Fernández, C., Cenoz, J.C.","Anales del Sistema Sanitario de Navarra; 31(2); 125-133","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300003&lang=pt" 
"S0213-91112008000400004-spa","Consumo de cannabis en los estudiantes de secundaria de Barcelona: inicio en el consumo, efectos experimentados y expectativas","Morales, Eva, Ariza, Carles, Nebot, Manel, Pérez, Anna, Sánchez, Francesca","Gaceta Sanitaria; 22(4); 321-329","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000400004&lang=pt" 
"S0213-91112008000400003-spa","Criterios de valoración de políticas públicas para la obesidad en España según sus actores principales","González-Zapata, Laura I., Álvarez-Dardet Díaz, Carlos, Clemente, Vicente, Davo, Mari Carmen, Ortiz-Moncada, Rocío","Gaceta Sanitaria; 22(4); 309-320","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000400003&lang=pt" 
"S0213-91112008000400002-spa","Efecto del ambiente psicosocial y de la satisfacción laboral en el síndrome de burnout en médicos especialistas","Escribà-Agüir, Vicenta, Artazcoz, Lucía, Pérez-Hoyos, Santiago","Gaceta Sanitaria; 22(4); 300-308","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000400002&lang=pt" 
"S0213-91112008000400015-spa","The community pharmacists and their practice as health care providers","Caamaño, Francisco, Álvarez, Rosa, Khoury, Marina","Gaceta Sanitaria; 22(4); 385-385","Gaceta Sanitaria","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000400015&lang=pt" 
"S0213-91112008000400008-spa","La evaluación del impacto en salud: el estado de la cuestión","Rivadeneyra Sicilia, Ana, Artundo Purroy, Carlos","Gaceta Sanitaria; 22(4); 348-353","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000400008&lang=pt" 
"S1137-66272008000300006-esp","Valoración de la capacidad funcional en el ámbito domiciliario y en la clínica: Nuevas posibilidades de aplicación de la acelerometría para la valoración de la marcha, equilibrio y potencia muscular en personas mayores","Izquierdo, M., Martínez-Ramírez, A., Larrión, J.L., Irujo-Espinosa, M., Gómez, M.","Anales del Sistema Sanitario de Navarra; 31(2); 159-170","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300006&lang=pt" 
"S1137-66272008000300007-esp","La vacuna neumocócica conjugada heptavalente (Prevenar™): Diferencias en su efectividad en distintas poblaciones","Guevara, M., Barricarte, A., Pérez, B., Arriazu, M., García Cenoz, M., Castilla, J.","Anales del Sistema Sanitario de Navarra; 31(2); 171-192","Anales del Sistema Sanitario de Navarra","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272008000300007&lang=pt" 
"S1025-02552008000400015-cub","Síndrome compartimental agudo en lesiones de la tibia","Mario, Gutiérrez Blanco, Álvarez López, Alejandro, García Lorenzo, Yenima","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400015&lang=pt" 
"S1025-02552008000400001-cub","Acciones de apoyo al programa para el fomento de la publicación científica","Suárez Sori, Boris","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400001&lang=pt" 
"S1025-02552008000400003-cub","Malaria cerebral.: Uso de la quinina en infusión endovenosa continua en la Unidad de Cuidados Intensivos","Conde Forcada, Carlos, Ferrer Tan, Ismael J, Ferrer Herrera, Ismael M, Guevara Couto, Víctor","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400003&lang=pt" 
"S1025-02552008000400004-cub","Intervención educativa para el control del parasitismo intestinal en adolescentes","Fernández Ramos, Humberto, Estrada Astral, Ivonne Lídice, Crespo Estrada, Yoan, Rodríguez Gutiérrez, Katia","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400004&lang=pt" 
"S1025-02552008000400005-cub","Tratamiento de las fracturas espinales toracolumbares con lesión neurológica","Moras Hernández, Marco Antonio, Álvarez Arregoitía, Félix, Naranjo Arias, Roberto, Orilles Pérez, Reinaldo, González López, Juan Carlos","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400005&lang=pt" 
"S1025-02552008000400006-cub","Comportamiento de la taquiarritmias cardíacas en los Cuidados Progresivos","Agüero Rodríguez, Manuel A, Conde Forcada, Carlos, Ferrer Tan, Ismael J, Ferrer Herrera, Ismael M","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400006&lang=pt" 
"S1025-02552008000400007-cub","Comportamiento del embarazo múltiple y sus principales indicadores perinatales","Ramos Pérez, Eloisa, Sánchez Lueiro, Mayra, Amador de Varona, Caridad Irene, Rodríguez Martínez, Miguel","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400007&lang=pt" 
"S1025-02552008000400008-cub","Metahemoglobinemia en lactantes por ingestión de agua subterránea","Larios Ortiz, Luis","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400008&lang=pt" 
"S1025-02552008000400009-cub","Intervención educativa sobre hipertensión arterial en pacientes geriátricos","","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400009&lang=pt" 
"S1025-02552008000400010-cub","Tratamiento con campo electromagnético pulsátil en las fracturas abiertas de tibia","Mario Osvaldo, Gutiérrez Blanco, Martínez Fernández, Alexis, Álvarez López, Alejandro","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400010&lang=pt" 
"S1025-02552008000400011-cub","Infección intrahospitalaria.: Su comportamiento en la provincia de Camagüey en el período de 1994-2007","Rodríguez Heredia, Odalys, Gómez Cok, Katia, Costa García, María Leticia, Rodríguez Heredia, Ovidia","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400011&lang=pt" 
"S1025-02552008000400002-cub","Parálisis cerebral infantil.: Mortalidad en menores de 15 años en la provincia de Camagüey","Pérez Álvarez, Luis, Bastian Manso, Luis","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400002&lang=pt" 
"S1025-02552008000400012-cub","Tumor estromal del epiplón: Reporte de un caso","Arredondo Bruce, Alfredo, Amores Carraté, Jackeline, Águila Arostegui, Debbie, Guerrero Jiménez, Gustavo, Ayala Pons, Letsin","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400012&lang=pt" 
"S1025-02552008000400013-cub","Charco de agua de lluvia sin sustrato vertical:: otro sitio raro de cría de Stegomyia aegypti","Diéguez Fernández, Lorenzo, Hernández Ruiz, José, Mentor Sarría, Vivian","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400013&lang=pt" 
"S1025-02552008000400014-cub","Reducción de la fractura de Colles cerrada con electroacupuntura.: Reporte de un caso","Sánchez Valdeolla, Oscar Eduardo, Betancourt Sánchez, Rafael, Padilla de la Cruz, Ramón, Méndez Cárdenas, Ignacio","Revista Archivo Médico de Camagüey; 12(4); -","Revista Archivo Médico de Camagüey","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552008000400014&lang=pt" 
"S0120-05342008000200004-col","MODULACION CONTEXTUAL DE LA TOLERANCIA ASOCIATIVA AL ETANOL","BETANCOURT MAINHARD, RONALD, INOSTROZA PARODI, MARION, LABORDA ROJAS, MARIO A.","Revista Latinoamericana de Psicología; 40(2); 243-257","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200004&lang=pt" 
"S0120-05342008000200005-col","AFRONTAMIENTO Y TRASTORNOS DE LA CONDUCTA ALIMENTARIA:: UN ESTUDIO DE REVISIÓN","QUILES MARCOS, YOLANDA, TEROL CANTERO, MARÍA CARMEN","Revista Latinoamericana de Psicología; 40(2); 259-280","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200005&lang=pt" 
"S0120-05342008000200006-col","REPERCUSIÓN DE LA EXPOSICIÓN Y REESTRUCTURACIÓN COGNITIVA SOBRE LA FOBIA SOCIAL: EFFECTS OF EXPOSURE AND COGNITIVE RESTRUCTURING IN SOCIAL PHOBIA","ANTONA, CÉSAR J., GARCÍA-LÓPEZ, LUIS JOAQUÍN","Revista Latinoamericana de Psicología; 40(2); 281-292","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200006&lang=pt" 
"S0120-05342008000200007-col","ESTRÉS DE ROL, IMPLICACIÓN CON EL TRABAJO Y BURNOUT EN SOLDADOS PROFESIONALES ESPAÑOLES","LÓPEZ-ARAÚJO, BLANCA, OSCA-SEGOVIA, AMPARO, RODRÍGUEZ MUÑOZ, MARÍA DE LA FE","Revista Latinoamericana de Psicología; 40(2); 293-304","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200007&lang=pt" 
"S0120-05342008000200001-col","EDITORIAL","","Revista Latinoamericana de Psicología; 40(2); 209-210","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200001&lang=pt" 
"S0120-05342008000200002-col","LOS PROCESOS DE INFLUENCIA SOCIAL EN ENTORNOS VIRTUALES Y SU INCIDENCIA SOBRE LA EFICACIA GRUPAL","ZORNOZA, ANA, RIPOLL, PILAR, ORENGO, VIRGINIA, GONZÁLEZ-NAVARRO, PILAR, PEIRÓ, José M.","Revista Latinoamericana de Psicología; 40(2); 213-227","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200002&lang=pt" 
"S0120-05342008000200003-col","EVALUACION DE LA MEMORIA DECLARATIVA ASOCIADA CON CONTENIDO EMOCIONAL EN PACIENTES LOBECTOMIZADOS","BOTELHO DE OLIVEIRA, SILVIA, ACEVEDO PRADA 2, LINA MARÍA, CONDE COTES, CARLOS ARTURO, FANDIÃ‘O FRANKY, JAIME, BEZERRA TOMAZ, CARLOS ALBERTO","Revista Latinoamericana de Psicología; 40(2); 229-241","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200003&lang=pt" 
"S0120-05342008000200008-col","VALORACIÓN OBJETIVA DEL ESTILO DE CRIANZA Y LAS EXPECTATIVAS DE PAREJAS CON NIÑOS PEQUEÑOS","SOLÍS-CÁMARA, PEDRO, DÍAZ R., MARYSELA, MEDINA-CUEVAS, YOLANDA, BARRANCO-JIMÉNEZ, LORENA","Revista Latinoamericana de Psicología; 40(2); 305-319","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200008&lang=pt" 
"S0120-05342008000200009-col","MODIFICACIONES DEL PARADIGMA DE GRAMÁTICAS ARTIFICIALES PARA NIÑOS","LÓPEZ-RAMÓN, MARÍA FERNANDA, URQUIJO, SEBASTIÁN, RICHARD&#039;S, MARÍA MARTA","Revista Latinoamericana de Psicología; 40(2); 321-334","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200009&lang=pt" 
"S0120-05342008000200013-col","NOEMI PEREZ VALDES (1926-2008)","","Revista Latinoamericana de Psicología; 40(2); 387-389","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200013&lang=pt" 
"S0120-05342008000200012-col","LIBROS","","Revista Latinoamericana de Psicología; 40(2); 363-383","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200012&lang=pt" 
"S0120-05342008000200011-col","CONDICIONAMIENTO EVALUADOR DE PREFERENCIAS EN EL CONSUMIDOR A PARTIR DEL ATRACTIVO FÍSICO","CRUZ, JULIO EDUARDO","Revista Latinoamericana de Psicología; 40(2); 345-359","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200011&lang=pt" 
"S0120-05342008000200010-col","LA ESCALA DE REAJUSTE SOCIAL PARA NIÑOS DE PRIMARIA EN MÉXICO","REYES SANDOVAL, ANA MARINA, ACUÑA, LAURA","Revista Latinoamericana de Psicología; 40(2); 335-344","Revista Latinoamericana de Psicología","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342008000200010&lang=pt" 
"S0102-85292008000200008-scl","","Teixeira, Carlos Gustavo Poggio","Contexto Internacional; 30(2); 529-540","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200008&lang=pt" 
"S0102-85292008000200001-scl","&quot;Acordem! Nossos relógios estão lentos em relação ao nosso tempo&quot;","Booth, Ken","Contexto Internacional; 30(2); 249-266","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200001&lang=pt" 
"S0102-85292008000200007-scl","A necessidade é a maior virtude: o pensamento realista nas Relações Internacionais","Hage, José Alexandre Altahyde","Contexto Internacional; 30(2); 523-527","Contexto Internacional","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292008000200007&lang=pt" 
