"S0103-863X2014000100049-scl","Sources and Reactions to Stress in Brazilian Lawyers","Costa, Maria de Fátima Antunes Alves, Ferreira, Maria Cristina","Paidéia (Ribeirão Preto); 24(57); 49-56","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100049&lang=pt" 
"S0100-69912014000200080-scl","Síndrome dos ovários policísticos o visível e o invisível inerentes ao risco cardiovascular","Ávila, Márcio Augusto Pinto de","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 80-81","Revista do Colégio Brasileiro de Cirurgiões","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200080&lang=pt" 
"S0100-69912014000200087-scl","Local control of human papillomavirus infection after anal condylomata acuminata eradication","Manzione, Thiago da Silveira, Nadal, Sidney Roberto, Calore, Edenilson Eduardo, Nadal, Luís Roberto Manzione, Manzione, Carmen Ruth","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 87-91","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200087&lang=pt" 
"S0100-69912014000200106-scl","Polycystic ovary syndrome: implications of metabolic dysfunction","Ávila, Márcio Augusto Pinto de, Bruno, Ricardo Vasconcellos, Barbosa, Fábio Cuiabano, Andrade, Felipe Cupertino de, Silva, Adriana Cardoso de Oliveira e, Nardi, Antonio Egídio","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 106-110","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200106&lang=pt" 
"S0100-69912014000200112-scl","Influence of distal ileum exclusion on hepatic and renal functions in presence of extrahepatic cholestasis","Costa, Evandro Luis de Oliveira, Petroianu, Andy, Azevedo Júnior, Geraldo Magela de","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 112-116","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200112&lang=pt" 
"S0100-69912014000200129-scl","Effects of low-level laser therapy on wound healing","Andrade, Fabiana do Socorro da Silva Dias, Clark, Rosana Maria de Oliveira, Ferreira, Manoel Luiz","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 129-133","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200129&lang=pt" 
"S0100-69912014000200134-scl","Vulvar reconstruction should be performed using gluteal-fold perforator flap because of less morbidities and complications","Fujioka, Masaki, Hayashida, Kenji, Murakami, Chikako","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 134-136","Revista do Colégio Brasileiro de Cirurgiões","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200134&lang=pt" 
"S0100-69912014000200082-scl","Surgical treatment of subcostal incisional hernia with polypropylene mesh - analysis of late results","Peres, Marco Antonio de Oliveira, Aguiar, Herberti Rosique, Andreollo, Nelson Adami","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 82-86","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200082&lang=pt" 
"S0100-69912014000200100-scl","Incidence of uterine post abortion infection at Hospital de Clínicas de Porto Alegre. Is prophylactic antibiotic necessary?","Panke, Carine Luíze, Bonilha, Mariana Mello, Loreto, Melina Silva de, Savaris, Ricardo Francalacci","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 100-105","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200100&lang=pt" 
"S0100-69912014000200117-scl","Liver regeneration with l-glutamine supplemented diet: experimental study in rats","Magalhães, Cibelle Ribeiro, Malafaia, Osvaldo, Torres, Orlando Jorge Martins, Moreira, Luciane Bugmann, Tefil, Silvia Carmen da Silva Gonçalves, Pinherio, Matheus da Rocha, Harada, Bruna Ayumi","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 117-121","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200117&lang=pt" 
"S0100-69912014000200122-scl","Effects of splenic allograft in lipid profile of non-splenectomized rats: the immune and metabolic role of the &quot;double spleen&quot;","Gonçalves, Thiago Barbosa, Yamaki, Vitor Nagai, Feijó, Daniel Haber, Souza, Luis Eduardo Almeida de, Silveira, Edvaldo, Brito, Marcus Vinicius Henriques, Petroianu, Andy","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 122-127","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200122&lang=pt" 
"S0100-69912014000200137-scl","Low-fidelity bench models for basic surgical skills training during undergraduate medical education","Denadai, Rafael, Saad-Hossne, Rogério, Todelo, Andréia Padilha, Kirylko, Larissa, Souto, Luís Ricardo Martinhão","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 137-145","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200137&lang=pt" 
"S0100-69912014000200092-scl","Postoperative topical analgesia of hemorrhoidectomy with policresulen and cinchocaine: a prospective and controlled study","Froehner Junior, Ilario, Kotze, Paulo Gustavo, Rocha, Juliana Gonçalves, Miranda, Eron Fábio, Sartor, Maria Cristina, Martins, Juliana Ferreira, Abou-Rejaile, Vinícius, Steckert Filho, Álvaro, Correa, Marco Fábio","Revista do Colégio Brasileiro de Cirurgiões; 41(2); 92-98","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912014000200092&lang=pt" 
"S0103-65642014000100009-scl","Estrutura e personalidade na neurose: da metapsicologia do sintoma à narrativa do sofrimento","Dunker, Christian Ingo Lenz","Psicologia USP; 25(1); 77-96","Psicologia USP","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642014000100009&lang=pt" 
"S0103-65642014000100002-scl","Da rivalidade à responsabilidade: reflexões sobre a justiça restaurativa a partir da psicanálise","Rosa, Miriam Debieux, Cerruti, Marta","Psicologia USP; 25(1); 13-19","Psicologia USP","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642014000100002&lang=pt" 
"S0103-65642014000100004-scl","Assumir o papel do Pai!: intervenção psicoterapêutica na adolescência","Melo, Olga, Mota, Catarina Pinheiro, Silva, Susana Dias","Psicologia USP; 25(1); 31-40","Psicologia USP","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642014000100004&lang=pt" 
"S0103-65642014000100007-scl","Cuidado às mulheres em situação de violência conjugal: importância do psicólogo na Estratégia de Saúde da Família","Gomes, Nadirlene Pereira, Erdmann, Alacoque Lorenzini, Stulp, Karine Patrícia, Diniz, Normélia Maria Freire, Correia, Cíntia Mesquita, Andrade, Selma Regina de","Psicologia USP; 25(1); 63-69","Psicologia USP","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642014000100007&lang=pt" 
"S0103-65642014000100003-scl","Cuidando de quem não tem família: percepção de mães acolhedoras sobre esta experiência","Mariano, Pâmela Patricia, Cecilio, Hellen Pollyanna Mantelo, Paz, Rafaely de Cassia Nogueira da, Decesaro, Maria das Neves, Marcon, Sonia Silva","Psicologia USP; 25(1); 21-32","Psicologia USP","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642014000100003&lang=pt" 
"S0103-65642014000100005-scl","Perspectivas psicossociais para o estudo do cotidiano de trabalho","Oliveira, Fábio de","Psicologia USP; 25(1); 41-50","Psicologia USP","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642014000100005&lang=pt" 
"S1815-59012014000100005-cub","Diseño y aplicación de un procedimiento para la planificación energética según la NC-ISO 50001:2011","Correa Soto, Jenny, Borroto Nordelo, Aníbal Enrique, Alpha Bah, Mamadou, González Álvarez, Roxana, Curbelo Martínez, Maidelis, Díaz Rodríguez, Ana Margarita","Ingeniería Energética; 35(1); 38-47","Ingeniería Energética","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59012014000100005&lang=pt" 
"S0037-86822014000200218-scl","Thrombocytopenia as a surrogate marker of hepatosplenic schistosomiasis in endemic areas for Schistosomiasis mansoni","Drummond, Sandra Costa, Pereira, Pedro Nunes, Otoni, Alba, Chaves, Bruna Assis, Antunes, Carlos Maurício, Lambertucci, José Roberto","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 218-222","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200218&lang=pt" 
"S0037-86822014000200143-scl","Do differences exist between chronic hepatitis C genotypes 2 and 3?","Melo, Isaura Cunha, Ferraz, Maria Lucia Gomes, Perez, Renata Mello, Emori, Christine Takemi, Uehara, Silvia Naomi de Oliveira, Carvalho-Filho, Roberto José de, Silva, Antonio Eduardo Benedito, Souza e Silva, Ivonete Sandra de","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 143-148","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200143&lang=pt" 
"S0037-86822014000200158-scl","Clinical and laboratory characteristics associated with dyslipidemia and liver steatosis in chronic HBV carriers","Nau, Angélica Luciana, Soares, Júlia Cristina, Shiozawa, Maria Beatriz Cacese, Dantas-Corrêa, Esther Buzaglo, Schiavon, Leonardo de Lucca, Narciso-Schiavon, Janaína Luz","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 158-164","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200158&lang=pt" 
"S0037-86822014000200231-scl","Molecular identification of the agent of Q fever – Coxiella burnetii – in domestic animals in State of Rio de Janeiro, Brazil","Mares-Guia, Maria Angélica Monteiro de Mello, Rozental, Tatiana, Guterres, Alexandro, Gomes, Raphael, Almeida, Daniele Nunes de, Moreira, Namir Santos, Barreira, Jairo Dias, Favacho, Alexsandra Rodrigues, Santana, Andrea Lopes, Lemos, Elba Regina Sampaio de","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 231-234","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200231&lang=pt" 
"S0037-86822014000200239-scl","Is autonomic function associated with left ventricular systolic function in Chagas heart disease patients undergoing treatment for heart failure?","Raadschilders, Lotte, Rocha, Manoel Otavio da Costa, Sousa, Lidiane, Nouwen, Jan, Ribeiro, Antonio Luiz","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 239-242","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200239&lang=pt" 
"S0037-86822014000200165-scl","Investigation of class 1 integrons in Klebsiella pneumoniae clinical and microbiota isolates belonging to different phylogenetic groups in Recife, State of Pernambuco","Lima, Alexsandra Maria Silva, Melo, Maíra Espíndola Silva de, Alves, Luiz Carlos, Brayner, Fábio André, Lopes, Ana Catarina Souza","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 165-169","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200165&lang=pt" 
"S0037-86822014000200227-scl","Hybrid capture II and PapilloCheck® tests for detection of anal high-risk human papillomavirus","Maia, Livia Bravo, Marinho, Larissa Cardoso, Bocca, Anamélia Lorenzetti, Cavalcante Neto, Florêncio Figueiredo, Velasco, Lara Franciele Ribeiro, Costa, Patrícia Godoy Garcia, Carneiro, Fabiana Pirani, Oliveira, Paulo Gonçalves de","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 227-230","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200227&lang=pt" 
"S0037-86822014000200223-scl","Viral epidemiology of respiratory infections among children at a tertiary hospital in Southern Brazil","de-Paris, Fernanda, Beck, Caroline, Pires, Márcia Rosane, Santos, Rodrigo Pires dos, Kuchenbecker, Ricardo de Souza, Barth, Afonso Luis","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 223-226","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200223&lang=pt" 
"S0037-86822014000200212-scl","Association between the degree of physical impairment from leprosy and dependence in activities of daily living among the elderly in a health unit in the State of Minas Gerais","Silva, Alisson da Costa, Ferreira, Raquel Conceição, Ferreira, Maria Aparecida Alves, Ribeiro, Marco Túlio de Freitas","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 212-217","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200212&lang=pt" 
"S0037-86822014000200259-scl","Atypical presentation of ocular syphilis in an individual with AIDS","Araujo, Paulo Sérgio Ramos de, Dias, Sandra, Gonzaga, Fabiana","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 259-259","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200259&lang=pt" 
"S0037-86822014000200127-scl","Scientific progress versus ecological influence on Schistosoma mansoni transmission","Jesus, Amélia Ribeiro de, Almeida, José Antônio Pacheco de","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 127-129","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200127&lang=pt" 
"S0037-86822014000200137-scl","Impact of the IL-18 gene polymorphism in response to antiviral therapy in chronic HCV genotype 4 patients","Mandour, Mohamed, Nemr, Nader, Kishk, Rania, Ahmed, Eman","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 137-142","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200137&lang=pt" 
"S0037-86822014000200257-scl","Skin lesions simulating blue toe syndrome caused by prolonged contact with a millipede","Heeren Neto, Augusto Scardazan, Bernardes Filho, Fred, Martins, Gustavo","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 257-258","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200257&lang=pt" 
"S0037-86822014000200254-scl","Puerperal brain cryptococcoma in an HIV-negative woman successfully treated with fluconazole: a case report","Hagan, José Edward, Dias, Jesângeli Sousa, Villasboas-Bisneto, José Caetano, Falcão, Melissa Barreto, Ko, Albert Icksang, Ribeiro, Guilherme Sousa","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 254-256","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200254&lang=pt" 
"S0037-86822014000200243-scl","Cutaneous and visceral leishmaniasis co-infection in dogs from Rio de Janeiro, Brazil: evaluation by specific PCR and RFLP-PCR assays","Pires, Marize Quinhones, Madeira, Maria de Fátima, Bittencourt, Vânia Rita Elias Pinheiro, Pacheco, Raquel da Silva","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 243-246","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200243&lang=pt" 
"S0037-86822014000200247-scl","In vitro antifungal activities of leaf extracts of Lippia alba (Verbenaceae) against clinically important yeast species","Oliveira, Graziela Teixeira de, Ferreira, Jaqueline Maria Siqueira, Rosa, Luiz Henrique, Siqueira, Ezequias Pessoa de, Johann, Susana, Lima, Luciana Alves Rodrigues dos Santos","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 247-250","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200247&lang=pt" 
"S0037-86822014000200186-scl","Evaluation of the Chagas Disease Control Program in Açucena Municipality, Rio Doce Valley, State of Minas Gerais, Brazil","Santos, Adriana dos, Letro, Rejane Balmant, Lemos do Bem, Vitor Antônio, Azeredo, Bernardino Vaz de Melo, Coelho, George Luiz Lins Machado, Diotaiuti, Liléia, Machado-de-Assis, Girley Francisco, Lana, Marta de","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 186-192","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200186&lang=pt" 
"S0037-86822014000200260-scl","Healing with malaria: a brief historical review of malariotherapy for neurosyphilis, mental disorders and other infectious diseases","Freitas, Daniel Roberto Coradi, Santos, João Barberino, Castro, Cleudson Nery","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 260-261","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200260&lang=pt" 
"S0037-86822014000200149-scl","Depressive symptoms and harmful alcohol use in hepatitis C patients: prevalence and correlates","Machado, Danusa de Almeida, Silva, Giovanni Faria, Torres, Albina Rodrigues, Cerqueira, Ana Teresa de Abreu Ramos","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 149-157","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200149&lang=pt" 
"S0037-86822014000200204-scl","Prevalence of latent tuberculosis and treatment adherence among patients with chronic kidney disease in Campo Grande, State of Mato Grosso do Sul","Chagas, Aucely Corrêa Fernandes, Hans Filho, Günter, Oliveira, Sandra Maria do Valle Leone de, Ivo, Maria Lúcia, Corrêa Filho, Ruy Alberto Caetano, Donatti, Maria Ilizabeth","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 204-211","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200204&lang=pt" 
"S0037-86822014000200170-scl","Incidence of congenital syphilis in the South Region of Brazil","Serafim, Anie Savi, Moretti, Gustavo Pasquali, Serafim, Guilherme Savi, Niero, Cintia Vieira, Rosa, Maria Inês da, Pires, Maria Marlene de Souza, Simões, Priscyla Waleska Targino de Azevedo","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 170-178","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200170&lang=pt" 
"S0037-86822014000200179-scl","Syphilis seroprevalence estimates of Santa Catarina blood donors in 2010","Baião, Aysla Marcelino, Kupek, Emil, Petry, Andrea","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 179-185","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200179&lang=pt" 
"S0037-86822014000200198-scl","Toxoplasmosis: an examination of knowledge among health professionals and pregnant women in a municipality of the State of Paraná","Contiero-Toninato, Ana Paula, Cavalli, Helenara Osorio, Marchioro, Ariella Andrade, Ferreira, Érika Cristina, Caniatti, Marcela Caleffi da Costa Lima, Breganó, Regina Mitsuka, Navarro, Italmar, Falavigna-Guilherme, Ana Lucia","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 198-203","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200198&lang=pt" 
"S0037-86822014000200193-scl","A comparison of four DNA extraction protocols for the analysis of urine from patients with visceral leishmaniasis","Silva, Maria Almerice Lopes da, Medeiros, Zulma, Soares, Cynthia Regina Pedrosa, Silva, Elis Dionísio da, Miranda-Filho, Demócrito Barros, Melo, Fábio Lopes de","Revista da Sociedade Brasileira de Medicina Tropical; 47(2); 193-197","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822014000200193&lang=pt" 
"S0100-67622014000200007-scl","Análise espacial de fragmentos florestais na Bacia do Rio Itapemirim, ES","Pirovani, Daiani Bernardo, Silva, Aderbal Gomes da, Santos, Alexandre Rosa dos, Cecílio, Roberto Avelino, Gleriani, José Marinaldo, Martins, Sebastião Venâncio","Revista Árvore; 38(2); 271-281","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000200007&lang=pt" 
"S0100-67622014000200006-scl","Diversidade genética entre indivíduos de Spondias lutea L. procedentes do baixo são francisco sergipano, por meio de marcadores rapd","Gois, Itamara Bomfim, Ferreira, Robério Anastácio, Silva-Mann, Renata, Blank, Maria de Fátima Arrigoni, Santos Neto, Elísio Marinho","Revista Árvore; 38(2); 261-270","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000200006&lang=pt" 
"S0100-67622014000200005-scl","Crescimento de Dalbergia nigra (Vell.) Allemão ex Benth sob diferentes doses de cálcio, magnésio e enxofre","Gonçalves, Elzimar de Oliveira, Paiva, Haroldo Nogueira de, Neves, Julio Cesar Lima, Klippel, Valéria Hollunder, Caldeira, Marcos Vinicius Winckler","Revista Árvore; 38(2); 251-260","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000200005&lang=pt" 
"S0100-67622014000200003-scl","Teste de tetrazólio para avaliação da qualidade de sementes de Tabebuia roseoalba (Ridl.) Sandwith - bignoniaceae, submetidas ao armazenamento","Abbade, Leticia Caravita, Takaki, Massanori","Revista Árvore; 38(2); 233-240","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000200003&lang=pt" 
"S0100-67622014000200002-scl","Crescimento e acúmulo de biomassa em floresta ombrófila mista no Sul do Brasil","Müller, Alexandre Luis, Dalmago, Genei Antonio, Fernandes, Jose Mauricio Cunha, Cunha, Gilberto Rocca da, Santi, Anderson, Kovaleski, Samuel, Bolis, Laise Maria, Schweig, Evandro, Fochesatto, Elizandro","Revista Árvore; 38(2); 221-231","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000200002&lang=pt" 
"S0100-06832014000200030-scl","Quality of surface water related to land use: a case study in a catchment with small farms and intensive vegetable crop production in southern Brazil","Ribeiro, Karina Hacke, Favaretto, Nerilde, Dieckow, Jeferson, Souza, Luiz Cláudio de Paula, Minella, Jean Paolo Gomes, Almeida, Luciano de, Ramos, Michele Ribeiro","Revista Brasileira de Ciência do Solo; 38(2); 656-668","Revista Brasileira de Ciência do Solo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200030&lang=pt" 
"S0100-06832014000200021-scl","Erosão hídrica, em três momentos da cultura do milho, influenciada por métodos de preparo do solo e semeadura","Volk, Leandro Bochi da Silva, Cogo, Neroli Pedro","Revista Brasileira de Ciência do Solo; 38(2); 565-574","Revista Brasileira de Ciência do Solo","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200021&lang=pt" 
"S0100-06832014000200020-scl","Estimativa da infiltração de água no solo na escala de bacia hidrográfica","Barros, Cláudia Alessandra Peixoto de, Minella, Jean Paolo Gomes, Tassi, Rutinéia, Dalbianco, Leandro, Ottonelli, Anaí Sangiovo","Revista Brasileira de Ciência do Solo; 38(2); 557-564","Revista Brasileira de Ciência do Solo","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200020&lang=pt" 
"S0100-06832014000200022-scl","Soil uses during the sugarcane fallow period: influence on soil chemical and physical properties and on sugarcane productivity","Silva, Roniram Pereira da, Fernandes, Carolina","Revista Brasileira de Ciência do Solo; 38(2); 575-584","Revista Brasileira de Ciência do Solo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200022&lang=pt" 
"S0100-06832014000200024-scl","Hydrological processes obtained on the plot scale under four simulated rainfall tests during the cycle of different crop systems","Bertol, Ildegardis, Ramos, Roger Robert, Barbosa, Fabrício Tondello, Ramos, Julio César, Bandeira, Douglas Henrique, Tanaka, Mitsui Shinosaka","Revista Brasileira de Ciência do Solo; 38(2); 599-607","Revista Brasileira de Ciência do Solo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200024&lang=pt" 
"S0100-06832014000200026-scl","Uso do solo e propriedades físico-mecânicas de Latossolo Vermelho","Ortigara, Cícero, Koppe, Ezequiel, Luz, Felipe Bonini da, Bertollo, Altamir Mateus, Kaiser, Douglas Rodrigo, Silva, Vanderlei Rodrigues da","Revista Brasileira de Ciência do Solo; 38(2); 619-626","Revista Brasileira de Ciência do Solo","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200026&lang=pt" 
"S0100-06832014000200015-scl","Variability of soil fertility properties in areas planted to sugarcane in the State of Goias, Brazil","Cardoso, José Avelino, Lacerda, Marilusa Pinto Coelho, Rein, Thomaz Adolpho, Santos Junior, João de Deus Gomes dos, Figueiredo, Cícero Célio de","Revista Brasileira de Ciência do Solo; 38(2); 506-515","Revista Brasileira de Ciência do Solo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200015&lang=pt" 
"S0100-06832014000200016-scl","Substituição parcial de fosfato solúvel por natural na implantação de Eucalyptus benthamii e Eucalyptus dunnii no Planalto Sul catarinense","Dias, Luciana Patrícia Rosa, Gatiboni, Luciano Colpo, Ernani, Paulo Roberto, Miquelluti, David José, Chaves, Djalma Miler, Brunetto, Gustavo","Revista Brasileira de Ciência do Solo; 38(2); 516-523","Revista Brasileira de Ciência do Solo","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200016&lang=pt" 
"S0100-06832014000200017-scl","Produção e qualidade de rosas em razão de doses de boro aplicadas no substrato","Zanão Júnior, Luiz Antônio, Carvalho-Zanão, Maristela Pereira, Fontes, Renildes Lúcio Ferreira, Grossi, José Antônio Saraiva","Revista Brasileira de Ciência do Solo; 38(2); 524-531","Revista Brasileira de Ciência do Solo","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200017&lang=pt" 
"S0100-06832014000200010-scl","Fuzzy logic applied to the modeling of water dynamics in an Oxisol in northeastern Brazil","Afonso, Antônio Cláudio Marques, Maciel Netto, André, Vasconcelos, Wagner Estáquio de","Revista Brasileira de Ciência do Solo; 38(2); 454-463","Revista Brasileira de Ciência do Solo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200010&lang=pt" 
"S0100-06832014000200011-scl","Plant-available soil water capacity: estimation methods and implications","Silva, Bruno Montoani, Silva, Érika Andressa da, Oliveira, Geraldo César de, Ferreira, Mozart Martins, Serafim, Milson Evaldo","Revista Brasileira de Ciência do Solo; 38(2); 464-475","Revista Brasileira de Ciência do Solo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000200011&lang=pt" 
