"S1852-99922011000300010-arg","Colonoscopía virtual","Seehaus, Alberto Cristian","Revista argentina de radiología; 75(3); 222-222","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300010&lang=pt" 
"S1130-01082011000900005-esp","Diagnostic accuracy and therapeutic impact of endoscopic ultrasonography in patients with intermediate suspicion of choledocholithiasis and absence of findings in magnetic resonance cholangiography","Vázquez-Sequeiros, Enrique, González-Panizo-Tamargo, Fernando, Boixeda-Miquel, Daniel, Milicua, José María","Revista Española de Enfermedades Digestivas; 103(9); 464-471","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900005&lang=pt" 
"S1130-01082011000900002-esp","Profile of patients with hepatic hydatid disease not treated surgically","Ramia, José Manuel, Plaza, Roberto de la, Casares, Miguel, Ramiro, Carmen, Veguillas, Pilar, Quiñones, José, García-Parreño, Jorge","Revista Española de Enfermedades Digestivas; 103(9); 448-452","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900002&lang=pt" 
"S1130-01082011000900001-esp","Liver hydatidosis in the present decade","Hidalgo, Manuel, Ferrero, Eduardo, Perea, José, Hidalgo, Ana","Revista Española de Enfermedades Digestivas; 103(9); 445-447","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900001&lang=pt" 
"S1130-01082011000900009-esp","Posterolateral Bochdalek diaphragmatic hernia in adults","Garófano-Jerez, José Maximiliano, López-González, Juan de Dios, Valero-González, M.ª Ángeles, Valenzuela-Barranco, Manuel","Revista Española de Enfermedades Digestivas; 103(9); 484-491","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900009&lang=pt" 
"S1981-67232011000300002-scl","Utilização de coberturas comestíveis para redução de absorção de gordura em produtos estruturados pré-fritos congelados de mandioca","Berbari, Shirley Aparecida Garcia, Prati, Patricia, Freitas, Daniela De Grandi Castro, Vicente, Eduardo, Ormenese, Rita de Cassia Salvucci Celeste, Fakhouri, Farayde Matta","Brazilian Journal of Food Technology; 14(3); 172-180","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300002&lang=pt" 
"S1981-67232011000300004-scl","Fenólicos totais e capacidade antioxidante in vitro de resíduos de polpas de frutas tropicais","Sousa, Mariana Séfora Bezerra, Vieira, Luanne Morais, Lima, Alessandro de","Brazilian Journal of Food Technology; 14(3); 202-210","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300004&lang=pt" 
"S1981-67232011000300005-scl","Método de análise isotópica (δ13C) e limite de legalidade em néctar de laranja","Figueira, Ricardo, Nogueira, Andressa Milene Parente, Ducatti, Carlos, Venturini Filho, Waldemar Gastoni, Mischan, Martha Maria, Silva, Evandro Tadeu da","Brazilian Journal of Food Technology; 14(3); 211-219","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300005&lang=pt" 
"S1981-67232011000300006-scl","Qualidade do queijo de leite de cabra tipo Coalho condimentado com cumaru (Amburana cearensis A.C. Smith)","Souza, Evandro Leite de, Costa, Ana Caroliny Vieira da, Garcia, Estefânia Fernandes, Oliveira, Maria Elieidy Gomes de, Souza, Wandrick Hauss de, Queiroga, Rita de Cássia Ramos do Egypto","Brazilian Journal of Food Technology; 14(3); 220-225","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300006&lang=pt" 
"S1981-67232011000300008-scl","Avaliação do escoamento de leite desnatado durante homogeneização a alta pressão (HAP) por meio de fluidodinâmica computacional (CFD)","Pinho, Claudia Regina Gonçalves, Franchi, Mark Alexandrow, Augusto, Pedro Esteves Duarte, Cristianini, Marcelo","Brazilian Journal of Food Technology; 14(3); 232-240","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300008&lang=pt" 
"S1981-67232011000300009-scl","Qualidade de jaca (Artocarpus heterophyllus, Lam.) desidratada sob diferentes condições de processo","Oliveira, Lenice Freiman de, Godoy, Ronoel Luiz de Oliveira, Borges, Soraia Vilela","Brazilian Journal of Food Technology; 14(3); 241-248","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300009&lang=pt" 
"S1981-67232011000300010-scl","Estabilidade de ervilha em conserva em embalagem metálica com baixo revestimento de estanho","Dantas, Sílvia Tondella, Saron, Elisabete Segantini, Gatti, Jozeti Aparecida Barbutti, Kiyataka, Paulo Henrique Massaharu, Dantas, Fiorella Balardin Hellmeister","Brazilian Journal of Food Technology; 14(3); 249-257","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300010&lang=pt" 
"S2011-75822011000300001-col","Sobre el fin y los medios","Rugeles, Saúl","Revista Colombiana de Cirugía; 26(3); 149-150","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300001&lang=pt" 
"S2011-75822011000300002-col","Simbología: Oración Maestros de la Cirugía Colombiana 2011","Nieto, Julio Alberto","Revista Colombiana de Cirugía; 26(3); 151-163","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300002&lang=pt" 
"S2011-75822011000300003-col","El liderazgo como una competencia fundamental para el residente de Cirugía General","Cervera, Sergio, Torregrosa, Lilian","Revista Colombiana de Cirugía; 26(3); 164-170","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300003&lang=pt" 
"S2011-75822011000300004-col","Estudio comparativo entre hemorroidectomía cerrada de Ferguson y hemorroidectomía con LigaSure™","jaramillo, Luis Iván, Beltrán, Marcelo Alberto, Bozzo, Italo, Larrachea, Patricio, González, Fernando","Revista Colombiana de Cirugía; 26(3); 171-179","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300004&lang=pt" 
"S2011-75822011000300005-col","Obesidad y enfermedades no transmisibles relacionadas con la nutrición","Savino, Patricia","Revista Colombiana de Cirugía; 26(3); 180-195","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300005&lang=pt" 
"S2011-75822011000300006-col","Manejo quirúrgico del reflujo gastroesofágico en la Universidad Nacional de Colombia, sede Bogotá","Hazbón, Héctor René, Junca-Burgos, Edgar Germçan","Revista Colombiana de Cirugía; 26(3); 196-206","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300006&lang=pt" 
"S2011-75822011000300007-col","La derivación portocava en la era del TIPS, la endoscopia y los trasplantes de hígado, su utilidad en la hemorragia esofágica aguda","Nieves, Ernesto, Ramírez, Miguel","Revista Colombiana de Cirugía; 26(3); 207-213","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300007&lang=pt" 
"S2011-75822011000300008-col","Aneurisma aórtico bacteriano por Salmonella spp.","Jiménez, César, Valencia, Álex, Jaramilo, Carlos, Correa, Juan Rafael","Revista Colombiana de Cirugía; 26(3); 214-221","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300008&lang=pt" 
"S2011-75822011000300009-col","Lipoma intrapericárdico gigante silente","Valencia, Álex, Lombo, Miguel, Correa, Juan","Revista Colombiana de Cirugía; 26(3); 222-225","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000300009&lang=pt" 
"S1130-01082011000900006-esp","Hepatotoxicity in 2011: advancing resolutely","Lozano-Lanagrán, Marta, Robles, Mercedes, Lucena, María Isabel, Andrade, Raúl J.","Revista Española de Enfermedades Digestivas; 103(9); 472-479","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900006&lang=pt" 
"S1981-67232011000300003-scl","Revisão: Polifenóis em cacau e derivados: teores, fatores de variação e efeitos na saúde","Efraim, Priscilla, Alves, Adriana Barreto, Jardim, Denise Calil Pereira","Brazilian Journal of Food Technology; 14(3); 181-201","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300003&lang=pt" 
"S1130-01082011000900004-esp","Colorectal cancer and its delayed diagnosis: have we improved in the past 25 years?","Cerdán-Santacruz, Carlos, Cano-Valderrama, Óscar, Cárdenas-Crespo, Sofía, Torres-García, Antonio José, Cerdán-Miguel, Javier","Revista Española de Enfermedades Digestivas; 103(9); 458-463","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900004&lang=pt" 
"S1130-01082011000900016-esp","NOD2/CARD15 gene mutations in patients with inflammatory bowel disease in Valladolid","Fernández-Salazar, Luis Ignacio, Gómez-González, Emma, Velayos, Benito, Barrio, Jesús, González, José Manuel, Arranz, Eduardo, Antonio Garrote, José","Revista Española de Enfermedades Digestivas; 103(9); 500-500","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900016&lang=pt" 
"S1130-01082011000900014-esp","Endosonographic diagnosis of aberrant right subclavian artery that leads to disphagia lusoria","González-Panizo Tamargo, Fernando, Juzgado Lucas, Diego, Vázquez-Sequeiros, Enrique","Revista Española de Enfermedades Digestivas; 103(9); 497-498","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900014&lang=pt" 
"S1130-01082011000900017-esp","Association between Lynch syndrome and renal carcinoma","Álvaro, Edurne, Alegre, Cristina, Perea, José","Revista Española de Enfermedades Digestivas; 103(9); 500-501","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900017&lang=pt" 
"S1130-01082011000900012-esp","Biliopleural fistula after radiofrecuency ablation of hepatocellular carcinoma","Azcarate Perea, Leire, Moreno Mata, Nicolás, González Casaurrán, Guillermo, Isea Viña, Jesús, Matilla Peña, Ana M., González Aragoneses, Federico","Revista Española de Enfermedades Digestivas; 103(9); 494-496","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900012&lang=pt" 
"S1130-01082011000900015-esp","Gastric volvulus associated with cardiac tamponade","Ferrer Márquez, Manuel, García Díez, José Miguel, Parra Montoya, Francisca, Vargas Fernández, Miguel","Revista Española de Enfermedades Digestivas; 103(9); 498-500","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900015&lang=pt" 
"S1130-01082011000900013-esp","Spontaneous intramural gastric haematoma in an anticoagulated patient","Hurtado Doce, Ana Isabel, Solla Buceta, Miguel Antonio, Galeiras Vázquez, Rita María","Revista Española de Enfermedades Digestivas; 103(9); 496-496","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900013&lang=pt" 
"S1130-01082011000900011-esp","Diagnosis, treatment and follow-up of gastric carcinoid tumors: Analysis of 14 cases","Aguirre, Alazne, Cosme, Ángel, Bujanda, Luis, Navascués, José E., Larburu, Santiago, Larzabal, Mikel, Gil, Inés, Asensio, José Ignacio","Revista Española de Enfermedades Digestivas; 103(9); 493-494","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900011&lang=pt" 
"S0102-67202011000300001-scl","O porque dos altos custos na área médica e da saúde","Ribas-Filho, Jurandir Marcondes","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 189-190","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300001&lang=pt" 
"S0102-67202011000300017-scl","Intussuscepção intestinal em adultos: relato de caso","Paiva, Maurilio Ramos, Torres-Júnior, Luiz Gonzaga, Santos, Fernado Augusto Vasconcelos","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 253-254","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300017&lang=pt" 
"S0102-67202011000300016-scl","Fístula pancreaticopleural","Mota, Ricardo Duarte, Alcântara, Camila Oliveira, Antunes, Leandro Moreira, Jorge, Antônio Sérgio Barcala","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 251-252","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300016&lang=pt" 
"S0102-67202011000300010-scl","Nova opção técnica para colangiografia transoperatória","Silva, Alcino Lázaro da, Portela, André Rossetti","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 232-234","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300010&lang=pt" 
"S0102-67202011000300012-scl","Tratamento adjuvante nos GISTs","Lourenço, Laercio Gomes, Caponero, Ricardo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 239-241","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300012&lang=pt" 
"S0102-67202011000300014-scl","Reparação da parede abdominal anterior com o omento maior","Silva, Alcino Lázaro da","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 246-248","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300014&lang=pt" 
"S0102-67202011000300015-scl","Tratamento cirúrgico em paciente com situs inversus totalis após ferimento por arma de fogo: relato de caso","Ribas-Filho, Jurandir Marcondes, Maluf-Junior, Ivan, Ribas, Fernanda Marcondes, Czeczko, Leticia Elizabeth Augustin, Kuradomi, Igor Yudi, Badia, Eli Augusto","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 249-250","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300015&lang=pt" 
"S0102-76382011000300003-scl","Qualidade das próteses valvares: estamos tratando bem nossos pacientes no Sistema Único de Saúde?","Gomes, Walter J","Brazilian Journal of Cardiovascular Surgery; 26(3); VIII-VIII","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300003&lang=pt" 
"S0102-76382011000300001-scl","Depois do Fator de Impacto, o DOI","Braile, Domingo M","Brazilian Journal of Cardiovascular Surgery; 26(3); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300001&lang=pt" 
"S0102-76382011000300004-scl","Cardiomiopatia isquêmica terminal associada à extrusão de stent para a luz da aorta","Bestetti, Reinaldo","Brazilian Journal of Cardiovascular Surgery; 26(3); IX-X","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300004&lang=pt" 
"S0102-76382011000300008-scl","Estudo experimental do implante transcateter de prótese valvada autoexpansível na via de saída do ventrículo direito em porcos","Guilhen, José Cícero Stocco, Palma, José Honório, Gaia, Diego Felipe, Araujo, Andre Telis Vilela de, Teles, Carlos Alberto, Branco, João Nelson, Buffolo, Enio","Brazilian Journal of Cardiovascular Surgery; 26(3); 348-354","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300008&lang=pt" 
"S0102-76382011000300035-scl","Cartas ao Editor","","Brazilian Journal of Cardiovascular Surgery; 26(3); 516-517","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300035&lang=pt" 
"S0102-76382011000300034-scl","Checklist em Cirurgia Cardíaca Pediátrica no Brasil: uma adaptação útil e necessária do International Quality Improvement Collaborative for Congenital Heart Surgery in Developing Countries","Croti, Ulisses Alexandre, Jenkins, Kathy J, Braile, Domingo Marcolino","Brazilian Journal of Cardiovascular Surgery; 26(3); 511-515","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300034&lang=pt" 
"S0102-76382011000300033-scl","Migração de fio de Kirschner transfixando artéria aorta torácica ascendente","Daud, Danilo Felix, Campos, Marcos Menezes Freitas de","Brazilian Journal of Cardiovascular Surgery; 26(3); 508-510","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300033&lang=pt" 
"S0102-76382011000300032-scl","Grande cisto pericárdico manifestando-se com compressão das câmaras cardíacas direitas","Martins, Isabella Morais, Fernandes, Júlia Medeiros, Gelape, Cláudio Léo, Braulio, Renato, Silva, Vagner de Campos, Nunes, Maria do Carmo Pereira","Brazilian Journal of Cardiovascular Surgery; 26(3); 504-507","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300032&lang=pt" 
"S0102-76382011000300031-scl","Tumor amorfo calcificado do coração: relato de caso","Sousa, Jocerlano Santos de, Tanamati, Carla, Marcial, Miguel Barbero, Stolf, Noedir Antonio Groppo","Brazilian Journal of Cardiovascular Surgery; 26(3); 500-503","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300031&lang=pt" 
"S0102-76382011000300019-scl","Pantoprazole provides myocardial protection similar to ischemic preconditioning: experimental study of isolated hearts of rats","Gomes, Otoni Moreira, Magalhães, Mônica de Mônico, Abrantes, Rafael Diniz, Kallás, Elias","Brazilian Journal of Cardiovascular Surgery; 26(3); 433-439","Brazilian Journal of Cardiovascular Surgery","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300019&lang=pt" 
"S0102-76382011000300020-scl","Absence of arteriosclerosis in intramyocardial coronary arteries: a mystery to be solved?","Ramalli Jr, Edvaldo Luiz, Braga, Leonardo Henrique, Evora, Patricia Martinez, Albuquerque, Agnes Afrodite Sumarelli, Celotto, Andrea Carla, Mota, André Lupp, Evora, Paulo Roberto Barbosa","Brazilian Journal of Cardiovascular Surgery; 26(3); 440-446","Brazilian Journal of Cardiovascular Surgery","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300020&lang=pt" 
"S0102-76382011000300023-scl","Near-fatal pulmonary embolism in an experimental model: hemodynamic, gasometric and capnographic variables","Pereira, Daniel José, Moreira, Marcos Mello, Paschoal, Ilma Aparecida, Martins, Luiz Cláudio, Metze, Konradin, Moreno Junior, Heitor","Brazilian Journal of Cardiovascular Surgery; 26(3); 462-468","Brazilian Journal of Cardiovascular Surgery","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300023&lang=pt" 
"S0102-76382011000300027-scl","Geli Putty®: uma nova alternativa na hemostasia esternal em cirurgia cardíaca","Volpe, Marco Antonio, Martinez, José Dionísio Guevara","Brazilian Journal of Cardiovascular Surgery; 26(3); 485-487","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300027&lang=pt" 
"S0102-76382011000300026-scl","Cardiomiopatia isquêmica terminal associada à complicação do uso de stent no tratamento de infarto agudo do miocárdio","Braulio, Renato, Gelape, Cláudio Léo, Brasileiro Filho, Geraldo, Moreira, Maria da Consolação Vieira","Brazilian Journal of Cardiovascular Surgery; 26(3); 481-484","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300026&lang=pt" 
"S0102-76382011000300025-scl","Endovascular repair of ascending aorta and coronary stent implantation","Saadi, Eduardo Keller, Moura, Leandro de, Zago, Alexandre, Zago, Alcides","Brazilian Journal of Cardiovascular Surgery; 26(3); 477-480","Brazilian Journal of Cardiovascular Surgery","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300025&lang=pt" 
"S0102-76382011000300028-scl","Lymphoscintigraphic changes after harvesting of the saphenous vein for coronary artery bypass graft","Belczak, Cleusa Ema Quilici, Godoy, José Maria Pereira de, Cruz Junior, Antonio Fiel, Caffaro, Roberto Augusto","Brazilian Journal of Cardiovascular Surgery; 26(3); 488-489","Brazilian Journal of Cardiovascular Surgery","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300028&lang=pt" 
"S0102-76382011000300030-scl","Mixoma atrial esquerdo múltiplo: relato de caso","Pontes, José Carlos Dorsa Vieira, Silva, Guilherme Viotto Rodrigues da, Benfatti, Ricardo Adala, Duarte, João Jackson","Brazilian Journal of Cardiovascular Surgery; 26(3); 497-499","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382011000300030&lang=pt" 
"S0124-81462011000200010-col","CAMPAMENTO UNIVERSITARIO MULTIDISCIPLINARIO DE INVESTIGACIÓN Y SERVICIO (CUMIS) COMO ESTRATÉGIA DE INTERVENCIÓN COMUNITARIA","Mondragón Cardona, Álvaro, Campo Betancourth, Carlos Felipe, Tobón García, Daniel, Jiménez Canizalez, Carlos Eduardo, Alzate Carvajal, Verónica, Martínez, José William","Investigaciones Andina; 13(23); 353-362","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200010&lang=pt" 
"S0124-81462011000200007-col","PREVALENCIA DE FACTORES DE RIESGO PARA ENFERMEDADES CARDIOVASCULARES EN TUNJA, COLOMBIA. 2007","Manrique Abril, Fred Gustavo, Ospina Díaz, Juan Manuel, Herrera Amaya, Giomar Maritza","Investigaciones Andina; 13(23); 312-322","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200007&lang=pt" 
"S0124-81462011000200006-col","EVALUACIÓN DE DIFERENTES PRUEBAS PARA EL DIAGNÓSTICO DE H. PYLORI","Moncayo Ortiz, José Ignacio, Álvarez Aldana, Adalucy, Santacruz Ibarra, Jorge Javier, Santacoloma Osorio, Mario, Arturo Arias, Brenda Lucía, Giraldo Martínez, Liliana, Ángel Pinzón, Alberto","Investigaciones Andina; 13(23); 297-311","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200006&lang=pt" 
"S0124-81462011000200005-col","CONCORDANCIA INTEROBSERVADORES EN RETINOSCOPÍA ESTÁTICA ENTRE DOCENTES Y ESTUDIANTES DE OPTO METRÍA DE UNA INSTITUCIÓN UNIVERSITARIA DE BOGOTÁ, COLOMBIA","García Lozada, Diana","Investigaciones Andina; 13(23); 282-295","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200005&lang=pt" 
"S0124-81462011000200004-col","RIESGO SUICIDA Y DEPRESIÓN EN UN GRUPO DE INTERNOS DE UNA CÁRCEL DEL QUINDÍO (COLOMBIA)","Medina Pérez, Óscar, Cardona Duque, Deisy Viviana, Arcila López, Stephanie Catherine","Investigaciones Andina; 13(23); 268-280","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200004&lang=pt" 
"S0124-81462011000200003-col","DEPENDENCIA A LA NICOTINA: DESEMPEÑO PSICOMÉTRICO DE DOS ESCALAS EN ADULTOS","Campo Arias, Adalberto, Herazo, Edwin, Barros Bermúdez, Jaider Alfonso, Rueda Jaimes, Germán Eduardo, Díaz Martínez, Luís Alfonso, Díaz, Francisco J.","Investigaciones Andina; 13(23); 258-267","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200003&lang=pt" 
"S0124-81462011000200002-col","IMAGINARIOS SOCIALES DE DONANTES VOLUNTARIOS DE SANGRE EN UN PUNTO FIJO DE RECOLECCIÓN. BOGOTÁ-COLOMBIA","Cruz Bermúdez, Harold Fabián, Moreno Collazos, Jorge Enrique, Angarita Fonseca, Adriana, Calderón Serrano, Claudia Yaneth, Martínez Fonseca, Silvia Inés, Restrepo, Mónica","Investigaciones Andina; 13(23); 250-257","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200002&lang=pt" 
"S0124-81462011000200001-col","La tuberculosis un viejo problema con nuevos desafíos","Moreno Gómez, Jhon Gerardo","Investigaciones Andina; 13(23); 247-248","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200001&lang=pt" 
"S0124-81462011000200009-col","MÉTODOS ESTATÍSTICOS DESENVOLVIDOS PARA ESTIMAR A PREVALÊNCIA E OS PARÂMETROS DE DESEMPENHO DE TESTES PARA DIAGNÓSTICO CLÍNICO: UMA REVISÃO DE LITERATURA","Tovar Cuevas, José Rafael","Investigaciones Andina; 13(23); 338-351","Investigaciones Andina","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200009&lang=pt" 
"S0124-81462011000200008-col","ALBINISMO OCULOCUTANEO: ALTERACIONES VISUALES, OCULARES Y MANEJO OPTOMÉTRICO","Molina Montoya, Nancy Piedad","Investigaciones Andina; 13(23); 324-337","Investigaciones Andina","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-81462011000200008&lang=pt" 
"S0102-67202011000300002-scl","Estenose esofágica por uso de sonda nasogástrica: reflexão sobre o uso indiscriminado","Ribeiro, Maxwel Capsy Boga, Lopes, Luiz Roberto, Souza-Neto, João Coelho de, Andreollo, Nelson Adami","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 24(3); 191-194","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202011000300002&lang=pt" 
