"S0102-76382010000100001-scl","Tempo de renovação","Braile, Domingo M.","Brazilian Journal of Cardiovascular Surgery; 25(1); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100001&lang=pt" 
"S0864-21252010000100001-cub","Medicina General Integral, una especialidad joven pero madura","Espinosa Álvarez, René F, López Espinosa, José Antonio","Revista Cubana de Medicina General Integral; 26(1); -","Revista Cubana de Medicina General Integral","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252010000100001&lang=pt" 
"S0864-21252010000100003-cub","Lactancia materna y su relación con el exceso de peso corporal en adolescentes de secundaria básica","Terrero, Eumelia Ondina, Álvarez Gómez, José Luís, Díaz Novás, José, Ferrer Arrocha, Marlene","Revista Cubana de Medicina General Integral; 26(1); -","Revista Cubana de Medicina General Integral","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252010000100003&lang=pt" 
"S0864-21252010000100005-cub","Comportamiento del asma bronquial en adolescentes tratados en el Policlínico Universitario &quot;Ana Betancourt&quot;","de la Vega Pazitková, Tatiana, Pérez Martínez, Víctor T., Bezos Martínez, Lenia","Revista Cubana de Medicina General Integral; 26(1); -","Revista Cubana de Medicina General Integral","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252010000100005&lang=pt" 
"S0864-21252010000100006-cub","Caracterización de personas con discapacidad física atendidas en el consultorio 3.: Policlínico &quot;Dr. Tomas Romay&quot;. Año 2009","Arce Morera, Enrique, Castillo Núñez, Johanna, Venero Rodríguez, Leonor, Rodríguez Urquiaga, Yamileidis","Revista Cubana de Medicina General Integral; 26(1); -","Revista Cubana de Medicina General Integral","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252010000100006&lang=pt" 
"S0138-65572010000100001-cub","Cirugía basada en evidencias: una necesidad impostergable","Lombardo Vaillant, Tomás Ariel, Soler Morejón, Caridad","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100001&lang=pt" 
"S0138-65572010000100002-cub","Valor predictivo del índice de peritonitis de Mannheim en pacientes con colecistitis aguda","Lombardo Vaillant, Tomás Ariel, Reyes Ávalos, Neivis, Soler Morejón, Caridad, Lombardo Vaillant, Juvenal, Fiol Zulueta, Alberto","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100002&lang=pt" 
"S0138-65572010000100003-cub","Hábitos y estilos de vida asociados al síndrome metabólico","Arpa Gámez, Ángel, González Sotolongo, Odalys, Vega Fernández, Cosette","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100003&lang=pt" 
"S0138-65572010000100004-cub","Prevalencia de factores de riesgo cardiovascular en pacientes con enfermedad renal crónica","Rodríguez Batista, René, del Cueto Inastrilla, Eloísa, Casamayor Lemai, Zuleika, Martínez Felipe, Mireya, Barroso Cruz, Jorge, González Rubido, Omarys","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100004&lang=pt" 
"S0138-65572010000100007-cub","El tutor en la especialidad de Medicina General Integral Militar","Arteche Hidalgo, Liuba","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100007&lang=pt" 
"S0138-65572010000100009-cub","Divertículo vesical congénito gigante","Rodríguez Collar, Tomás Lázaro, García Monzón, José Antonio, Pérez Pérez, Mirel, Nagua Valencia, Miguel Ángel","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100009&lang=pt" 
"S0138-65572010000100005-cub","Radiaciones electromagnéticas y salud en la investigación médica","Pérez Alejo, José Luis, Miranda Leyva, Reymundo","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100005&lang=pt" 
"S0138-65572010000100006-cub","Preguntas y respuestas sobre el Daño Múltiple de Órganos: Reflexiones acerca de la temática","Montero González, Teresita, Hurtado de Mendoza Amat, José","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100006&lang=pt" 
"S0138-65572010000100008-cub","Cistitis glandular","Piñera, Barbara Paula, Hernández Puentes, Yaimara, Salinas Olivares, Mercedes, Moreno Miravalles, Myrna Inocencia, Casa de Valle Castro, Midalys, Ramos Zayas, Ramón","Revista Cubana de Medicina Militar; 39(1); -","Revista Cubana de Medicina Militar","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572010000100008&lang=pt" 
"S1315-99842010000100001-ven","Gerencia con Pertinencia Social: Hacia la transformación de las organizaciones","Pereira Burgos, Morela","Revista Venezolana de Gerencia; 15(49); 5-7","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100001&lang=pt" 
"S0718-58392010000100001-chl","Selection of a Representative Core Collection from the Chilean Common Bean Germplasm","Paredes C, Mario, Becerra V, Viviana, Tay U, Juan, Blair, Matthew  W, Bascur B, Gabriel","Chilean journal of agricultural research; 70(1); 3-15","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100001&lang=pt" 
"S0718-58392010000100002-chl","Photosensitivity of Cucumber (Cucumis sativus L.) Seedlings Exposed to Ultraviolet-B Radiation","Tapia F, María Luisa, Toro A, Guillermo, Parra R, Bélgica, Riquelme E, Alejandro","Chilean journal of agricultural research; 70(1); 16-25","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100002&lang=pt" 
"S0718-58392010000100003-chl","Presence of a Phytoplasma Associated with Witches’-Broom Disease in Ugni molinae Turcz. and Gaultheria phillyreifolia (Pers.) Sleumer Determined by DAPI, PCR, and DNA Sequencing","Arismendi S, Nolberto, Andrade S, Nancy, Riegel Sch, Ricardo, Carrillo Ll, Roberto","Chilean journal of agricultural research; 70(1); 26-33","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100003&lang=pt" 
"S0718-58392010000100004-chl","Analysis of Agromorphological Descriptors to Differentiate between Duke Cherry (Prunus x gondouinii (Poit. &amp; Turpin)Rehd.) and Its Progenitors: Sweet Cherry (Prunus avium L.) and Sour Cherry (Prunus cerasus L.)","Pérez, Rodrigo, Navarro, Florentino, Sánchez, María Ángeles, Ortíz, Jesús María, Morales, Remedios","Chilean journal of agricultural research; 70(1); 34-49","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100004&lang=pt" 
"S0718-58392010000100005-chl","Influence of the Genotype on the Anthocyanin Composition, Antioxidant Capacity and color of Chilean Pomegranate (Punica granatum L.) Juices","Sepúlveda, Elena, Sáenz, Carmen, Peña, Álvaro, Robert, Paz, Bartolomé, Begoña, Gómez-Cordovés, Carmen","Chilean journal of agricultural research; 70(1); 50-57","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100005&lang=pt" 
"S0718-58392010000100006-chl","Analysis of Hydraulic Conductance Components in Field Grown, Mature Sweet Cherry Trees","Oyarzún, Ricardo, Stöckle, Claudio, Whiting, Matthew","Chilean journal of agricultural research; 70(1); 58-66","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100006&lang=pt" 
"S0718-58392010000100007-chl","Evaluation of a Non-Destructive Impact Sensor to Determine On-Line Fruit Firmness","Homer, Ian, García-Ramos, Francisco Javier, Ortiz-Cañavate, Jaime, Ruiz-Altisent, Margarita","Chilean journal of agricultural research; 70(1); 67-74","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100007&lang=pt" 
"S0718-58392010000100008-chl","Volatile Compounds in Honey Produced in the Central Valley of Ñuble Province, Chile","Gianelli Barra, María Pía, Ponce-Díaz, María Cristina, Venegas-Gallegos, César","Chilean journal of agricultural research; 70(1); 75-84","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100008&lang=pt" 
"S0718-58392010000100009-chl","Beef Consumer Preferences in Chile: Importance of Quality Attribute Differentiators on the Purchase Decision","Villalobos, Pablo, Padilla, Carlos, Ponce, Cristian, Rojas, Álvaro","Chilean journal of agricultural research; 70(1); 85-94","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100009&lang=pt" 
"S0718-58392010000100010-chl","Inventory of Ammonia Emissions from Livestock Production in Los Lagos and Los Ríos Regions, Chile","Martínez-Lagos, Josué, Salazar, Francisco, Alfaro, Marta, Misselbrook, Tom  H","Chilean journal of agricultural research; 70(1); 95-103","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100010&lang=pt" 
"S0718-58392010000100011-chl","Integral Study of Atrazine Behaviour in Field Lysimeters in Argentinean Humid Pampas Soils","Hang, Susana, Andriulo, Adrián, Sasal, Carolina, Nassetta, Mirtha M, Portela, Silvina, Cañas, Ana I","Chilean journal of agricultural research; 70(1); 104-112","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100011&lang=pt" 
"S0718-58392010000100012-chl","Nitrogen Mineralization and Released Nutrients in a Volcanic Soil Amended with Poultry Litter","Hirzel, Juan, Undurraga, Pablo, Walter, Ingrid","Chilean journal of agricultural research; 70(1); 113-121","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100012&lang=pt" 
"S0718-58392010000100013-chl","Effects of Nitrogen on Productivity, Grain Quality, and Optimal Nitrogen Rates in Winter Wheat cv. Kumpa-INIA in Andisols of Southern Chile","Campillo, Ricardo, Jobet, Claudio, Undurraga, Pablo","Chilean journal of agricultural research; 70(1); 122-131","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100013&lang=pt" 
"S0718-58392010000100014-chl","Effects of Source and Rate of Nitrogen Fertilizer on Yield, Yield Components and Quality of Winter Rapeseed (Brassica napus L.)","Öztürk, Özden","Chilean journal of agricultural research; 70(1); 132-141","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100014&lang=pt" 
"S0718-58392010000100015-chl","Green Index to Estimate Crop Nitrogen Status in Potato Processing Varieties","Giletto, Claudia Marcela, Díaz, Cecilia, Rattín, Jorge Edgardo, Echeverría, Hernán Eduardo, Caldiz, Daniel Osmar","Chilean journal of agricultural research; 70(1); 141-149","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100015&lang=pt" 
"S0718-58392010000100016-chl","Field Performance of a Winged Scarifier as a Function of Soil Compaction and Water Content","Cholaky, Carmen, Cisneros, José M, Balbuena, Roberto","Chilean journal of agricultural research; 70(1); 150-158","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100016&lang=pt" 
"S0718-58392010000100017-chl","Water Erosion Prediction Using the Revised Universal Soil Loss Equation (RUSLE) in a GIS Framework, Central Chile","Bonilla, Carlos A, Reyes, José L, Magri, Antoni","Chilean journal of agricultural research; 70(1); 159-169","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100017&lang=pt" 
"S0718-58392010000100018-chl","Arrowleaf Clover (Trifolium vesiculosum Savi): A New Species of Annual Legumes for High Rainfall Areas of the Mediterranean Climate Zone of Chile","Ovalle M, Carlos, del Pozo, Alejandro, Fernández, Fernando, Chavarría, Jorge, Arredondo, Susana","Chilean journal of agricultural research; 70(1); 170-177","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100018&lang=pt" 
"S0718-58392010000100019-chl","A Rainfall Simulator for the in situ Study of Superficial Runoff and Soil Erosion","Sangüesa, Claudia, Arumí, José, Pizarro, Roberto, Link, Oscar","Chilean journal of agricultural research; 70(1); 178-182","Chilean journal of agricultural research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392010000100019&lang=pt" 
"S0366-69132010000100001-scl","Editorial","","Cerâmica; 56(337); I-I","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100001&lang=pt" 
"S0366-69132010000100007-scl","Basalt mine-tailings as raw-materials for Portland clinker","Andrade, F. R. D, Pecchio, M, Bendoraitis, D. P, Montanheiro, T. J, Kihara, Y","Cerâmica; 56(337); 39-43","Cerâmica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100007&lang=pt" 
"S0366-69132010000100005-scl","Formação in-situ ou adição de espinélio pré-formado: o que é melhor para concretos refratários aluminosos?","Sako, E. Y, Milanez, D. H, Braulio, M. A. L, Bittencourt, L. R. M, Pandolfelli, V. C","Cerâmica; 56(337); 23-27","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100005&lang=pt" 
"S0366-69132010000100004-scl","Tamanho de grão do MgO e seus efeitos na resistência ao choque térmico de concretos refratários espinelizados in-situ","Cintra, G. B, Braulio, M. A. L, Bittencourt, L. R. M, Pandolfelli, V. C","Cerâmica; 56(337); 15-22","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100004&lang=pt" 
"S0366-69132010000100011-scl","Influência da distribuição granulométrica de argilas para via seca sobre o rendimento de moagem em moinho de martelos","Alves, H. J., Zauberas, R. T., Boschi, A. O.","Cerâmica; 56(337); 66-70","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100011&lang=pt" 
"S0366-69132010000100015-scl","Cimento aluminoso e seus efeitos em concretos refratários magnesianos espinelizados in situ","Milanez, D. H, Sako, E. Y, Maia, M. F, Braulio, M. A. L, Bittencourt, L. R. M, Pandolfelli, V. C","Cerâmica; 56(337); 91-96","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100015&lang=pt" 
"S0366-69132010000100013-scl","Propriedades mecânicas de materiais compósitos à base de cimento Portland e resina epoxi","Panzera, T. H., Sabariz, A. L. R., Strecker, K., Borges, P. H. R., Vasconcelos, D. C. L., Wasconcelos, W. L.","Cerâmica; 56(337); 77-82","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100013&lang=pt" 
"S0366-69132010000100003-scl","Estudo colorimétrico de fritas feldspáticas","Santos, S. F, Andrade, M. C, França, S. C. A, Ogasawara, T","Cerâmica; 56(337); 9-14","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100003&lang=pt" 
"S1516-635X2010000100006-scl","The use of animal byproducts in broiler feeds: use of animal co-products in broilers diets","Caires, CMI, Fernandes, EA, Fagundes, NS, Carvalho, AP, Maciel, MP, Oliveira, BR","Revista Brasileira de Ciência Avícola; 12(1); 41-46","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100006&lang=pt" 
"S1516-635X2010000100004-scl","Effect of nucleotides on broiler performance and carcass yield","Pelícia, VC, Sartori, JR, Zavarize, KC, Pezzato, AC, Stradiotti, AC, Araujo, PC, Mituo, MAO, Madeira, LA","Revista Brasileira de Ciência Avícola; 12(1); 31-34","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100004&lang=pt" 
"S1516-635X2010000100002-scl","Traceability of poultry offal meal in broiler feeding using isotopic analysis (δ13C and δ15N) of different tissues","Oliveira, RP, Ducatti, C, Pezzato, AC, Denadai, JC, Cruz, VC, Sartori, JR, Carrijo, AS, Caldara, FR","Revista Brasileira de Ciência Avícola; 12(1); 13-20","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100002&lang=pt" 
"S1516-635X2010000100003-scl","Identification of critical points of thermal environment in broiler production","Menezes, AG, Nääs, IA, Baracho, MS","Revista Brasileira de Ciência Avícola; 12(1); 21-29","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100003&lang=pt" 
"S1516-635X2010000100005-scl","Live performance and processing yields of broilers fed diets with tiamulin and salinomycin combinations","Vieira, SL, Favero, A, Berres, J, Freitas, DM, Martinez, JEP, Mayorga, ME, Coneglian, JLB","Revista Brasileira de Ciência Avícola; 12(1); 35-39","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100005&lang=pt" 
"S1516-635X2010000100008-scl","Seroprevalence survey of H9N2 avian influenza virus in backyard chickens around the Caspian Sea in Iran","Hadipour, MM","Revista Brasileira de Ciência Avícola; 12(1); 53-55","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100008&lang=pt" 
"S1516-635X2010000100009-scl","Reproductive characteristics of captive greater rhea (Rhea americana) males reared in the state of São Paulo, Brazil","Góes, PAA, Cavalcante, AK da S, Nichi, M, Perez, EG de A, Barnabe, RC, Barnabe, VH","Revista Brasileira de Ciência Avícola; 12(1); 57-62","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100009&lang=pt" 
"S1516-635X2010000100010-scl","Effect of crude protein levels and organic selenium supplementation in the diets fed during the breeding season on reproductive parameters of red-winged tinamous (Rhynchotus rufescens)","Felipe, L, Santos, EC, Tavian, AF, Góes, PAA, Moraes, VMB, Tonhati, H, Boleli, IC, Malheiros, EB, Barnabé, VH, Queiroz, SA","Revista Brasileira de Ciência Avícola; 12(1); 63-71","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100010&lang=pt" 
"S0104-92242010000100008-scl","Soldagem unilateral com suporte cerâmico de cordierita","Almeida, Luciana Lezira Pereira de, Tatagiba, Luiz Cláudio Soares, Rosenthal, Ruben, Paranhos, Ronaldo Pinheiro da Rocha","Soldagem &amp; Inspeção; 15(1); 61-70","Soldagem &amp; Inspeção","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100008&lang=pt" 
"S0104-92242010000100006-scl","Deposição por plasma com arco transferido","Díaz, Víctor Vergara, Dutra, Jair Carlos, D´Oliveira, Ana Sofia Clímaco Monteiro","Soldagem &amp; Inspeção; 15(1); 41-51","Soldagem &amp; Inspeção","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100006&lang=pt" 
"S0104-92242010000100004-scl","Utilização do ensaio erichsen para a avaliação do desempenho de juntas soldadas","Madeira, Rodrigo Pereira, Modenesi, Paulo J.","Soldagem &amp; Inspeção; 15(1); 22-30","Soldagem &amp; Inspeção","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100004&lang=pt" 
"S0104-92242010000100001-scl","","","Soldagem &amp; Inspeção; 15(1); 01-01","Soldagem &amp; Inspeção","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100001&lang=pt" 
"S0104-92242010000100003-scl","Metodologia para parametrizar e avaliar a técnica da &#039;&#039;burn-zinc&#039;&#039; no processo de soldagem a ponto por resistência","Nascimento, Vinicius Castanheira do, Scotti, Américo","Soldagem &amp; Inspeção; 15(1); 11-21","Soldagem &amp; Inspeção","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100003&lang=pt" 
"S0104-92242010000100002-scl","Avaliação da fissuração por fadiga em tubos durante transporte marítimo","Godoy, João Mauricio, Cavalheiro, Benedito Carlos, Pereira, Marcelo dos Santos","Soldagem &amp; Inspeção; 15(1); 02-10","Soldagem &amp; Inspeção","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100002&lang=pt" 
"S0104-92242010000100009-scl","State of the art of international standardisation in the field of welding and allied processes","von Hofe, Detlef","Soldagem &amp; Inspeção; 15(1); 71-81","Soldagem &amp; Inspeção","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100009&lang=pt" 
"S1315-99842010000100007-ven","Calidad de los Servicios prestados por el Servicio Autónomo Municipal de Administración Tributaria","Clemenza, Caterina, Gotera, Ana, Araujo, Rubén","Revista Venezolana de Gerencia; 15(49); 103-124","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100007&lang=pt" 
"S1315-99842010000100006-ven","Organizaciones cooperativas en el contexto del desarrollo local: una aproximación para su estudio","Fernández, Gladys, Narváez, Mercy, Senior, Alexa","Revista Venezolana de Gerencia; 15(49); 87-102","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100006&lang=pt" 
"S1315-99842010000100005-ven","Análisis de la percepción de los servicios municipales en la comunidad anzoatiguense, Venezuela","Núñez, Linda, Rodríguez, Daysi, Cáceres, Alfonso","Revista Venezolana de Gerencia; 15(49); 72-86","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100005&lang=pt" 
"S1315-99842010000100004-ven","Trabajo en equipos autodirigidos: competencias personales y conductas necesarias para su éxito","Mantilla, Mercedes, García, Denys","Revista Venezolana de Gerencia; 15(49); 51-71","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100004&lang=pt" 
"S1315-99842010000100003-ven","Impacto de la organización del trabajo en los procesos formativos del sector automotriz argentino","Marcelo, Delfini, Andrea, Pujol, Sonia, Roitter","Revista Venezolana de Gerencia; 15(49); 30-50","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100003&lang=pt" 
"S1315-99842010000100002-ven","Redes de aprendizaje intraorganizativo: análisis exploratorio de un caso","Sánchez, de Pablo, González del Campo, Jesús David, Škerlavaj, Miha, Guadamillas Gómez, Fátima, Dimovski, Vlado","Revista Venezolana de Gerencia; 15(49); 11-29","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100002&lang=pt" 
"S1315-99842010000100009-ven","Efecto de la motivación al logro y la inteligencia emocional en el Crecimiento Psicológico","Padrón López, Gladys Aracelys, Sánchez de Gallardo, Marhilde","Revista Venezolana de Gerencia; 15(49); 141-158","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100009&lang=pt" 
"S1315-99842010000100008-ven","Sistemas de información para la gestión de mantenimiento en la gran industria del estado Zulia","Karim, Oliva, Madelein, Arellano, María, López, Karen, Soler","Revista Venezolana de Gerencia; 15(49); 125-140","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000100008&lang=pt" 
"S0104-92242010000100005-scl","Otimização do processo de soldagem FCAW usando o erro quadrático médio multivariado","Paiva, Emerson José de, Rodrigues, Lucilene de Oliveira, Costa, Sebastião Carlos da, Paiva, Anderson Paulo de, Balestrassi, Pedro Paulo","Soldagem &amp; Inspeção; 15(1); 31-40","Soldagem &amp; Inspeção","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242010000100005&lang=pt" 
"S0366-69132010000100002-scl","Investigação fototérmica de argila vermelha: medidas de propriedades térmicas e estruturais","Mota, L., Toledo, R., Bastos Filho, R. P., Vargas, H., Faria Jr, R. T.","Cerâmica; 56(337); 1-8","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100002&lang=pt" 
"S0366-69132010000100006-scl","Ação sonoquímica e influência das condições de tratamento térmico na preparação de cimentos do sistema binário CaO-Al2O3","Lourenço, R. R, Exposito, C. C. D, Angélica, R. S, Rodrigues, J. A","Cerâmica; 56(337); 28-38","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100006&lang=pt" 
"S0366-69132010000100009-scl","Performance of natural and modified smectite: kinetic and thermodynamics involving arsenic (V) adsorption","Guerra, D. L, Airoldi, C, Viana, R. R","Cerâmica; 56(337); 49-56","Cerâmica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100009&lang=pt" 
"S0366-69132010000100010-scl","Novos fundentes para produção da porcelana de ossos","Ballvé, M. P, Bragança, S. R","Cerâmica; 56(337); 57-65","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100010&lang=pt" 
"S0366-69132010000100012-scl","Potencial de argila caulinítica de Campos dos Goytacazes, RJ, na produção de pozolana para concreto de alta resistência","Cordeiro, G. C, Désir, J. M","Cerâmica; 56(337); 71-76","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100012&lang=pt" 
"S0366-69132010000100014-scl","Influência da incorporação de resíduo de escória de fluxo de soldagem nas propriedades tecnológicas de argamassa de múltiplo uso e cerâmica vermelha para construção civil","Viana, C. E, Dias, D. P, Paranhos, R. P. R, Holanda, J. N. F","Cerâmica; 56(337); 83-90","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100014&lang=pt" 
"S0366-69132010000100016-scl","Efeito da adição de polímero precursor cerâmico na sinterização de alumina","Godoy, A. L. E, Bressiani, J. C, Bressiani, A. H. A","Cerâmica; 56(337); 97-104","Cerâmica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132010000100016&lang=pt" 
"S1516-635X2010000100007-scl","Reversion to virulence evaluation of a 9R vaccine strain of Salmonella enterica serovar gallinarum in commercial brown layers","Okamoto, AS, Menconi, A, Gonçalves, GAM, Rocha, TS, Andreatti Filho, RF, Savano, EN, Sesti, L","Revista Brasileira de Ciência Avícola; 12(1); 47-52","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000100007&lang=pt" 
