"S0030-24652012000200003-sza","Ebola virus outbreaks in Africa: Past and present","Muyembe-Tamfum, J.J., Mulangu, S., Masumu, Justin, Kayembe, J.M., Kemp, A., Paweska, Janusz T","Onderstepoort Journal of Veterinary Research; 79(2); 06-13","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200003&lang=pt" 
"S0717-65382012000300010-chl","Erroneous identification of the mussel, Mytilus galloprovincialis (Lamarck 1819) as the specie, Mytilus chilensis (Hupe 1854) in the Bay of Concepcion, Chile","Tarifeño, Eduardo, Galleguillos, Ricardo, Llanos-Rivera, Alejandra, Arriagada, Daniel, Ferrada, Sandra, Canales-Aguirre, Cristian B, Seguel, Maritza","Gayana (Concepción); 76(2); 167-172","Gayana (Concepción)","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300010&lang=pt" 
"S0717-65382012000300005-chl","Refugios naturales y artificiales de Murciélagos (Mammalia:Chiroptera) en la selva baja en el Noroeste de Perú","Díaz, M. Monica, Linares García, Victor Hugo","Gayana (Concepción); 76(2); 117-130","Gayana (Concepción)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300005&lang=pt" 
"S0864-21762012000300001-cub","Realidad y retos en el glaucoma","Piloto Díaz, Ibraín","Revista Cubana de Oftalmología; 25(); 350-351","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300001&lang=pt" 
"S0864-21762012000300002-cub","Estudio de la efectividad de la iridoplastia periférica con Nd YAG láser doblado mediante imágenes de Scheimpflug y gonioscopia","Fernández Argones, Liamet, Cárdenas Pérez, Francis Yalile, Piloto Díaz, Ibraín, Fernández Hernández, Jacqueline, Padilla González, Carmen María, Obret Mendive, Isabel","Revista Cubana de Oftalmología; 25(); 352-362","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300002&lang=pt" 
"S0864-21762012000300003-cub","Microscopia confocal de barrido láser y su relación con la morfología de la bula de filtración","Ferrer Guerra, María Teresa, Díaz Águila, Yuderkys, Fernández Argones, Liamet, Piloto Díaz, Ibraín, Domínguez Randulfe, Marerneda, Obret Mendive, Isabel","Revista Cubana de Oftalmología; 25(); 363-373","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300003&lang=pt" 
"S0864-21762012000300004-cub","Características estructurales del disco óptico y la capa de fibras neurorretinianas mediante tomografía confocal láser en la sospecha de cierre angular primario","Fernández Argones, Liamet, Fumero González, Francisco, Padilla González, Carmen María, Piloto Díaz, Ibraín, Carcaset Chamizo, Ana Iris","Revista Cubana de Oftalmología; 25(); 374-386","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300004&lang=pt" 
"S0864-21762012000300005-cub","Evaluación del espesor corneal central y su influencia en la presión intraocular en pacientes del Hospital &quot;Dr. Miguel Enríquez&quot;","Arrronte Alarcón, María Teresa, Delgado Márquez, Víctor Manuel, Rodríguez Vázquez, Jeannette, Rodríguez Ramírez, Dra. Taymi, González Blanco, Yanileidy, Padilla Docal, Bárbara","Revista Cubana de Oftalmología; 25(); 387-395","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300005&lang=pt" 
"S0864-21762012000300006-cub","Revisión por aguja de la bula de filtración, una alternativa terapéutica en pacientes trabeculectomizados","Arzuaga Hernández, Elizabeth, Fumero González, Francisco, González Piloto, Sahiris, Batista Peña, Maikel","Revista Cubana de Oftalmología; 25(); 396-404","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300006&lang=pt" 
"S0864-21762012000300007-cub","Consideraciones generales en el hipema secundario a trauma ocular a globo ocular cerrado","Fernández Argones, Liamet, Martínez Urbay, Guillermo, Rodríguez González, Diana Teresa, Piloto Díaz, Ibraín, Díaz Águila, Yuderkys, Álvarez Cisneros, Germán Antonio","Revista Cubana de Oftalmología; 25(); 405-416","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300007&lang=pt" 
"S0864-21762012000300008-cub","Aplicaciones del SL-OCT en el glaucoma","Díaz Águila, Yuderkys, Álvarez Cisneros, Germán, Ferrer Guerra, María Teresa, Obret Mendive, Isabel, Fernández Argones, Liamet, Piloto Díaz, Ibraín","Revista Cubana de Oftalmología; 25(); 417-426","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300008&lang=pt" 
"S0864-21762012000300009-cub","Consideraciones terapéuticas en el cierre angular primario","Fernández Argones, Liamet, Piloto Díaz, Ibraín, Díaz Águila, Yuderkys, Obret Mendive, Isabel, Ferrer Guerra, María Teresa, Álvarez Cisneros, Germán","Revista Cubana de Oftalmología; 25(); 427-437","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300009&lang=pt" 
"S0864-21762012000300010-cub","Blebitis y endoftalmitis posterior a la cirugía filtrante del glaucoma","Ramos López, Meisy, Hernández Silva, Juan Raúl, Piloto Díaz, Ibraín, Fernández Argones, Liamet, Hernández Ramos, Heidy","Revista Cubana de Oftalmología; 25(); 438-448","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300010&lang=pt" 
"S0864-21762012000300011-cub","Beneficios del sistema Scheimpflug en glaucoma","Domínguez Randulfe, Marerneda, Fernández Argones, Liamet, Miqueli Rodríguez, Maritza, Piloto Díaz, Ibraín, Fumero González, Francisco Yunier, Ferrer Guerra, María Teresa","Revista Cubana de Oftalmología; 25(); 449-457","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300011&lang=pt" 
"S0864-21762012000300012-cub","Fisiología trabecular y glaucoma de ángulo abierto","Martín Perera, Yoanner, Piloto Díaz, Ibraín, Álvarez Cisneros, Germán, Fumero González, Francisco, Rodríguez Rivero, Darlen, Sánchez Acosta, Lizet","Revista Cubana de Oftalmología; 25(); 458-466","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300012&lang=pt" 
"S0864-21762012000300013-cub","Revisión con agujas y uso de mitomicina C en bulas de filtración encapsuladas","Fumero González, Francisco, Vidal Castillo, Malvys, Fernández Argones, Liamet, Piloto Díaz, Ibraín, Obret Mendive, Isabel, Pérez Candelaria, Eneida","Revista Cubana de Oftalmología; 25(); 467-474","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300013&lang=pt" 
"S0864-21762012000300014-cub","Síndrome de Axenfeld-Rieger con glaucoma asociado","Blanco González, Yanileidy, Méndez Sánchez, Teresita de Jesús, Fernández Argones, Liamet, López Felipe, Daniel, Piloto Díaz, Ibraín, Hernández Santos, Lourdes Rita","Revista Cubana de Oftalmología; 25(); 475-482","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300014&lang=pt" 
"S0864-21762012000300015-cub","Quiste retroiridiano versus cierre angular primario y utilidad diagnóstica de la tomografía de coherencia óptica de segmento anterior","Álvarez Cisneros, Germán Antonio, Díaz Águila, Yuderkis, Fernández Argones, Liamet, Piloto Díaz, Ibraín, Dorrego Oduardo, Milagros Danieyis","Revista Cubana de Oftalmología; 25(); 483-491","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300015&lang=pt" 
"S0864-21762012000300016-cub","Escape tardío de la bula de filtración a propósito de un caso","Díaz Águila, Yuderkys, Ferrer Guerra, María Teresa, Obret Mendive, Isabel, Fernández Argones, Liamet, Piloto Díaz, Ibraín","Revista Cubana de Oftalmología; 25(); 492-497","Revista Cubana de Oftalmología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21762012000300016&lang=pt" 
"S0375-15892012000400008-sza","Dietary Rhus coriaria L. powder reduces the blood cholesterol, VLDL-c and glucose, but increases abdominal fat in broilers","Golzadeh, M., Farhoomand, P., Daneshyar, M.","South African Journal of Animal Science; 42(4); 398-405","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000400008&lang=pt" 
"S0375-15892012000400009-sza","Variety effect on composition, kinetics of fermentation and in vitro digestibility of oat (Avena sativa L.) straw and its neutral detergent fibre","Kafilzadeh, F., Heidary, N., Bahraminejad, S.","South African Journal of Animal Science; 42(4); 406-415","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000400009&lang=pt" 
"S0103-21002012000800001-scl","The challenge of neuro intensive care units","Diccini, Solange","Acta Paulista de Enfermagem; 25(spe1); iii-iv","Acta Paulista de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800001&lang=pt" 
"S0103-21002012000800003-scl","Validation of a protocol to assist patients with intra-aortic balloon","Machado, Regimar Carla, Guerra, Grazia Maria, Branco, João Nelson Rodrigues","Acta Paulista de Enfermagem; 25(spe1); 13-19","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800003&lang=pt" 
"S0103-21002012000800004-scl","Perception of social support by individuals with diabetes mellitus and foot ulcers","Figueira, Ana Laura Galhardo, Boas, Lílian Cristiane Gomes Villas, Freitas, Maria Cristina Foss de, Foss, Milton César, Pace, Ana Emilia","Acta Paulista de Enfermagem; 25(spe1); 20-26","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800004&lang=pt" 
"S1414-98932012000400004-scl","O homem dos ratos, Schreber e Kafka: destinos possíveis para a hostilidade","Castiel, Sissi Vigil, Farinati, Débora, Didonet, Liege Horst, Moreira, Maria Lucia Fortes, Monteiro, Roberta Araujo, Rocha, Cláudia, Feijó, Daniela Trois, Costa, Juliana Martins, Silva, Luciana Lopez","Psicologia: Ciência e Profissão; 32(4); 808-825","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400004&lang=pt" 
"S1414-98932012000400008-scl","O saber e a verdade na Psicanálise e na Universidade","Danziato, Leonardo J. B.","Psicologia: Ciência e Profissão; 32(4); 872-881","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400008&lang=pt" 
"S1414-98932012000400013-scl","Processos clínicos em Núcleos de Apoio à Saúde da Família / NASF: estágio supervisionado","Santeiro, Tales Vilela","Psicologia: Ciência e Profissão; 32(4); 942-955","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400013&lang=pt" 
"S1414-98932012000400002-scl","O corpo em uma perspectiva fenomenológico-existencial: aproximações entre Heidegger e Merleau-Ponty","Almeida Prado, Rafael Auler de, Caldas, Marcus Tulio, Queiroz, Edilene Freire de","Psicologia: Ciência e Profissão; 32(4); 776-791","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400002&lang=pt" 
"S1414-98932012000400003-scl","Valores organizacionais e concepções de deficiência: a percepção de pessoas incluídas","Ávila-Vitor, Maria Regina do Carmo, Carvalho-Freitas, Maria Nivalda de","Psicologia: Ciência e Profissão; 32(4); 792-807","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400003&lang=pt" 
"S1414-98932012000400005-scl","Violência urbana, insegurança e medo: da necessidade de estratégias coletivas","Rosa, Edinete Maria, Souza, Lídio de, Oliveira, Daniela Moraes de, Coelho, Bianca Izoton","Psicologia: Ciência e Profissão; 32(4); 826-839","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400005&lang=pt" 
"S1414-98932012000400007-scl","Questões éticas da pesquisa em Psicologia do Desenvolvimento","Alvarenga, Patrícia, Piccinini, Cesar Augusto, Levandowski, Daniela Centenaro, Frizzo, Giana Bitencourt, Marin, Angela Helena, Villachan-Lyra, Pompéia","Psicologia: Ciência e Profissão; 32(4); 856-871","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400007&lang=pt" 
"S1414-98932012000400009-scl","Percepção do acidente fatal de trabalho para a família da vítima","Moraes, Ana Beatryce Tedesco, Moulin, Maria das Graças Barbosa, Souza, Mariane Lima de, Pepino, Cláudia Balestreiro","Psicologia: Ciência e Profissão; 32(4); 882-893","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400009&lang=pt" 
"S1414-98932012000400010-scl","A constituição do perito psicólogo em varas de família à luz da análise institucional de discurso","Ortiz, Marta Cristina Meirelles","Psicologia: Ciência e Profissão; 32(4); 894-909","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400010&lang=pt" 
"S1414-98932012000400011-scl","A Psicologia no modelo atual de atenção em saúde mental","Cantele, Juliana, Arpini, Dorian Monica, Roso, Adriane","Psicologia: Ciência e Profissão; 32(4); 910-925","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400011&lang=pt" 
"S1414-98932012000400012-scl","A conexão afetiva nas intervenções desenvolvimentistas para crianças autistas","Fiore-Correia, Olívia, Lampreia, Carolina","Psicologia: Ciência e Profissão; 32(4); 926-941","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400012&lang=pt" 
"S1414-98932012000400014-scl","Análise do comportamento e sociedade: implicações para uma ciência dos valores","Bogo, Anne Carolynne, Laurenti, Carolina","Psicologia: Ciência e Profissão; 32(4); 956-971","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400014&lang=pt" 
"S1414-98932012000400015-scl","Possibilidades de atuação para o licenciado em Psicologia nas Etecs","Pandita-Pereira, Angelina, Sekkel, Marie Claire","Psicologia: Ciência e Profissão; 32(4); 972-985","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400015&lang=pt" 
"S1414-98932012000400016-scl","Formação em Psicologia no contexto das diretrizes curriculares nacionais: uma discussão sobre os cenários da prática em saúde","Poppe, Andrea Regina Soares, Batista, Sylvia Helena Souza da Silva","Psicologia: Ciência e Profissão; 32(4); 986-999","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400016&lang=pt" 
"S1414-98932012000400017-scl","Travestis e transexuais profissionais do sexo: implicações da Psicologia","Giongo, Carmem Regina, Menegotto, Lisiane Machado De Oliveira, Petters, Simone","Psicologia: Ciência e Profissão; 32(4); 1000-1013","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400017&lang=pt" 
"S1414-98932012000400018-scl","Lofts: habitações para além do contexto moderno","Vasconcelos, Bruno Ricardo, Próchno, Caio César Souza Camargo, Silva, Luiz Carlos Avelino da","Psicologia: Ciência e Profissão; 32(4); 1014-1027","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400018&lang=pt" 
"S1414-98932012000400019-scl","Pais e filhos em psicoterapia: o atendimento clínico com uma criança","Pretto, Zuleica, Langaro, Fabíola","Psicologia: Ciência e Profissão; 32(4); 1028-1037","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400019&lang=pt" 
"S0103-21002012000800006-scl","Perception of aging among Korean undergraduate nursing students","Jo, Kae-Hwa, An, Gyeong-Ju","Acta Paulista de Enfermagem; 25(spe1); 35-40","Acta Paulista de Enfermagem","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800006&lang=pt" 
"S0103-21002012000800007-scl","Quality of life aspects of patients with HIV/tuberculosis co-infection","Lemos, Larissa de Araújo, Feijão, Alexsandra Rodrigues, Gir, Elucir, Galvão, Marli Teresinha Gimeniz","Acta Paulista de Enfermagem; 25(spe1); 41-47","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800007&lang=pt" 
"S0103-21002012000800009-scl","Sleep and rest needs of seniors: a study grounded in the work of Henderson","Clares, Jorge Wilker Bezerra, Freitas, Maria Célia de, Galiza, Francisca Tereza de, Almeida, Paulo César de","Acta Paulista de Enfermagem; 25(spe1); 54-59","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800009&lang=pt" 
"S0103-21002012000800010-scl","Analysis of use of technological support and information content by patients with chronic obstructive pulmonary disease","Padilha, José Miguel Santos Castro, Sousa, Paulino Artur Ferreira, Pereira, Filipe Miguel Soares","Acta Paulista de Enfermagem; 25(spe1); 60-66","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800010&lang=pt" 
"S0103-21002012000800011-scl","Nursing intervention in insulin administration: telephone follow-up","Becker, Tânia Alves Canata, Teixeira, Carla Regina de Souza, Zanetti, Maria Lucia","Acta Paulista de Enfermagem; 25(spe1); 67-73","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800011&lang=pt" 
"S0103-21002012000800012-scl","At-home care : interactions between nurses and the elderly/family","Gago, Esperança Alves, Lopes, Manuel José","Acta Paulista de Enfermagem; 25(spe1); 74-80","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800012&lang=pt" 
"S0103-21002012000800013-scl","Women with type 2 diabetes mellitus: sociodemographic profile, biometrics and health","Lessmann, Juliana Cristina, Silva, Denise Maria Guerreiro Vieira da, Nassar, Silvia Modesto","Acta Paulista de Enfermagem; 25(spe1); 81-86","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800013&lang=pt" 
"S0103-21002012000800014-scl","Assessment of the virtual guide on eye self-examination in the context of HIV/AIDS","Nascimento, Jennara Candido, Lima, Maria Alzete, Almeida, Paulo Cesár de, Pagliuca, Lorita Marlena Freitag, Caetano, Joselany Áfio","Acta Paulista de Enfermagem; 25(spe1); 87-93","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800014&lang=pt" 
"S0103-21002012000800016-scl","Nursing actions for the prevention of ventilator-associated pneumonia","Gonçalves, Fernanda Alves Ferreira, Brasil, Virginia Visconde, Ribeiro, Luana Cássia Miranda, Tipple, Anaclara Ferreira Veiga","Acta Paulista de Enfermagem; 25(spe1); 101-107","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800016&lang=pt" 
"S0103-21002012000800017-scl","Factors associated with nonadherence of tuberculosis treatment in the state of Paraná","Furlan, Mara Cristina Ribeiro, Oliveira, Simoni Pimenta de, Marcon, Sonia Silva","Acta Paulista de Enfermagem; 25(spe1); 108-114","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800017&lang=pt" 
"S0103-21002012000800019-scl","Multidimensional evaluation of the elderly undergoing cardiac surgery","Armendaris, Marinez Kellermann, Monteiro, Pedro Sadi","Acta Paulista de Enfermagem; 25(spe1); 122-128","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800019&lang=pt" 
"S0103-21002012000800022-scl","Being elderly with functional dependence and their family caregivers","Oliveira, Amanda Maria Souza de, Pedreira, Larissa Chaves","Acta Paulista de Enfermagem; 25(spe1); 143-149","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800022&lang=pt" 
"S0103-21002012000800023-scl","Acute and chronic pain: a narrative review of the literature","Sallum, Ana Maria Calil, Garcia, Dayse Maioli, Sanches, Mariana","Acta Paulista de Enfermagem; 25(spe1); 150-154","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800023&lang=pt" 
"S0103-21002012000800024-scl","Nursing diagnoses validated in cardiology in Brazil: integrative literature review","Lopes, Camila Takáo, Carneiro, Camila de Souza, Santos, Vinicius Batista, Barros, Alba Lúcia Bottura Leite de","Acta Paulista de Enfermagem; 25(spe1); 155-160","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000800024&lang=pt" 
"S1414-98932012000400006-scl","Desafios da gestão coletiva da atividade na docência universitária","Nascimento, Elvia Lane Araújo do, Vieira, Sarita Brazão, Araújo, Anísio José da Silva","Psicologia: Ciência e Profissão; 32(4); 840-855","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000400006&lang=pt" 
"S0211-95362012000200002-esp","La asociación europea contra la poliomielitis y los programas europeos de vacunación","Porras, María Isabel, Báguena, María José, Ballester, Rosa, Heras, Jaime de las","Dynamis; 32(2); 287-310","Dynamis","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200002&lang=pt" 
"S1516-05722012000400019-scl","Clinical applicability of natural product(s)-containing mouthwashes as adjunctive treatment of biofilm-induced gingivitis: a systematic review","Freires, I.A., Silva, I.C.G., Alves, L.A., Bezerra, L.M.D., Castro, R.D.","Revista Brasileira de Plantas Medicinais; 14(4); 700-711","Revista Brasileira de Plantas Medicinais","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722012000400019&lang=pt" 
"S0211-95362012000200009-esp","Ovulostáticos y anticonceptivos: El conocimiento médico sobre &quot;la pildora&quot; en España durante el franquismo y la transición democrática (1940-1979)","Rodríguez-Ocaña, Esteban, Ignaciuk, Agata, Ortiz-Gómez, Teresa","Dynamis; 32(2); 467-494","Dynamis","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200009&lang=pt" 
"S0211-95362012000200006-esp","Las secuelas sociales de la polio: los inicios del movimiento asociativo en España (1957-1975)","Rodríguez Sánchez, Juan Antonio","Dynamis; 32(2); 391-414","Dynamis","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200006&lang=pt" 
"S0211-95362012000200004-esp","Polio in Italy","Fantini, Bernardino","Dynamis; 32(2); 329-359","Dynamis","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200004&lang=pt" 
"S0066-782X2012000700001-scl","Atualização da diretriz brasileira de insuficiência cardíaca crônica - 2012","Bocchi, EA, Marcondes-Braga, FG, Bacal, F, Ferraz, AS, Albuquerque, D, Rodrigues, D","Arquivos Brasileiros de Cardiologia; 98(1); 1-33","Arquivos Brasileiros de Cardiologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000700001&lang=pt" 
"S0103-21002012000900002-scl","Quality of life and stress in caregivers of drug-addicted people","Marcon, Samira Reschetti, Rubira, Elizete Aparecida, Espinosa, Mariano Martinez, Belasco, Angélica, Barbosa, Dulce Aparecida","Acta Paulista de Enfermagem; 25(spe2); 7-12","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900002&lang=pt" 
"S0103-21002012000900003-scl","Palliative care in the home: perceptions of nurses in the Family Health Strategy","Baliza, Michelle Freire, Bousso, Regina Szylit, Spineli, Vívian Marina Calixto Damasceno, Silva, Lucía, Poles, Kátia","Acta Paulista de Enfermagem; 25(spe2); 13-18","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900003&lang=pt" 
"S0103-21002012000900005-scl","Matrix tool in the production of integrated care in the family health strategy","Jorge, Maria Salete Bessa, Pinto, Diego Muniz, Vasconcelos, Mardênia Gomes Ferreira, Pinto, Antonio Germane Alves, Souza, Rândson Soares de, Caminha, Emília Cristina Carvalho Rocha","Acta Paulista de Enfermagem; 25(spe2); 26-32","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900005&lang=pt" 
"S0103-21002012000900006-scl","Drug use and associated demographic factors of freshman students in a Chilean University","P., Fredy Seguel, M., Gama Santander, S., María Lina Ramos","Acta Paulista de Enfermagem; 25(spe2); 33-39","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900006&lang=pt" 
"S0103-21002012000900007-scl","Violence in daily hospital nursing work","Vasconcellos, Ilmeire Ramos Rosembach de, Griep, Rosane Härter, Lisboa, Marcia Tereza Luz, Rotenberg, Lúcia","Acta Paulista de Enfermagem; 25(spe2); 40-47","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900007&lang=pt" 
"S0103-21002012000900008-scl","Aspects related to the permanence of undergraduate and graduate students in semi-presential classes","Peixoto, Henry Maia, Peixoto, Mariana Maia, Alves, Elioenai Dornelles","Acta Paulista de Enfermagem; 25(spe2); 48-53","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900008&lang=pt" 
"S0103-21002012000900009-scl","Burnout syndrome in senior undergraduate nursing","Oliveira, Rayama de, Caregnato, Rita Catalina Aquino, Câmara, Sheila Gonçalves","Acta Paulista de Enfermagem; 25(spe2); 54-60","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900009&lang=pt" 
"S0103-21002012000900010-scl","Qualified listening and social management among health professionals","Raimundo, Jader Sebastião, Cadete, Matilde Meire Miranda","Acta Paulista de Enfermagem; 25(spe2); 61-67","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900010&lang=pt" 
"S0103-21002012000900011-scl","Discontinuation of antimicrobials and costs of treating patients with infection","Oliveira, Adriana Cristina de, Paula, Adriana Oliveira de","Acta Paulista de Enfermagem; 25(spe2); 68-74","Acta Paulista de Enfermagem","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002012000900011&lang=pt" 
