"S0102-09352015000401039-scl","In vivo biocompatibility of nanostructured Chitosan/Peo membranes","Vulcani, V.A.S., Franzo, V.S., Rabelo, R.E., Rabbers, A.S., Assis, B.M., D&#039;Ávila, M.A., Antoni, S.M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(4); 1039-1044","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000401039&lang=pt" 
"S0716-10182015000500021-chl","Timerosal en las vacunas: la ley y la evidencia","Dabanch, Jeannette, Potin, Marcela","Revista chilena de infectología; 32(4); 485-485","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500021&lang=pt" 
"S0716-10182015000500020-chl","Re-evaluación de seroprevalencia de virus hepatitis E","Covarrubías, Natalia, Hurtado, Carmen, Díaz, Alex, Mezzano, Gabriel, Brahm, Javier, Venegas, Mauricio","Revista chilena de infectología; 32(4); 482-484","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500020&lang=pt" 
"S0716-10182015000500013-chl","Aspiración estereotáctica de una larva de Spirometra spp.","Caballero, Joel, Morales, losmill, García, Diana, Alarcón, Idelmys, Torres, Anay, Sáez, Gladys","Revista chilena de infectología; 32(4); 453-456","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500013&lang=pt" 
"S0716-10182015000500016-chl","Meningitis por Listeria monocytogenes en niñas inmunocompetentes: queso no pasteurizado como probable causa de infección","Valdivia-Tapia, María del C, Pinelo-Chumbe, Elizabeth, Carreazo, Nilton Y","Revista chilena de infectología; 32(4); 464-466","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500016&lang=pt" 
"S0716-10182015000500017-chl","Loxoscelismo cutáneo predominantemente edematoso: a propósito de un caso","de la Barra, Paula, Vial, Verónica, Labraña, Yenis, Álvarez, Ana María, Seguel, Helena","Revista chilena de infectología; 32(4); 467-471","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500017&lang=pt" 
"S0716-10182015000500018-chl","Infección pulmonar no invasora por Scedosporium apiospermum","Cruz, Rodrigo, Barros, Manuel, Reyes, Mirtha","Revista chilena de infectología; 32(4); 472-475","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500018&lang=pt" 
"S0716-10182015000500002-chl","Resistencia primaria a fármacos anti-tuberculosos en Chile 2011-2012","Arias, Fabiola, Scappaticcio, Angélica, Herrera, Tania","Revista chilena de infectología; 32(4); 382-386","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500002&lang=pt" 
"S0716-10182015000500005-chl","Utilización de espectrometría de masas para la identificación precoz de hemocultivos positivos: Validación de un algoritmo local","Hervé, Beatrice, Corvalán, Valerie, Hormazábal, Sara, Salas, Alberto, Cabezas, Catalina, Badilla, Nora, Munizaga, Rodrigo, Quintana, Fabiola, de la Fuente, Sebastián","Revista chilena de infectología; 32(4); 399-402","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500005&lang=pt" 
"S0716-10182015000500004-chl","Factores de riesgo de colonización por Enterococcus spp resistente a vancomicina en pacientes pediátricos hospitalizados con patología oncológica","Loyola, Paula, Tordecilla, Juan, Benadof, Dona, Yohannessen, Karla, Acuña, Mirta","Revista chilena de infectología; 32(4); 393-398","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500004&lang=pt" 
"S0716-10182015000500009-chl","Bacteriemias por Streptococcus gallolyticus (ex S. bovis) y su relación con patología colónica o hepatobiliar y endocarditis","Amado, Cristina, Hidalgo, M. José, Sedano, Cecilia, Hebel, Allan, Porte, Lorena, Braun, Stephanie, Dabanch, Jeannette, Fica, Alberto","Revista chilena de infectología; 32(4); 430-434","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500009&lang=pt" 
"S0104-42302015000400308-scl","Trilateral retinoblastoma with unilateral eye involvement","Andrade, Gabriel Costa de, Pinto, Neviçolino Pereira de Carvalho, Motono, Márcia, Chojniak, Martha Motono, Chojniak, Rubens, Bezerra, Stephania Martins","Revista da Associação Médica Brasileira; 61(4); 308-310","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400308&lang=pt" 
"S0104-42302015000400324-scl","Adjuvant radiotherapy versus observation alone, after radical prostatectomy in high risk prostate cancer","Petruzziello, Andrea, Kato, Massakazu, Nienkotter, Lais Cristine, Souza, Luis Felipe Matiusso de, Dias, Luiz Antônio Negrão, Luz, Murilo","Revista da Associação Médica Brasileira; 61(4); 324-328","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400324&lang=pt" 
"S0104-42302015000400313-scl","The importance of breast elastography added to the BI-RADS® (5th edition) lexicon classification","Fleury, Eduardo de Faria Castro","Revista da Associação Médica Brasileira; 61(4); 313-316","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400313&lang=pt" 
"S0104-42302015000400291-scl","Vitamin D: enough already?","Lichtenstein, Arnaldo","Revista da Associação Médica Brasileira; 61(4); 291-292","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400291&lang=pt" 
"S0104-42302015000400296-scl","Cesarean on request","Toledo, Sergio F. de, Simões, Ricardo, Bernardo, Luca S., Bernardo, Wanderley M., Salomão, Antônio J. Salomão, Baracat, Edmund C.","Revista da Associação Médica Brasileira; 61(4); 296-307","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400296&lang=pt" 
"S0716-10182015000500003-chl","Sepsis neonatal temprana, incidencia y factores de riesgo asociados en un hospital público del occidente de México","Pérez, René Oswaldo, Lona, Juan Carlos, Quiles, Moisés, Verdugo, Miguel Ángel, Ascencio, Elba Patricia, Benítez, Edith Adriana","Revista chilena de infectología; 32(4); 447-452","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500003&lang=pt" 
"S0716-10182015000500012-chl","Historia de la enseñanza de la microbiología en Chile: centros formadores","Osorio, Carlos","Revista chilena de infectología; 32(4); 447-452","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500012&lang=pt" 
"S0716-10182015000500010-chl","Factores pronósticos en adultos hospitalizados por neumonía causada por Legionella pneumophila","Regueiro-Mira, María Virtudes, Pita-Fernández, Salvador, Pértega-Díaz, Sonia, López-Calviño, Beatriz, Seoane-Pillado, Teresa, Fernández-Albalat-Ruiz, María","Revista chilena de infectología; 32(4); 435-444","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500010&lang=pt" 
"S0716-10182015000500015-chl","Tratamiento exitoso de una mucormicosis rinocerebral persistente en un paciente pediátrico durante el debut de una leucemia aguda","Cofré, Fernanda, Villarroel, Milena, Castellón, Loreto, Santolaya, María E","Revista chilena de infectología; 32(4); 458-463","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500015&lang=pt" 
"S0716-10182015000500019-chl","Encefalomielitis aguda diseminada grave: Comunicación de un caso asociado a infección por virus parainfluenza 3","Olivares, Felipe, Salinas, Marcia, Soto, Andrés, Dabanch, Jeannette, Fica, Alberto","Revista chilena de infectología; 32(4); 476-481","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500019&lang=pt" 
"S0716-10182015000500007-chl","Efectos en la adherencia al tratamiento y en el ajuste psicológico luego de la revelación del diagnóstico de VIH/SIDA con el modelo clínico &quot;DIRE&quot; en niños y jóvenes colombianos menores de 17 años","Trejos, Ana María, Reyes, Lizeth, Bahamon, Marly Johana, Alarcón, Yolima, Gaviria, Gladys","Revista chilena de infectología; 32(4); 408-415","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500007&lang=pt" 
"S0716-10182015000500006-chl","Formas parasitarias de importancia zoonótica, encontradas en heces de perros recolectadas desde plazas y parques públicos de la ciudad de Los Ángeles, Región del Bío Bío, Chile","Luzio, Álvaro, Belmar, Pablo, Troncoso, Ignacio, Luzio, Patricia, Jara, Alexis, Fernández, Ítalo","Revista chilena de infectología; 32(4); 403-407","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500006&lang=pt" 
"S0716-10182015000500008-chl","Sarampión: la enfermedad, epidemiología, historia y los programas de vacunación en Chile","Delpiano, Luis, Astroza, Leonor, Toro, Jorge","Revista chilena de infectología; 32(4); 417-429","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500008&lang=pt" 
"S0104-42302015000400375-scl","Use of statins and the incidence of type 2 diabetes mellitus","Bernardi, André, Rocha, Viviane Zorzanelli, Faria-Neto, José Rocha","Revista da Associação Médica Brasileira; 61(4); 375-380","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400375&lang=pt" 
"S0104-42302015000400341-scl","Survey of infection in orthopedic postoperative and their causative agents: a prospective study","Vieira, Gabriel de Deus, Mendonça, Hallan Rodrigues, Alves, Thaianne da Cunha, Araújo, Danilo Fernandes de Oliveira, Silveira Filho, Mauro Lopes da, Freitas, André Pastuczenko dos Santos Rodrigues de, Bressan, Flávia, Radaeli, Renato de Figueiredo, Sousa, Camila Maciel de","Revista da Associação Médica Brasileira; 61(4); 341-346","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400341&lang=pt" 
"S0104-42302015000400317-scl","Electronic medical record in cardiology: a 10-year Italian experience","Carpeggiani, Clara, Macerata, Alberto, Morales, Maria Aurora","Revista da Associação Médica Brasileira; 61(4); 317-323","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400317&lang=pt" 
"S0104-42302015000400329-scl","Abnormal phenotypic distribution of regulatory and effector T cells in octogenarian and nonagenarian women","Cruvinel, Wilson de Melo, Mesquita Júnior, Danilo, Araújo, Júlio Antônio Pereira, Samazi, Karina Carvalho, Kállas, Esper Georges, Cendoroglo, Maysa Seabra, Andrade, Luis Eduardo Coelho","Revista da Associação Médica Brasileira; 61(4); 329-335","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400329&lang=pt" 
"S0104-42302015000400362-scl","Comparison of two analgesia protocols for the treatment of pediatric orthopedic emergencies","Barcelos, Andrea, Garcia, Pedro Celiny Ramos, Portela, Janete L., Piva, Jefferson P., Garcia, João Pedro Tedesco, Santana, João Carlos B.","Revista da Associação Médica Brasileira; 61(4); 362-367","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400362&lang=pt" 
"S0104-42302015000400368-scl","A preliminary analysis of the reduction of chemotherapy waste in the treatment of cancer with centralization of drug preparation","Hyeda, Adriano, Costa, Elide Sbardellotto Mariano da","Revista da Associação Médica Brasileira; 61(4); 368-374","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400368&lang=pt" 
"S0104-42302015000400336-scl","Clinical variables associated with depression in patients with type 2 diabetes","Ferreira, Mari Cassol, Piaia, Camila, Cadore, Ana Carolina, Antoniolli, Marinez Amabile, Gamborgi, Geni Portela, Oliveira, Patrícia Pereira de","Revista da Associação Médica Brasileira; 61(4); 336-340","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400336&lang=pt" 
"S0716-10182015000500001-chl","Controversia en torno al uso de timerosal en vacunas: de la evidencia a la toma de decisiones","Cerda, Jaime","Revista chilena de infectología; 32(4); 379-381","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500001&lang=pt" 
"S0104-42302015000400311-scl","Strongyloides stercoralis hyperinfection: an unusual cause of gastrointestinal bleeding","Rios, Juliana Trazzi, Franco, Matheus Cavalcante, Martins, Bruno da Costa, Baba, Elisa Ryoka, Safatle-Ribeiro, Adriana Vaz, Sakai, Paulo, Retes, Felipe Alves, Maluf-Filho, Fauze","Revista da Associação Médica Brasileira; 61(4); 311-312","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400311&lang=pt" 
"S0716-10182015000500022-chl","Controlador de élite curado del virus de hepatitis C tras 14 semanas de triple terapia basada en telaprevir","Pérez, Diego, Suárez, Marta, Suárez, Sandra, Morano, Luis E","Revista chilena de infectología; 32(4); 486-486","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500022&lang=pt" 
"S0716-10182015000500014-chl","Esparganosis","Muñoz, Patricia","Revista chilena de infectología; 32(4); 457-457","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500014&lang=pt" 
"S0716-10182015000500011-chl","Pseudomonas (Flavimonas) oryzihabitans","Silva, Francisco","Revista chilena de infectología; 32(4); 445-446","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500011&lang=pt" 
"S0104-42302015000400295-scl","Update on cesarean on request","Toledo, Sergio F. de, Simões, Ricardo, Soares, Romulo P., Bernardo, Luca S., Bernardo, Wanderley M., Salomão, Antônio J., Baracat, Edmund C.","Revista da Associação Médica Brasileira; 61(4); 295-295","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400295&lang=pt" 
"S0104-42302015000400381-scl","A review on alcohol: from the central action mechanism to chemical dependency","Costardi, João Victor Vezali, Nampo, Rafael Augusto Teruaki, Silva, Gabriella Lourenço, Ribeiro, Maria Aparecida Ferreira, Stella, Heryck José, Stella, Mercia Breda, Malheiros, Sônia Valéria Pinheiro","Revista da Associação Médica Brasileira; 61(4); 381-387","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400381&lang=pt" 
"S0104-42302015000400347-scl","Association of obesity with chronic disease and musculoskeletal factors","Minghelli, Beatriz, Oliveira, Raul, Nunes, Carla","Revista da Associação Médica Brasileira; 61(4); 347-354","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400347&lang=pt" 
"S0104-14282015000400414-scl","Resinas poliméricas reticuladas com ação biocida: atual estado da arte","Costa, Luciana Cunha, Mandu, Maria Aparecida Larrubiua Granado Moreira Rodrigues, Santa Maria, Luiz Claudio de, Marques, Mônica Regina da Costa","Polímeros; 25(4); 414-423","Polímeros","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400414&lang=pt" 
"S0104-42302015000400355-scl","Practices for rational use of blood components in a universitary hospital","Leão, Sydney Correia, Gomes, Mariana Araújo Bezerra, Aragão, Mila Cintra de Azevedo, Lobo, Iza Maria Fraga","Revista da Associação Médica Brasileira; 61(4); 355-361","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000400355&lang=pt" 
"S0104-11692015000400753-scl","An integrative literature review on nursing interventions aimed at increasing self-care among heart failure patients","Boisvert, Sophie, Proulx-Belhumeur, Alexandra, Gonçalves, Natalia, Doré, Michel, Francoeur, Julie, Gallani, Maria Cecilia","Revista Latino-Americana de Enfermagem; 23(4); 753-768","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400753&lang=pt" 
"S0104-11692015000400769-scl","Burden and quality of life of mothers of children and adolescents with chronic illnesses: an integrative review","Macedo, Eliza Cristina, Silva, Leila Rangel da, Paiva, Mirian Santos, Ramos, Maria Natália Pereira","Revista Latino-Americana de Enfermagem; 23(4); 769-777","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400769&lang=pt" 
"S0104-11692015000400660-scl","Validation of the Comfort scale for relatives of people in critical states of health","Freitas, Kátia Santana, Menezes, Igor Gomes, Mussi, Fernanda Carneiro","Revista Latino-Americana de Enfermagem; 23(4); 660-668","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400660&lang=pt" 
"S0104-11692015000400611-scl","Hospitalizations for cardiovascular diseases and the coverage by the family health strategy","Lentsck, Maicon Henrique, Mathias, Thais Aidar de Freitas","Revista Latino-Americana de Enfermagem; 23(4); 611-619","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400611&lang=pt" 
"S0104-11692015000400603-scl","Foot reflexology in feet impairment of people with type 2 diabetes mellitus: randomized trial","Silva, Natália Chantal Magalhães da, Chaves, Érika de Cássia Lopes, Carvalho, Emilia Campos de, Carvalho, Leonardo César, Iunes, Denise Hollanda","Revista Latino-Americana de Enfermagem; 23(4); 603-610","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400603&lang=pt" 
"S0104-11692015000400578-scl","Self-care in heart failure patients","Conceição, Ana Paula da, Santos, Mariana Alvina dos, Santos, Bernardo dos, Cruz, Diná de Almeida Lopes Monteiro da","Revista Latino-Americana de Enfermagem; 23(4); 578-586","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400578&lang=pt" 
"S0104-11692015000400635-scl","Validation of the content of the prevention protocol for early sepsis caused by Streptococcus agalactiaein newborns","Silva, Fabiana Alves da, Vidal, Cláudia Fernanda de Lacerda, Araújo, Ednaldo Cavalcante de","Revista Latino-Americana de Enfermagem; 23(4); 635-641","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400635&lang=pt" 
"S0104-11692015000400620-scl","Meaning of leprosy for people who have experienced treatment during the sulfonic and multidrug therapy periods","Santos, Karen da Silva, Fortuna, Cinira Magali, Santana, Fabiana Ribeiro, Gonçalves, Marlene Fagundes Carvalho, Marciano, Franciele Maia, Matumoto, Silvia","Revista Latino-Americana de Enfermagem; 23(4); 620-627","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400620&lang=pt" 
"S0104-11692015000400628-scl","Risk behaviors for sexually transmitted diseases among crack users","Guimarães, Rafael Alves, Silva, Leandro Nascimento da, França, Divânia Dias da Silva, Del-Rios, Nativa Helena Alves, Carneiro, Megmar Aparecida dos Santos, Teles, Sheila Araujo","Revista Latino-Americana de Enfermagem; 23(4); 628-634","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400628&lang=pt" 
"S0104-11692015000400651-scl","Cultural adaptation to Brazilian Portuguese of the Face, Legs, Activity, Cry, Consolability revised (FLACCr) scale of pain assessment","Bussotti, Edna Aparecida, Guinsburg, Ruth, Pedreira, Mavilde da Luz Gonçalves","Revista Latino-Americana de Enfermagem; 23(4); 651-659","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400651&lang=pt" 
"S0104-11692015000400642-scl","Instrument to assess the nursing care product: development and content validation","Cucolo, Danielle Fabiana, Perroca, Márcia Galan","Revista Latino-Americana de Enfermagem; 23(4); 642-650","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400642&lang=pt" 
"S0104-11692015000400669-scl","Cross-cultural adaptation and validation of the Protective Nursing Advocacy Scale for Brazilian nurses","Tomaschewski-Barlem, Jamila Geri, Lunardi, Valéria Lerch, Barlem, Edison Luiz Devos, Silveira, Rosemary Silva da, Dalmolin, Graziele de Lima, Ramos, Aline Marcelino","Revista Latino-Americana de Enfermagem; 23(4); 669-676","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400669&lang=pt" 
"S0104-11692015000400733-scl","Association between depression and work stress in nursing professionals with technical education level","Gherardi-Donato, Edilaine Cristina da Silva, Cardoso, Lucilene, Teixeira, Carla Araújo Bastos, Pereira, Sandra de Souza, Reisdorfer, Emilene","Revista Latino-Americana de Enfermagem; 23(4); 733-740","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400733&lang=pt" 
"S0104-11692015000400693-scl","Readmissions due to traffic accidents at a general hospital","Paiva, Luciana, Monteiro, Damiana Aparecida Trindade, Pompeo, Daniele Alcalá, Ciol, Márcia Aparecida, Dantas, Rosana Aparecida Spadotti, Rossi, Lídia Aparecida","Revista Latino-Americana de Enfermagem; 23(4); 693-699","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400693&lang=pt" 
"S0104-11692015000400685-scl","The pain of existing and religion from the perspective of Catholics","Saltareli, Simone, Raminelli-da-Silva, Talita de Cássia, Castanho, Ana Carolina Ferreira, Falconi-Gomez, Rodrigo Ramon, Colhado, Orlando Carlos Gomes, Faleiros-Sousa, Fátima Aparecida Emm","Revista Latino-Americana de Enfermagem; 23(4); 685-692","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400685&lang=pt" 
"S0104-11692015000400741-scl","Efficacy and effectiveness of alcohol in the disinfection of semi-critical materials: a systematic review","Ribeiro, Maíra Marques, Neumann, Verena Ashley, Padoveze, Maria Clara, Graziano, Kazuko Uchikawa","Revista Latino-Americana de Enfermagem; 23(4); 741-752","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400741&lang=pt" 
"S0104-11692015000400725-scl","An experimental study of an educational intervention to promote maternal self-efficacy in breastfeeding","Dodt, Regina Cláudia Melo, Joventino, Emanuella Silva, Aquino, Priscilla Souza, Almeida, Paulo César, Ximenes, Lorena Barbosa","Revista Latino-Americana de Enfermagem; 23(4); 725-732","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400725&lang=pt" 
"S0104-11692015000400700-scl","Evaluation of the quality of the teaching-learning process in undergraduate courses in Nursing","González-Chordá, Víctor Manuel, Maciá-Soler, María Loreto","Revista Latino-Americana de Enfermagem; 23(4); 700-707","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400700&lang=pt" 
"S0104-11692015000400708-scl","Hand hygiene technique quality evaluation in nursing and medicine students of two academic courses","Škodová, Manuela, Gimeno-Benítez, Alfredo, Martínez-Redondo, Elena, Morán-Cortés, Juan Francisco, Jiménez-Romano, Ramona, Gimeno-Ortiz, Alfredo","Revista Latino-Americana de Enfermagem; 23(4); 708-717","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400708&lang=pt" 
"S0104-11692015000400677-scl","Risk factor for phlebitis: a questionnaire study of nurses&#039; perception","Milutinović, Dragana, Simin, Dragana, Zec, Davor","Revista Latino-Americana de Enfermagem; 23(4); 677-684","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400677&lang=pt" 
"S0104-11692015000400718-scl","Domestic violence against women: representations of health professionals","Gomes, Vera Lúcia de Oliveira, Silva, Camila Daiane, Oliveira, Denize Cristina de, Acosta, Daniele Ferreira, Amarijo, Cristiane Lopes","Revista Latino-Americana de Enfermagem; 23(4); 718-724","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400718&lang=pt" 
"S1677-55382015000400623-scl","New strategies to improve results of mesh surgeries for vaginal prolapses repair – an update","Dias, Fernando Goulart Fernandes, Dias, Paulo Henrique Goulart Fernandes, Prudente, Alessandro, Riccetto, Cassio","International braz j urol; 41(4); 623-634","International braz j urol","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382015000400623&lang=pt" 
"S0121-03192015000200003-col","Perfil hematológico de niños colombianos de zonas palúdicas y su relación con desnutrición crónica y parásitos intestinales patógenos en Urabá, Colombia, 2012","Carmona-Fonseca, Jaime, Correa B, Adriana","Medicas UIS; 28(2); 196-208","Medicas UIS","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-03192015000200003&lang=pt" 
"S0121-03192015000200005-col","Efecto de la adición de metformina a un pretratamiento con esteroides en pacientes adultos con leucemia linfoblástica aguda y en la viabilidad de la línea celular MOLT-4","Ramos Peñafiel, Christian Omar, Olarte Carrillo, Irma, Martínez Tovar, Adolfo, Castellanos Sinco, Humberto, Zamora Domínguez, Jorge, Santoyo Sánchez, Adrián, Rozen Fuller, Etta, Miranda Peralta, Enrique, Collazo Jaloma, Juan","Medicas UIS; 28(2); 221-228","Medicas UIS","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-03192015000200005&lang=pt" 
"S0121-03192015000200006-col","Estrategias de comunicación para vincular a la comunidad a programas de detección temprana de cáncer de mama","Toquica Espitia, Adriana Marcela, Cuéllar Rivera, Diana Isabel, Chávez Bejarano, Diana Rocío","Medicas UIS; 28(2); 229-237","Medicas UIS","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-03192015000200006&lang=pt" 
"S0121-03192015000200007-col","Síndrome de transfusión fetofetal","Martínez, Jhon Freddy","Medicas UIS; 28(2); 239-246","Medicas UIS","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-03192015000200007&lang=pt" 
"S0034-75902015000400375-scl","EDITORIAL","DINIZ, EDUARDO","Revista de Administração de Empresas; 55(4); 375-375","Revista de Administração de Empresas","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902015000400375&lang=pt" 
