"S0080-62341996000100010-scl","Avaliação da gravidade do traumatismo crânio-encefálico por índices anatômicos e fisiológicos","Imai, Maria de Fátima Paiva, Koizumi, Maria Sumie","Revista da Escola de Enfermagem da USP; 30(1); 116-137","Revista da Escola de Enfermagem da USP","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62341996000100010&lang=pt" 
"S0034-75151996000100010-cub","Intacglobin: Infusión intravenosa","","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100010&lang=pt" 
"S0034-75151996000100005-cub","Estudio de terreno del reactivo ß pre-ß lipoproteina para el pesquisaje de lipoproteínas","Díaz, Miriam, Lahera Moya, Odalys, Pedrol, Gilberto","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100005&lang=pt" 
"S0034-75151996000100009-cub","Protocolo de validación de métodos analíticos para la cuantificación de fármacos","Castillo Aguilar, Beatriz, González Hernández, Rolando","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100009&lang=pt" 
"S1028-47961996000100001-cub","Acerca de la propagación de Ocimum gratissimum L","Fuentes Fiallo, Víctor R, Rodríguez Medina, Narciso N, Rodríguez Ferradá, Carlos","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100001&lang=pt" 
"S1028-47961996000100002-cub","Actividad antidepresiva y anticonvulsivante del extracto fluido del Ocimun tenuiflorum L. (albahaca morada)","Pérez de Alejo, José L, Miranda, Roberto, Rodríguez, Gilda","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100002&lang=pt" 
"S1028-47961996000100003-cub","Estudio de la irritabilidad oftálmica del extracto fluido de Indigofera suffruticosa","Romay, Talía, Benítez, Marina, Sebazco, Caridad, Marrero, Orlando, Acevedo, Martha","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100003&lang=pt" 
"S1028-47961996000100004-cub","Ausencia de la acción analgésica de la Petiveria alliacea (anamu) en ratones","Furones Mourelle, Juan Antonio, Morón Rodríguez, Francisco, Pinedo Gutiérrez, Zulima","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100004&lang=pt" 
"S1028-47961996000100005-cub","Actividad espasmolítica del extracto fluido de Matricaria recutita (manzanilla) en órganos aislados","Morón Rodríguez, Francisco, Furones Mourelle, Juan, Pinedo Gutiérrez, Zulima","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100005&lang=pt" 
"S1028-47961996000100006-cub","Efecto antiulceroso de una solución viscosa oral a partir de un extracto de Bidens pilosa L. (romerillo) en ratas","Alvarez Avalos, Alicia, Robaina, Yamilet, Sánchez, Ester, Cuevas Guerrero, Marina","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100006&lang=pt" 
"S1028-47961996000100007-cub","Irritabilidad oftálmica de una solución compuesta por aceites esenciales de caña santa y orégano","Romay, Talía, Beníte, Marina, Sebazco, Caridad, Marrero, Orlando","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100007&lang=pt" 
"S1028-47961996000100008-cub","Plantago major L. (llanten) y epilepsia I. efecto de las decocciones de hojas y raíces sobre el foco penicilinico en ratas curarizadas","Buznego Rodríguez, María Teresa, Pérez-Saad, Héctor","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100008&lang=pt" 
"S1028-47961996000100009-cub","Cultivo de orégano francés (Plecthranthus amboinicus [Lour.] Spreng.) para la producción de fitofármacos","Acosta, Lérida, Menénde, Rosa, Fuente, Víctor, Pino, Jorge, Rodríguez, Carlos, Carballo, Caridad","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100009&lang=pt" 
"S1028-47961996000100010-cub","Acción estimulante del extracto fluido del Zingiber officinale Rosc. (jengibre)","Pérez de Alejo, José L, Miranda, Roberto, Rodríguez, Gilda","Revista Cubana de Plantas Medicinales; 1(1); -","Revista Cubana de Plantas Medicinales","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47961996000100010&lang=pt" 
"S0036-46651996000200012-scl","Human enterovirus infection in stray dogs. Some aspects of interest to public health","Waldman, Eliseu Alves, Moreira, Regina C., Saez, Sueli G., Souza, Denise F.C., Carmona, Rita de C.C., Takimoto, Sueko, Cortes, Valdson de A.","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 157-161","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200012&lang=pt" 
"S0036-46651996000200007-scl","A longitudinal study of enterobiasis in three day care centers of Havana City","Angel Núñez, Fidel, Hernández, Miriam, Finlay, Carlos M.","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 129-132","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200007&lang=pt" 
"S0036-46651996000200002-scl","Some hematimetric findings in human Giardia lambia infection","Santos, Jairo Ivo dos, Vituri, Cidônia de Lourdes","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 91-95","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200002&lang=pt" 
"S0036-46651996000200006-scl","The role of Public Health Laboratory in the problem os salmonellosis in São Paulo, Brazil","Taunay, A.E., Fernandes, S.A., Tavechio, A.T., Neves, B.C., Dias, A.M.G., Irino, K.","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 119-127","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200006&lang=pt" 
"S0036-46651996000200008-scl","Domestic vectors of Chagas&#039; disease in three rural communities of Nicaragua","Palma-Guzmán, Rosário, Rivera B, Teresa, Morales G, William","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 133-140","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200008&lang=pt" 
"S0036-46651996000200009-scl","Schistosoma mansoni: the sex ratios of worms in animals infected with cercariae from three species of Biomphalaria","Souza, Cecília Pereira de, Jannotti-Passos, Liana K., Ferreira, Sueleny Silva, Vieira, Iaci Belo de Figueiredo","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 141-145","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200009&lang=pt" 
"S0036-46651996000200010-scl","Scorpion sting epidemiology in Montes municipality of the State of Sucre, Venezuela: geographic distribution","Sousa, Leonardo de, Bonoli, Stefano, Quiroga, Mercedes, Parrilla, Pedro","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 147-152","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200010&lang=pt" 
"S0036-46651996000200011-scl","Application of anti-leptospira ELISA-lgM for the etiologic elucidation of meningitis","Silva, Marcos V, Camargo, Eide D, Batista, Luíza, Vaz, Adelaide J, Ferreira, Antonio W, Barbosa, Paulo R.S.","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 153-156","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200011&lang=pt" 
"S0036-46651996000200001-scl","Histopathology and immunocytochemical study of type 3 and type 4 complement receptors in the liver and spleen of dogs naturally and experimentally infected with Leishmania (Leishmania) chagasi","Tafuri, Wagner Luiz, Tafuri, Washington Luiz, Barbosa, Alfredo José Afonso, Michalick, Marilene Susan Marques, Genaro, Odair, França-Silva, João Carlos, Mayrink, Wilson, Nascimento, Evaldo","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 81-89","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200001&lang=pt" 
"S0036-46651996000200003-scl","Intestinal microsporidiosis in HIV-positive patients with chronic unexplained diarrhea in Rio de Janeiro, Brazil: diagnosis, clinical presentation and follow-up","Brasil, Patrícia, Sodré, Fernando C., Cuzzi-Maya, Tullia, Gutierrez, Maria Clara G.F.S., Mattos, Haroldo, Moura, Hércules","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 97-102","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200003&lang=pt" 
"S0036-46651996000200004-scl","Immunological status of ENL (Erythema Nodosum Leprosum) patients: its relationship to bacterial load and levels of circulanting IL-2R","Vieira, Leila M.M., Sampaio, Elisabeth P., Nery, José A.C., Duppre, Nadia C., Albuquerque, Edson CA, Scheinberg, Morton A, Sarno, Euzenir N","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 103-111","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200004&lang=pt" 
"S0036-46651996000200005-scl","Plasma levels of tumor necrosis factor-alpha in patients with visceral leishmaniasis (Kala-Azar). Association with activity of the disease and clinical remisson following antimonial therapy","Salomão, Reinaldo, Castelo Filho, Adauto, Medeiros, Iara Marques de, Sicolo, Miguel Angel","Revista do Instituto de Medicina Tropical de São Paulo; 38(2); 113-118","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651996000200005&lang=pt" 
"S0004-282X1996000100003-scl","Biópsia do nervo sural na distrofia muscular miotônica","Freitas, Gabriel R. de, Freitas, Marcos R. G. de, Nascimento, Osvaldo J. M.","Arquivos de Neuro-Psiquiatria; 54(1); 19-24","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100003&lang=pt" 
"S0004-282X1996000100013-scl","Meningite bacteriana neonatal: estudo prospectivo da evolução a longo prazo de 55 crianças","Krebs, Vera Lúcia Jornada, Diniz, Edna Maria de Albuquerque, Vaz, Flávio Adolfo Costa, Dias, Maria Joaquina Marques, Takiguti, Clóvis, Ramos, José Lauro Araújo","Arquivos de Neuro-Psiquiatria; 54(1); 75-81","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100013&lang=pt" 
"S0004-282X1996000100002-scl","Electroneuromyography and neuromuscular findings in 16 primary hypothyroidism patients","Cruz, Márcia W., Tendrich, Mauro, Vaisman, Mário, Novis, Sérgio A. P.","Arquivos de Neuro-Psiquiatria; 54(1); 12-18","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100002&lang=pt" 
"S0004-282X1996000100008-scl","Allergic skin rash with lamotrigine and concomitant valproate therapy: evidence for an increased risk","Li, L. M., Russo, M., O&#039;Donoghue, M. F., Duncan, J. S., Sander, J. W. A. S.","Arquivos de Neuro-Psiquiatria; 54(1); 47-49","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100008&lang=pt" 
"S0004-282X1996000100004-scl","Distúrbio do déficit de atenção: tratamento com metilfenidato","Guerreiro, Marilisa M., Montenegro, Maria Augusta, Piva, Renata T., Moura-Ribeiro, Maria Valeriana L.","Arquivos de Neuro-Psiquiatria; 54(1); 25-29","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100004&lang=pt" 
"S0004-282X1996000100005-scl","Distonias: aspectos clínicos e terapêuticos em 64 pacientes","Mattos, James Pitágoras de, Rosso, Ana Lúcia Zuma de, Novis, Sérgio","Arquivos de Neuro-Psiquiatria; 54(1); 30-36","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100005&lang=pt" 
"S0004-282X1996000100006-scl","Rural or urban living and Parkinson&#039;s disease","Ferraz, Henrique B., Andrade, Luiz A. F., Tumas, Vítor, Calia, Leandro C., Borges, Vanderci","Arquivos de Neuro-Psiquiatria; 54(1); 37-41","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100006&lang=pt" 
"S0004-282X1996000100007-scl","High doses of carbamazepine for refractory partial epilepsy","Pereira, Cristiana Borges, Heise, Carlos Otto, Cukiert, Arthur","Arquivos de Neuro-Psiquiatria; 54(1); 42-46","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100007&lang=pt" 
"S0004-282X1996000100026-scl","Surgical treatment of premature sagittal synostosis","Pianetti, Geraldo","Arquivos de Neuro-Psiquiatria; 54(1); 156-156","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100026&lang=pt" 
"S0004-282X1996000100009-scl","Eletrencefalograma digital com mapeamento em demência de Alzheimer e doença de Parkinson: estudo prospectivo controlado","Sandmann, Marcos C., Piana, Edson R., Sousa, Daniel S., Bittencourt, Paulo R. M. de","Arquivos de Neuro-Psiquiatria; 54(1); 50-56","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100009&lang=pt" 
"S0004-282X1996000100011-scl","Cirurgia estereotáctica para processos expansivos intracranianos: diagnóstico e tratamento","Meneses, Murilo S., Russ, Heloísa H. A., Coelho Neto, Maurício, Ramina, Ricardo, Hunhevicz, Sonival, Pedrozo, Ari, Tsubouchi, Mário H.","Arquivos de Neuro-Psiquiatria; 54(1); 64-70","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100011&lang=pt" 
"S0004-282X1996000100012-scl","Hematoma subdural crônico: análise de 35 casos","Araújo, João Flavio M., Iafigliola, Maria Gracia, Balbo, Roque José","Arquivos de Neuro-Psiquiatria; 54(1); 71-74","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100012&lang=pt" 
"S0004-282X1996000100034-scl","","","Arquivos de Neuro-Psiquiatria; 54(1); 167-172","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100034&lang=pt" 
"S0004-282X1996000100015-scl","Cerebral cysticercosis in Campina Grande, Paraíba - northern Brazil: computerized tomography diagnosis importance","Gonçalves-Coêlho, Thiago D., Coelho, Matheus Diniz G.","Arquivos de Neuro-Psiquiatria; 54(1); 94-97","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100015&lang=pt" 
"S0004-282X1996000100030-scl","","França, Antonio Spina","Arquivos de Neuro-Psiquiatria; 54(1); 159-161","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100030&lang=pt" 
"S0004-282X1996000100016-scl","Local IgG synthesis in three pediatric patients with cuban epidemic neuropathy","Dorta-Contreras, Alberto, Torres, Eric Martínez, Dotres-Martínez, Carlos","Arquivos de Neuro-Psiquiatria; 54(1); 98-101","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100016&lang=pt" 
"S0004-282X1996000100017-scl","Trypanosoma cruzi meningoencephalitis in AIDS mimicking cerebral metastases: case report","Pimentel, Pedro Camilo A., Handfas, Benjamin W., Carmignani, Márcia","Arquivos de Neuro-Psiquiatria; 54(1); 102-106","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100017&lang=pt" 
"S0004-282X1996000100019-scl","Miopatia nemalínica com corpos intracitoplasmáticos esferúides: relato de caso","Azevedo, Helga C. A., Carvalho, Mary S., Nagahashi -Marie, Sueli K., Delgado, Martha N. S., Siqueira-Carvalho, Alzira A., Salum, Paulo N. B., Levy, José A.","Arquivos de Neuro-Psiquiatria; 54(1); 114-119","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100019&lang=pt" 
"S0004-282X1996000100020-scl","Síndrome de Pyle: relato de caso","Oppenheimer, Cláudio, Oliveira, Berenice C. G., Sogabe, Marcelo, Sanvito, Wilson L.","Arquivos de Neuro-Psiquiatria; 54(1); 120-123","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100020&lang=pt" 
"S0004-282X1996000100021-scl","Metástase de adenocarcinoma mamário para a hipófise: relato de caso","Zambelli, Heller J. L, Brito, José Nazareno P.O., Assumpção, Ligia V. M., Araújo, Alessandra A. Q., Zambelli, Eliane R. L., Parmigiani, Alessandro M.","Arquivos de Neuro-Psiquiatria; 54(1); 124-126","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100021&lang=pt" 
"S0004-282X1996000100022-scl","Obsessions of infanticide and imminent psychosis","Chapman, A. H., Chapman-Santana, Miriam, Teixeira, Simone A.","Arquivos de Neuro-Psiquiatria; 54(1); 127-130","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100022&lang=pt" 
"S0004-282X1996000100023-scl","Paraparesia espástica tropical uma redefinição necessária","Castro-Costa, Carlos Maurício de","Arquivos de Neuro-Psiquiatria; 54(1); 131-135","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100023&lang=pt" 
"S0004-282X1996000100024-scl","Distonias: conceitos, classificação e fisiopatologia","Limongi, João Carlos Papaterra","Arquivos de Neuro-Psiquiatria; 54(1); 136-146","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100024&lang=pt" 
"S0004-282X1996000100025-scl","Distonias: aspectos terapêuticos","Limongi, João Carlos Papaterra","Arquivos de Neuro-Psiquiatria; 54(1); 147-155","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100025&lang=pt" 
"S0004-282X1996000100033-scl","","Maranhão-Filho, PA, Moraes, L Filho, Camara, LSA, Salema, CC","Arquivos de Neuro-Psiquiatria; 54(1); 165-166","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100033&lang=pt" 
"S0034-75901996000100001-scl","Editorial: a RAE e a EAESP","Venosa, Roberto","Revista de Administração de Empresas; 36(1); -","Revista de Administração de Empresas","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100001&lang=pt" 
"S0034-75901996000100002-scl","Inovando na pós-graduação: a experiência do MBA da EAESP/FGV","Oliveira, Fátima Bayma de","Revista de Administração de Empresas; 36(1); 6-12","Revista de Administração de Empresas","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100002&lang=pt" 
"S0034-75901996000100003-scl","Quais carreiras e para qual sociedade? (II)","Chanlat, Jean-François","Revista de Administração de Empresas; 36(1); 13-20","Revista de Administração de Empresas","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100003&lang=pt" 
"S0034-75901996000100004-scl","Os padrões éticos da propaganda na América Latina","Arruda, Maria Cecília Coutinho de, Uono, Adriana, Allegrini, Juliano","Revista de Administração de Empresas; 36(1); 21-27","Revista de Administração de Empresas","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100004&lang=pt" 
"S0034-75901996000100005-scl","Options listing and the volatility of the underling asset: a study on the derivative market function","Chesney, Marc, Eid Júnior, William","Revista de Administração de Empresas; 36(1); 28-32","Revista de Administração de Empresas","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100005&lang=pt" 
"S0034-75901996000100006-scl","Modelos quantitativos de apoio às decisões - I","Ehrlich, Pierre Jacques","Revista de Administração de Empresas; 36(1); 33-41","Revista de Administração de Empresas","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100006&lang=pt" 
"S0034-75901996000100007-scl","A mente nova do rei: computadores, mentes e as leis da física","Estolano, Alexandre Luiz Degani","Revista de Administração de Empresas; 36(1); 42-43","Revista de Administração de Empresas","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100007&lang=pt" 
"S0034-75901996000100008-scl","","Maluly, Carlos Vinícius","Revista de Administração de Empresas; 36(1); 43-44","Revista de Administração de Empresas","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901996000100008&lang=pt" 
"S0004-282X1996000100010-scl","Risk factors for unpleasant paresthesiae induced by paresthesiae - producing deep brain stimulation","Vilela Filho, Osvaldo","Arquivos de Neuro-Psiquiatria; 54(1); 57-63","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100010&lang=pt" 
"S0004-282X1996000100032-scl","","Lowenthal, Armand","Arquivos de Neuro-Psiquiatria; 54(1); 164-164","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100032&lang=pt" 
"S0004-282X1996000100031-scl","","Araújo, Abelardo de Queiroz-Campos","Arquivos de Neuro-Psiquiatria; 54(1); 162-163","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100031&lang=pt" 
"S0004-282X1996000100029-scl","Prognostic factors in subarachnoid hemorrhage of idiopathic or aneurysmal origin","Pah, Felix Hendrik","Arquivos de Neuro-Psiquiatria; 54(1); 158-158","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100029&lang=pt" 
"S0004-282X1996000100028-scl","Cerebral toxoplasmosis and AIDS: diagnostic criteria","Rocha, Marcy Pereira Ribeiro da","Arquivos de Neuro-Psiquiatria; 54(1); 157-158","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100028&lang=pt" 
"S0004-282X1996000100027-scl","Late evaluation of ventriculoperitoneal shunts effectiveness with radionuclides in hydrocephalic children","Boullosa, José Luiz Romeo","Arquivos de Neuro-Psiquiatria; 54(1); 156-157","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100027&lang=pt" 
"S0004-282X1996000100014-scl","Severe forms of neurocysticercosis: treatment with albendazole","Agapejev, Svetlana, Silva, Maria Dorvalina da, Ueda, Anete K.","Arquivos de Neuro-Psiquiatria; 54(1); 82-93","Arquivos de Neuro-Psiquiatria","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100014&lang=pt" 
"S0004-282X1996000100001-scl","Ação neuro-muscular do veneno crotálico: dados preliminares","Silva, Maria Dorvalina, Resende, Luiz Antônio L., Ueda, Anete Kimuni, Barraviera, Benedito, Mendes, R.P., Montenegro, Mário Rubens G.","Arquivos de Neuro-Psiquiatria; 54(1); 1-11","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100001&lang=pt" 
"S0004-282X1996000100018-scl","Pourradiculoneurite e neurocisticercose: relato de caso","Agapejev, Svetlana, Silva, Maria Dorvalina da, Resende, Luiz Antonio de Lima","Arquivos de Neuro-Psiquiatria; 54(1); 107-113","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100018&lang=pt" 
"S0004-282X1996000100035-scl","","Werneck, Lineu Cesar","Arquivos de Neuro-Psiquiatria; 54(1); 173-173","Arquivos de Neuro-Psiquiatria","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1996000100035&lang=pt" 
