"S0080-62342016000300434-scl","Creation of complexity assessment tool for patients receiving home care","Bôas, Maria Leopoldina de Castro Villas, Shimizu, Helena Eri, Sanchez, Mauro Niskier","Revista da Escola de Enfermagem da USP; 50(3); 434-441","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300434&lang=pt" 
"S0717-95022016000200057-chl","A Comparison of Anatomical Measurements of the Infraorbital Foramen of Skulls of the Modern and Late Byzantine Periods and the Golden Ratio","Bakirci, S, Kafa, I. M, Coskun, I, Buyukuysal, M. C, Barut, C","International Journal of Morphology; 34(2); 788-795","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200057&lang=pt" 
"S0717-95022016000200051-chl","Neurovascular Structures at Risk During Anterolateral and Medial Arthroscopic Approaches of the Hip","Méndez-Aguirre, Omar, Morales-Avalos, Rodolfo, Compeán-Martínez, Gustavo A, Espinosa-Uribe, Abraham G, Vílchez-Cavazos, Félix, Theriot-Giron, María del Carmen, Quiroga-Garza, Alejandro, de la Garza-Castro, Oscar, Guzmán Avilán, Katia, Guzmán-López, Santos, Elizondo-Omaña, Rodrigo E","International Journal of Morphology; 34(2); 752-758","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200051&lang=pt" 
"S0102-67202016000200081-scl","TOTAL COST OF HOSPITALIZATION OF PATIENTS UNDERGOING ELECTIVE LAPAROSCOPIC CHOLECYSTECTOMY RELATED TO NUTRITIONAL STATUS","MENEZES, Francisco Julimar Correia de, MENEZES, Lara Gadelha Luna de, SILVA, Guilherme Pinheiro Ferreira da, MELO-FILHO, Antônio Aldo, MELO, Daniel Hardy, SILVA, Carlos Antonio Bruno da","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 81-85","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200081&lang=pt" 
"S1681-150X2016000200008-sza","Endoprosthetic treatment of primary bone sarcomas with pathological fractures","Thomas, , Hilton, L, Hosking, Keith","SA Orthopaedic Journal; 15(2); 43-48","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200008&lang=pt" 
"S0102-67202016000200071-scl","THE OBITUARY OF THE PYLORUS-PRESERVING PANCREATODUODENECTOMY","TORRES, Orlando Jorge Martins, VASQUES, Rodrigo Rodrigues, TORRES, Camila Cristina S.","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 71-72","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200071&lang=pt" 
"S0719-26812016000200007-chl","FOTOGRAFÍA Y COMERCIO FOTOGRÁFICO EN COPIAPÓ (1909-1952): EL ESTUDIO FOTOGRÁFICO DE JOSÉ ANTONIO OLIVARES VALDIVIA","Salgado Tello, Samuel","Diálogo andino; (50); 85-97","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200007&lang=pt" 
"S0717-95022016000200004-chl","Three Dimensional Morphometry of Proximal Femur to Design Best-Fit Femoral Stem for Indonesian Population","Dewo, Punto, Suyitno, , Dharmastiti, Rini, Salim, Urip A, Hidayat, Luthfi, Wibowo, Prahesta A, Lanodiyu, Zikrina A, Magetsari, Rahadyan","International Journal of Morphology; 34(2); 436-442","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200004&lang=pt" 
"S0717-95022016000200036-chl","Plastinación y Descripción Anatómica de Hígado, Bazo, Estómago y Riñones del Delfín Nariz de Botella (Tursiops truncatus)","Sánchez Fabila, Gabriela, Contreras Villanueva, María Dolores, Moreno Colín, Roberto","International Journal of Morphology; 34(2); 644-652","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200036&lang=pt" 
"S1681-150X2016000200003-sza","Ulnar impaction syndrome: A case series and imaging approach","Liebenberg, Cuan, Velleman, Mark D, Suleman, Farhana E","SA Orthopaedic Journal; 15(2); 22-27","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200003&lang=pt" 
"S0717-95022016000200019-chl","Histopatología del Hígado, Lipoperoxidación e Índices Somáticos de Fulica americana en losHumedales de Xochimilco(Urbano) y Tecocomulco (Rural) de la Cuenca de México","López-Islas, María Eugenia, Ibarra-Meza, Itzel, Ortiz-Ordóñez, Esperanza, Favari, Liliana, Sedeño-Díaz, J. Elías, López-López, Eugenia","International Journal of Morphology; 34(2); 522-532","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200019&lang=pt" 
"S0717-95022016000200033-chl","Morphometric Analysis of the Inferior Vena Cava Related to Lumbar Vertebra and the Aortic Bifurcation on Multidetector Computed Tomography (MDCT)","Keskinoz, Elif Nedret, Salbacak, Ahmet, Akin, Duygu, Kabakci, Anil Didem Aydin, Yilmaz, Mehmet Tugrul, Cicekcibasi, Aynur Emine, Ozbek, Orhan","International Journal of Morphology; 34(2); 620-627","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200033&lang=pt" 
"S0719-26812016000200008-chl","EL ORIGEN Y DESARROLLO DE LA NOCIÓN DEL &quot;REPORTERO GRÁFICO&quot; EN EL PERÚ Y LA VISUALIDAD DEL TERRITORIO A INICIOS DEL SIGLO XX","Garay Albújar, Andrés, Villacorta Chávez, Jorge","Diálogo andino; (50); 99-113","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200008&lang=pt" 
"S0104-77602016000200207-scl","EFEITOS DA XILANA NA PRODUÇÃO DE CELULOSE DE EUCALIPTO","Barbosa, Bianca Moreira, Colodette, Jorge Luiz, Muguet, Marcelo Coelho dos Santos, Gomes, Valéria Juste, Oliveira, Rubens Chaves de","CERNE; 22(2); 207-214","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200207&lang=pt" 
"S0717-95022016000200015-chl","Efecto del Láser Infrarrojo sobre Células Tiroideas","Cornejo, Ricardo, Jaramillo, Roberto, Garrido, Orlando, Vergara, Luis","International Journal of Morphology; 34(2); 498-502","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200015&lang=pt" 
"S1681-150X2016000200010-sza","Traumatic simultaneous bilateral femoral neck fracture in a child: A case report","Dakouré, Patrick Wendpouiré Hamed, Diallo, Malick, Puente, Antonio Martinez, Ouédraogo, Souleymane, Soulama, Massadiami","SA Orthopaedic Journal; 15(2); 57-61","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200010&lang=pt" 
"S0717-95022016000200054-chl","Immunolocalization of Morphogen Sonic Hedgehog in Salmon Fry (Salmo salar)","Rojas, Mariana, Saint-Pierre, Gustavo, Hartley, Ricardo, Vásquez, Bélgica, Conei, Daniel, del Sol, Mariano","International Journal of Morphology; 34(2); 770-774","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200054&lang=pt" 
"S1681-150X2016000200007-sza","Radiation exposure to orthopaedic registrars in the Pietermaritzburg Metropolitan Complex","Troisi, Katherine, Ferreira, Nando","SA Orthopaedic Journal; 15(2); 38-42","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200007&lang=pt" 
"S0717-95022016000200024-chl","Classification and Fascicular Analysis of Variant Branching Pattern of Femoral Nerve for Microsurgical Intervention: A Series of Thirteen Cadavers","Singh, Rajani, Tubbs, Shane, Singla, Mukesh","International Journal of Morphology; 34(2); 561-569","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200024&lang=pt" 
"S0717-95022016000200053-chl","Effects of Melatonin on Tibia Bone Defects in Rats","Koparal, M, Irtegün, S, Alan, H, Deveci, E, Gülsün, B, Pektanç, G","International Journal of Morphology; 34(2); 763-769","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200053&lang=pt" 
"S0717-95022016000200041-chl","Estudio Morfológico y Biométrico de los Vínculos de los Tendones de los Músculos Flexores Superficial y Profundo de los Dedos de la Mano Humana","Pereira, E, Garbelotti, S. A, Pereira, V. Rodrigues, Montibeller, R. Rotter, Wafae, N, Olave, E","International Journal of Morphology; 34(2); 679-683","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200041&lang=pt" 
"S0717-95022016000200003-chl","Modulación del Estado de Óxido-Reducción por Peróxido de Hidrógeno en la Etapa de Maduración Ovocitaria: Efecto sobre el Desarrollo Embrionario en Bovinos","Loren, Pía, Cheuquemán, Carolina, Risopatrón, Jennie, Felmer, Ricardo, Arias, María E, Sánchez, Raúl","International Journal of Morphology; 34(2); 431-435","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200003&lang=pt" 
"S0717-95022016000200030-chl","Effect of Sesame-Supplemented Diet on Prostate and Seminal Vesicle Histology of Adult Rat","Mahabadi, Javad Amini, Bafrani, Hassan Hassani, Nikzad, Hossein","International Journal of Morphology; 34(2); 604-609","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200030&lang=pt" 
"S0717-95022016000200016-chl","Morphological Study of the Iris Musculature in Diurnal and Nocturnal Raptors","Coli, Alessandra, Stornelli, Maria Rita, Barsotti, Giovanni, Ceccherelli, Renato, Giani, Eleonora, Lenzi, Carla, Giannessi, Elisabetta","International Journal of Morphology; 34(2); 503-509","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200016&lang=pt" 
"S0717-95022016000200058-chl","Tribulus terrestris Hydroalcoholic Extract Administration Effects on Reproductive Parameters and Serum Level of Glucose in Diabetic Male Rats","Ghanbari, Ali, Moradi, Mojtaba, Raoofi, Amir, Falahi, Mahsa, Seydi, Sepideh","International Journal of Morphology; 34(2); 796-803","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200058&lang=pt" 
"S1681-150X2016000200009-sza","Do Ponseti plasters delay gross motor milestones of South African children treated for idiopathic clubfeet?","Street, M, Ramguthy, Y, Firth, GB","SA Orthopaedic Journal; 15(2); 49-52","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200009&lang=pt" 
"S0719-26812016000200006-chl","MIRADAS DESDE LA OTREDAD: LA CONSTRUCCIÓN DE LA IMAGEN DE BOLIVIA EN LA OBRA FOTOGRÁFICA DE LUIGI DOMÉNICO GISMONDI","Querejazu Leyton, Pedro","Diálogo andino; (50); 75-84","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200006&lang=pt" 
"S0102-67202016000200128-scl","THIRTY KILOGRAMS GIANT RETROPERITONEAL TERATOMA: CASE REPORT","SKINOVSKY, James, TSUMANUMA, Fernanda Keiko, SIGWALT, Marcos Fabiano, PANEGALLI-FILHO, Flávio, KAWAKUBO, Adriana Mitie, ROLIM, Bruna Gimenes, GODOY, Luciana Andrade de","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 128-129","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200128&lang=pt" 
"S0717-95022016000200007-chl","Estudio Transversal Comparativo de la Relación Maxilo-Mandibular de McNamara Aplicadas a Sujetos Mexicanos","Mariel Cárdenas, Jairo, Guijarro Bañuelos, José Manuel, Sánchez Meraz, Wulfrano, Mariel Murga, Humberto, Mariel Cárdenas, Gylmar, Navarro Rincón-Gallardo, María Esther, Gutiérrez Cantú, Francisco Javier","International Journal of Morphology; 34(2); 454-459","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200007&lang=pt" 
"S0717-95022016000200039-chl","Ausencia Congénita de la Vena Porta Hepática Asociada a Malrotación Intestinal y a Vena Cava Inferior Izquierda: Reporte de Caso","Inzunza, Oscar, García, Cristian J, Zúñiga, Sergio, Inzunza, Martín, Schneeberger, Daniela, Salgado, Guillermo, Farfán, Emilio","International Journal of Morphology; 34(2); 665-670","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200039&lang=pt" 
"S0102-67202016000200112-scl","BIODEGRADABLE BILIARY STENTS: A NEW APPROACH FOR THE MANAGEMENT OF HEPATICOJEJUNOSTOMY STRICTURES FOLLOWING BILE DUCT INJURY. PROSPECTIVE STUDY","GIMÉNEZ, Mariano E., PALERMO, Mariano, HOUGHTON, Eduardo, ACQUAFRESCA, Pablo, FINGER, Caetano, VERDE, Juan M., CÚNEO, Jorge Cardoso","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 112-116","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200112&lang=pt" 
"S0104-77602016000200215-scl","ADSORPTION OF NANOWOLLASTONITE ON CELLULOSE SURFACE: EFFECTS ON PHYSICAL AND MECHANICAL PROPERTIES OF MEDIUM-DENSITY FIBERBOARD (MDF)","Taghiyari, Hamid Reza, Majidi, Roya, Jahangiri, Asghar","CERNE; 22(2); 215-222","CERNE","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200215&lang=pt" 
"S0102-67202016000200109-scl","ROBOTIC ASSISTED SINGLE SITE FOR BILATERAL INGUINAL HERNIA REPAIR","BOSI, Henrique Rasia, GUIMARÃES, José Ricardo, CAVAZZOLA, Leandro Totti","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 109-111","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200109&lang=pt" 
"S2011-75822016000200001-col","El cataclismo de la salud","Jaime, Martiniano","Revista Colombiana de Cirugía; 31(2); 78-80","Revista Colombiana de Cirugía","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822016000200001&lang=pt" 
"S0717-95022016000200037-chl","Criopreservación de Espermatozoides de Canino con Extracto de Hojas de Arándano (Vaccinium corymbosum L.)","Deppe, Mariana, Pezo, Felipe, Reyes-Díaz, Marjorie, Risopatrón, Jennie","International Journal of Morphology; 34(2); 653-659","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200037&lang=pt" 
"S0717-95022016000200046-chl","Tribulus terrestris Hydroalcoholic Extract Effect on Cisplatin-Induced Apoptosis in Mice Kidney","Ghanbari, Ali, Zare, Fatemeh, Khazaei, Mozafar, Moradi, Mojtaba, Raoofi, Amir","International Journal of Morphology; 34(2); 713-718","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200046&lang=pt" 
"S1983-41952016000300414-scl","Modified mortar pad behavior in the transfer of compressive stresses","Ditz, J. D., Debs, M. K. EL, Siqueira, G. H.","Revista IBRACON de Estruturas e Materiais; 9(3); 414-434","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000300414&lang=pt" 
"S0719-26812016000200010-chl","EL DEVENIR IMAGEN DEL INDÍGENA","Menard, André","Diálogo andino; (50); 133-140","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200010&lang=pt" 
"S0104-77602016000200159-scl","UTILIZAÇÃO DA TÉCNICA SUNSET LASER PARA DISTINGUIR SUPERFÍCIES USINADAS DE MADEIRA COM QUALIDADES SIMILARES","Andrade, Anna Carolina de Almeida, Silva, José Reinaldo Moreira da, Braga Junior, Roberto Alves, Moulin, Jordão Cabral","CERNE; 22(2); 159-162","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200159&lang=pt" 
"S1983-41952016000300001-scl","Editorial","Campos Filho, Américo, Sousa, José Luiz Antunes de Oliveira e, Pileggi, Rafael Giuliano, Pinto, Roberto Caldas de Andrade, Bittencourt, Túlio Nogueira","Revista IBRACON de Estruturas e Materiais; 9(3); 1-1","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000300001&lang=pt" 
"S0717-95022016000200048-chl","Medial Patellofemoral Muscle: Report of a Rare Variant","Beddings Moreno, Ignacio, Burdiles Orellana, Álvaro, Contreras Olea, Oscar","International Journal of Morphology; 34(2); 729-731","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200048&lang=pt" 
"S0717-95022016000200026-chl","Immunohistochemical Localization of Estrogen Receptor in the Embryonic Gonad of Male Quail Embryo During Gonadal Differentiation","Intarapat, Sittipon, Sailasuta, Achariya, Satayalai, Orawan","International Journal of Morphology; 34(2); 575-579","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200026&lang=pt" 
"S0717-95022016000200014-chl","Pre-aortic Inter-azygos Veins: Two Case Reports","Ntombela, N. S, Lazarus, L, Satyapal, K. S","International Journal of Morphology; 34(2); 495-497","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200014&lang=pt" 
"S0717-95022016000200005-chl","The Reproductive Biology of the Caspian Green Lizard, Lacerta strigata (Sauria: Lacertidae) in Iran","Hojati, Vida, Keshavarz, Seyed Mohammad, Behniafar, Reza, Shiravi, Abdolhossein","International Journal of Morphology; 34(2); 443-450","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200005&lang=pt" 
"S1681-150X2016000200011-sza","Osteomyelitis in an infant with proximal focal femoral deficiency","Mehtar, M, Hartford, L, Firth, GB","SA Orthopaedic Journal; 15(2); 53-56","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200011&lang=pt" 
"S0719-26812016000200001-chl","IMAGEN Y REPRESENTACIÓN DE FRONTERAS Y PUEBLOS INDÍGENAS ANDINOS: HISTORIA, ANTROPOLOGÍA Y NUEVOS ENFOQUES","Ruz Zagal, Rodrigo, Galdames Rosas, Luis","Diálogo andino; (50); 3-6","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200001&lang=pt" 
"S0102-67202016000200126-scl","MANAGEMENT AND FOLLOW-UP OF EXTENSIVE TERATOID CYST IN MOUTH FLOOR","DE ARAÚJO LIMA, Emeline das Neves, NOVAES, Márcio Menezes, GERMANO, Adriano Rocha, SILVA, José Sandro Pereira da, SOUZA, Lélia Batista de","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 126-128","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200126&lang=pt" 
"S2011-75822016000200002-col","Ley estatutaria: ¿avance hacia la garantía del derecho fundamental a la salud?","Jiménez, Wilson Giovanni, Angulo, Leidy Liliana, Castiblanco, Yuri Paola, Gómez, Mónica Lucía, Rey, Laura Juliana, Solano, Leidy Tatiana, Urquijo, Yuli Carolina","Revista Colombiana de Cirugía; 31(2); 81-90","Revista Colombiana de Cirugía","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822016000200002&lang=pt" 
"S0717-95022016000200031-chl","Effect of High Altitude Hypoxia on the Postnatal Development of Rat Testis: Histological and Histometric Study","Mohammed, Heitham Mutwakil, Tingari, M. D","International Journal of Morphology; 34(2); 610-615","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200031&lang=pt" 
"S0717-95022016000200055-chl","Morphological and Radiographic Studies on the Skull of Indian Blackbuck (Antilope cervicapra)","Choudhary, Om Prakash, Singh, Ishwer","International Journal of Morphology; 34(2); 775-783","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200055&lang=pt" 
"S2237-60892016000200117-scl","Venlafaxine induced akathisia: a case report","Ceylan, Mehmet Emin, Evrensel, Alper","Trends in Psychiatry and Psychotherapy; 38(2); 117-117","Trends in Psychiatry and Psychotherapy","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892016000200117&lang=pt" 
"S1681-150X2016000200004-sza","Early clinical outcomes of isolated low velocity gunshot radius fractures treated with closed reduction and locked intramedullary nailing","Maqungo, S","SA Orthopaedic Journal; 15(2); 28-31","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200004&lang=pt" 
"S0719-26812016000200013-chl","ANDEAN METAPHYSICAL CONCEPTS AND THE ROLE OF IMAGERY IN CATHOLIC RELIGIOUS INSTRUCTION","Ortega Perrier, Marietta","Diálogo andino; (50); 167-180","Diálogo andino","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200013&lang=pt" 
"S0717-95022016000200010-chl","Identification in Immuno-Electron Microscopy of Solitary Multi-Polar Peripheral Neurons of Adult Opisthorchis viverrini by Antibody Against Rat Diacylglycerol Kinaseζ","Hipkaeo, Wiphawi, Techataweewan, Nawaporn, Sakaew, Waraporn, Maleewong, Wanchai, Sripa, Banchob, Chomphoo, Surang, Hozumi, Yasukazu, Goto, Kaoru, Kondo, Hisatake","International Journal of Morphology; 34(2); 471-477","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200010&lang=pt" 
"S2014-98322016000300007-esp","La discusión de escenarios clínicos en equipos colaborativos promueve el aprendizaje de la bioquímica","Matuz, Deyamira, Hernández, Diego, Soto, Alejandro, Cea, Alicia","FEM: Revista de la Fundación Educación Médica; 19(3); 147-153","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000300007&lang=pt" 
"S2014-98322016000300002-esp","La web 2.0 y su aportación académica y científica en el pregrado de medicina","Meza-Liviapoma, Jessica, Helguero-Santín, Luis M., Torres-Román, Junior S.","FEM: Revista de la Fundación Educación Médica; 19(3); 113-113","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000300002&lang=pt" 
"S0004-28032016000200118-scl","NONALCOHOLIC FATTY LIVER DISEASE BRAZILIAN SOCIETY OF HEPATOLOGY CONSENSUS","COTRIM, Helma P, PARISE, Edison R, FIGUEIREDO-MENDES, Cláudio, GALIZZI-FILHO, João, PORTA, Gilda, OLIVEIRA, Claudia P","Arquivos de Gastroenterologia; 53(2); 118-122","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200118&lang=pt" 
"S2014-98322016000300004-esp","Percepción y realidad del uso de WhatsApp en estudiantes universitarios de ciencias de la salud","Rodríguez-Martínez, M. Carmen, Valerio-Ureña, Gabriel, Cárdenas-Anaya, Carlos A., Herrera-Murillo, Dagoberto J.","FEM: Revista de la Fundación Educación Médica; 19(3); 118-124","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000300004&lang=pt" 
"S2014-98322016000300003-esp","Una experiencia docente en el grado de medicina: &#039;introducción al Sistema de Salud&#039;","Benavides, Fernando G., Segura, Andreu","FEM: Revista de la Fundación Educación Médica; 19(3); 115-117","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000300003&lang=pt" 
"S1414-98932016000200304-scl","Práticas Educativas Inovadoras na Formação do Psicólogo Escolar: uma Experiência com Aprendizagem Cooperativa","Rose, Tânia Maria Santana de, Afonso, Mariana Luciano, Bondioli, Ricardo Martinelli, Gonçalves, Endy-Ara Gouvea, Prezenszky, Bruno Cortegoso","Psicologia: Ciência e Profissão; 36(2); 304-316","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200304&lang=pt" 
"S1413-70542016000300317-scl","Phenology, yield and fruit quality of &#039;Paluma&#039; guava tree at different pruning times","Silva, Marlon Jocimar Rodrigues da, Tecchio, Marco Antonio, Domiciano, Sofia, Leonel, Sarita, Balestrero, Rodrigo Issa","Ciência e Agrotecnologia; 40(3); 317-325","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000300317&lang=pt" 
"S2014-98322016000300005-esp","Percepción sobre las competencias específicas de formación profesional del cinesiólogo","Fernández-Elgueta, Alejandra M., Estrada-Goic, Claudia A.","FEM: Revista de la Fundación Educación Médica; 19(3); 125-133","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000300005&lang=pt" 
"S2014-98322016000300008-esp","Factores predictores de resultados en la prueba MIR en las universidades públicas: análisis de la cohorte 2008-2014","Sentí, Mariano, Pérez, Jorge, Baños, Josep E.","FEM: Revista de la Fundación Educación Médica; 19(3); 155-160","FEM: Revista de la Fundación Educación Médica","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322016000300008&lang=pt" 
"S0004-28032016000200123-scl","TERLIPRESSIN VERSUS NORADRENALINE FOR HEPATORENAL SYNDROME. Economic evaluation under the perspective of the Brazilian Public Health System","MATTOS, Ângelo Zambam de, MATTOS, Angelo Alves de, RIBEIRO, Rodrigo Antonini","Arquivos de Gastroenterologia; 53(2); 123-126","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000200123&lang=pt" 
"S1413-70542016000300298-scl","Management strategies of Eremanthus erythropappus (DC.) MacLeish under different initial spacing","Scolforo, José Roberto Soares, Altoe, Thiza Falqueto, Scolforo, Henrique Ferraco, Mello, Jose Marcio de, Silva, Charles Plinio Castro e, Ferraz Filho, Antonio Carlos","Ciência e Agrotecnologia; 40(3); 298-304","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000300298&lang=pt" 
