"S0100-736X2012001000004-scl","Distribuição e identificação das regiões de risco para a cisticercose bovina no estado do Paraná","Guimarães-Peixoto, Rafaella P.M., Souza, Valmir K., Pinto, Paulo S.A., Santos, Tatiane O.","Pesquisa Veterinária Brasileira; 32(10); 975-979","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000004&lang=pt" 
"S0100-879X2012001000005-scl","Secretory TAT-peptide-mediated protein transduction of LIF receptor α-chain distal cytoplasmic motifs into human myeloid HL-60 cells","Sun, Q., Xiong, J., Lu, J., Xu, S., Li, Y., Zhong, X.P., Gao, G.K., Liu, H.Q.","Brazilian Journal of Medical and Biological Research; 45(10); 913-920","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000005&lang=pt" 
"S0100-879X2012001000008-scl","A study on the short-term effect of cafeteria diet and pioglitazone on insulin resistance and serum levels of adiponectin and ghrelin","Colombo, G., Bazzo, M.L., Nogueira, C.L., Colombo, M.D.H.P., Schiavon, L.L., d’Acampora, A.J.","Brazilian Journal of Medical and Biological Research; 45(10); 935-941","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000008&lang=pt" 
"S0100-879X2012001000011-scl","Comparison of the reliability of multifocal visual evoked cortical potentials generated by pattern reversal and pattern pulse stimulation","Souza, G.S., Schakelford, H.B., Moura, A.L.A., Gomes, B.D., Ventura, D.F., Fitzgerald, M.E.C., Silveira, L.C.L.","Brazilian Journal of Medical and Biological Research; 45(10); 955-961","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000011&lang=pt" 
"S1806-83242012000500005-scl","Influence of delayed pouring on irreversible hydrocolloid properties","Rodrigues, Stéfani Becker, Augusto, Carolina Rocha, Leitune, Vicente Castelo Branco, Samuel, Susana Maria Werner, Collares, Fabrício Mezzomo","Brazilian Oral Research; 26(5); 404-409","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500005&lang=pt" 
"S1806-83242012000500006-scl","Effect of desensitizing toothpastes on dentin","Pinto, Shelon Cristina Souza, Silveira, Camila Maggi Maia, Pochapski, Márcia Thaís, Pilatt, Gibson Luiz, Santos, Fábio André","Brazilian Oral Research; 26(5); 410-417","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500006&lang=pt" 
"S1806-83242012000500017-scl","Adhesion strategy and early bond strengths of glass-fiber posts luted into root canals","Faria-e-Silva, André Luis, Mendonça, Adriano Augusto Melo, Garcez, Rosa Maria Viana de Bragança, Oliveira, Aline da Silva de, Moreira, Andressa Goicochea, Moraes, Rafael Ratto de","Brazilian Oral Research; 26(5); 485-487","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500017&lang=pt" 
"S0036-46652012000700010-scl","Q&amp;A session 06 October 2011: I International Symposium on Dengue, FMUSP, São Paulo","Lang, Jean, Bricks, Lucia F., Coelho, Giovanini","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 28-30","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700010&lang=pt" 
"S0036-46652012000700009-scl","National immunization program: vaccination, compliance and pharmacovigilance","Domingues, Carla Magda Allan S., Teixeira, Antonia Maria da Silva, Carvalho, Sandra Maria Deotti","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 22-27","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700009&lang=pt" 
"S0036-46652012000700006-scl","Challenges in the control of Aedes aegypti","Coelho, Giovanini Evelim","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 13-14","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700006&lang=pt" 
"S0036-46652012000700004-scl","Clinical experience in dengue: experience of specialized service","Souza, Luiz José de, Boulos, Marcos","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 7-9","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700004&lang=pt" 
"S0036-46652012000700005-scl","Laboratory diagnosis for dengue","Cordeiro, Marli Tenório","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 10-12","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700005&lang=pt" 
"S0036-46652012000700003-scl","Global dengue epidemiology trends","Ferreira, Germano L.C.","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 5-6","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700003&lang=pt" 
"S0036-46652012000700002-scl","Few characteristics of dengue&#039;s fever epidemiology in Brazil","Teixeira, Maria Glória","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 1-4","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700002&lang=pt" 
"S0036-46652012000700007-scl","Development of Sanofi Pasteur tetravalent dengue vaccine","Lang, Jean","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 15-17","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700007&lang=pt" 
"S0036-46652012000700008-scl","Designing a vaccination strategy against dengue","Amaku, Marcos, Coudeville, Laurent, Massad, Eduardo","Revista do Instituto de Medicina Tropical de São Paulo; 54(); 18-21","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652012000700008&lang=pt" 
"S0036-36342012000500001-spa","Importancia de fomentar la investigación científica en salud pública desde pregrado","Abudinén A, Gabriel, Soto V, Diego, Rodríguez-Morales, Alfonso J.","Salud Pública de México; 54(5); 459-462","Salud Pública de México","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500001&lang=pt" 
"S0036-36342012000500003-spa","Compliance to micronutrient supplementation in children 3 to 24 months of age from a semi-rural community in Mexico","López-Flores, Fernando, Neufeld, Lynnette Marie, Sotres-Álvarez, Daniela, García-Guerra, Armando, Ramakrishnan, Usha","Salud Pública de México; 54(5); 470-478","Salud Pública de México","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500003&lang=pt" 
"S0103-84782012001000027-scl","Desempenho em confinamento de bovinos de corte, castrados ou não, alimentados com teores crescentes de farelo do mesocarpo de babaçu","Silva, Nelson Rafael da, Ferreira, Ana Cristina Holanda, Faturi, Cristian, Silva, Gerson Fausto da, Missio, Regis Luis, Neiva, José Neuman Miranda, Araújo, Vera Lúcia de, Alexandrino, Emerson","Ciência Rural; 42(10); 1882-1887","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000027&lang=pt" 
"S0103-84782012001000012-scl","Modelos não lineares para a liberação de potássio de estercos animais em latossolos","Zeviani, Walmes Marques, Silva, Carlos Alberto, Carneiro, Waldete Japiassu de Oliveira, Muniz, Joel Augusto","Ciência Rural; 42(10); 1789-1796","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000012&lang=pt" 
"S0103-84782012001000001-scl","Risco de contaminação das águas de superfície e subterrâneas por agrotóxicos recomendados para a cultura do arroz irrigado","Martini, Luiz Fernando Dias, Caldas, Sergiane Souza, Bolzan, Catia Marian, Bundt, Angela Da Cas, Primel, Ednei Gilberto, Avila, Luis Antonio de","Ciência Rural; 42(10); 1715-1721","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000001&lang=pt" 
"S0103-84782012001000003-scl","Yield and ion content in maize irrigated with saline water in a continuous or alternating system","Barbosa, Felipe de Sousa, Lacerda, Claudivan Feitosa de, Gheyi, Hans Raj, Farias, Gabriel Castro, Silva Júnior, Ricardo José da Costa, Lage, Yara Araújo, Hernandez, Fernando Felipe Ferreyra","Ciência Rural; 42(10); 1731-1737","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000003&lang=pt" 
"S0103-84782012001000020-scl","Função renal, hepática e cardíaca de cães hígidos sob terapia prolongada com celecoxibe","Borges, Marina, Melchert, Alessandra, Marini Filho, Rivaldo, Laposy, Cecília Braga, Alegre, Beatriz Cristina Conceição Porto, Silva, Karine Ramires","Ciência Rural; 42(10); 1844-1850","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000020&lang=pt" 
"S0103-84782012001000018-scl","Caracterização da fauna de moscas-das-frutas (Diptera: Tephritidae) na região de Ponta Grossa, Paraná, Brasil","Husch, Patricia Elizabeth, Milléo, Julianne, Sedorko, Daniel, Ayub, Ricardo Antonio, Nunes, Domingos Sávio","Ciência Rural; 42(10); 1833-1839","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000018&lang=pt" 
"S0103-84782012001000004-scl","Características de plantas de girassol, em função da época de semeadura, na Região Noroeste do Rio Grande do Sul","Cadorin, Antonio Mauro Rodrigues, Souza, Velci Queiróz de, Manfron, Paulo Augusto, Caron, Braulio Otomar, Medeiros, Sandro Luís Petter","Ciência Rural; 42(10); 1738-1743","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000004&lang=pt" 
"S0103-84782012001000030-scl","Validade comercial de sardinhas inteiras e refrigeradas avaliada por análises físico-químicas, bacteriológicas e sensorial","Andrade, Sabrina da Costa Silva, Mársico, Eliane Teixeira, Franco, Robson Maia, Godoy, Ronoel Luiz de Oliveira, Pacheco, Sidney, Queiroz, Mônica de Freitas, Guimarães, Carlos Frederico Marques","Ciência Rural; 42(10); 1901-1907","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000030&lang=pt" 
"S0103-84782012001000024-scl","Detecção de ácidos nucleicos em tecidos de gerbils submetidos à infecção aguda por Neospora caninum","Toscan, Gustavo, Camillo, Giovana, Weber, Augusto, Oliveira, Caroline Sobotyk de, Gonçalves, Paulo Bayard Dias, Sangioni, Luis Antônio, Vogel, Fernanda Silveira Flores","Ciência Rural; 42(10); 1865-1871","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000024&lang=pt" 
"S0103-84782012001000002-scl","Interações entre herbicidas e protetores para o controle de capim-annoni em pastagem natural","Goulart, Ives Clayton Gomes dos Reis, Nunes, Anderson Luis, Kupas, Valmir, Merotto Junior, Aldo","Ciência Rural; 42(10); 1722-1730","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000002&lang=pt" 
"S0103-84782012001000008-scl","Produção e atributos de qualidade de cultivares de macieira nas condições subtropicais da região Leste paulista","Chagas, Edvan Alves, Chagas, Pollyana Cardoso, Pio, Rafael, Bettiol Neto, José Emílio, Sanches, Juliana, Carmo, Silvia Antoniali do, Cia, Patrícia, Pasqual, Moacir, Carvalho, Angélica dos Santos","Ciência Rural; 42(10); 1764-1769","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000008&lang=pt" 
"S0103-84782012001000019-scl","Descrição anatômica da língua do mão-pelada (Procyon cancrivorus)","Corrêa, Aline Francielle, Sestari, Carlos Eduardo Oliveira, Guimarães, Gregório Corrêa, Oliveira, Fabrício Singaretti de","Ciência Rural; 42(10); 1840-1843","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000019&lang=pt" 
"S0103-84782012001000022-scl","Deformidade angular adquirida no carpo de muares: diagnóstico, incidência e tratamento","Loiacono, Bruno Zambelli, Aranzales, José Ramón Martinez, Faleiros, Rafael de Resende, Alves, Geraldo Eleno Silveira","Ciência Rural; 42(10); 1855-1860","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000022&lang=pt" 
"S0103-84782012001000016-scl","Mixed and monospecific stands of eucalyptus and black-wattle: I - fine root length density","Viera, Márcio, Schumacher, Mauro Valdir, Liberalesso, Edenilson","Ciência Rural; 42(10); 1818-1825","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000016&lang=pt" 
"S0103-84782012001000010-scl","Fenologia reprodutiva do maracujazeiro-azedo no município de Campos dos Goytacazes, RJ","Souza, Sérgio Alessandro Machado, Martins, Kellen Coutinho, Azevedo, Amanda Silva de, Pereira, Telma Nair Santana","Ciência Rural; 42(10); 1774-1780","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000010&lang=pt" 
"S0103-84782012001000013-scl","Produtividade de madeira do eucalipto correlacionada com atributos do solo visando ao mapeamento de zonas específicas de manejo","Carvalho, Morel de Passos e, Mendonça, Veridiana Zocoler de, Pereira, Francisco Cezar Belchor Lages, Arf, Marcelo Valentini, Kappes, Claudinei, Dalchiavon, Flávio Carlos","Ciência Rural; 42(10); 1797-1803","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000013&lang=pt" 
"S0034-75902012000500001-scl","Editorial","Diniz, Eduardo","Revista de Administração de Empresas; 52(5); 481-481","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500001&lang=pt" 
"S0034-75902012000500002-scl","Book-tax differences e gerenciamento de resultados no mercado de ações do Brasil","Ferreira, Felipe Ramos, Martinez, Antonio Lopo, Costa, Fábio Moraes da, Passamani, Renato Rovetta","Revista de Administração de Empresas; 52(5); 488-501","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500002&lang=pt" 
"S0103-84782012001000011-scl","Qualidade de rosas de corte tratadas com produtos naturais","Pietro, Júlia De, Mattiuz, Ben-Hur, Mattiuz, Claudia Fabrino Machado, Rodrigues, Teresinha de Jesus Deléo","Ciência Rural; 42(10); 1781-1788","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000011&lang=pt" 
"S0103-84782012001000025-scl","Raiva em bovino associada a intoxicação espontânea por Sida carpinifolia","Casagrande, Renata Assis, Wouters, Flademir, Boabaid, Fabiana Marques, Antoniassi, Nadia Aline Bobbi, Pavarini, Saulo Petinatti, Oliveira, Luiz Gustavo Schneider de, Bandarra, Paulo Mota, Zlotowski, Priscila, Driemeier, David","Ciência Rural; 42(10); 1872-1875","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000025&lang=pt" 
"S0103-84782012001000029-scl","Casca de soja em substituição ao feno de alfafa em dietas fareladas para coelhos em crescimento","Toledo, Geni Salete Pinto de, Eggers, Daniel Prois, Silva, Leila Picolli da, Pacheco, Paulo Santana, Klinger, Ana Carolina Kohlrausch, Capitânio, Janaína Roberta, Schmidt, Tiago, Ortiz, Jossiane","Ciência Rural; 42(10); 1896-1900","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000029&lang=pt" 
"S0103-84782012001000009-scl","Desempenho de filmes comestíveis em comparação ao filme de policloreto de vinila na qualidade pós-colheita de mexericas &#039;Poncã&#039;","Silva, Danielle Fabiola Pereira, Siqueira, Dalmo Lopes, Matias, Rosana Gonçalves Pires, Oliveira, Sílvia Paula, Lins, Leila Cristina Rosa de, Salomão, Luiz Carlos Chamhum","Ciência Rural; 42(10); 1770-1773","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000009&lang=pt" 
"S0103-84782012001000023-scl","Antibacterial activity tannin-rich fraction from leaves of Anacardium humile","Ferreira, Peracio Rafael Bueno, Mendes, Cíntia Sorandra Oliveira, Rodrigues, Cínthia Gracielly, Rocha, Juliane Caroline Moura, Royo, Vanessa de Andrade, Valério, Henrique Maia, Oliveira, Dario Alves de","Ciência Rural; 42(10); 1861-1864","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000023&lang=pt" 
"S0103-84782012001000014-scl","Consórcio de Urochloas com milho em sistema plantio direto","Chioderoli, Carlos Alessandro, Mello, Luiz Malcolm Mano de, Holanda, Henrique Vinicius de, Furlani, Carlos Eduardo Angeli, Grigolli, Paola Jurca, Silva, José Oscar da Rocha, Cesarin, Andre Luis","Ciência Rural; 42(10); 1804-1810","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000014&lang=pt" 
"S0103-84782012001000028-scl","Impacto do estresse térmico sobre a fisiologia, reprodução e produção de caprinos","Souza, Priscila Teixeira de, Salles, Maria Gorete Flores, Araújo, Airton Alencar de","Ciência Rural; 42(10); 1888-1895","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000028&lang=pt" 
"S0103-84782012001000015-scl","Produção de almeirão em função de níveis de fertirrigação nitrogenada e disposição de mangueiras gotejadoras nos canteiros","Biscaro, Guilherme Augusto, Silva, Janiele Araújo da, Zomerfeld, Patricia dos Santos, Motomiya, Anamari Viegas de Araujo, Gomes, Eder Pereira, Giacon, Graziane Maria","Ciência Rural; 42(10); 1811-1817","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000015&lang=pt" 
"S0103-84782012001000017-scl","Herbicidas e danos físicos em tocos de teca para controle de brotos após o desbaste","Caldeira, Sidney Fernando, Castro, Cibele Kotsubo da Cunha e","Ciência Rural; 42(10); 1826-1832","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000017&lang=pt" 
"S0103-84782012001000006-scl","Trigo de duplo propósito e aveia preta após forrageiras perenes e culturas de verão em sistema de integração lavoura - pecuária","Mariani, Franciele, Fontaneli, Renato Serena, Vargas, Leandro, Santos, Henrique Pereira dos, Fontaneli, Roberto Serena","Ciência Rural; 42(10); 1752-1757","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000006&lang=pt" 
"S0103-84782012001000005-scl","Fontes e doses de nitrogênio para mamoneira de porte baixo no sistema plantio direto","Moro, Edemar, Crusciol, Carlos Alexandre Costa, Oliveira, Priscila de, Sipos, Tainá Barcellos","Ciência Rural; 42(10); 1744-1751","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012001000005&lang=pt" 
"S1806-83242012000500011-scl","Detection and enumeration of periodontopathogenic bacteria in subgingival biofilm of pregnant women","Machado, Fernanda Campos, Cesar, Dionéia Evangelista, Assis, Amanda Vervloet Dutra Agostinho, Diniz, Cláudio Galuppo, Ribeiro, Rosangela Almeida","Brazilian Oral Research; 26(5); 443-449","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500011&lang=pt" 
"S1806-83242012000500014-scl","Socioeconomic and clinical factors associated with traumatic dental injuries in Brazilian preschool children","Piovesan, Chaiana, Guedes, Renata Saraiva, Casagrande, Luciano, Ardenghi, Thiago Machado","Brazilian Oral Research; 26(5); 464-470","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500014&lang=pt" 
"S1806-83242012000500004-scl","Effect of adhesive system and application strategy on reduction of dentin permeability","Carvalho, Adriana Oliveira, Oliveira, Marcelo Tavares de, Nikaido, Toru, Tagami, Junji, Giannini, Marcelo","Brazilian Oral Research; 26(5); 397-403","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500004&lang=pt" 
"S1806-83242012000500016-scl","Validation of the anti-bacteremic efficacy of an essential oil rinse in a Brazilian population: a cross-over study","Cortelli, José Roberto, Cogo, Karina, Aquino, Davi Romeiro, Cortelli, Sheila Cavalca, Ricci-Nittel, Danette, Zhang, Paul, Araujo, Marcelo Werneck Barata de","Brazilian Oral Research; 26(5); 478-484","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500016&lang=pt" 
"S1806-83242012000500010-scl","Association between self-reported oral health, tooth loss and atherosclerotic burden","Gomes, Maximiliano Schünke, Chagas, Patrícia, Padilha, Dalva Maria Pereira, Caramori, Paulo, Hugo, Fernando Neves, Schwanke, Carla Helena Augustin, Hilgert, Juliana Balbinot","Brazilian Oral Research; 26(5); 436-442","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500010&lang=pt" 
"S1806-83242012000500015-scl","Factors associated with dental caries in the primary dentition of children with cerebral palsy","Roberto, Luana Leal, Machado, Mariana Gomes, Resende, Vera Lúcia Silva, Castilho, Lia Silva, Abreu, Mauro Henrique Nogueira Guimarães de","Brazilian Oral Research; 26(5); 471-477","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500015&lang=pt" 
"S1806-83242012000500009-scl","TGFA/Taq I polymorphism and environmental factors in non-syndromic oral clefts in Southern Brazil","Souza, Liliane Todeschini de, Kowalski, Thayne Woycinck, Vanz, Ana Paula, Giugliani, Roberto, Félix, Têmis Maria","Brazilian Oral Research; 26(5); 431-435","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500009&lang=pt" 
"S1806-83242012000500013-scl","Erosive potential of different types of grape juices","Gonçalves, Ginna Kércia Matos, Guglielmi, Camila de Almeida Brandão, Corrêa, Fernanda Nahás Pires, Raggio, Daniela Prócida, Corrêa, Maria Salete Nahás Pires","Brazilian Oral Research; 26(5); 457-463","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500013&lang=pt" 
"S0036-36342012000500012-spa","Noticias de salud ambiental EHP-SPM","","Salud Pública de México; 54(5); 544-562","Salud Pública de México","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500012&lang=pt" 
"S1806-83242012000500003-scl","Risk indicators for tooth loss in adult workers","Batista, Marília Jesus, Rihs, Lílian Berta, Sousa, Maria da Luz Rosário de","Brazilian Oral Research; 26(5); 390-396","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500003&lang=pt" 
"S1806-83242012000500012-scl","Hausdorff Distance evaluation of orthodontic accessories&#039; streaking artifacts in 3D model superimposition","Rino Neto, José, Silva, Fernando Penteado Lopes da, Chilvarquer, Israel, Paiva, João Batista de, Hernandez, Angélica Maria","Brazilian Oral Research; 26(5); 450-456","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500012&lang=pt" 
"S1806-83242012000500007-scl","Effect of surface area and air-drying distance on shear bond strength of etch-and-rinse adhesive","El-Askary, Farid Mohammed Sabry, Nassif, Mohammed Salah Abdelaziz, Andrade, Andrea Mello, Reis, Alessandra, Loguercio, Alessandro Dourado","Brazilian Oral Research; 26(5); 418-423","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500007&lang=pt" 
"S0100-879X2012001000003-scl","Hydrogen sulfide postconditioning protects isolated rat hearts against ischemia and reperfusion injury mediated by the JAK2/STAT3 survival pathway","Luan, Heng-Fei, Zhao, Zhi-Bin, Zhao, Qi-Hong, Zhu, Pin, Xiu, Ming-Yu, Ji, Yong","Brazilian Journal of Medical and Biological Research; 45(10); 898-905","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000003&lang=pt" 
"S1806-83242012000500001-scl","ScholarOne and Web of Science: Preeminent submission, peer review and indexation","Rode, Sigmar de Mello","Brazilian Oral Research; 26(5); 387-387","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500001&lang=pt" 
"S1806-83242012000500002-scl","Can social capital contribute to the improvement of oral health?","Zarzar, Patricia Maria, Ferreira, Efigênia Ferreira e, Kawachi, Ichiro","Brazilian Oral Research; 26(5); 388-389","Brazilian Oral Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242012000500002&lang=pt" 
"S0036-36342012000500002-spa","Associations between physical activity, cardiorespiratory fitness, and obesity in Mexican children","Galavíz, Karla I, Tremblay, Mark S, Colley, Rachel, Jáuregui, Edtna, López y Taylor, Juan, Janssen, Ian","Salud Pública de México; 54(5); 463-469","Salud Pública de México","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500002&lang=pt" 
"S0036-36342012000500011-spa","Hacia la erradicación de la poliomielitis: logros y retos en México","Esteve-Jaramillo, Alejandra, López-Collada, Vesta L Richardson","Salud Pública de México; 54(5); 537-543","Salud Pública de México","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500011&lang=pt" 
"S0036-36342012000500010-spa","Diagnóstico de leptospirosis humana: evaluación de la aglutinación macroscópica en diferentes etapas de la enfermedad","Vanasco, Norma Bibiana, Schmeling, María Fernanda, Chiani, Yosena, Lottersberger, Javier, Tarabla, Héctor Dante","Salud Pública de México; 54(5); 530-536","Salud Pública de México","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500010&lang=pt" 
"S0036-36342012000500009-spa","Seroepidemiología del paludismo en un grupo de migrantes en tránsito (Chiapas, 2008)","Betanzos-Reyes, Ángel Francisco, González-Cerón, Lilia, Rodríguez, Mario Henry, Torres-Monzón, Jorge Aurelio","Salud Pública de México; 54(5); 523-529","Salud Pública de México","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500009&lang=pt" 
"S0036-36342012000500008-spa","Aceptabilidad y conocimientos sobre la vacunación contra el virus del papiloma humano (VPH) en médicos ginecólogos de la Argentina","Mazzadi, Alejandro, Paolino, Melisa, Arrossi, Silvina","Salud Pública de México; 54(5); 515-522","Salud Pública de México","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500008&lang=pt" 
"S0036-36342012000500007-spa","High prevalence of late diagnosis of HIV in Mexico during the HAART era","Crabtree-Ramírez, Brenda, Caro-Vega, Yanink, Belaunzarán-Zamudio, Francisco, Sierra-Madero, Juan","Salud Pública de México; 54(5); 506-514","Salud Pública de México","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500007&lang=pt" 
"S0036-36342012000500006-spa","Facility-based care for delivery and management of complications related to pregnancy and childbirth in Mexico","Hernández, Bernardo, Ortiz-Panozo, Eduardo, Pérez-Cuevas, Ricardo","Salud Pública de México; 54(5); 496-505","Salud Pública de México","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342012000500006&lang=pt" 
