"S0074-02762016000700450-scl","Highly active ozonides selected against drug resistant malaria","Lobo, Lis, Sousa, Bruno de, Cabral, Lília, Cristiano, Maria LS, Nogueira, Fátima","Memórias do Instituto Oswaldo Cruz; 111(7); 450-453","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700450&lang=pt" 
"S1130-01082016000700013-esp","Ischemic colitis in an athlete: running is not always good for you","Horta, Diana, Puig-Diví, Valentí, Melcarne, Luigi","Revista Española de Enfermedades Digestivas; 108(7); 443-444","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000700013&lang=pt" 
"S1130-01082016000700015-esp","Transanal submucosal endoscopic resection (TASER) by TEO system®","Muñoz-de-Nova, José Luis, Viamontes-Ugalde, Francisco Eduardo, Mendoza-Jiménez-Ridruejo, Jorge","Revista Española de Enfermedades Digestivas; 108(7); 444-445","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000700015&lang=pt" 
"S1130-01082016000700014-esp","Management of non-surgical pneumoperitoneum","Fernández-López, Antonio José, González-Valverde, Francisco Miguel, Méndez-Martínez, Marcelino","Revista Española de Enfermedades Digestivas; 108(7); 444-445","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000700014&lang=pt" 
"S1657-47022016000200004-col","¿BIOÉTICA NARRATIVA O NARRATIVA BIOÉTICA?*","Kottow, Miguel","Revista Latinoamericana de Bioética; 16(2); 58-69","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200004&lang=pt" 
"S1130-01082016000700008-esp","Spontaneous rupture of a liver hemangioma: a case report","Guillén-Paredes, María Pilar, Martínez-Fernández, Josefa, Morales-González, Álvaro, Pardo-García, José Luis","Revista Española de Enfermedades Digestivas; 108(7); 431-431","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000700008&lang=pt" 
"S1130-01082016000700007-esp","Causes of treatment failure for hepatitis C in the era of direct-acting antiviral therapy","Cabezas, Joaquín, Llerena, Susana, Puente, Ángela, Fábrega, Emilio, Crespo, Javier","Revista Española de Enfermedades Digestivas; 108(7); 421-430","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000700007&lang=pt" 
"S1794-38412016000200007-col","Formas de ver y exhibir el patrimonio arqueológico indígena en dos museos de Bogotá (1938-1953)","García Roldan, Daniel","Hallazgos; 13(26); 149-178","Hallazgos","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-38412016000200007&lang=pt" 
"S1657-47022016000200002-col","PSICOLOGÍA, BIOÉTICA Y NARRATIVA CINEMATOGRÁFICA: UN ANÁLISIS CUALITATIVO DE PRODUCCIONES DE ESTUDIANTES SOBRE CONFLICTOS BIOÉTICOS RELACIONADOS CON LA IDENTIDAD","Cambra Badii, Irene","Revista Latinoamericana de Bioética; 16(2); 16-39","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200002&lang=pt" 
"S1794-38412016000200004-col","La constitución de la Argentina democrática en el discurso de asunción presidencial de Raúl Alfonsín","Vítale, María Alejandra, Dagatti, Mariano","Hallazgos; 13(26); 65-91","Hallazgos","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-38412016000200004&lang=pt" 
"S1130-01082016000700003-esp","Fecal calprotectin and C-reactive protein are associated with positive findings in capsule endoscopy in suspected small bowel Crohn&#039;s disease","Egea-Valenzuela, Juan, Pereñíguez-López, Ana, Pérez-Fernández, Virginia, Alberca-de-las-Parras, Fernando, Carballo-Álvarez, Fernando","Revista Española de Enfermedades Digestivas; 108(7); 394-400","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000700003&lang=pt" 
"S0066-782X2016004600001-scl","DIRETRIZ DE ARRITMIAS CARDÍACAS EM CRIANÇAS E CARDIOPATIAS CONGÊNITAS SOBRAC E DCC - CP","Magalhães, LP, Guimarães, ICB, Melo, SL, Mateo, EIP, Andalaft, RB, Xavier, LFR, Lorga Filho, AM, Fagundes, AA, Moreira, DAR, Hachul, DT, Sternick, EB, Andrea, EM, Cannavan, FPS, Oliveira, FJB, Darrieux, FCC, Lima, GG, Atié, J, Elias Neto, J, Zimerman, LI, Miana, L, Pellanda, LC, Sacilotto, L, Jatene, MB, Soares, MM, Binotto, MA, Scanavacca, MI, Oliveira Junior, NA, Zielinsky, P, Salerno, PR, Teixeira, RA, Kuniyoshi, RR, Costa, R, Schames Neto, S, Pedra, SRFF, Gimenez, SC, Wu, TC, Aiello, VD","Arquivos Brasileiros de Cardiologia; 107(1); 1-58","Arquivos Brasileiros de Cardiologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016004600001&lang=pt" 
"S0011-85162016000600005-sza","Management of an inflamed dentigerous cyst in a patient with an anterior cross-bite, using a modified obturator","Sardana, D, Goyal, A, Gauba, K","South African Dental Journal; 71(6); 266-269","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600005&lang=pt" 
"S0011-85162016000600004-sza","Cancrum Oris (noma) in an HIV-positive adult: A case report and literature review","Pedro, K, Smit, D A, Morkel, J A","South African Dental Journal; 71(6); 248-252","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600004&lang=pt" 
"S0011-85162016000600011-sza","The motivation to be ethical","Evans, WG","South African Dental Journal; 71(6); 280-280","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600011&lang=pt" 
"S0011-85162016000600012-sza","Maxillo-facial radiology case 142","Nortjé, CJ","South African Dental Journal; 71(6); 281-281","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600012&lang=pt" 
"S0011-85162016000600001-sza","Imbued with the Olympic Spirit","Evans, WG","South African Dental Journal; 71(6); 244-244","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600001&lang=pt" 
"S0011-85162016000600010-sza","Forensic dentistry case book 7: Family photos save the day","Bernitz, H","South African Dental Journal; 71(6); 279-279","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600010&lang=pt" 
"S0011-85162016000600002-sza","Communique","Evans, WG","South African Dental Journal; 71(6); 245-246","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600002&lang=pt" 
"S0011-85162016000600003-sza","Professor Arthur Lewin 6 February 1926 - 28 July 2016","van Rensburg, Bertus","South African Dental Journal; 71(6); -","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600003&lang=pt" 
"S0011-85162016000600006-sza","Oral diseases associated with human herpes viruses: Aetiology, clinical features, diagnosis and management","Ballyram, R, Wood, NH, Khammissa, RAG, Lemmer, J, Feller, L","South African Dental Journal; 71(6); 253-259","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600006&lang=pt" 
"S0011-85162016000600009-sza","Statistical terms Part 1: The meaning of the MEAN, and other statistical terms commonly used in medical research","Sykes, L M, Gani, F, Vally, Z","South African Dental Journal; 71(6); 274-278","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600009&lang=pt" 
"S0011-85162016000600008-sza","Are fissure sealants still relevant as a caries preventive measure?","Mulder, R","South African Dental Journal; 71(6); 272-273","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600008&lang=pt" 
"S0011-85162016000600013-sza","What&#039;s new for the clinician? Summaries of and excerpts from recently published papers","Yengopal, V","South African Dental Journal; 71(6); 282-285","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600013&lang=pt" 
"S0011-85162016000600007-sza","Knowledge and beliefs about oral pseudomembranous candidiasis among traditional health practitioners in Limpopo Province, South Africa","Nemutandani, M S, Hendricks, S J H, Mulaudzi, F M","South African Dental Journal; 71(6); 260-265","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000600007&lang=pt" 
"S1413-81232016000702267-spa","O conhecimento e a utilização de filtro solar por profissionais da beleza","Cortez, Diógenes Aparício Garcia, Machado, Érica Simionato, Vermelho, Sonia Cristina Soares Dias, Teixeira, Jorge Juarez Vieira, Cortez, Lucia Elaine Ranieri","Ciência &amp; Saúde Coletiva; 21(7); 2267-2274","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702267&lang=pt" 
"S1413-81232016000702081-spa","Drug use in prisons: strategies for harm reduction (ANRS-PRIDE Program)","Michel, Laurent","Ciência &amp; Saúde Coletiva; 21(7); 2081-2088","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702081&lang=pt" 
"S1413-81232016000702011-spa","A impossível governança da saúde em prisão? Reflexões a partir da MACA (Costa do Marfim)","Marcis, Frédéric Le","Ciência &amp; Saúde Coletiva; 21(7); 2011-2020","Ciência &amp; Saúde Coletiva","Francês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702011&lang=pt" 
"S1413-81232016000702041-spa","Direitos reprodutivos das mulheres no sistema penitenciário: tensões e desafios na transformação da realidade","Diuana, Vilma, Ventura, Miriam, Simas, Luciana, Larouzé, Bernard, Correa, Marilena","Ciência &amp; Saúde Coletiva; 21(7); 2041-2050","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702041&lang=pt" 
"S1413-81232016000702041-scl","Direitos reprodutivos das mulheres no sistema penitenciário: tensões e desafios na transformação da realidade","Diuana, Vilma, Ventura, Miriam, Simas, Luciana, Larouzé, Bernard, Correa, Marilena","Ciência &amp; Saúde Coletiva; 21(7); 2041-2050","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702041&lang=pt" 
"S1413-81232016000702267-scl","O conhecimento e a utilização de filtro solar por profissionais da beleza","Cortez, Diógenes Aparício Garcia, Machado, Érica Simionato, Vermelho, Sonia Cristina Soares Dias, Teixeira, Jorge Juarez Vieira, Cortez, Lucia Elaine Ranieri","Ciência &amp; Saúde Coletiva; 21(7); 2267-2274","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702267&lang=pt" 
"S1413-81232016000702287-spa","Cobertura vacinal e fatores associados em puérperas de município paulista","Rocha, Bárbara Cristina Casemiro da, Carvalheira, Ana Paula Pinho, Ferrari, Anna Paula, Tonete, Vera Lúcia Pamplona, Duarte, Marli Teresinha Cassamassimo, Parada, Cristina Maria Garcia de Lima","Ciência &amp; Saúde Coletiva; 21(7); 2287-2292","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702287&lang=pt" 
"S1413-81232016000702101-spa","Direito à saúde mental no sistema prisional: reflexões sobre o processo de desinstitucionalização dos HCTP","Soares Filho, Marden Marques, Bueno, Paula Michele Martins Gomes","Ciência &amp; Saúde Coletiva; 21(7); 2101-2110","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702101&lang=pt" 
"S1413-81232016000702021-spa","Emergência de uma política, extinção de uma coordenação: sobre a gestão da saúde penitenciária no Brasil","Batista e Silva, Martinho Braga","Ciência &amp; Saúde Coletiva; 21(7); 2021-2030","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702021&lang=pt" 
"S1413-81232016000702123-spa","Famílias de mulheres presas, promoção da saúde e acesso às políticas sociais no Distrito Federal, Brasil","Pereira, Éverton Luís","Ciência &amp; Saúde Coletiva; 21(7); 2123-2134","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702123&lang=pt" 
"S1413-81232016000701999-spa","Demografia, vulnerabilidades e direito à saúde da população prisional brasileira","Soares Filho, Marden Marques, Bueno, Paula Michele Martins Gomes","Ciência &amp; Saúde Coletiva; 21(7); 1999-2010","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000701999&lang=pt" 
"S1413-81232016000702189-spa","Atenção pré-hospitalar móvel às urgências: análise de implantação no estado do Rio de Janeiro, Brasil","O’Dwyer, Gisele, Machado, Cristiani Vieira, Alves, Renan Paes, Salvador, Fernanda Gonçalves","Ciência &amp; Saúde Coletiva; 21(7); 2189-2200","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702189&lang=pt" 
"S1413-81232016000702031-spa","Condições de saúde dos presos do estado do Rio de Janeiro, Brasil","Minayo, Maria Cecília de Souza, Ribeiro, Adalgisa Peixoto","Ciência &amp; Saúde Coletiva; 21(7); 2031-2040","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702031&lang=pt" 
"S1413-81232016000702287-scl","Cobertura vacinal e fatores associados em puérperas de município paulista","Rocha, Bárbara Cristina Casemiro da, Carvalheira, Ana Paula Pinho, Ferrari, Anna Paula, Tonete, Vera Lúcia Pamplona, Duarte, Marli Teresinha Cassamassimo, Parada, Cristina Maria Garcia de Lima","Ciência &amp; Saúde Coletiva; 21(7); 2287-2292","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702287&lang=pt" 
"S1413-81232016000702305-spa","Registro de ações para prevenção de morbidade infantil na caderneta de saúde da criança","Vieira, Daniele de Souza, Santos, Nathanielly Cristina Carvalho de Brito, Costa, Dayse Kalyne Gomes da, Pereira, Mayara de Melo, Vaz, Elenice Maria Cecchetti, Reichert, Altamira Pereira da Silva","Ciência &amp; Saúde Coletiva; 21(7); 2305-2313","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702305&lang=pt" 
"S1413-81232016000702243-scl","Equivalência semântica, conceitual e de itens do Observable Indicators of Nursing Home Care Quality Instrument","Oliveira, Wagner Ivan Fonseca de, Hernández, Pedro Jesus Saturno, Sousa, Kelienny de Meneses, Piuvezam, Grasiela, Gama, Zenewton André da Silva","Ciência &amp; Saúde Coletiva; 21(7); 2243-2256","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702243&lang=pt" 
"S1413-81232016000702089-scl","O impacto da prisão na saúde mental dos presos do estado do Rio de Janeiro, Brasil","Constantino, Patricia, Assis, Simone Gonçalves de, Pinto, Liana Wernersbach","Ciência &amp; Saúde Coletiva; 21(7); 2089-2100","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702089&lang=pt" 
"S1413-81232016000702257-scl","Stunting in children under five years old is still a health problem in the Western Brazilian Amazon: a population-based study in Assis Brasil, Acre, Brazil","Mantovani, Saulo Augusto Silva, Ramalho, Alanderson Alves, Pereira, Thasciany Moraes, Branco, Fernando Luiz Cunha Castelo, Oliart-Guzmán, Humberto, Delfino, Breno Matos, Braña, Athos Muniz, Martins, Antonio Camargo, Filgueira-Júnior, José Alcântara, Santos, Ana Paula, Campos, Rhanderson Gardinali, Guimarães, Andréia Silva, Araújo, Thiago Santos de, Oliveira, Cristieli Sérgio de Menezes, Codeço, Cláudia Torres, Silva-Nunes, Mônica da","Ciência &amp; Saúde Coletiva; 21(7); 2257-2266","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702257&lang=pt" 
"S1413-81232016000702201-scl","Prevalence of suggestive images of carotid artery calcifications on panoramic radiographs and its relationship with predisposing factors","Brito, Ana Caroline Ramos de, Nascimento, Helena Aguiar Ribeiro, Argento, Rafaela, Beline, Thamara, Ambrosano, Glaucia Maria Bovi, Freitas, Deborah Queiroz","Ciência &amp; Saúde Coletiva; 21(7); 2201-2208","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702201&lang=pt" 
"S1413-81232016000701999-scl","Demografia, vulnerabilidades e direito à saúde da população prisional brasileira","Soares Filho, Marden Marques, Bueno, Paula Michele Martins Gomes","Ciência &amp; Saúde Coletiva; 21(7); 1999-2010","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000701999&lang=pt" 
"S1413-81232016000702081-scl","Drug use in prisons: strategies for harm reduction (ANRS-PRIDE Program)","Michel, Laurent","Ciência &amp; Saúde Coletiva; 21(7); 2081-2088","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702081&lang=pt" 
"S1413-81232016000702061-spa","Nascer na prisão: gestação e parto atrás das grades no Brasil","Leal, Maria do Carmo, Ayres, Barbara Vasques da Silva, Esteves-Pereira, Ana Paula, Sánchez, Alexandra Roma, Larouzé, Bernard","Ciência &amp; Saúde Coletiva; 21(7); 2061-2070","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702061&lang=pt" 
"S1413-81232016000702147-spa","Tuberculose em presídios brasileiros: uma revisão integrativa da literatura","Valença, Mariana Soares, Possuelo, Lia Gonçalves, Cezar-Vaz, Marta Regina, Silva, Pedro Eduardo Almeida da","Ciência &amp; Saúde Coletiva; 21(7); 2147-2160","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702147&lang=pt" 
"S1413-81232016000702209-spa","Consumo alimentar e estado nutricional de mulheres em quimioterapia","Ferreira, Isabela Borges, Marinho, Eduarda da Costa, Custódio, Isis Danyelle Dias, Gontijo, Cristiana Araújo, Paiva, Carlos Eduardo, Crispim, Cibele Aparecida, Maia, Yara Cristina de Paiva","Ciência &amp; Saúde Coletiva; 21(7); 2209-2218","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702209&lang=pt" 
"S1413-81232016000702135-spa","Sofrimento psíquico e estresse no trabalho de agentes penitenciários: uma revisão da literatura","Bezerra, Cláudia de Magalhães, Assis, Simone Gonçalves de, Constantino, Patricia","Ciência &amp; Saúde Coletiva; 21(7); 2135-2146","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702135&lang=pt" 
"S1413-81232016000702111-scl","O processo de detecção e tratamento de casos de tuberculose em um presídio","Valença, Mariana Soares, Cezar-Vaz, Marta Regina, Brum, Clarice Brinck, Silva, Pedro Eduardo Almeida da","Ciência &amp; Saúde Coletiva; 21(7); 2111-2122","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702111&lang=pt" 
"S1413-81232016000702061-scl","Nascer na prisão: gestação e parto atrás das grades no Brasil","Leal, Maria do Carmo, Ayres, Barbara Vasques da Silva, Esteves-Pereira, Ana Paula, Sánchez, Alexandra Roma, Larouzé, Bernard","Ciência &amp; Saúde Coletiva; 21(7); 2061-2070","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702061&lang=pt" 
"S1413-81232016000702031-scl","Condições de saúde dos presos do estado do Rio de Janeiro, Brasil","Minayo, Maria Cecília de Souza, Ribeiro, Adalgisa Peixoto","Ciência &amp; Saúde Coletiva; 21(7); 2031-2040","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702031&lang=pt" 
"S1413-81232016000702209-scl","Consumo alimentar e estado nutricional de mulheres em quimioterapia","Ferreira, Isabela Borges, Marinho, Eduarda da Costa, Custódio, Isis Danyelle Dias, Gontijo, Cristiana Araújo, Paiva, Carlos Eduardo, Crispim, Cibele Aparecida, Maia, Yara Cristina de Paiva","Ciência &amp; Saúde Coletiva; 21(7); 2209-2218","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702209&lang=pt" 
"S1413-81232016000702071-spa","Controle da tuberculose nas prisões, da pesquisa à ação: a experiência do Rio de Janeiro, Brasil","Sánchez, Alexandra, Larouzé, Bernard","Ciência &amp; Saúde Coletiva; 21(7); 2071-2080","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702071&lang=pt" 
"S1413-81232016000702011-scl","A impossível governança da saúde em prisão? Reflexões a partir da MACA (Costa do Marfim)","Marcis, Frédéric Le","Ciência &amp; Saúde Coletiva; 21(7); 2011-2020","Ciência &amp; Saúde Coletiva","Francês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702011&lang=pt" 
"S1413-81232016000702293-scl","Conhecimentos sobre triatomíneos e sobre a doença de Chagas em localidades com diferentes níveis de infestação vetorial","Dias, João Victor Leite, Queiroz, Dimas Ramon Mota, Diotaiuti, Liléia, Pires, Herton Helder Rocha","Ciência &amp; Saúde Coletiva; 21(7); 2293-2304","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702293&lang=pt" 
"S1413-81232016000702111-spa","O processo de detecção e tratamento de casos de tuberculose em um presídio","Valença, Mariana Soares, Cezar-Vaz, Marta Regina, Brum, Clarice Brinck, Silva, Pedro Eduardo Almeida da","Ciência &amp; Saúde Coletiva; 21(7); 2111-2122","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702111&lang=pt" 
"S1413-81232016000702021-scl","Emergência de uma política, extinção de uma coordenação: sobre a gestão da saúde penitenciária no Brasil","Batista e Silva, Martinho Braga","Ciência &amp; Saúde Coletiva; 21(7); 2021-2030","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702021&lang=pt" 
"S1413-81232016000702123-scl","Famílias de mulheres presas, promoção da saúde e acesso às políticas sociais no Distrito Federal, Brasil","Pereira, Éverton Luís","Ciência &amp; Saúde Coletiva; 21(7); 2123-2134","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702123&lang=pt" 
"S1413-81232016000702101-scl","Direito à saúde mental no sistema prisional: reflexões sobre o processo de desinstitucionalização dos HCTP","Soares Filho, Marden Marques, Bueno, Paula Michele Martins Gomes","Ciência &amp; Saúde Coletiva; 21(7); 2101-2110","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702101&lang=pt" 
"S1413-81232016000702305-scl","Registro de ações para prevenção de morbidade infantil na caderneta de saúde da criança","Vieira, Daniele de Souza, Santos, Nathanielly Cristina Carvalho de Brito, Costa, Dayse Kalyne Gomes da, Pereira, Mayara de Melo, Vaz, Elenice Maria Cecchetti, Reichert, Altamira Pereira da Silva","Ciência &amp; Saúde Coletiva; 21(7); 2305-2313","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702305&lang=pt" 
"S1413-81232016000702275-spa","Insegurança alimentar e consumo alimentar inadequado em escolares da rede municipal de São Leopoldo, RS, Brasil","Ruschel, Letícia Fialho, Henn, Ruth Liane, Backes, Vanessa, Melo, Priscila de, Marques, Luana Araújo da Silva, Olinto, Maria Teresa Anselmo","Ciência &amp; Saúde Coletiva; 21(7); 2275-2286","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702275&lang=pt" 
"S1413-81232016000702201-spa","Prevalence of suggestive images of carotid artery calcifications on panoramic radiographs and its relationship with predisposing factors","Brito, Ana Caroline Ramos de, Nascimento, Helena Aguiar Ribeiro, Argento, Rafaela, Beline, Thamara, Ambrosano, Glaucia Maria Bovi, Freitas, Deborah Queiroz","Ciência &amp; Saúde Coletiva; 21(7); 2201-2208","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702201&lang=pt" 
"S1413-81232016000702233-scl","Adaptação cultural para o Brasil da escala Tuberculosis-related stigma","Crispim, Juliane de Almeida, Touso, Michelle Mosna, Yamamura, Mellina, Popolin, Marcela Paschoal, Garcia, Maria Concebida da Cunha, Santos, Cláudia Benedita dos, Palha, Pedro Fredemir, Arcêncio, Ricardo Alexandre","Ciência &amp; Saúde Coletiva; 21(7); 2233-2242","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702233&lang=pt" 
"S1413-81232016000702189-scl","Atenção pré-hospitalar móvel às urgências: análise de implantação no estado do Rio de Janeiro, Brasil","O’Dwyer, Gisele, Machado, Cristiani Vieira, Alves, Renan Paes, Salvador, Fernanda Gonçalves","Ciência &amp; Saúde Coletiva; 21(7); 2189-2200","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702189&lang=pt" 
"S1413-81232016000702293-spa","Conhecimentos sobre triatomíneos e sobre a doença de Chagas em localidades com diferentes níveis de infestação vetorial","Dias, João Victor Leite, Queiroz, Dimas Ramon Mota, Diotaiuti, Liléia, Pires, Herton Helder Rocha","Ciência &amp; Saúde Coletiva; 21(7); 2293-2304","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702293&lang=pt" 
"S1413-81232016000702243-spa","Equivalência semântica, conceitual e de itens do Observable Indicators of Nursing Home Care Quality Instrument","Oliveira, Wagner Ivan Fonseca de, Hernández, Pedro Jesus Saturno, Sousa, Kelienny de Meneses, Piuvezam, Grasiela, Gama, Zenewton André da Silva","Ciência &amp; Saúde Coletiva; 21(7); 2243-2256","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702243&lang=pt" 
